	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8234.dtt 240 min"	"8526.dun1- + 0.02% MMs - 30 min"	"21631..24 mM H2O2- 190 minutes"	"21634..24 mM H2O2- 155 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21645..24 mM H2O2- 020 minutes"	"21655..24 mM H2O2- 014 minutes"	"21659..24 mM H2O2- 077 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"40947.H2O2_II_14_min"
"YBL027W"	-5.577	-3.9845	-1.9755	-1.9795	-2.114	-3.148	-2.091	-0.172	0.0875	0.064	-1.4465	-1.1245	0.7565	0.1285	-1.8425	-0.9005	-3.528	-3.012	-3.351	-3.139	-2.319	-0.3835
"YBL092W"	-5.158	-3.5865	-2.2215	-1.726	-2.74	-2.8475	-1.829	-0.35	0.196	0.822	-1.217	-1.435	0.131	0.28	-1.317	-0.368	-2.124	-2.013	-2.599	-2.171	-2.311	0.074
"YBR031W"	-6.063	-2.6295	-1.7205	-1.803	-1.9345	-2.5745	-0.846	0.005	0.076	0.395	-2.582	-2.06	-0.129	-0.665	-1.839	0.066	-2.753	-2.405	-2.518	-2.852	-2.047	-0.134
"YBR048W"	-5.0065	-4.66033333333333	-2.35966666666667	-2.849	-3.15166666666667	-3.929	-1.878	-0.032	-0.00566666666666667	0.356333333333333	-2.26066666666667	-2.088	0.279	0.0346666666666667	-2.554	-1.29633333333333	-4.043	-3.545	-4.089	-3.69	-2.483	-0.245
"YBR118W"	-5.272	-2.0895	-0.8535	-1.7525	-2.167	-3.221	-0.353	0.079	0.417	0.718	-1.838	-0.485	0.038	0.305	-0.819	0.017	-1.886	-2.658	-1.975	-1.748	-1.691	0.14
"YBR142W"	-4.241	-2.4525	-1.878	-2.2985	-2.5785	-2.8165	-1.341	-0.228	-0.029	0.391	-0.874	-1.323	-0.252	0.347	-1.267	-0.376	-2.312	-1.71	-3.06	-2.661	-1.652	-0.162
"YBR191W"	-5.241	-4.5465	-2.1205	-2.3795	-2.6255	-3.136	-2.088	-0.07	-0.004	0.733	-2.373	-1.976	-0.005	0.4765	-2.439	-1.497	-3.687	-3.657	-2.427	-3.266	-2.298	0.747
"YDL082W"	-5.816	-2.915	-1.919	-2.186	-3.001	-3.589	-2.035	-0.018	0.139	0.651	-1.3235	-1.6265	0.419	0.8645	-1.8905	-0.6875	-4.398	-3.698	-4.518	-3.314	-3.014	-1.084
"YDR012W"	-5.83	-1.936	-1.732	-1.122	-1.902	-2.058	-0.935	-0.264	-0.064	0.64	-2.013	-1.84	0.635	-0.215	-1.86	0.038	-2.406	-2.811	-2.322	-2.731	-2.04	-1.018
"YDR023W"	-5.745	-3.05	-1.744	-3.056	-3.357	-3.85	-1.507	0.141	-0.059	0.854	-1.021	-0.887	0.198	0.698	-0.75	-0.192	-2.302	-1.458	-1.05	-1.66	-0.861	-0.314
"YDR025W"	-6.697	-4.504	-2.828	-2.503	-2.895	-3.518	-2.304	0.198	-0.0015	0.7465	-2.1035	-1.871	-0.0775	0.37	-2.2965	-1.189	-4.772	-3.127	-3.906	-3.552	-2.869	0.4565
"YDR037W"	-5.224	-1.971	-2.384	-2.916	-3.368	-3.772	-1.088	0.358	-0.25	0.277	-1.814	-1.186	-0.038	0.432	-1.405	0.017	-4.284	-3.366	-4.204	-3.541	-2.204	-0.096
"YDR417C"	-5.062	-4.223	-2.458	-2.861	-3.022	-3.606	-1.587	0.048	0.319	0.874	-2.803	-2.225	-0.008	0.07	-2.362	-1.454	-3.553	-2.61	-3.585	-3.332	-2.261	0.234
"YDR418W"	-5.866	-4.449	-2.5	-2.866	-3.091	-4.066	-1.721	-0.025	0.109	0.756	-2.94	-2.36	-0.366	-0.311	-2.611	-1.556	-4.005	-2.423	-3.263	-3.057	-2.027	0.759
"YEL042W"	-4.334	-1.851	-1.109	-1.896	-2.665	-3.071	-0.42	-0.134	0.0335	-0.0955	-0.96	-1.0905	-0.282	-0.0265	-0.8215	-1.411	-1.793	-1.936	-1.842	-1.963	-0.946	-0.4145
"YER102W"	-6.434	-4.286	-2.008	-2.579	-3.326	-3.859	-2.128	0.241	0.326	0.566	-2.222	-1.197	1.052	0.568	-2.373	-0.678	-3.324	-2.758	-2.385	-2.329	-2.436	0.482
"YER117W"	-5.642	-3.768	-1.917	-2.312	-2.562	-2.976	-1.573	-0.219	0.0905	0.3095	-2.4815	-2.016	0.365	0.418	-2.6395	-1.912	-3.319	-2.632	-3.238	-3.345	-2.147	-0.571
