	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13060.wt/crz1 Na 45min (2)"	"14946.Hydrostatic pressure (C2 vs P2)"	"21643..24 mM H2O2- 140 minutes"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"
"YBL024W"	-1.037	-1.6915	-1.2715	0.806	-2.175	-4.671	-4.879	-3.8255	-2.6055	-3.4875	-3.5465	-3.993	-0.231	0.055	-1.016	-0.112	-2.18	0.363	0.125	0.962	-0.633	-1.978	-0.865
"YBL072C"	-1.75	-2.843	-2.178	2.378	-2.486	-3.192	-6.241	-4.1825	-2.5865	-2.5245	-3.2065	-4.2	-1.7095	0.266	-2.142	-0.16	-2.524	0.729	0.389	0.566	0.129	-2.84	-1.71
"YBL092W"	-1.562	-2.671	-1.8215	1.356	-2.138	-2.896	-5.158	-3.5865	-2.4445	-1.726	-2.74	-2.8475	-1.755	-0.099	-1.647	-0.223	-1.555	0.33	0.001	0.043	-0.301	-2.013	-1.866
"YBR121C"	-1.349	-1.944	-1.9015	1.631	-2.186	-4.037	-5.791	-3.2385	-3.155	-4.1355	-4.173	-4.5985	-0.7465	0.082	-1.272	-0.92	-2.249	0.184	-0.147	0.799	-0.328	-2.264	-1.948
"YDR023W"	-1.003	-1.668	-1.423	1.318	-2.164	-2.907	-5.745	-3.05	-2.313	-3.056	-3.357	-3.85	-1.035	0.049	-1.24	0.234	-2.091	0.528	0.041	0.12	0.08	-1.458	-1.512
"YDR025W"	-1.477	-2.011	-1.284	2.153	-2.592	-3.393	-6.697	-4.504	-2.886	-2.503	-2.895	-3.518	-1.702	-0.168	-1.781	-0.468	-1.7675	0.7205	0.205	0.0	-0.161	-3.127	-2.93
"YDR262W"	0.6425	1.4435	0.46	-0.6255	2.6665	3.3725	2.869	2.2555	3.2615	4.491	4.8085	4.03	0.2355	-0.349	0.3255	0.259	2.2315	-0.145	0.121	-0.791	0.3565	2.6925	2.8525
"YDR341C"	-1.319	-1.861	-1.863	1.444	-1.574	-3.212	-5.262	-2.942	-2.263	-3.262	-3.294	-3.559	-0.68	0.56	-1.411	-0.355	-1.562	0.487	0.102	0.547	-0.267	-2.272	-1.199
"YDR418W"	-1.558	-2.651	-1.894	2.098	-2.192	-3.074	-5.866	-4.449	-2.82	-2.866	-3.091	-4.066	-1.417	0.039	-1.816	0.043	-2.345	0.927	0.634	0.488	-0.426	-2.423	-1.873
"YER102W"	-1.667	-2.845	-2.09	2.757	-2.3	-3.64	-6.434	-4.286	-2.593	-2.579	-3.326	-3.859	-1.698	0.144	-2.051	-0.552	-2.388	0.789	0.529	0.594	0.112	-2.758	-2.202
"YER117W"	-1.481	-2.019	-1.321	1.9	-2.008	-2.832	-5.642	-3.768	-2.571	-2.312	-2.562	-2.976	-1.745	0.097	-1.753	-0.048	-1.876	0.9375	0.465	0.411	-0.269	-2.632	-2.403
"YGL021W"	-0.652	-0.844	-1.07	1.267	-2.697	-2.714	-5.572	-1.377	-2.515	-2.192	-3.105	-2.246	-0.609	0.401	-0.764	-0.355	-1.476	0.358	0.052	0.326	-0.677	-1.104	-0.475
"YGL135W"	-1.72	-2.804	-2.361	1.922	-2.301	-3.418	-5.687	-3.581	-2.692	-2.267	-2.874	-3.825	-1.769	-0.105	-2.11	-0.08	-2.233	0.718	0.488	0.549	0.039	-2.903	-2.236
"YGL245W"	-0.682	-1.024	-1.348	1.549	-1.475	-4.799	-6.655	-1.847	-2.121	-3.552	-4.345	-4.779	-0.679	0.452	-0.768	-0.566	-1.658	0.488	0.216	0.695	-0.531	-0.955	-1.095
"YGR085C"	-1.501	-2.388	-1.715	1.922	-2.29	-3.406	-6.059	-4.359	-2.77	-3.306	-3.54	-4.179	-1.158	0.153	-1.815	0.323	-2.156	0.656	0.236	0.511	-0.218	-2.792	-2.272
"YGR108W"	-0.877	-1.331	-1.374	1.422	-2.564	-2.816	-3.123	-1.167	-2.434	-1.657	-2.674	-1.962	-0.991	-0.717	-0.9795	-0.302	-2.42	-0.3585	-0.5885	0.894	-0.673	-1.163	-1.854
