	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YLR172C"	-0.466	-0.468	-1.266	NaN	-1.945	-1.237	-0.724	-1.595	-1.658	-1.522	-1.652	-0.041	0.108	0.353	-0.239	-0.929	-1.218	-1.101	-0.748	-0.435	-0.028	-1.435	-4.325	-1.548	-1.418	0.091	-1.627	-1.604	-1.201	0.142	-0.553	-0.375	-0.796	-0.375	0.315	0.23	-0.077	-0.718	-0.701	0.211	0.26	0.456	0.443	1.023	0.608	0.6	-0.142	0.11	-1.368	1.12	-1.103	-1.146	-1.517	-2.194	-1.839	-0.827	-2.742	-1.671	-1.534	-2.202	-1.545	-1.227	-1.149	0.314	0.36	0.425	0.51	-0.012	0.708
"YLR175W"	-1.562	-4.217	-4.176	NaN	-3.679	-2.134	-1.078	-1.829	-3.07	-4.552	-4.902	0.54	0.379	0.267	-1.304	-2.338	-2.257	-1.632	-1.183	-0.71	-0.39	-5.607	-5.468	-3.43	-2.275	0.126	-3.996	-3.068	-3.13	0.04	-4.678	-2.413	-2.762	-3.408	0.065	0.375	0.51	-1.287	-1.041	0.703	0.486	0.845	0.292	0.892	0.937	0.316	-0.434	0.187	-4.431	1.06	-1.386	-1.479	-3.342	-4.177	-1.884	-3.986	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.526	-0.026	-0.003	0.086	-0.024	-0.318	0.417
"YLR177W"	1.0045	2.8735	3.3095	1.4025	2.643	1.001	0.8655	0.9175	2.3305	3.1295	2.898	-0.202	-0.3035	-0.5035	1.0265	1.8205	1.346	0.9945	0.3585	0.498	0.2465	1.7235	1.036	1.164	2.079	-0.191	2.2765	1.9135	1.2705	0.0335	0.608	0.605	0.7545	0.934	-0.0245	0.175	0.267	0.7625	0.451	-0.174	-0.12	-0.087	-0.358	-0.468	-0.7015	-0.4415	0.262	-0.171	3.1335	-0.359	1.2325	0.969	3.122	3.163	2.146	3.156	1.244	1.235	1.845	3.171	2.094	1.505	2.555	0.136	0.456	0.001	-0.181	0.747	0.068
"YLR178C"	1.341	5.463	6.029	-1.924	5.987	4.932	2.778	3.824	5.265	6.066	5.98	-0.652	0.196	0.001	2.674	4.583	3.987	4.18	3.498	2.652	1.308	5.949	2.132	3.949	3.516	-0.474	3.832	3.455	2.573	0.24	3.6	2.231	2.561	2.885	1.074	-0.148	-0.064	3.694	3.723	0.324	-0.111	-0.858	-1.237	-2.014	-2.416	-2.004	-0.33	0.317	6.29	-1.764	1.79	2.287	3.297	4.402	3.913	4.754	5.407	4.372	3.242	5.3	4.727	3.457	3.71	0.357	0.718	-0.276	-0.459	0.351	-0.113
"YLR186W"	-1.809	-2.647	-2.522	NaN	-2.221	-1.684	-0.718	-1.543	-2.011	-2.976	-2.122	-0.15	0.0	0.245	-0.517	-1.331	-0.634	-0.877	-0.815	-0.115	-0.126	-4.787	-5.516	-2.004	-2.093	0.08	-3.036	-2.821	-2.007	-0.004	-2.372	-1.577	-2.069	-1.671	0.165	0.103	-0.01	-0.508	-0.479	0.35	0.115	0.65	0.253	0.948	1.197	0.552	-0.408	0.516	-3.083	0.723	-0.993	-0.971	-2.648	-2.466	-2.202	-3.113	-3.381	-2.552	-1.208	-4.173	-2.896	-1.936	-2.714	-0.286	-0.395	0.739	0.317	0.317	0.735
"YLR196W"	-1.788	-4.71	-5.425	-5.709	-5.04	-1.973	-1.387	-2.108	-3.221	-4.896	-4.532	0.584	0.161	0.106	-1.792	-2.562	-2.364	-1.459	-1.106	-0.531	-0.336	-5.083	-5.836	-2.118	-2.001	0.249	-2.858	-2.859	-1.799	0.195	-4.378	-2.182	-2.66	-2.604	0.036	0.333	0.252	-1.306	-1.087	0.708	0.395	0.627	0.536	0.766	0.517	0.147	-0.406	0.398	-5.097	0.687	-1.553	-1.896	-2.941	-3.697	-2.702	-2.671	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	-0.356	0.066	-0.044	0.02	-0.134	0.185
"YLR197W"	-1.452	-3.755	-4.98	-4.31	-4.044	-2.606	-1.26	-1.636	-3.638	-4.76	-5.179	0.613	0.583	0.167	-1.149	-2.263	-2.63	-1.881	-1.453	-0.908	-0.496	-5.817	-5.242	-3.387	-1.811	0.407	-3.899	-3.238	-3.258	0.348	-5.671	-2.611	-3.067	-3.716	0.013	0.494	0.467	-1.497	-1.383	0.771	0.619	0.371	0.316	0.748	0.742	0.576	-0.423	0.302	-5.072	1.062	-0.988	-2.105	-2.322	-4.496	-2.603	-4.151	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-2.321	0.067	0.102	0.384	0.126	-0.142	1.168
"YLR198C"	-0.941	-2.631	-4.57	-4.094	-4.694	-2.132	-1.403	-1.876	-3.371	-4.643	-4.805	1.112	0.651	0.347	-0.881	-1.942	-2.411	-1.55	-1.242	-0.803	-0.419	-5.143	-3.401	-3.057	-1.956	0.414	-3.471	-3.106	-2.998	0.315	-5.282	-2.521	-3.21	-3.479	-0.011	0.362	0.13	-1.379	-1.177	0.812	0.633	0.418	0.486	0.787	0.499	0.343	-0.685	0.417	-4.143	1.038	-1.37	-1.448	-2.376	-3.4	-2.256	-1.816	-2.271	-2.674	-0.872	-3.761	-2.805	-1.946	-1.701	0.128	0.074	0.131	-0.076	-0.406	0.902
"YLR221C"	-1.052	-1.904	-3.146	-2.525	-2.286	NaN	-0.729	-1.074	-2.172	-2.998	-2.528	0.03	-0.217	0.19	-1.239	-2.179	-1.971	-1.691	-1.235	-0.811	-0.507	-2.998	-1.577	-1.622	-1.374	0.384	-1.591	-0.902	-1.508	-0.119	-2.27	-1.754	-1.704	-1.694	0.229	0.464	0.158	-1.162	-0.88	0.636	0.492	0.369	0.005	-0.515	0.718	0.185	-0.16	-0.21	-3.231	-0.184	-0.868	-0.997	-2.169	-3.034	-2.382	-2.79	-1.916	-1.568	-1.339	-3.361	-1.731	-1.498	-1.37	-0.187	-0.311	0.046	-0.019	0.63	0.761
"YLR258W"	1.369	4.492	4.617	4.224	4.273	2.738	1.639	2.589	3.655	4.262	4.866	-0.15	-0.497	0.337	2.827	3.517	3.132	2.724	1.804	0.881	0.931	4.602	0.406	2.871	3.115	0.176	2.686	2.614	1.279	0.741	5.214	4.198	3.429	3.18	0.702	0.133	0.457	2.771	2.051	-0.386	-0.173	-0.957	-0.699	-0.771	-1.015	-1.094	-0.147	0.423	4.686	-1.303	0.903	0.986	4.484	3.754	2.37	3.876	3.968	3.416	2.076	5.121	3.888	3.318	2.343	0.031	0.979	-0.441	-0.694	0.008	-0.023
