	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YLR270W"	1.392	2.619	2.816	NaN	2.659	2.141	1.046	1.375	2.515	2.627	2.718	-1.229	-0.505	0.207	1.442	2.388	2.215	2.423	1.808	1.577	0.851	3.652	-0.064	1.834	1.707	0.424	2.081	1.738	1.277	0.182	3.081	2.673	2.833	3.002	0.241	0.157	0.05	1.61	2.06	-0.194	0.246	0.062	0.075	-0.467	-0.527	-0.141	-0.075	-0.088	3.272	-0.456	0.315	0.147	2.439	2.407	1.611	2.518	2.699	2.67	2.398	3.716	2.802	1.955	2.213	0.619	0.91	0.058	0.401	0.86	0.371
"YLR276C"	-0.865	-3.536	-4.199	NaN	-3.855	-2.573	-0.936	-2.196	-3.331	-3.732	-4.143	1.18	0.854	0.225	-1.697	-2.616	-1.884	-1.687	-1.31	-0.978	-0.51	-4.467	-5.399	-2.381	-1.203	0.266	-2.386	-2.199	-1.65	-0.082	-3.49	-1.977	-1.889	-2.427	-0.042	0.185	0.12	-1.356	-0.897	0.907	0.511	0.781	0.512	0.752	0.834	0.253	-0.073	0.084	-2.51	0.57	-0.893	-0.394	-3.95	-4.014	-2.707	-2.803	-2.141	-1.833	-0.859	-3.838	-1.145	-2.088	-2.066	-0.063	0.026	0.091	0.31	-0.032	0.093
"YLR401C"	-0.683	-4.37	-3.667	-3.155	-2.889	-0.878	0.268	-1.048	-2.202	-3.179	-2.451	-0.667	-0.229	0.586	-1.637	-2.074	-1.786	-1.19	-0.668	-0.239	-0.093	-3.761	-3.133	-2.307	-0.451	-0.631	-2.484	-2.153	-1.169	-0.208	-1.31	-1.179	-1.047	-1.54	-0.252	0.078	-0.003	-0.721	-0.342	0.247	-0.388	0.163	0.029	0.493	0.522	0.274	0.013	-0.148	-3.769	0.423	-0.871	-0.276	-4.107	-4.366	-2.033	-2.208	-1.382	-1.137	-0.58	-2.921	-1.22	-1.004	-1.779	-0.222	-0.126	0.171	-0.332	-0.453	-0.146
"YLR413W"	-1.036	-3.86	NaN	-4.323	-4.035	-2.22	-1.2	-3.146	-3.749	-4.155	-3.973	-0.146	-0.888	0.619	-2.013	-3.16	-2.894	-2.333	-1.898	-1.343	-0.82	-4.758	-5.846	-3.411	-2.534	0.105	-3.237	-3.865	-3.034	0.262	-4.176	-4.488	-4.358	-4.993	0.488	0.276	0.417	-2.593	-2.619	-0.18	-0.348	0.271	0.127	1.08	0.247	-0.079	-0.014	-0.564	-3.69	-0.038	1.498	0.604	-3.149	-3.773	-3.526	-3.616	-4.298	-4.176	-4.129	-4.449	-4.04	-4.16	-4.919	-0.496	-0.561	-0.292	0.322	-1.429	-1.281
"YML043C"	-0.844	-3.314	-3.507	-2.613	-2.689	-1.161	-0.699	-0.955	-1.807	-2.273	-1.861	0.798	-0.201	-0.028	-1.033	-1.508	-1.318	-0.944	-0.666	-0.872	-0.566	-3.139	-2.655	-1.233	-2.196	0.064	-1.654	-1.509	-1.407	-0.304	-1.139	-1.0	-1.516	-1.724	-0.212	0.139	0.168	0.031	0.446	0.266	0.049	0.077	0.399	0.29	0.368	-0.184	-0.083	0.125	-2.98	-0.722	-0.378	0.137	-5.46	-3.791	-2.636	-2.401	-1.968	-1.666	-2.208	-3.471	-1.673	-1.761	-1.475	-0.153	-0.389	1.147	0.093	-0.084	-0.076
"YML093W"	-0.619	-3.602	-4.507	2.565	-2.615	-1.452	-0.446	-1.73	-2.741	-3.357	-3.472	0.548	0.031	0.352	-2.269	-2.686	-2.477	-1.732	-1.528	-1.094	-0.666	-4.947	-5.889	-2.751	-1.661	0.28	-2.797	-2.437	-1.818	-0.22	-3.309	-1.656	-1.961	-2.236	0.036	0.162	0.04	-0.938	-0.39	0.532	0.239	0.545	0.389	0.643	0.419	0.016	-0.633	0.258	-3.703	0.444	-1.26	-0.883	-3.959	-7.708	-2.717	-3.619	-2.999	-2.533	-2.258	-4.548	-2.489	-2.192	-2.403	0.095	-0.254	0.064	0.031	-0.015	0.742
"YML100W"	0.895	5.316	6.476	6.109	6.414	4.821	3.701	3.008	5.251	6.445	7.021	-1.716	-0.517	0.06	3.249	4.344	4.142	3.563	2.58	1.469	1.63	6.107	0.758	2.863	3.063	-0.126	3.032	2.344	1.616	0.496	3.917	4.132	3.925	4.015	0.64	0.366	0.295	3.763	2.995	-0.519	-0.108	-1.312	-1.003	-2.198	-2.661	-1.473	-0.035	-0.13	6.199	-0.927	0.037	0.054	6.107	5.901	5.052	3.944	2.766	1.304	1.959	4.68	2.566	1.707	2.578	1.073	2.528	-0.048	-0.336	1.297	-0.28
"YMR037C"	0.398	0.264	0.717	0.598	0.529	0.195	-0.017	0.792	1.209	0.81	0.522	0.049	0.23	-0.057	-0.164	0.084	0.042	0.203	-0.21	0.079	0.229	0.423	-0.813	1.163	-0.03	0.181	0.249	0.259	-0.001	-0.129	-0.381	-0.068	0.221	1.036	0.173	-0.094	-0.425	0.473	0.508	-0.149	-0.115	0.19	0.263	-0.276	0.231	0.181	-0.196	0.058	0.542	0.236	-0.651	-0.572	0.604	0.102	-0.548	-0.383	-1.077	-1.224	-1.581	-0.852	-0.811	-0.627	-0.714	0.499	0.38	0.391	0.371	0.298	-0.049
"YMR059W"	-0.223	-0.239	-0.472	2.29	-0.292	-1.467	-0.266	-0.517	-0.585	-0.299	-1.126	0.167	0.04	0.3	-0.13	-0.22	-0.359	-0.209	-0.125	-0.004	0.05	-0.437	-1.908	-0.141	-0.59	-0.04	-0.286	0.237	0.667	-0.081	0.086	-0.227	0.008	0.25	-0.09	-0.231	-0.269	-0.205	-0.16	0.0	-0.062	-0.009	-0.14	-0.259	0.151	-0.156	-0.045	0.053	-0.479	-0.132	0.663	0.254	-1.119	-0.589	1.382	-0.128	-0.1	-0.253	-0.237	-0.691	-0.394	-0.387	0.919	-0.289	-0.395	-0.044	0.037	0.343	-0.186
"YMR105C"	1.323	6.504	7.421	7.216	6.858	4.865	2.494	4.63	6.445	6.665	6.783	-0.859	-0.568	-0.314	3.283	4.095	3.845	3.192	1.907	0.529	0.724	4.909	0.781	4.172	3.838	-0.3	2.982	2.866	1.873	0.201	3.095	3.543	4.109	3.285	0.443	0.133	0.665	3.846	3.634	-0.242	-0.128	-0.849	-1.226	-2.176	-2.045	-1.845	-0.116	0.235	6.837	-1.079	2.939	2.362	5.78	5.764	3.906	4.753	4.164	3.912	3.617	6.583	5.468	3.536	4.665	0.17	0.542	-0.443	0.009	0.692	-0.506
"YMR131C"	-1.03	-3.068	-4.819	-4.67	-4.183	-2.431	-1.0	-1.969	-3.849	-4.525	-4.347	0.117	-0.333	0.271	-1.061	-2.255	-2.188	-1.713	-1.034	-0.623	-0.418	-5.631	-6.665	-3.153	-2.016	0.273	-3.547	-2.98	1.316	-0.227	-4.277	-2.776	-2.829	-3.214	0.306	0.297	0.176	-1.343	-0.827	0.689	0.361	0.271	0.526	0.791	0.774	0.656	-0.405	0.014	-4.674	0.435	-1.086	-1.47	-2.123	-3.866	-3.136	-3.736	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908	-2.616	-0.283	-0.448	0.561	0.442	0.232	0.14
"YMR150C"	-0.018	1.142	0.265	3.226	0.141	-0.048	-0.005	-0.135	0.252	0.17	0.573	-0.354	-0.503	0.05	0.551	0.245	0.377	0.497	0.468	0.377	0.305	0.123	-0.991	2.47	-0.131	-0.081	-0.255	-0.421	-0.363	0.043	0.666	-0.035	-0.371	0.003	0.152	-0.152	-0.096	-0.132	0.131	0.35	-0.17	0.017	-0.24	0.152	0.069	0.365	-0.076	0.422	1.039	0.414	-0.054	-0.192	-0.077	-0.191	0.013	-0.044	0.279	1.124	0.47	0.644	0.658	0.39	-0.31	-0.342	-0.319	-0.008	0.189	0.241	0.092
"YMR180C"	0.457	0.389	0.283	0.678	0.252	0.061	0.527	0.602	0.527	0.485	0.597	-0.764	-0.352	0.368	0.012	0.107	0.224	0.358	0.542	0.097	-0.829	0.576	-1.106	1.077	0.622	0.056	0.522	1.012	1.104	-0.093	0.735	0.12	0.287	0.605	0.103	-0.148	0.2	0.269	0.214	0.122	0.344	0.216	-0.419	-0.263	-0.009	-0.087	0.195	-0.061	0.746	0.069	-0.523	-0.283	0.42	-0.048	0.906	0.125	0.81	0.686	0.221	0.664	1.562	0.751	0.445	-0.046	-0.021	0.037	0.531	0.2	-0.039
"YMR226C"	0.272	0.406	0.626	0.985	1.03	0.413	0.821	0.865	0.822	0.868	0.619	0.436	0.862	0.618	0.64	0.84	0.853	0.819	0.888	1.2	0.671	0.084	-2.394	0.912	0.231	0.057	0.689	0.29	0.062	0.286	0.09	0.055	0.182	0.495	0.837	0.116	-0.007	0.637	0.67	0.521	0.336	0.3	0.16	-0.369	0.125	-0.132	-0.216	0.396	0.817	0.199	0.382	-0.71	0.916	1.097	1.291	0.82	-0.739	0.264	-0.537	0.293	-0.078	-0.034	0.838	0.662	0.308	0.608	0.86	0.805	0.683
"YMR250W"	2.075	5.161	6.007	5.745	5.491	4.651	2.257	4.027	5.246	5.448	5.563	-0.12	-0.89	-0.336	2.822	3.78	4.002	3.833	2.924	1.979	1.072	4.705	1.279	3.37	2.816	-0.152	2.923	2.601	2.186	0.529	5.655	5.109	4.892	4.741	0.361	-0.024	0.448	4.064	3.14	-0.318	-0.399	-1.494	-1.531	-1.774	-2.618	-1.553	0.371	-0.044	5.984	-1.139	1.537	1.664	4.217	4.606	3.471	4.16	5.331	5.018	3.436	5.68	4.944	4.024	3.524	0.728	0.847	0.457	-0.263	0.164	-0.51
"YMR310C"	-1.642	-3.178	-3.117	-3.003	-2.423	-1.416	-1.055	-1.044	-2.264	-2.522	-1.974	0.856	0.062	0.423	-1.198	-1.727	-1.738	-1.194	-0.826	-0.48	-0.238	-2.999	-3.842	-1.935	-1.944	0.202	-2.25	-1.986	-0.193	0.202	-1.6	-1.055	-1.284	-0.779	0.365	0.213	-0.291	-0.708	-0.79	-0.332	-0.287	0.129	0.141	1.0	0.934	0.314	-0.693	-0.049	-2.882	0.721	-0.587	-0.143	-2.869	-2.857	-1.577	-2.977	-1.539	-2.152	-1.717	-3.588	-1.433	-1.744	-1.291	-0.021	-0.227	0.518	0.481	-0.048	0.074
"YNL002C"	-1.024	-3.547	-4.666	-4.12	-4.07	-1.784	-0.971	-2.094	-3.305	-4.559	-4.222	1.193	0.973	0.443	-1.685	-2.627	-2.564	-1.766	-1.16	-0.543	-0.498	-5.196	-3.468	-2.839	-1.894	0.476	-3.072	-2.59	-2.178	0.092	-3.426	-2.209	-1.856	-2.186	0.124	-0.035	-0.21	-1.411	-0.899	0.801	0.475	0.671	0.216	0.991	0.91	0.378	-0.454	0.431	-4.603	0.318	-0.637	-1.123	-3.249	-3.481	-2.594	-3.245	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181	-2.211	-0.154	-0.319	0.083	-0.084	-0.379	0.535
"YNL015W"	0.979	2.601	2.433	3.341	3.124	1.885	1.692	1.924	2.455	3.302	2.984	-0.769	-0.176	-0.182	1.591	2.177	2.881	2.052	2.679	2.61	1.694	4.235	-1.446	1.889	2.852	0.434	3.342	3.085	2.745	0.29	2.964	3.342	2.817	2.895	0.546	-0.012	-0.189	1.601	1.565	0.274	0.293	-0.815	-0.474	-1.067	-0.88	-0.508	-0.204	0.187	3.501	-0.777	0.748	0.517	2.176	2.636	1.503	1.699	2.8	3.339	2.117	2.634	3.327	3.061	2.362	0.512	0.151	-0.779	-0.467	0.131	-0.365
"YNL022C"	-0.606	-2.019	-1.72	-1.917	-2.028	-0.981	-0.82	-0.898	-0.458	-1.986	-1.406	-0.403	-0.667	0.139	-1.315	-1.784	-1.529	-1.086	-0.858	-0.503	-0.355	-2.558	-3.745	-1.8	-0.907	0.22	-1.761	-1.753	-1.173	0.008	-1.076	-1.225	-1.297	-1.083	0.171	0.24	0.39	-0.82	-0.587	0.589	0.115	0.288	0.142	-0.285	0.463	0.204	-0.157	0.117	-1.851	-0.164	-0.489	-0.233	-1.705	-2.755	-2.251	-1.986	-1.088	-0.613	-0.647	-2.039	-1.091	-0.98	-1.907	-0.269	-0.415	0.369	0.396	0.169	0.123
"YNL043C"	-0.372	0.055	-0.102	0.73	-0.379	-0.517	-0.12	-0.345	-0.123	0.364	-0.263	0.218	0.117	-0.14	0.461	0.218	0.212	0.234	0.336	0.072	0.46	-0.954	-2.627	-0.611	-0.876	-0.091	-0.383	-0.842	-0.541	-0.013	-0.709	-0.791	-1.139	-1.494	0.063	-0.012	-0.146	-0.03	-0.239	0.145	-0.026	-0.264	0.015	-0.488	-0.449	-0.329	-0.045	-0.32	0.23	-0.25	-0.758	-1.0	-0.35	-0.303	-0.144	0.815	-1.569	-0.973	-1.514	-1.465	-1.674	-1.302	-2.441	0.432	0.14	-0.212	-0.102	-0.321	-0.018
"YNL045W"	1.8	0.623	2.299	0.522	1.79	1.445	0.673	0.592	1.675	2.3	2.003	-0.241	-0.453	0.084	0.537	0.897	1.063	0.973	0.61	0.537	0.346	1.967	-2.893	0.738	0.835	0.077	1.366	1.12	0.484	0.415	2.846	1.475	0.584	0.52	0.16	0.212	0.369	0.927	0.716	-0.345	-0.119	-0.158	-0.045	-0.185	-0.049	-0.029	-0.247	-0.167	2.619	-0.806	0.395	0.213	1.662	1.891	1.221	0.882	1.742	1.008	0.295	2.176	1.424	0.378	-0.202	0.218	0.304	-0.289	-0.341	0.109	0.556
"YNL058C"	-1.334	1.544	1.19	1.02	0.862	0.57	-0.082	1.209	0.932	1.143	0.953	0.324	0.004	0.399	0.263	0.529	0.517	0.939	0.424	-0.053	-0.422	0.23	-2.758	0.376	-0.561	0.153	-0.373	0.068	-1.066	0.171	0.042	-0.703	-0.452	-0.613	0.519	0.236	0.181	0.487	0.492	-0.024	-0.172	0.056	-0.243	0.232	0.256	-0.541	0.279	-0.268	0.781	0.665	-0.174	0.108	0.796	1.043	1.161	0.605	0.294	-0.293	-0.827	0.461	-0.239	2.471	-1.148	1.474	1.093	-0.072	0.169	-0.248	-0.315
"YNL061W"	-0.841	-3.447	-4.928	-4.17	-3.927	-1.543	-0.686	-1.752	-4.143	-4.404	-3.948	0.663	0.34	0.299	-1.745	-2.673	-2.373	-1.799	-1.163	-0.739	-0.267	-4.329	-4.27	-2.724	-1.459	0.044	-2.519	-2.417	-1.876	0.037	-3.268	-1.421	-1.555	-1.548	0.027	0.053	-0.35	-1.141	-0.845	0.578	0.312	0.721	0.336	0.911	0.823	0.101	-0.02	0.101	-5.38	0.998	-1.038	0.159	-3.059	-3.925	-2.946	-2.461	-2.055	-1.808	-1.512	-2.571	-1.387	-1.085	-1.055	0.314	0.015	0.401	0.387	0.083	1.088
"YNL062C"	-1.101	-2.043	-3.459	-1.549	-2.934	-1.18	-0.484	-0.927	-2.143	-3.093	-2.844	0.507	0.298	0.05	-1.303	-1.917	-1.508	-0.829	-0.336	-0.117	0.075	-4.157	-6.263	-2.538	-1.298	-0.124	-2.304	-2.254	-1.829	-0.33	-2.028	-1.559	-1.91	-1.803	0.064	-0.123	0.231	-0.87	-0.486	0.467	0.213	0.483	0.094	0.552	1.182	0.669	0.233	0.076	-2.71	0.33	-0.161	-0.306	-3.32	-4.112	-2.584	-2.778	-2.698	-2.338	-1.801	-2.838	-2.509	-1.871	-2.066	-0.196	-0.487	0.562	0.547	0.138	0.32
"YNL075W"	-1.421	-2.664	-3.86	-2.098	-3.164	-2.073	-0.642	-1.324	-2.558	-3.304	-2.768	0.019	-0.534	0.328	-1.244	-2.078	-1.5	-1.319	-1.01	-0.58	-0.262	-4.782	-3.339	-2.433	-2.131	0.203	-3.095	-2.494	-1.5	0.062	-2.149	-1.222	-0.979	-1.31	0.122	-0.095	-0.211	-1.136	-0.683	0.569	0.58	0.715	0.696	1.056	0.989	0.146	-0.578	0.193	-3.301	0.694	-1.442	-0.848	-3.326	-2.935	-2.361	-2.748	-2.459	-1.475	-0.926	-3.779	-2.192	-1.642	-1.957	-0.343	-0.204	0.434	0.381	0.117	0.35
"YNL110C"	-0.787	-3.468	-4.43	-5.407	-3.64	-2.443	-0.902	-1.669	-3.768	-4.56	-4.991	0.726	0.256	0.009	-2.042	-2.66	-2.463	-1.926	-1.517	-0.931	-0.606	-5.108	-3.296	-1.641	-1.55	0.408	-2.565	-1.986	-1.679	-0.249	-4.151	-2.141	-1.741	-2.144	-0.002	0.03	-0.035	-1.474	-0.956	0.969	0.501	0.855	0.343	-0.052	0.492	0.0	-0.442	-0.052	-5.064	0.074	-1.325	-0.335	-4.233	-4.907	-3.471	-3.973	-3.18	-2.579	-1.804	-4.747	-2.546	-2.431	-1.608	-0.188	-0.245	0.181	0.359	0.349	0.856
"YNL114C"	-1.397	-0.79	-2.893	-1.943	-2.686	-1.404	-0.439	-1.062	-2.468	-3.33	-3.663	-0.575	-0.878	0.127	-1.141	-1.853	-1.566	-1.0	-0.448	-0.195	-0.059	-5.245	-6.572	-2.048	-2.138	0.337	-2.827	-2.978	-1.873	-0.055	-3.032	-1.739	-1.645	-2.221	0.085	0.028	-0.234	-0.864	-0.614	0.708	0.275	0.481	0.311	0.459	0.593	0.436	0.028	-1.016	-2.799	0.217	0.356	-0.205	-2.597	-2.336	-1.721	-2.174	-2.905	-1.754	-0.986	-4.14	-2.842	-1.49	-2.128	0.052	-0.093	0.339	0.379	0.218	0.247
"YNL132W"	-1.941	-2.988	-4.679	NaN	-5.146	-2.394	-0.798	-2.972	-3.658	-3.329	-4.954	0.637	0.024	0.23	-2.191	-2.754	-3.143	-2.262	-1.825	-0.67	-0.367	-5.826	-6.392	-3.883	-2.3	0.22	-3.285	-3.141	-2.521	0.12	-4.353	-2.313	-2.799	-2.936	0.344	0.159	0.218	-1.657	-1.579	0.373	-0.185	0.112	0.244	0.708	0.612	0.447	0.304	-0.058	-3.45	0.971	1.011	0.384	-3.651	-4.311	-2.617	-3.564	-2.994	-2.948	-2.325	-3.989	-2.673	-2.3	-1.776	-0.01	-0.152	0.506	0.501	-0.205	0.195
"YNL151C"	-0.666	-1.51	-2.707	-1.814	-2.055	-1.601	-0.34	-1.162	-2.682	-2.835	-2.667	0.516	0.307	0.296	-0.683	-1.236	-1.273	-1.04	-0.737	-0.652	-0.138	-1.688	-2.706	-1.45	-1.686	0.281	-1.523	-1.143	-1.33	-0.125	-1.317	-0.686	-0.771	-0.414	0.009	0.351	0.145	-0.631	-0.252	0.667	0.468	0.683	0.472	0.824	0.878	0.569	-0.206	-0.207	-3.201	0.77	0.662	-0.236	-2.213	-2.152	-1.745	-2.456	-3.305	-2.364	-1.414	-3.425	-2.373	-1.589	-2.161	-0.018	0.137	0.172	0.142	0.038	0.484
"YNL159C"	0.95	1.473	1.513	1.407	1.302	0.679	0.849	1.547	0.667	1.312	1.424	-1.158	-0.119	0.203	0.702	0.929	0.728	0.798	0.515	0.261	0.214	1.734	-1.084	0.563	0.856	0.138	0.911	0.76	0.559	-0.169	1.247	0.741	0.758	0.969	0.001	0.254	0.022	1.188	0.981	0.113	0.177	0.051	-0.125	-0.157	0.057	0.306	0.358	-0.222	1.0	0.373	-0.143	-0.115	1.16	0.573	0.138	0.83	1.144	1.169	0.369	1.58	1.286	0.845	0.821	0.601	0.473	0.106	-0.132	0.162	0.066
"YNL174W"	-1.12	-2.195	-5.157	-5.094	-4.699	-1.913	-1.107	-2.362	-4.233	-5.579	-4.714	0.755	0.509	0.108	-1.64	-2.857	-2.718	-2.427	-1.752	-1.256	-0.696	-5.141	-4.409	-3.149	-0.505	0.31	-2.319	-2.439	-1.875	-0.074	-4.372	-2.731	-2.682	-2.061	0.011	0.102	-0.047	-1.681	-1.492	0.713	0.444	0.471	0.38	0.87	0.978	0.048	-0.506	-0.128	-5.426	0.476	1.271	1.494	-2.201	-3.76	-2.801	-2.503	-1.035	-2.624	-2.333	-3.816	-2.839	-1.053	-2.153	0.04	-0.1	0.342	0.675	-0.049	0.403
"YNL305C"	1.261	2.702	2.659	2.473	2.292	1.429	1.13	1.664	1.962	2.585	2.924	-0.57	0.375	-0.287	1.333	1.496	1.692	1.541	1.203	0.856	0.598	1.558	3.072	0.556	0.824	-0.459	1.664	1.012	1.781	-0.297	2.762	1.406	1.883	2.708	-0.16	0.007	0.302	NaN	0.804	-0.501	-0.144	-0.51	-0.559	-0.814	-0.789	-0.086	0.179	0.306	3.11	-0.983	0.003	0.501	1.536	1.802	1.922	2.439	2.416	2.708	2.329	2.226	1.702	1.776	3.292	0.457	0.344	-0.105	-0.014	0.086	-0.024
"YNL308C"	-0.257	-3.076	-3.929	-2.764	-1.689	-0.755	-2.301	-1.5	-2.757	-3.366	-3.336	0.73	0.328	-0.03	-2.403	-3.186	-2.995	-2.046	-1.628	-1.095	-0.547	-4.351	-2.686	-2.473	-1.539	0.08	-2.614	-2.202	-1.792	-0.139	-3.207	-1.872	-1.62	-2.065	-0.144	0.075	0.121	-1.321	-0.989	0.694	0.298	0.403	0.256	-0.212	0.474	0.2	0.196	0.023	-3.272	0.384	-1.264	-0.524	-4.501	-4.586	-2.561	-1.77	-1.512	-2.337	-1.138	-3.307	-2.409	-1.94	-2.419	-0.05	0.07	0.083	0.427	-0.116	0.286
"YNL313C"	-1.416	-3.06	-3.472	-3.287	-3.026	-1.419	-0.755	-1.175	-2.399	-2.935	-3.02	0.155	-0.809	0.176	-1.493	-2.31	-1.97	-1.468	-1.03	-0.904	-0.425	-4.999	-5.714	-2.852	-2.432	0.186	-3.129	-2.948	-1.668	0.287	-2.839	-1.544	-1.333	-1.551	0.244	0.081	-0.138	-0.925	-0.594	0.285	-0.049	0.446	0.39	0.447	0.75	0.152	0.3	-0.24	-3.009	0.414	-0.424	0.592	-3.183	-2.824	-2.352	-1.81	-1.867	-1.835	-1.525	-3.85	-2.129	-1.672	-1.421	-0.53	-0.335	0.14	-0.184	0.071	-0.467
"YNR019W"	-0.032	0.807	1.018	1.096	1.025	1.213	1.386	-0.408	1.392	1.084	1.379	-0.276	0.4	0.279	0.503	0.425	1.031	0.747	0.829	0.915	0.282	0.247	-0.771	0.0835	0.8685	-0.585	0.748	0.819	0.801	-0.745	-0.496	-0.147	-0.765	-0.187	-0.045	-0.37	-0.491	1.086	1.374	-0.266	-0.524	-0.218	0.1755	-0.7655	-0.57	0.063	0.407	-0.298	1.304	-0.528	0.468	0.358	1.92	0.573	0.219	1.181	1.361	0.406	0.506	0.806	0.836	0.736	0.249	-0.642	-0.16	0.017	-0.657	-0.763	-0.715
"YNR054C"	-1.668	-2.316	-3.072	-1.505	-1.849	-0.719	-0.03	-1.199	-2.561	-3.745	-2.256	0.641	0.26	0.144	-1.437	-1.723	-1.964	-1.258	-0.964	-0.671	-0.302	-1.6465	-0.975	-1.43	-0.9285	0.213	-1.1455	-1.259	-0.9225	-0.043	-1.571	-1.369	-1.379	-1.222	0.091	-0.056	-0.24	-0.877	-0.422	0.544	0.298	-0.365	0.289	0.225	0.4055	0.174	-0.158	-0.03	-3.271	0.197	-0.791	-0.214	-2.435	-3.275	-1.802	-2.06	0.252	-2.01	-1.27	-2.609	-1.366	-1.353	-1.558	-0.188	-0.14	0.431	-0.327	-0.221	-0.553
"YOL010W"	-0.944	-2.371	-2.972	7.476	-3.252	-1.282	-0.835	-2.023	-2.711	-2.999	-2.174	0.461	-0.7	-0.02	-1.627	-2.246	-1.822	-1.36	-0.677	-0.258	-0.255	-2.573	-2.5555	-2.945	-1.4025	-0.049	-2.6505	-2.046	-0.7205	-0.002	-3.125	-1.9	-2.034	-1.694	0.198	-0.017	-0.149	-0.632	-0.338	0.344	0.141	-0.4295	0.102	0.552	0.525	-0.00949999999999998	-0.339	0.271	-2.479	0.324	-1.241	0.201	-4.237	-3.167	-2.1035	-3.1535	-2.953	-2.293	-1.5635	-3.9135	-2.207	-1.637	-1.0255	-0.5865	-0.5745	0.2155	0.13	0.0705	0.1885
"YOL022C"	-0.409	-1.069	-2.578	-1.943	-2.43	-1.397	-0.366	-1.05	-2.344	-2.29	-2.301	-0.075	0.255	0.254	-0.833	-1.744	-1.669	-1.275	-0.775	-0.266	0.004	-1.8955	-4.073	-1.7425	-1.084	0.28	-2.0495	-1.1435	-0.378	0.011	-1.88	-1.156	-0.91	-0.866	0.286	0.46	0.356	-1.17	-0.967	0.516	0.253	0.0635	-0.1685	0.812	0.6285	0.408	-0.146	0.238	-2.13	0.777	-0.021	-0.283	-1.956	-2.882	-2.184	-3.424	-2.213	-1.709	-1.129	-2.775	-1.991	-1.02	-0.524	-0.347	-0.402	0.497	0.851	0.377	0.119
