	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"17676.Na+FK 45min (4)"	"33774.DBY8778(wt)_stationary_phase_7hours"
"YDR211W"	-1.478	-1.063	-0.44	-0.842	-1.237	-1.391	-0.215	-0.541	-0.131	-0.358	-2.225	-1.565	-1.573	-0.984	-1.38	-1.706	-4.77	-1.476	-2.022	-1.28	-1.43	-2.119	-2.043	-3.034	0.181	-0.434	-0.275	0.187	-0.601	0.378	-1.1775	-1.037	-0.82	-0.853	-0.655	0.113	-1.0005	-1.084
"YDR341C"	-0.947	-1.567	-1.156	-1.189	-1.645	-1.494	-0.658	-1.319	-1.207	-0.913	-3.559	-2.27	-1.763	-1.574	-1.681	-3.212	-5.262	-2.134	-2.942	-1.942	-2.263	-3.262	-3.294	-3.559	-0.68	-0.701	-0.347	-0.371	-1.411	-0.711	-1.562	-1.663	-1.444	-1.45	-1.573	-0.582	-1.891	-1.936
"YEL040W"	-0.999	-0.951	0.019	-0.186	-0.854	-1.291	-2.322	-0.262	-0.033	-0.242	-3.201	-3.812	-3.911	-4.238	-3.616	-3.786	-4.551	-3.347	-3.017	-4.461	-3.561	-3.111	-3.855	-3.066	-0.013	0.123	-0.204	0.702	-0.503	-0.413	-3.1215	-3.956	-2.468	-3.182	-4.01	-0.508	-1.8465	-2.646
"YEL042W"	-1.38	-1.661	-0.739	-1.276	-1.884	-1.862	-0.433	-0.816	-0.702	-1.392	-1.578	-0.84	-0.736	-1.264	-1.261	-3.201	-4.334	-1.329	-1.851	-1.705	-1.658	-1.896	-2.665	-3.071	-0.744	-0.12	-0.374	-0.364	-1.072	-0.726	-1.2195	-1.754	-1.366	-1.753	-1.736	-1.219	-0.998	-1.793
"YER043C"	-1.073	-1.519	-0.41	-1.034	-1.417	-1.897	-1.172	-0.957	-1.02	-0.795	-3.945	-1.445	-2.553	-2.767	-3.397	-4.78	-6.476	-3.096	-3.583	-3.174	-3.716	-3.31	-4.857	-4.918	-0.803	-0.419	-0.535	-0.14	-1.272	-0.932	-1.415	-2.015	-2.503	-2.487	-2.96	-0.837	-0.511	-3.094
"YER049W"	-2.706	-2.312	-0.945	-1.931	-2.247	-2.219	-0.877	-0.96	-0.57	-0.68	-2.916	-2.05	-1.562	-2.16	-1.746	-3.769	-4.541	-0.962	-3.216	-2.135	-2.046	-2.64	-3.518	-2.735	-0.14	-0.898	-1.051	-0.05	-1.249	-0.532	-1.47	-1.172	-1.33	-1.731	-1.734	-0.998	-1.058	-0.134
"YER103W"	6.403	4.997	4.232	6.844	7.074	7.18	0.753	3.233	6.117	4.03	2.096	1.272	1.436	2.309	2.01	0.489	-0.202	3.469	1.868	4.138	4.837	1.549	2.013	0.674	4.412	3.295	2.651	2.892	3.078	4.256	2.179	1.418	2.79	2.363	1.512	-0.383	4.083	3.552
"YGL097W"	-0.698	-0.924	-0.524	-0.879	-1.152	-1.251	-0.872	-0.588	-1.028	-0.011	-1.806	-1.291	-1.469	-1.88	-2.214	-3.311	-5.124	-1.338	-0.928	-0.786	-1.446	-1.203	-1.641	-1.241	-0.407	-0.513	-0.168	-0.07	-0.748	-0.179	-1.755	-0.972	-1.49	-0.766	-1.316	-0.338	-0.514	-1.439
"YGL195W"	-0.318	-0.824	-0.532	-0.5445	-0.528	-0.71	-0.985	-0.589	-0.2525	-0.469	-1.338	-1.0485	-0.5865	-0.955	-1.078	-1.5115	-3.33	-0.649	-2.169	-2.0895	-2.3115	-2.4845	-2.527	-2.439	0.108	0.1685	0.4345	-0.4955	-0.3235	-0.086	-0.5745	-1.9695	-2.7165	-2.333	-2.937	-0.846	-0.7955	-1.0155
"YGR061C"	0.178	-1.392	-1.071	-1.5125	-1.6835	-1.881	-0.907	-0.5385	-0.5825	-0.622	-1.1505	-1.4555	-1.0655	-1.003	-1.6865	-2.8345	-3.447	-1.048	-1.835	-1.7575	-1.891	-1.7885	-1.6345	-2.528	-0.204	-0.3885	-0.566	-0.4785	-1.081	-0.8945	0.329	-1.328	-1.454	-1.7425	-1.861	-0.046	0.253	-0.5985
