	"40.alpha factor release sample029"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"585.21 deg growth"	"597.25 deg growth"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"906.w303a vs w303a hcm1"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1303.diauxic shift timecourse: 0 hr"	"2559.29C to 33C - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"13067.Na/Na+FK 45min (1)"	"13493.Y10 mRNP vs. Poly"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YAL004W"	0.1065	2.321	0.395	3.286	2.19	0.0	-0.077	0.079	-0.597	-0.3325	-1.684	-1.641	0.9515	-1.5625	-0.527	-0.8305	0.056	-0.183	-0.799333333333333	-0.65	-0.814666666666667	-0.372666666666667	-0.0835	0.044	-0.272666666666667	0.817	0.214	0.959	0.6825	0.723	0.5945	0.272	0.657	0.5015	-0.048	0.2685	0.4035	0.3685	0.6255	-0.693	-0.39	-1.1505	-0.415666666666667	-0.094	0.817	0.358	-0.169	0.341	0.382	-0.186	1.0645	1.85	0.807	0.298	-2.4535	-1.556	2.796	2.945	1.97	0.92	1.703	1.775	1.056	0.797	-0.397
"YAL005C"	0.217	3.796	NaN	4.496	NaN	NaN	NaN	0.0	-0.185	-0.18	-1.715	-3.963	1.511	0.761	0.239	0.189	0.559	-0.3635	-0.4685	0.008	-0.1375	0.042	-0.086	0.639	-0.0905	0.695	0.161	1.713	0.573	1.243	0.816	1.177	0.876	1.024	0.753	0.888	0.832	0.687	0.763	0.455	0.437	0.291	-0.845	NaN	0.806	0.592	0.86	0.134	0.157	0.425	1.113	1.2475	0.933	0.4645	-0.653	-0.492	3.0	3.426	2.397	1.753	1.859	1.957	0.903	0.996	-0.815
"YBR034C"	-0.069	-3.771	-3.193	-3.203	-2.964	-2.426	-3.138	-3.33	1.234	0.897	-0.608	-0.948	-1.78	-3.091	-1.817	-2.349	0.332	-1.4935	-2.6345	-1.987	-1.9885	-1.729	0.054	-0.028	-1.612	0.032	0.033	-1.478	-0.1	-0.848	-2.667	-1.178	-0.47	-2.768	-2.709	-1.833	-2.216	-2.785	-2.665	-0.942	-0.855	-0.531	-1.064	-3.638	0.078	-0.55	NaN	-2.148	-2.016	0.431	-1.537	-1.36	0.2925	-0.4575	-0.9135	-0.539	-4.117	-3.01	-2.626	-2.138	-3.028	-2.306	-1.259	-2.298	-0.789
"YBR052C"	-0.213	1.956	2.383	2.308	2.693	2.458	2.644	2.777	-0.125	-0.135	1.453	1.707	2.481	3.367	2.191	1.166	0.0	1.456	2.076	0.8745	-0.265	-0.5565	0.2225	0.391	1.3635	0.731	0.049	1.394	0.251	0.257	1.478	1.548	0.4	1.11	1.882	1.983	0.907	1.499	1.563	0.601	0.624	0.564	0.204	2.858	0.869	0.303	-0.094	1.888	2.051	0.188	2.2435	2.136	-0.701	-0.5	0.1085	-0.5995	2.397	2.366	1.303	1.298	1.441	2.975	1.913	3.177	0.152
"YBR170C"	-0.0955	0.793	1.369	1.189	1.012	1.211	1.207	1.016	0.122	-0.183	1.179	0.862	1.375	0.392	0.854	0.298	0.0	0.564	0.3285	0.533	0.5955	0.993	-0.0365	-0.036	0.534	0.419	0.063	0.107	-0.0475	0.0295	0.48	-0.425	0.177	0.917	1.306	1.477	0.334	0.737	1.409	-0.206	0.406	-0.195	0.184	0.689	0.001	0.156	-0.195	1.292	1.391	-0.13	1.7285	1.7715	-0.09	0.162	-0.07	-0.381	1.297	1.93	1.625	0.647	0.709	0.936	1.258	0.969	0.475
"YBR266C"	0.186	-2.822	-3.764	-4.351	-3.869	-2.532	-1.817	-3.376	0.799	0.416	-0.619	-1.311	-2.443	-3.053	-2.021	-1.649	-0.481	-1.5	-1.6715	-1.345	-0.9	-1.0935	0.098	-0.154	-1.694	-1.267	0.099	-2.039	-0.115	-0.481	-2.141	-1.733	-0.22	-2.026	-2.578	-1.489	-1.757	-2.513	-2.064	-0.629	-1.203	-0.406	0.186	-4.774	0.191	-0.456	0.419	-1.873	-2.105	-0.273	-2.3125	-2.561	0.095	-0.194	-0.116	0.807	-3.626	-3.097	-1.986	-1.526	-1.859	-2.716	-2.18	-3.048	-0.762
"YCL054W"	-0.31	-3.412	-3.545	-3.187	-2.942	-2.871	-3.741	-3.668	1.07	0.87	-1.306	-1.973	-2.492	-3.386	-2.133	-1.571	0.325	-1.408	-4.0705	-2.049	-2.2245	-2.4215	-0.088	0.06	-1.285	-1.01	0.245	-1.432	-0.278	-0.498	-1.758	-1.275	0.187	-1.599	-1.884	-1.438	-1.11	-1.505	-1.54	-0.524	-1.143	-0.701	-0.017	-4.039	-0.779	-0.32	0.867	-2.64	-2.31	0.24	-2.36	-2.292	0.192	-0.503	-0.135	-0.183	-3.522	-4.037	-2.713	-1.597	-3.979	-3.835	-2.141	-3.761	-1.42
"YCL059C"	-0.05	-1.314	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	0.838	0.388	-1.158	-1.313	-2.587	-4.786	-1.94	-1.769	0.343	-1.301	-3.4015	-1.887	-1.4885	-1.846	0.019	0.188	-1.22	-1.275	0.439	-0.986	-0.182	-0.304	-1.379	-0.437	-0.641	-1.281	-2.524	-2.535	-0.821	-2.387	-3.161	-0.755	-1.537	-0.545	0.277	-4.664	-0.145	-0.328	0.233	-2.169	-2.235	0.203	-1.8365	-3.1135	0.253	-0.367	-0.519	-0.734	-2.026	-2.908	-2.614	-1.156	-1.028	-4.103	-3.191	-4.436	-0.596
"YCR016W"	-0.019	-1.772	-2.622	-2.305	-2.118	-2.019	-2.87	-2.734	0.855	0.823	-0.654	-1.267	-2.021	-2.836	-1.77	-2.204	0.135	-1.276	-2.648	-1.736	-2.093	-2.5995	-0.056	0.072	-1.379	-0.843	0.36	-1.035	-0.1895	-0.405	-0.455	-0.796	-0.527	-0.492	-0.979	-0.881	-0.595	-1.134	-1.568	-0.913	-0.86	-0.373	0.187	-2.836	-0.605	-0.448	-0.018	-1.847	-1.94	-0.48	-1.594	-1.4055	0.287	0.459	0.225	0.078	-3.011	-2.302	-1.598	-1.082	-2.255	-2.722	-1.756	-3.082	-0.533
"YCR072C"	-0.105	-2.145	-4.048	-3.359	-3.587	-2.626	-3.503	-2.949	0.547	0.158	-0.85	-1.563	-2.43	-4.777	-2.433	-2.8	-0.29	-1.745	-1.4095	-1.4095	-1.6045	-1.42	-0.038	-0.18	-1.12	-1.209	0.323	-1.874	-0.185	-0.4765	-2.219	-1.514	-0.2	-1.364	-1.792	-1.624	-1.002	-1.609	-1.403	-0.204	-1.272	-0.012	-0.4515	-4.635	-0.339	0.09	0.138	-2.632	-2.988	0.045	-1.7755	-0.7795	0.544	-0.671	-1.196	-1.026	-4.939	-4.551	-2.816	-1.529	-2.351	-2.665	-1.203	-3.703	-1.151
"YDL031W"	0.091	-2.218	-2.88	-2.123	-2.3335	-2.1535	-2.805	-2.451	0.307	0.1235	-1.114	-1.5165	-1.7075	-2.5295	-1.48	-1.4865	0.179	-0.7395	-2.49	-1.401	-1.0975	-1.1425	0.019	0.122	-0.845	-0.614	0.126	-0.811	-0.183333333333333	-0.356	-0.664	-0.989	-0.0065	-0.7915	-1.3565	-1.355	0.0705	-0.546	-1.206	-0.154	0.1085	-0.0435	-0.057	-2.6385	0.15	-0.058	0.0455	-0.931	-0.806	0.212	-1.222	-1.487	0.186	0.033	-0.356	-0.471	-2.448	-2.583	-1.757	-0.802	-0.863	-1.283	-1.024	-2.16	-0.249
"YDL132W"	0.109	0.241	0.863	0.434	0.887	0.56	0.847	0.345	0.003	0.092	0.538	0.387	0.857	1.468	1.178	0.498	0.242	0.826	0.444	0.454	0.187	0.251	0.359	0.292	0.573	0.348	-0.01	0.503	-0.0825	0.1355	0.587	0.485	0.431	0.565	0.931	0.709	1.03	1.195	1.342	0.345	0.422	0.124	0.65	0.331	0.253	0.114	0.85	0.695	0.92	-0.604	1.257	1.574	0.446	-0.493	-0.039	-1.112	0.724	0.931	0.457	0.376	0.455	-0.753	0.798	0.645	-0.155
