	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2064.Hypo-osmotic shock - 5 min"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YAR075W"	-1.345	-2.675	-2.835	-2.296	-2.875	-4.482	-4.212	-2.65	-3.123	-2.843	-2.115	-2.55	-2.789	-0.046	0.066	0.267	0.256	-0.355	-0.349	-0.025	-0.107	0.328	-0.819	-1.213	-0.911	-1.481	-1.92	-2.695	-2.155	-1.82	-1.013	-0.681	-1.863	-1.243	-0.976
"YBL027W"	-2.851	-2.474	-1.613	-2.0	-1.606	-2.671	-5.577	-2.494	-2.654	-3.9845	-1.9795	-2.114	-3.148	0.232	0.193	0.472	0.486	-0.007	0.3635	0.213	0.2665	0.356	-0.359	0.298	0.677	-3.528	-3.012	-3.351	-3.139	-2.319	-2.291	-0.749	-0.269	-0.698	-0.417
"YBR034C"	-3.091	-2.072	-1.906	-2.47	-2.349	-1.758	-3.523	-1.874	-2.144	-2.6345	-2.833	-2.963	-1.668	0.229	0.483	0.468	0.354	0.0885	-0.135	-0.166	-0.13	0.418	-1.283	-1.506	-1.907	-1.707	-1.247	-2.298	-1.596	-0.52	-2.071	-1.482	-1.217	-1.719	-0.815
"YBR106W"	-2.949	-2.026	-1.83	-2.108	-1.986	-3.354	-5.052	-2.258	-2.173	-2.3915	-2.3225	-3.147	-3.2985	0.2645	0.197	0.256	0.209	0.066	0.0415	-0.075	-0.085	0.51	-1.141	-0.563	-0.877	-3.114	-2.846	-2.825	-2.779	-2.225	-1.35	-0.384	-0.003	-0.244	-0.466
"YBR142W"	-2.447	-1.562	-1.515	-1.8	-0.992	-2.133	-4.241	-1.893	-1.12	-2.4525	-2.2985	-2.5785	-2.8165	-0.149	0.193	0.429	0.369	0.0815	-0.012	-0.043	0.005	-0.122	0.222	0.641	1.985	-2.312	-1.71	-3.06	-2.661	-1.652	-1.41	-0.671	-0.307	-0.472	-0.228
"YBR212W"	2.545	2.038	1.802	2.283	1.936	3.329	3.128	1.824	1.89	2.072	4.222	4.5675	3.4615	-0.0085	0.484	0.388	0.222	-0.1455	-0.226	-0.229	-0.09	0.459	0.256	0.953	0.5	2.252	1.337	2.491	1.768	1.525	1.707	0.644	-0.135	-0.688	-0.885
"YBR271W"	-2.206	-1.391	-1.13	-0.881	-1.093	-1.167	-2.981	-2.156	-2.035	-1.502	-0.2135	-0.758	-0.9015	0.053	-0.223	0.467	0.313	0.086	0.372	0.296	0.364	0.124	-0.741	-0.224	-0.745	-1.281	-1.073	-1.739	-1.353	-0.739	-1.226	0.222	-0.953	0.484	-0.18
"YCL053C"	-4.013	-2.459	-1.096	-0.828	-1.563	-2.481	-4.22	-2.694	-1.782	-2.553	-1.7235	-2.7635	-2.2165	-0.144	-0.218	0.325	0.202	-0.1325	-0.095	0.055	-0.034	-0.46	-0.196	-0.059	-1.247	-1.334	-1.782	-1.866	-1.397	-1.134	-1.115	-0.533	-0.998	-0.715	-0.464
"YCR016W"	-2.836	-1.258	-1.495	-2.335	-2.204	-1.226	-2.969	-2.199	-1.692	-2.648	-2.6395	-2.9255	-2.8665	-0.0765	-0.231	0.267	0.08	-0.206	-0.1385	-0.143	-0.064	-0.162	-1.404	-1.376	-0.873	-2.712	-2.45	-3.082	-2.031	-1.588	-2.154	-0.963	-0.834	-0.8	-0.742
"YCR072C"	-4.777	-2.891	-2.412	-2.205	-2.8	-4.4	-4.875	-3.092	-2.773	-1.4095	-0.9395	-2.6635	-1.797	0.0515	-0.005	0.25	0.003	-0.0405	0.0085	0.198	0.328	0.115	-1.388	-1.134	-1.195	-2.819	-2.44	-3.703	-2.838	-1.67	-2.009	-1.098	-0.733	-2.157	-1.065
