	"686.YP ethanol vs reference pool"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YBL057C"	-0.5155	-2.031	-2.661	-1.034	-1.105	-1.502	-1.552	-2.088
"YBL077W"	-1.134	-3.136	-5.081	-2.607	-2.667	-2.816	-3.3595	-3.1945
"YBR011C"	-0.9625	-4.081	-5.344	-0.95	-1.407	-2.3835	-3.0585	-3.4585
"YBR028C"	-0.135	-2.27	-3.596	-0.571	-1.294	-1.494	-2.3575	-2.334
"YBR106W"	-0.828	-3.354	-5.052	-2.595	-2.731	-2.3225	-3.147	-3.2985
"YBR110W"	0.1115	-2.152	-2.551	-0.32	-0.819	-0.6765	-1.2045	-1.398
"YBR121C"	-1.014	-4.037	-5.791	-2.366	-2.465	-4.1355	-4.173	-4.5985
"YBR164C"	-0.359	-2.78	-3.277	-1.258	-1.624	-1.3225	-2.355	-1.882
"YBR249C"	-0.3335	-3.39	-6.025	-1.86	-1.223	-2.9975	-3.288	-3.9875
"YBR288C"	-0.437	-2.229	-3.524	-0.751	-1.088	-1.2605	-1.978	-1.688
"YCL045C"	-1.00466666666667	-3.044	-3.911	-1.516	-1.986	-2.25533333333333	-2.94333333333333	-2.69566666666667
"YCR002C"	-0.894	-3.669	-5.182	-0.658	-1.575	-2.564	-2.9535	-2.7005
"YCR013C"	-0.735	-3.099	-5.566	-1.264	-1.02	-1.827	-2.591	-3.6275
"YDL225W"	-0.07	-2.271	-3.558	-0.621	-0.882	-0.994	-1.953	-1.522
"YDR002W"	-0.537	-2.756	-4.542	-1.99	-1.796	-1.672	-2.746	-2.987
"YDR158W"	-0.482	-3.546	-5.115	-1.965	-1.881	-3.109	-3.802	-4.509
"YDR174W"	-0.036	-1.951	-3.526	-0.961	-0.668	-1.209	-1.705	-1.726
"YDR189W"	-0.252	-1.871	-2.842	-0.824	-1.156	-1.597	-1.904	-2.063
"YDR233C"	-0.435	-2.587	-3.48	-1.566	-1.509	-2.047	-2.27	-2.451
"YEL042W"	-0.433	-3.201	-4.334	-1.329	-1.924	-1.896	-2.665	-3.071
"YER023W"	-0.64	-4.379	-4.606	-1.289	-1.281	-1.477	-2.502	-2.506
"YER043C"	-1.172	-4.78	-6.476	-3.096	-3.18	-3.31	-4.857	-4.918
"YER090W"	-0.608	-3.804	-5.004	-1.889	-1.861	-2.327	-2.585	-3.495
"YER105C"	-0.107	-1.921	-3.477	-0.29	-0.804	-1.462	-2.363	-2.555
"YFL039C"	-0.492	-2.57	-3.733	-1.117	-1.321	-1.583	-2.201	-2.764
"YGL001C"	-0.494	-2.878	-4.137	0.039	-0.673	-1.719	-2.358	-2.176
"YGL100W"	-0.153	-1.34	-2.958	-0.803	-0.279	-0.433	-1.114	-1.076
"YGL213C"	-0.846	-3.409	-3.301	-0.589	-1.865	-1.708	-2.07	-2.079
"YGL245W"	-1.136	-4.799	-6.655	-1.699	-2.088	-3.552	-4.345	-4.779
"YGR037C"	-0.191	-3.63	-4.976	-1.298	-1.04	-1.964	-2.717	-2.416
"YGR148C"	-0.934	-3.884	-5.757	-2.956	-2.722	-3.022	-3.649	-4.092
"YGR175C"	-0.186	-3.074	-4.5	-1.563	-1.196	-2.53	-2.628	-3.285
"YGR185C"	-0.665	-5.306	-6.361	-2.6	-2.266	-4.576	-4.871	-5.006
"YGR195W"	0.163	-2.179	-3.999	-0.971	-1.268	-1.872	-1.878	-1.911
"YGR229C"	-0.267	-2.847	-4.256	-1.987	-1.316	-2.401	-2.58	-3.391
"YGR261C"	-0.663	-2.682	-3.233	-1.189	-1.363	-1.657	-2.505	-2.45
"YHL003C"	-0.1	-2.186	-3.084	-1.135	-1.164	-1.585	-1.707	-1.741
"YHL017W"	-0.098	-2.193	-3.301	-0.606	-0.459	-0.672	-0.978	-0.971
"YHR019C"	-1.258	-4.051	-5.077	-2.664	-2.76	-3.117	-3.721	-4.387
