	"686.YP ethanol vs reference pool"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"21657..24 mM H2O2- 063 minutes"	"30463.Pomona/Brown pol2-12 red"
"YAL038W"	-1.954	1.041	-2.4	-6.086	-1.723	-3.1525	-0.7405	-0.4115	-1.1525	-1.42	-1.859	-3.2025	0.332	-1.209	-1.134	-0.071	0.135	-2.223	0.573
"YBL027W"	-0.596	0.836	-2.671	-5.577	-2.494	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.232	-1.419	-1.848	0.215	-0.1555	-1.5895	0.356
"YBL039C"	-1.2325	1.626	-4.323	-7.004	-2.736	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.1495	-2.572	-2.654	-0.343	0.243	-3.238	-0.3
"YBL072C"	-0.9405	1.493	-3.192	-6.241	-3.06	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.433	-1.925	-2.018	-0.258	0.223	-2.951	0.545
"YBR009C"	-0.049	0.438	-2.257	-3.789	-0.703	-1.75	-1.093	-1.5	-2.3565	-2.09	-1.6255	-2.119	-0.26	-0.884	-0.898	0.026	0.195	-2.775	0.454
"YBR031W"	-1.57	0.328	-2.879	-6.063	-2.233	-2.6295	-1.7205	-1.7175	-2.312	-1.803	-1.9345	-2.5745	0.0645	-1.218	-1.338	0.262	0.382	-2.943	0.315
"YBR106W"	-0.828	0.44	-3.354	-5.052	-2.258	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.2645	-2.007	-1.925	-0.056	0.108	-2.603	0.51
"YBR118W"	-0.6765	0.791	-2.846	-5.272	-1.697	-2.0895	-0.8535	-1.4355	-1.294	-1.7525	-2.167	-3.221	-0.615	-0.885	-0.941	-0.21	-0.055	-2.605	0.468
"YBR189W"	-1.0835	0.827	-2.065	-4.702	-3.071	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	-0.59	-1.625	-1.55	-0.231	0.0565	-2.5385	0.1115
"YCR055C"	-0.9775	0.898	-3.878	-6.433	-3.796	-2.6155	-1.6915	-1.403	-1.6	-2.2405	-3.105	-2.4225	-0.009	-1.969	-2.123	-0.201	0.228	3.31	0.306
"YDL051W"	-0.722	0.579	-2.856	-3.563	-2.198	-2.973	-2.013	-1.892	-1.804	-1.557	-2.325	-2.819	0.21	-1.64	-1.961	0.319	0.162	-2.436	0.484
"YDL081C"	-0.667	1.472	-2.445	-4.594	-2.131	-1.82	-1.714	-1.973	-2.358	-2.127	-2.133	-2.377	-0.037	-1.288	-2.114	-0.266	-0.389	-3.322	0.384
"YDL191W"	-0.561	0.331	-2.737	-5.192	-2.911	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	0.104	-1.627	-1.818	-0.1475	-0.085	-1.328	-0.1425
"YDR012W"	-1.098	0.422	-3.045	-5.83	-2.057	-1.936	-1.732	-1.886	-1.901	-1.122	-1.902	-2.058	0.202	-1.201	-1.759	-0.247	0.196	-2.623	0.466
"YDR025W"	-1.0	0.848	-3.393	-6.697	-3.357	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.446	-1.45	-1.463	-0.2895	-0.785	-2.693	0.238
"YDR064W"	-0.644	0.609	-3.761	-5.03	-3.208	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.282	-2.324	-1.878	-0.559	-0.165	-2.873	-0.3315
"YDR321W"	-1.489	0.778	-3.093	-4.43	-3.362	-2.857	-2.273	-2.389	-2.828	-2.704	-2.582	-2.75	0.241	-1.536	-2.252	-0.926	0.156	-3.559	-0.325
"YDR382W"	-1.258	1.087	-2.459	-5.686	-1.95	-4.02	-2.332	-2.897	-2.877	-2.565	-3.137	-3.471	0.212	-0.979	-1.369	-0.064	0.302	-2.957	0.494
"YDR418W"	-0.817	1.447	-3.074	-5.866	-3.315	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.308	-2.095	-2.023	-0.151	0.371	-3.095	-0.194
"YDR447C"	-0.646	0.463	-3.659	-5.332	-3.574	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	0.036	-2.456	-2.291	-1.0535	0.165	-2.7985	0.1595
"YDR454C"	-0.541	0.622	-2.876	-4.275	-2.043	-1.427	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	-0.099	-1.416	-1.682	0.226	0.04	-1.805	0.475
"YEL054C"	-0.77	1.472	-2.98	-7.056	-3.039	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.238	-2.046	-1.876	-0.04	-0.3975	-2.9535	0.3175
"YER102W"	-1.525	1.305	-3.64	-6.434	-3.101	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.356	-1.931	-1.792	-0.153	0.463	-2.757	0.121
"YER117W"	-0.475	0.498	-2.832	-5.642	-3.05	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.054	-1.931	-1.863	-0.1085	-0.2045	-3.1365	0.058
"YER131W"	-1.21	1.259	-3.664	-6.55	-2.621	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.172	-2.595	-2.302	0.3695	0.368	-2.3985	0.3525
"YFR031BC"	-1.727	1.379	-4.702	-7.029	-3.328	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	0.335	-2.365	-2.146	-0.62	0.391	-3.481	0.136
"YGL076C"	-0.842	1.617	-3.976	-5.667	-3.32	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.155	-1.888	-1.94	-0.516	-0.5915	-2.4035	-0.434
"YGL102C"	-0.669	0.933	-2.658	-5.65	-3.301	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	0.077	-1.66	-1.666	-0.576	-0.143	-2.45	-0.488
"YGL103W"	-0.924	0.481	-1.452	-5.266	-3.266	-3.07	-1.762	-1.73	-2.048	-1.308	-1.735	-2.438	-0.128	-1.636	-1.202	0.0256	-0.094	-2.94866666666667	-0.0913333333333333
"YGL123W"	-1.693	1.598	-4.004	-5.982	-4.112	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.062	-2.138	-2.024	-0.026	0.399	-3.516	-0.012
"YGL135W"	-1.162	1.173	-3.418	-5.687	-3.217	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.183	-2.237	-2.539	-0.213	-0.064	-3.932	0.389
"YGL147C"	-1.473	1.227	-3.921	-7.507	-3.0	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.033	-2.365	-2.897	-0.367	-0.409	-3.008	-0.505
"YGR027C"	-0.813	0.675	-2.797	-5.39	-3.005	-4.002	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	0.001	-1.482	-1.504	0.14	0.406	-3.092	0.475
"YGR034W"	-0.845	0.01	-3.052	-6.281	-3.268	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	-0.087	-1.605	-1.776	-1.003	0.037	-2.725	-0.441
"YGR085C"	-0.601	1.043	-3.406	-6.059	-3.071	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.255	-1.917	-2.035	0.116	0.29	-2.855	0.269
"YGR118W"	-0.939	0.657	-2.204	-5.471	-2.458	-3.851	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	0.015	-1.832	-1.647	-0.073	0.0875	-2.981	0.219
"YGR148C"	-0.934	0.521	-3.884	-5.757	-3.141	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.055	-1.901	-1.746	-0.038	0.127	-2.6455	0.491
"YGR285C"	-1.082	1.618	-4.078	-6.1	-1.648	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.288	-1.577	-1.929	-0.099	0.35	-2.142	0.36
"YHL033C"	-0.792	1.712	-3.984	-6.65	-3.056	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.283	-1.866	-2.127	0.151	0.404	-3.325	0.56
"YHR010W"	-0.678	0.405	-3.508	-4.514	-3.343	-4.159	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	0.3	-1.912	-1.667	-0.331	-0.321	-2.818	-0.634
"YHR128W"	-1.606	1.217	-4.967	-6.006	-3.351	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	0.338	-1.979	-2.009	-0.322	-0.214	-3.996	-0.145
"YHR141C"	-0.476	-0.042	-2.472	-3.64	-2.31	-2.888	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	-0.277	-1.568	-1.745	-0.363	0.096	-1.561	-0.3
"YHR203C"	-2.628	1.292	-3.782	-5.944	-3.917	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.346	-2.243	-1.865	-0.564	-0.137	-2.988	0.322
"YHR216W"	-1.585	1.299	-3.15	-4.943	-1.762	-2.554	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	0.087	-1.652	-1.444	-0.142	0.3	-2.584	0.314
"YIL133C"	-1.126	0.981	-2.693	-5.79	-2.93	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-0.11	-2.453	-1.872	-0.851	-0.17	-2.982	-0.419
"YJL138C"	-0.635	1.158	-3.125	-5.625	-1.273	-2.086	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.244	-1.49	-1.665	0.036	0.213	-2.711	-0.133
"YJL177W"	-1.171	1.177	-3.255	-5.49	-3.409	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.351	-2.455	-2.061	-0.765	-0.245	-3.107	-0.698
"YJL190C"	-1.053	1.326	-3.585	-6.079	-3.969	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.057	-2.255	-2.211	-0.009	0.271	-4.086	-0.534
"YJR123W"	-1.858	1.098	-4.381	-9.147	-3.809	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.188	-2.373	-2.137	-0.314	0.081	-4.115	-0.827
"YKL006W"	-1.288	0.818	-2.835	-5.113	-3.049	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.007	-2.103	-1.94	-0.39	-0.134	-3.267	-0.211
"YKR094C"	-1.08	0.206	-2.464	-4.383	-2.102	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	-0.185	-1.7	-1.911	-1.034	0.065	-2.14	-0.014
"YLL044W"	-1.193	1.502	-3.79	-6.48	-3.313	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.083	-2.075	-2.07	-0.253	0.186	-2.82	0.513
"YLL045C"	-0.971	1.742	-3.857	-6.618	-3.169	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.239	-1.924	-1.585	-0.008	-0.052	-2.895	0.453
"YLR029C"	-1.619	0.87	-3.615	-6.877	-2.777	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	0.23	-0.996	-1.587	-0.198	0.321	-2.352	0.404
"YLR061W"	-1.105	0.014	-4.939	-6.591	-3.239	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.096	-1.889	-1.422	-0.771	-0.019	-3.246	0.359
"YLR076C"	-0.466	1.097	-1.78	-4.142	-1.405	-3.015	-1.22	-1.575	-1.453	-1.198	-1.871	-1.996	0.256	-0.638	-0.993	0.167	0.288	-1.556	0.478
"YLR167W"	-1.188	0.621	-1.761	-4.496	-1.882	-1.894	-1.27	-1.479	-1.439	-1.334	-1.976	-2.263	0.116	-1.549	-1.386	-0.455	-0.482	-1.874	0.266
