	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"38145.03II01 batch p1"
"YAR002W"	-1.058	-1.515	-2.289	-1.1825	-1.2165	-1.493	-1.9265	-1.5805	0.426
"YBL024W"	-2.175	-4.671	-4.879	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.929
"YBL077W"	-2.021	-3.136	-5.081	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.816
"YBR011C"	-0.977	-4.081	-5.344	-0.649	-1.271	-2.3835	-3.0585	-3.4585	-0.5
"YBR060C"	-0.683	-2.577	-2.827	-0.8205	-0.6335	-2.062	-2.6195	-0.2895	0.816
"YBR073W"	-0.847	-2.163	-2.523	-0.6035	-0.6915	-1.6215	-2.5665	-2.3205	-0.153
"YBR088C"	-1.712	-4.084	-4.124	-1.0105	-1.809	-2.4385	-3.272	-2.4585	-0.582
"YBR096W"	-1.618	-2.825	-3.347	-1.7275	-1.5245	-1.829	-1.7925	-2.066	-0.973
"YBR121C"	-2.186	-4.037	-5.791	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.594
"YBR143C"	-1.932	-3.195	-4.642	-2.126	-2.659	-2.698	-2.699	-3.572	0.863
"YBR154C"	-1.387	-3.531	-4.423	-1.5735	-2.257	-2.6225	-3.012	-3.8995	0.405
"YBR246W"	-0.766	-2.137	-3.138	-0.9095	-0.74	-1.3615	-1.8565	-1.287	-0.299
"YCL045C"	-1.0965	-3.044	-3.911	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.431
"YCL050C"	-1.353	-2.331	-2.647	-0.9575	-0.665	-1.845	-2.758	-2.172	-0.075
"YCR002C"	-1.572	-3.669	-5.182	-1.1235	-1.597	-2.564	-2.9535	-2.7005	-0.527
"YCR034W"	-1.912	-3.204	-4.331	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-1.2
"YCR044C"	-1.079	-1.836	-2.699	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.229
"YCR052W"	-0.656	-1.402	-2.66	-0.925	-0.8155	-1.2265	-1.602	-1.3085	-0.059
"YCR053W"	-1.707	-3.556	-4.283	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.541
"YDL016C"	-0.214	-1.47	-2.752	-0.6505	-0.464	-1.2285	-1.5145	-1.4645	0.412
"YDL143W"	-0.989	-1.678	-3.716	-1.56	-1.794	-2.612	-3.143	-2.716	0.14
"YDR023W"	-2.164	-2.907	-5.745	-1.553	-2.313	-3.056	-3.357	-3.85	0.808
"YDR091C"	-1.547	-3.384	-4.4	-1.728	-2.044	-2.636	-3.222	-3.423	-0.014
"YDR117C"	-0.837	-1.737	-2.494	-0.967	-1.278	-1.618	-1.45	-1.497	-0.006
"YDR189W"	-0.735	-1.871	-2.842	-0.693	-0.704	-1.597	-1.904	-2.063	0.183
"YDR365C"	-1.232	-2.477	-4.269	-1.457	-2.29	-2.877	-3.039	-3.298	0.61
"YDR372C"	-0.731	-1.786	-3.333	-0.716	-0.859	-1.291	-1.344	-1.268	-0.022
"YDR385W"	-1.783	-3.158	-5.463	-1.431	-1.529	-1.848	-2.214	-3.65	0.504
"YDR414C"	-0.7	-1.295	-2.042	-1.5	-1.014	-1.609	-1.415	-2.123	-0.174
"YDR440W"	-0.358	-1.65	-2.77	-0.889	-1.006	-1.547	-1.431	-1.281	0.082
"YDR448W"	-0.611	-1.21	-1.605	-0.981	-0.523	-0.813	-1.371	-1.636	0.129
"YDR528W"	-1.029	-1.574	-2.873	-1.217	-1.237	-0.983	-1.402	-1.249	0.217
"YEL042W"	-1.264	-3.201	-4.334	-1.705	-1.658	-1.896	-2.665	-3.071	-0.207
"YER023W"	-1.289	-4.379	-4.606	-1.09	-0.659	-1.477	-2.502	-2.506	0.361
"YER043C"	-2.767	-4.78	-6.476	-3.174	-3.716	-3.31	-4.857	-4.918	-1.925
"YER052C"	-0.211	-3.288	-5.276	-0.18	-1.066	-2.746	-2.953	-2.839	-0.858
"YER090W"	-1.569	-3.804	-5.004	-1.078	-1.311	-2.327	-2.585	-3.495	-0.186
"YER118C"	-0.913	-2.598	-3.457	-1.116	-1.35	-1.371	-2.206	-1.965	-0.186
"YER168C"	-0.938	-1.452	-1.886	-0.714	-0.904	-0.801	-1.806	-2.032	0.064
"YFL004W"	-0.988	-1.866	-3.639	-0.901	-1.486	-1.927	-2.26	-2.284	-0.296
"YFL048C"	0.07	-1.131	-2.659	-0.536	-0.546	-0.342	-0.772	-0.87	0.121
"YFR009W"	-2.017	-3.004	-4.932	-2.089	-2.511	-3.291	-3.978	-4.281	0.758
"YGL001C"	-1.369	-2.878	-4.137	-0.843	-1.195	-1.719	-2.358	-2.176	-0.628
"YGL016W"	-1.474	-3.034	-4.265	-1.815	-1.608	-2.599	-3.554	-2.639	0.832
"YGL022W"	-1.034	-3.396	-4.268	-0.687	-0.699	-1.211	-1.242	-2.176	-0.312
"YGL026C"	-0.768	-3.132	-4.669	-0.678	-0.839	-1.868	-2.181	-2.636	-0.724
"YGL027C"	-0.279	-2.354	-4.731	-0.404	-0.674	-2.105	-2.719	-3.083	0.444
"YGL107C"	-0.737	-2.708	-3.138	-0.57	-0.373	-1.618	-1.576	-1.936	0.34
"YGL116W"	-0.975	-1.418	-1.754	-0.722	-0.675	-1.279	-1.556	-1.94	-0.243
"YGL120C"	-2.077	-4.088	-5.111	-2.178	-1.783	-2.866	-3.888	-4.137	-0.048
"YGL207W"	-0.737	-2.137	-2.772	-1.089	-1.517	-2.2	-2.806	-2.861	0.234
"YGL245W"	-1.475	-4.799	-6.655	-1.589	-2.121	-3.552	-4.345	-4.779	0.162
"YGL246C"	-0.979	-2.83	-2.44	-1.452	-1.433	-1.976	-2.222	-2.971	0.536
"YGR001C"	-0.842	-2.12	-3.271	-0.879	-0.942	-1.426	-1.682	-2.24	-0.213
"YGR075C"	-0.263	-1.662	-2.026	-0.948	-0.945	-1.112	-1.161	-1.533	-0.326
"YGR145W"	-1.077	-2.133	-4.024	-1.897	-1.466	-2.519	-3.279	-3.084	0.609
"YGR165W"	-0.181	-2.409	-2.32	-0.101	-0.037	-0.836	-1.166	-1.152	0.117
"YGR171C"	0.209	-1.266	-1.682	0.115	0.022	-0.812	-0.987	-0.99	0.125
"YGR185C"	-2.13	-5.306	-6.361	-2.531	-2.944	-4.576	-4.871	-5.006	-0.273
"YGR200C"	-1.152	-2.863	-3.668	-1.274	-1.456	-1.861	-2.863	-2.446	-0.227
"YGR229C"	-1.164	-2.847	-4.256	-1.569	-1.658	-2.401	-2.58	-3.391	0.09
"YGR234W"	-2.175	-3.567	-3.847	-2.118	-3.518	-3.826	-4.345	-4.526	-0.864
"YGR261C"	-1.213	-2.682	-3.233	-1.125	-0.876	-1.657	-2.505	-2.45	0.465
"YHL003C"	-0.508	-2.186	-3.084	-0.886	-0.883	-1.585	-1.707	-1.741	-0.028
"YHR005C"	0.255	-1.947	-4.17	-0.574	-0.985	-2.115	-2.592	-2.519	0.121
"YHR013C"	-1.491	-1.576	-3.226	-1.73	-1.411	-2.229	-2.475	-3.122	0.152
