	"106.heat shock 05 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"12744.heat shock 17 to 37, 20 minutes"	"17473.Ca+FK 30min (5)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YBL087C"	-0.255	-2.471	-2.952	-3.207	-0.963	-1.8095	-1.1775	-0.607	-3.104	-2.104	-2.516	-2.924	-0.3485	-0.5	-2.933	-1.8755	-2.2155	-2.156	-1.5975	-2.161	-2.357	0.196	-3.395	-1.193	-2.265	-1.428	-1.617	-0.158	0.233	0.317	0.038
"YBR181C"	-0.07	-2.256	-3.249	-3.825	-1.387	-2.8855	-2.6035	-0.9905	-3.762	-3.798	-4.564	-3.3	-0.28	-0.477	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.2295	-3.584	-0.301666666666667	-2.931	-1.819	-2.158	0.106	0.245	0.094	-0.172
"YBR191W"	-0.154	-2.052	-3.136	-3.824	-1.355	-1.094	-3.071	-0.679	-3.54	-3.167	-5.241	-3.152	-0.555	-0.967	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.1555	-3.463	-0.532666666666667	-1.94	-0.907	-1.588	-0.674	-0.262	-0.412	-0.464
"YCR012W"	0.473	1.258	1.516	1.801	1.118	1.02	0.708	0.0245	-1.187	-2.988	-3.015	-0.641	0.455	0.503	-1.2795	0.4635	1.0615	0.1995	-2.19	-3.213	-4.0085	0.004	1.573	1.352	1.377	1.386	1.236	0.895	1.025	0.802	1.081
"YCR057C"	-2.014	-2.848	-2.984	-2.951	-1.99	-1.6635	-0.692	-0.3315	-5.726	-3.423	-5.109	-2.464	-1.78	-0.772	-1.667	-1.605	-1.7665	-1.5195	-1.962	-2.812	-2.1505	0.0055	-3.831	-1.0575	-2.66966666666667	-1.48266666666667	-2.12666666666667	-0.416	-0.686	-0.625	-0.561
"YDL148C"	-0.741	-2.868	-3.476	-2.829	-2.166	-1.64	-1.39	-0.602	-3.372	-2.269	-4.257	-2.168	-1.247	-0.27	-4.282	-1.828	-2.056	-2.139	-2.39	-2.527	-2.281	0.234	-3.488	-1.047	-2.998	-1.35	-1.648	-0.026	0.261	0.158	-0.134
"YDL191W"	-0.041	-1.445	-2.102	-2.434	-0.796	-2.056	-1.739	-0.606	-1.985	-2.737	-5.192	-2.911	-0.128	-0.487	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	0.158	-1.898	-0.4175	-2.167	-1.176	-1.135	0.514	0.73	0.044	0.418
"YDR161W"	-0.934	-2.329	-2.866	-2.687	-1.459	-2.047	-1.193	-0.325	-4.61	-2.842	-4.816	-1.842	-1.332	-0.816	-1.951	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	0.168	-2.248	-1.501	-2.194	-1.414	-1.468	-0.752	-0.432	-0.874	-0.979
"YDR312W"	-1.355	-2.086	-2.512	-2.345	-1.559	-1.579	-1.303	-0.058	-2.564	-2.612	-3.564	-1.829	-1.059	-0.18	-2.515	-1.444	-1.492	-1.373	-2.214	-2.451	-2.68	0.281	-3.04	-0.761	-2.314	-0.925	-1.418	-0.141	0.066	0.079	0.849
"YDR324C"	-1.662	-2.336	-3.184	-3.012	-2.096	-1.851	-0.909	-0.809	-3.361	-1.208	-4.131	-2.212	-1.56	-1.137	-2.573	-2.143	-2.391	-1.803	-2.77	-2.306	-3.071	-0.173	-3.609	-0.983	-2.29	-1.944	-1.5535	-0.2025	-0.426	-0.097	0.472
