	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"
"YBL028C"	-2.979	-4.375	-2.877	-3.969	-3.261	-2.701	-2.271	-2.02	-1.487	-0.969	-4.609	-4.867	-2.637	-3.002	-0.691	-2.6315	-1.703	-0.349	-0.471	-0.164	-1.709	-1.779	-2.667	-2.101	-1.339	-4.011	-1.139	-1.695	-2.074	-2.529
"YBR142W"	-3.45	-2.326	-2.492	-2.93	-2.567	-1.611	-1.523	-1.681	-1.279	-1.104	-2.447	-4.241	-1.661	-1.893	NaN	-2.4525	-1.297	-0.304	-0.224	-0.352	-1.535	-1.263	-1.884	-1.454	-0.234	-2.999	-1.6405	-0.4105	-4.931	-3.06
"YBR247C"	-4.052	-3.103	-2.541	-3.015	-3.19	-3.127	-2.334	-2.222	-1.672	-1.243	-3.42	-3.969	-2.429	-3.12	-0.913	-3.3455	-2.109	-0.19	-0.204	-0.619	-1.793	-1.811	-2.939	-1.846	-1.363	-2.961	-1.473	-1.241	-2.974	-1.576
"YCL053C"	-2.892	-2.571	-2.61	-3.477	-3.061	-2.015	-2.08	-1.822	-1.478	-1.163	-4.013	-4.22	-2.871	-2.694	-0.521	-2.553	-1.561	-0.443	-0.44	-0.808	-1.515	-1.453	-1.829	-1.193	-1.206	-3.2	-1.353	-0.64	-1.143	-1.866
"YCL059C"	-3.484	-4.242	-3.611	-4.218	-3.675	-1.901	-2.587	-2.904	-2.397	-1.424	-4.786	-5.277	-2.731	-2.27	-0.817	-3.4015	-1.379	-0.454	-0.641	-0.02	-1.583	-1.281	-2.524	-2.535	-0.821	-4.664	-1.366	-0.559	-2.908	-4.436
"YCR055C"	-4.1	-3.895	-3.121	-3.998	-3.454	-3.998	-2.922	-2.786	-1.986	-1.367	-6.518	-6.433	-3.38	-3.796	-0.563	-2.6155	-2.259	-0.104	-0.067	-0.907	-1.554	-1.936	-2.904	-2.096	-1.54	-4.055	-1.781	-0.908	NaN	NaN
"YDL152W"	-3.304	-2.782	-2.848	-3.132	-2.053	-0.334	-1.978	-2.227	-1.701	-1.526	-1.821	-1.476	-0.497	-1.091	-0.707	-2.301	-1.512	-0.524	-0.372	-0.357	-1.458	-1.397	-2.319	-1.539	-0.699	-3.422	-1.897	-0.913	-4.602	-3.722
"YDL153C"	-4.549	-4.333	-3.047	-4.369	-3.668	-2.643	-2.992	-2.998	-2.31	-1.684	-3.698	-2.931	-2.125	-2.307	-0.682	-2.633	-1.894	-0.415	-0.619	-0.495	-1.592	-1.669	-2.642	-2.132	-1.029	-4.079	-1.621	-1.232	-2.5	-5.47
"YDL167C"	-2.982	-3.3	-1.628	-2.786	-2.868	-2.111	-2.256	-2.074	-1.328	-0.853	-4.321	-4.001	-2.936	-3.298	-0.33	-3.084	-1.772	-0.168	-0.262	-0.84	-1.505	-1.4	-1.538	-1.102	-1.266	-2.283	-0.903	-0.584	-2.303	-3.364
"YDR097C"	-1.67	-2.079	-1.555	-2.085	-1.692	-1.246	-1.051	-1.372	-1.049	-0.707	-1.696	-2.765	-1.081	-0.98	0.247	-2.379	-0.879	0.036	0.191	-0.249	-0.494	-0.369	-0.443	-0.831	-0.257	-1.966	-0.059	0.351	-1.385	-1.3965
