	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"33776.DBY8778(wt)_stationary_phase_1day"
"YBL022C"	-1.108	-2.268	-0.3795	-0.543333333333333	-1.36966666666667	-2.08366666666667	0.252
"YBL036C"	-0.869	-2.848	-0.641	-0.736	-1.091	-1.0785	0.628
"YBL040C"	-1.585	-3.288	-1.261	-1.5345	-1.6035	-2.3045	-0.028
"YBR017C"	-1.621	-2.961	-1.018	-1.7435	-1.8555	-1.7945	-0.398
"YBR082C"	-2.746	-3.456	-0.797	-1.767	-2.379	-2.5995	-0.174
"YBR096W"	-2.825	-3.347	-1.3	-1.829	-1.7925	-2.066	-0.336
"YBR143C"	-3.195	-4.642	-2.012	-2.698	-2.699	-3.572	-1.579
"YBR154C"	-3.531	-4.423	-1.73	-2.6225	-3.012	-3.8995	-1.572
"YBR172C"	-1.605	-3.593	-0.763	-1.176	-1.6515	-1.648	-0.314
"YBR234C"	-3.064	-3.956	-0.697	-0.974	-1.2525	-1.682	-0.528
"YCL050C"	-2.331	-2.647	-1.271	-1.845	-2.758	-2.172	-1.697
"YCL057W"	-1.278	-3.12	-0.76	-1.0735	-1.5655	-1.6815	-0.507
"YCR002C"	-3.669	-5.182	-0.658	-2.564	-2.9535	-2.7005	-0.932
"YCR012W"	-2.988	-3.015	-1.232	-2.19	-3.213	-4.0085	-0.05
"YCR013C"	-3.099	-5.566	-1.264	-1.827	-2.591	-3.6275	-0.677
"YCR053W"	-3.556	-4.283	-1.41	-2.429	-3.1075	-2.714	-1.4795
"YCRX04W"	-0.925	-2.1	-0.496	-1.319	-1.583	-1.54	-0.063
"YDL018C"	-1.425	-1.767	0.051	-0.8275	-1.2215	-1.6745	0.609
"YDL084W"	-2.134	-4.827	-1.38	-1.626	-2.01	-2.373	-0.526
"YDL126C"	-0.234	-2.624	-0.11	-0.679	-1.421	-2.099	0.271
"YDL185W"	-2.522	-4.417	-1.308	-1.557	-2.084	-3.0	-0.112
"YDR002W"	-2.756	-4.542	-1.99	-1.672	-2.746	-2.987	-0.44
"YDR023W"	-2.907	-5.745	-1.813	-3.056	-3.357	-3.85	-1.512
"YDR037W"	-4.551	-5.224	-2.756	-2.916	-3.368	-3.772	-2.4
"YDR044W"	-2.007	-2.624	-0.777	-1.644	-2.341	-2.111	-0.394
"YDR050C"	-1.84	-5.94	-2.158	-2.206	-2.643	-3.307	0.176
"YDR071C"	-2.459	-4.374	-0.581	-1.937	-3.125	-2.557	0.089
"YDR189W"	-1.871	-2.842	-0.824	-1.597	-1.904	-2.063	-0.8125
"YDR209C"	-1.955	-5.369	-1.363	-1.769	-2.61	-2.151	-0.254
"YDR212W"	-1.862	-4.59	-1.291	-1.535	-1.828	-1.707	-0.809
"YDR324C"	-1.208	-4.131	-1.118	-2.77	-2.306	-3.071	-1.1035
"YDR341C"	-3.212	-5.262	-2.134	-3.262	-3.294	-3.559	-1.199
"YDR416W"	-0.62	-2.837	0.424	-0.66	-1.059	-1.425	-0.108
"YDR427W"	-1.953	-4.214	-0.547	-1.642	-1.996	-2.388	-0.1475
"YDR454C"	-2.876	-4.275	-2.414	-1.835	-2.466	-2.28	-0.843
"YEL042W"	-3.201	-4.334	-1.329	-1.896	-2.665	-3.071	-1.69
"YER006W"	-2.345	-4.571	-1.673	-2.195	-2.03	-3.232	-0.441
"YER031C"	-1.835	-4.144	-1.251	-0.886	-1.885	-1.955	-0.432
"YER086W"	-3.61	-5.173	-2.311	-2.624	-2.882	-3.77	-0.089
"YER090W"	-3.804	-5.004	-1.889	-2.327	-2.585	-3.495	-0.789
"YER105C"	-1.921	-3.477	-0.29	-1.462	-2.363	-2.555	0.24
"YER107C"	-1.533	-2.516	-0.792	-1.136	-1.224	-1.828	0.165
"YER176W"	-0.731	-1.3	0.158	-0.55	-0.839	-0.942	0.097
"YFL039C"	-2.57	-3.733	-1.117	-1.583	-2.201	-2.764	-0.995
"YFR009W"	-3.004	-4.932	-1.586	-3.291	-3.978	-4.281	0.071
"YGL065C"	-1.909	-2.778	-0.555	-1.365	-1.862	-2.045	-0.461
"YGL157W"	-3.578	-6.107	-1.999	-2.488	-2.817	-3.666	-2.46
"YGL238W"	-1.585	-4.337	-1.39	-1.654	-1.937	-2.674	-0.035
"YGR135W"	-1.553	-4.32	-0.99	-1.689	-1.765	-1.935	-0.567
"YGR175C"	-3.074	-4.5	-1.563	-2.53	-2.628	-3.285	-0.124
"YGR185C"	-5.306	-6.361	-2.6	-4.576	-4.871	-5.006	-2.136
"YGR199W"	-1.35	-2.439	-0.835	-1.2	-1.04	-1.731	-0.432
"YGR229C"	-2.847	-4.256	-1.987	-2.401	-2.58	-3.391	-0.209
"YGR254W"	-3.348	-5.012	-1.4645	-1.0355	-1.285	-3.4445	-0.563
"YGR272C"	-1.578	-3.376	-0.993	-2.035	-2.261	-1.898	-0.237
"YHL030W"	-1.9605	-1.738	0.185	-1.606	-1.5635	-1.8035	-0.4145
"YHR013C"	-1.576	-3.226	-1.55	-2.229	-2.475	-3.122	-0.109
"YHR019C"	-4.051	-5.077	-2.664	-3.117	-3.721	-4.387	-0.949
"YHR064C"	-3.329	-5.238	-2.559	-2.957	-3.678	-3.675	-1.183
"YHR107C"	-3.369	-2.898	-0.939	-1.982	-2.205	-2.843	-0.343
"YHR121W"	-1.976	-4.718	-0.94	-1.573	-1.881	-1.852	-0.217
"YHR128W"	-4.967	-6.006	-3.361	-3.191	-3.494	-3.516	-0.956
"YHR129C"	-1.396	-2.678	-0.85	-1.528	-1.313	-1.867	-1.018
"YHR133C"	-1.885	-3.501	-1.622	-1.64	-1.82	-2.45	-0.517
"YHR174W"	-2.562	-5.41	-1.459	-0.766	-1.016	-3.303	-0.518
"YHR201C"	-1.811	-4.155	-1.009	-1.103	-1.632	-2.134	-1.041
"YIL044C"	-1.784	-2.248	-0.621	-1.033	-1.385	-1.612	-0.555
"YIL096C"	-1.96	-3.119	-0.843	-1.288	-1.637	-1.667	-1.446
"YJL001W"	-1.217	-4.027	-0.534	-1.137	-1.689	-1.304	0.366
"YJL002C"	-2.469	-4.487	-1.766	-1.748	-2.556	-2.618	-0.236
"YJL014W"	-2.624	-3.962	-1.425	-2.252	-3.068	-2.866	-1.024
"YJL034W"	-1.542	-3.805	-1.051	-2.417	-3.286	-3.187	0.77
"YJL138C"	-3.125	-5.625	-1.674	-2.542	-2.785	-3.522	-0.978
"YJL167W"	-2.323	-7.538	-1.667	-2.066	-2.855	-2.924	-0.604
"YJL180C"	-1.044	-3.244	-0.248	-0.751	-1.187	-1.462	0.252
"YJR076C"	-2.55	-4.614	-1.375	-1.815	-2.814	-3.117	-0.042
"YKL056C"	-3.426	-5.119	-2.371	-2.754	-3.265	-3.483	-1.084
"YKL073W"	-2.672	-3.282	-1.264	-2.148	-2.623	-3.195	-1.566
"YKL080W"	-4.229	-5.94	-1.461	-2.874	-2.944	-2.866	-1.51
"YKL126W"	-1.529	-2.583	-0.595	-0.921	-1.361	-1.517	-0.417
"YKL152C"	-3.152	-4.943	-2.237	-1.713	-1.83	-2.83	-0.33
"YKL153W"	-3.54	-5.051	-2.882	-1.986	-2.039	-2.818	0.054
"YKR001C"	-2.222	-5.109	-0.213	-2.374	-2.626	-3.069	-0.668
"YKR026C"	-2.863	-3.755	-1.657	-1.858	-2.363	-2.231	-0.992
"YKR028W"	-2.477	-4.381	-0.908	-1.296	-1.963	-2.574	-0.786
"YKR059W"	-2.817	-4.998	-2.531	-2.623	-2.96	-3.568	-0.738
"YKR088C"	-0.752	-2.175	-0.434	-0.652	-1.04	-1.027	-0.353
"YLL011W"	-1.781	-4.961	-1.708	-2.156	-2.442	-2.375	-1.132
"YLL024C"	-2.574	-5.009	-1.621	-2.804	-3.024	-3.122	-0.634
"YLR049C"	-1.37	-2.816	-1.238	-1.108	-1.373	-2.142	-0.395
"YLR056W"	-3.197	-3.977	-1.625	-2.642	-2.935	-3.507	-1.33
"YLR057W"	-1.719	-4.294	-0.957	-1.683	-1.94	-2.121	-0.963
"YLR060W"	-4.941	-5.967	-2.672	-3.118	-3.713	-4.371	-1.403
"YLR064W"	-1.351	-3.247	-0.418	-0.821	-1.41	-2.424	0.667
"YLR089C"	-1.165	-3.137	0.897	-1.25	-1.113	-1.459	-0.647
"YLR314C"	-2.218	-5.585	-1.368	-2.906	-3.447	-3.937	-2.039
"YLR441C"	NaN	-12.655	-3.241	-3.329	-3.986	-4.389	-2.531
"YML074C"	-2.837	-5.319	-1.664	-2.826	-3.214	-3.466	-1.074
"YMR015C"	-3.115	-4.638	-0.809	-2.837	-3.222	-4.784	-0.299
"YMR091C"	-1.458	-4.005	-1.052	-1.396	-2.09	-2.24	-1.079
"YMR092C"	-1.311	-3.503	-0.987	-1.246	-1.529	-2.055	0.825
"YMR099C"	-1.645	-5.036	-0.43	-0.713	-1.558	-1.892	0.317
"YMR146C"	-1.725	-4.642	-1.791	-1.793	-1.962	-3.093	-0.337
"YMR186W"	-0.787	-4.873	-0.326	-2.302	-3.197	-3.507	1.164
