	"497.Heat Shock 000 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1313.diauxic shift timecourse: 20.5 hr"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7538.25C -- 60 min"	"8204.steady state 29 dec C"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"14946.Hydrostatic pressure (C2 vs P2)"	"16338.DES460 vs. DES460 YPD log phase control"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30773.Pomona/Brown Sir3x red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34362.batch 02X25 5"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YBR079C"	-0.1205	0.584	0.046	-0.128	0.644	0.638	-0.539	-2.406	-1.379	-0.936	-1.806	-4.79	-1.533	-1.664	-1.68	-2.308	-2.741	-1.661	-2.5405	-1.965	-2.9905	-2.7575	0.166	-1.367	-0.267	-0.0865	-0.282	-0.539	-0.3685	0.034	-0.0525	0.495	-1.048	0.109	0.822	-1.519	-0.307	-1.325	-1.8995	-1.632	-1.8935	0.506	-0.07	0.322	0.138	-1.984	-3.148	-2.207	-2.231	-2.621	-2.216	-1.842	-2.317	-2.556	-2.08	-1.972	-0.583	-1.764	-3.168	-1.779	-1.658	-1.33	-3.324	-2.291
"YBR121C"	0.801	0.666	0.214	0.007	0.701	0.752	-0.7425	-2.66	-1.84	-2.186	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.015	-1.406	-0.339	-0.1215	-0.535	-0.152	-0.2815	0.03	-0.016	-0.031	1.139	0.316	0.053	-2.249	-0.478	-2.5385	-2.551	-2.637	-2.6705	0.799	0.17	0.06	0.12	-2.28	-1.923	-1.524	-1.875	-2.122	-2.086	-2.549	-2.264	-1.806	-1.543	-2.181	-0.079	-0.947	-1.799	-1.562	-1.674	-1.587	-1.532	-1.042
"YBR162C"	0.7495	0.39	-0.444	0.647	1.171	0.958	-1.0775	-0.529	-0.639	-2.459	-3.095	-2.678	-1.015	-1.228	-2.766	-0.956	-1.4575	-1.986	-3.0025	-3.2055	-3.1195	-3.068	0.139	-1.147	-0.339	0.0275	-0.381	0.041	0.274	0.305	-0.1285	0.099	1.385	0.545	0.094	-2.557	-0.518	-2.6965	-3.1235	-2.8795	-2.3155	0.718	-0.367	0.034	0.095	-1.816	-1.641	-1.87	-2.186	-1.605	-2.079	-2.025	-1.951	-1.715	-1.002	-2.296	0.337	-0.808	-3.097	-2.423	-2.786	-2.941	-3.22	-1.133
"YCR034W"	1.0075	-0.085	-0.462	0.317	1.011	0.917	-0.666	-2.623	-1.309	-1.912	-3.204	-4.331	-2.664	-2.639	-1.895	-2.489	-2.5505	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	0.04	-1.239	-0.756	0.2975	-0.796	0.205	-0.1965	-0.224	-0.3065	-0.291	0.971	0.294	0.107	-1.8	-0.282	-2.646	-2.198	-2.761	-2.5975	0.205	0.134	0.409	0.06	-1.33	-2.614	-1.441	-1.408	-1.532	-2.19	-3.552	-2.544	-3.226	-1.806	-1.743	0.052	-1.656	-2.872	-2.486	-2.179	-2.013	-2.607	-1.721
"YCR053W"	0.3425	-0.028	-0.37	-0.076	0.371	0.291	-0.5515	-2.562	-1.828	-1.707	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-2.5805	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.251	-1.321	0.304	-0.025	-0.073	-0.037	-0.437	0.175	0.2285	0.466	0.444	0.449	0.522	-1.451	-0.033	-1.6735	-1.907	-1.727	-1.764	0.197	-0.099	0.044	0.252	-0.892	-1.5505	-1.1685	-1.1875	-1.6075	-0.9855	-2.722	-2.601	-2.51	-2.2205	-2.352	-0.443	-0.713	-1.3325	-1.2405	-1.522	-1.0855	-1.745	-1.1015
"YDR023W"	0.322	0.363	0.049	-0.076	0.568	0.525	-0.578	-1.814	-2.122	-2.164	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-3.05	-1.553	-2.313	-3.056	-3.357	-3.85	0.229	-1.135	-0.074	-0.019	-0.45	-0.076	0.026	0.024	-0.068	0.025	0.799	0.283	-0.069	-2.091	-0.465	-1.396	-1.983	-2.106	-1.812	0.12	0.188	-0.283	0.282	-1.677	-2.218	-1.612	-1.894	-1.246	-1.391	-2.302	-1.458	-1.66	-0.861	-1.86	0.51	-1.171	-1.233	-0.925	-1.188	-1.255	-1.865	-0.762
"YDR158W"	0.567	-0.66	-1.043	0.129	0.311	0.286	-0.498	-1.349	-1.008	-1.356	-3.546	-5.115	-1.263	-1.689	-1.965	-1.881	-1.393	-0.996	-1.763	-3.109	-3.802	-4.509	-0.193	-0.581	-0.55	0.129	-0.334	0.153	0.215	0.207	0.493	-0.297	0.775	0.352	0.128	0.253	-0.351	-2.13	-1.682	-1.935	-1.614	0.268	0.165	0.504	-0.157	-3.16	-2.786	-2.476	-2.774	-2.884	-3.011	-2.154	-1.805	-1.752	-1.359	-1.966	0.063	-0.802	-2.849	-2.745	-3.156	-2.35	-2.832	-2.004
"YDR262W"	0.08	-0.0915	-0.298	-0.0135	-0.067	-0.017	0.8695	1.7335	1.8585	2.6665	3.3725	2.869	1.014	1.473	1.6855	1.6875	2.2555	3.0895	3.2615	4.491	4.8085	4.03	-0.0275	1.36	-0.279	0.1505	-0.4055	0.192	0.3055	-0.0015	0.1605	-0.359	0.3035	-0.236	-0.646	2.2315	-0.2245	2.226	2.8725	2.6455	3.067	-0.791	0.2175	-0.14	-0.2305	1.69	1.7205	1.854	2.2475	1.8935	1.645	2.14	2.6925	2.334	2.1775	2.708	-0.29	1.5025	-0.258	1.0145	1.2705	0.9105	1.545	1.1155
"YDR309C"	0.646	-0.391	-0.466	-0.313	0.538	0.339	0.25	-1.747	-0.496	-2.61	-1.256	-2.394	-1.978	-1.682	-2.231	-2.547	-0.72	-1.435	-3.069	-3.38	-3.735	-3.704	0.098	-0.373	-0.362	-0.507	-0.492	-0.201	0.307	-0.067	0.016	-0.152	-0.061	-0.07	-0.018	-1.955	-0.047	-3.065	-2.704	-2.499	-2.25	0.049	-0.126	-0.294	0.085	-1.249	-1.709	-3.554	-2.531	-2.876	-1.997	-1.226	-1.667	-1.254	-0.02	-1.18	0.484	-0.688	-1.026	-2.933	-2.969	-2.972	-2.603	-0.268
"YER003C"	0.064	-0.07	-0.355	0.155	0.298	0.265	-0.468	-2.114	-0.687	-0.405	-2.213	-3.453	-1.159	-1.648	-2.174	-1.49	-2.515	-1.14	-1.544	-2.241	-2.079	-1.818	0.248	-0.402	-0.041	0.183	-0.062	0.213	0.373	0.054	0.235	0.54	0.119	0.596	0.231	-0.626	0.1785	-2.317	-1.997	-2.548	-2.304	0.635	-0.0815	-0.0225	0.0485	-0.308	-0.36	-0.821	-1.281	-1.17	-1.827	-1.738	-1.354	-1.453	-0.895	-1.167	0.029	-0.784	-2.51	-1.971	-1.526	-1.726	-1.422	-0.691
