	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAR071W"	-5.43	0.427
"YBR015C"	-2.932	-0.161
"YBR093C"	-4.597	1.398
"YBR106W"	-5.052	NaN
"YCR002C"	-5.182	2.551
"YCR054C"	-2.7445	0.761
"YDR017C"	-4.141	1.245
"YDR211W"	-4.77	0.4075
"YDR281C"	-2.827	2.618
"YDR295C"	-3.1075	1.614
"YDR303C"	-7.617	1.143
"YDR454C"	-4.275	1.93
"YDR498C"	-2.741	1.508
"YDR527W"	-2.609	0.523
"YEL056W"	-2.812	-0.3655
"YER001W"	-1.196	1.621
"YER014W"	-3.161	1.5335
"YER059W"	-3.349	2.031
"YER154W"	-2.976	1.225
"YER177W"	-3.387	0.2515
"YFL022C"	-4.867	1.491
"YGL014W"	-2.189	1.279
"YGL022W"	-4.268	2.888
"YGL115W"	-3.416	0.777
"YGR120C"	-4.938	-0.0315
"YGR135W"	-4.32	0.938
"YGR271W"	-1.5475	0.4025
"YHL003C"	-3.084	1.985
"YHR039BC"	-4.183	-0.648
"YHR068W"	-6.532	2.683
"YHR072W"	-3.144	1.747
"YHR185C"	-2.906	0.717
"YIL039W"	-4.517	-1.524
"YIL062C"	-3.897	1.216
"YIR008C"	-4.516	-1.05
"YJL076W"	-3.07	0.254
"YJL087C"	-2.16	-0.743
"YJL167W"	-7.538	-1.136
"YJR042W"	-1.7805	0.236
"YJR068W"	-3.298	0.593
"YJR069C"	-4.151	2.077
"YJR101W"	-2.4895	1.406
"YKL024C"	-5.4	1.24
"YKL080W"	-5.94	5.981
"YKL122C"	-4.576	-0.762
"YKL215C"	-3.1265	1.0855
"YKL216W"	-5.553	0.69
"YLL018C"	-5.451	2.07
"YLR021W"	-4.075	0.633
"YLR057W"	-4.294	-0.389
"YLR167W"	-4.496	1.37
"YLR188W"	-2.848	1.487
"YLR200W"	-5.209	0.698
"YLR229C"	-2.868	1.295
"YLR292C"	-3.717	0.464
"YLR314C"	-5.585	0.433
"YLR412W"	-4.156	0.358
"YLR428C"	-3.926	0.392
"YLR430W"	-1.768	0.7385
"YLR450W"	-3.7345	0.659
"YML031W"	-3.953	2.763
"YML037C"	-3.869	-0.015
"YML103C"	-1.519	1.368
"YMR067C"	-3.054	0.621
"YMR132C"	-2.963	0.499
"YMR146C"	-4.642	-0.177
"YMR153W"	-3.838	-0.604
"YMR237W"	-4.233	2.0155
"YMR268C"	-3.2055	1.80433333333333
"YNL001W"	-3.241	1.5395
"YNL035C"	-4.036	0.706
"YNL071W"	-4.774	0.601
"YNL098C"	-1.942	0.7325
"YNL154C"	-3.909	1.5795
"YNL291C"	-4.479	-0.929
"YNR021W"	-4.4025	0.797
"YNR075W"	-2.3245	1.034
"YOL006C"	-2.867	2.303
"YOR029W"	-1.469	0.185
"YOR207C"	-9.516	2.32
"YOR218C"	-3.602	1.927
"YOR253W"	-5.157	-2.311
"YOR270C"	-4.932	0.348
"YOR277C"	-4.571	1.519
"YOR320C"	-3.6785	0.604
"YOR323C"	-6.434	1.176
"YOR346W"	-1.017	0.668
"YPL019C"	-3.7275	0.755
"YPL081W"	-6.801	0.959
"YPL145C"	-4.3865	1.524
"YPL218W"	-3.296	0.983
"YPL227C"	-5.218	0.023
"YPL237W"	-5.7585	1.209
"YPL241C"	-3.6825	2.079
"YPR019W"	-3.1305	1.554
"YPR021C"	-2.3645	0.015
"YPR041W"	-4.07266666666667	3.789
"YPR141C"	-3.8215	0.536
"YPR148C"	-3.536	0.914
"YPR169W"	-3.2805	1.506
