	"52.Elutriation2:Sample2:Time1.5hrs"	"53.Elutriation2:Sample2:Time2.0hrs"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"865.Amino acid + adenine starvation 6 h"	"866.starv_in_H2O_0.5_h_30C"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1673.alpha factor release sample021"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4872.1M sorbitol - 60 min"	"7530.DBY msn2msn4 37C - 20 min"	"8229.dtt 030 min"	"11466.yO1 test hyb"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"32255.DBY8778_heat_shock2_60min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"
"YBL015W"	0.383	-0.203	1.204	5.024	5.917	6.238	5.529	5.067	5.683	3.23	0.26	3.054	-0.023	4.465	4.511	3.428	2.5535	2.011	3.164	-0.301	0.893	0.497	-0.135	-0.612	-0.101	4.433	-0.205	-0.853	0.622	0.085	0.531	2.919	4.406	4.118	3.333	4.665	4.922	4.309	2.555
"YBL027W"	0.4105	0.9215	-1.417	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-0.133	-1.199	0.139	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	0.159	-0.117	0.4805	-0.007	-0.337	0.751	-1.6965	0.281	-0.537	-0.262	-0.494	-0.233	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-2.291	-0.986
"YBL045C"	0.567	0.2975	1.116	3.101	4.028	3.638	3.076	2.249	2.603	1.267	0.954	1.864	0.914	3.2575	3.188	2.0735	1.924	1.3485	1.667	-0.473	0.496	0.4105	-0.2445	-0.491	-0.154	1.36	-0.131	-1.679	-0.172	0.911	0.715	2.683	3.265	2.973	2.474	3.277	3.303	2.891	2.138
"YBL100C"	0.322	0.347	0.517	2.251	2.716	2.874	2.644	1.176	1.515	0.064	-0.02	1.201	0.4755	2.673	2.397	1.435	1.0975	1.242	0.7975	0.086	-0.501	0.085	0.057	-0.491	-0.183	0.776	-0.564	-1.422	0.17	1.034	0.785	1.997	2.585	2.447	1.342	2.587	2.71	1.667	1.06
"YDL004W"	0.128	0.35	0.668	1.917	2.735	2.739	2.247	1.694	2.654	1.639	0.394	1.338	0.3645	2.575	2.182	1.531	1.7525	1.405	0.8015	-0.163	-0.048	0.717	-0.063	-0.832	0.245	1.036	0.128	-1.614	-0.568	0.295	0.642	1.85	2.842	2.421	1.8	2.409	2.622	2.317	1.188
"YDL082W"	0.742	0.724	-1.271	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-0.431	-1.504	0.244	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	0.116	0.078	0.589	0.063	-0.644	0.446	-1.852	0.4795	-0.2415	-0.627	-0.579	0.209	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	-3.155	-1.687
"YDR025W"	0.849	0.868	-1.096	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-0.41	-1.997	0.209	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	0.648	-0.118	0.662	-0.035	-0.926	0.308	-1.7675	0.193	-0.3125	-0.426	-1.126	0.081	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	-1.535
"YDR037W"	0.504	0.459	-0.89	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-0.447	-1.483	-0.01	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	0.349	-0.126	-0.079	-0.13	-0.599	0.618	-2.523	-0.006	-0.437	-0.31	0.516	0.186	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204	-3.047	-1.915
"YDR064W"	0.576	0.513	-0.84	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-0.718	-1.745	0.106	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	0.045	0.083	-0.028	-0.36	-0.652	0.5	-1.996	0.308	-0.76	-0.035	-0.135	-0.432	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	-2.842	-1.898
"YDR148C"	0.537	0.041	0.662	2.92	3.978	3.726	3.633	2.151	3.152	1.873	0.006	1.233	0.256	3.077	3.112	2.886	3.127	2.367	2.21	0.033	0.803	0.785	-0.124	-0.141	-0.14	2.724	0.113	-1.948	-0.034	-0.01	-0.161	2.437	3.376	2.708	2.528	3.96	3.729	2.598	2.216
