	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"842.1.5 mM diamide (90 min)"	"961.1 mM Menadione (20 min) redo"	"4872.1M sorbitol - 60 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13098.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"17695.Missouri Western State College Galactose Cy5 (exp 1)"	"21654..24 mM H2O2- 275 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33259.delKIN82_heat shock _15min"	"38146.03II01 batch p2"	"40957.H2O2_II_120_min"
"YCL054W"	-3.412	-3.545	-2.942	-1.717	-1.013	-2.871	-3.741	-3.668	-1.939	-2.492	-1.974	-1.659	-1.3	-0.506	-0.592	0.121	-0.648	-4.039	-1.249	0.212	-0.559	0.265	-3.522	-4.037	-2.713	-2.712	-1.651	-3.835	1.369	-0.393
"YDL153C"	-2.245	-4.549	-4.333	-1.678	-1.723	-3.047	-4.369	-3.668	-1.9	-2.992	-2.998	-2.31	-1.684	-0.7	-0.362	0.179	-0.739	-4.079	-0.32	0.664	-0.298	-0.861	-1.446	-2.5	-2.189	-0.93	0.609	-1.85	0.593	-0.638
"YDL222C"	4.852	5.532	5.486	4.18	3.112	4.452	4.933	5.493	0.883	3.042	1.765	3.588	2.273	0.861	0.517	0.084	0.549	5.7	-0.017	-1.048	1.153	0.15	4.903	5.632	3.848	2.424	4.032	4.011	-0.941	0.267
"YDR091C"	-2.003	-2.613	-2.435	-0.656	-0.948	-2.061	-2.869	-2.781	-1.206	-1.892	-1.854	-1.327	-0.911	-0.63	0.704	0.11	-0.225	-2.972	-0.202	1.08	-0.284	-0.612	-2.997	-2.978	-1.412	-2.647	-1.764	-3.163	0.132	-0.805
"YDR214W"	2.983	3.288	3.22	2.77	1.895	2.974	3.762	3.927	2.004	2.267	1.956	1.519	1.674	1.687	-0.995	-0.111	0.256	4.421	-0.5195	0.697	0.4695	-0.002	3.708	4.086	3.254	2.051	2.231	3.288	0.102	-0.471
"YDR380W"	4.069	5.331	4.696	2.954	2.659	4.835	5.562	5.325	1.898	3.397	3.521	2.839	2.121	0.103	-0.314	-0.326	0.424	5.956	0.686	0.903	1.541	1.086	3.142	4.633	2.861	2.026	1.947	3.687	-0.487	-0.237
"YDR398W"	-4.395	-5.035	-4.358	NaN	-1.272	-3.115	-4.082	-3.388	-2.086	-2.576	-1.783	-1.42	-0.783	-0.275	-0.893	0.385	-0.437	-4.269	0.349	0.48	0.852	-0.299	-3.627	-4.76	-2.67	-1.872	-0.865	-1.871	-0.425	-0.931
"YDR496C"	-2.7945	-5.251	-3.9025	-2.571	-2.1745	-3.671	-4.953	-4.7405	-2.547	-3.2695	-2.809	-2.2355	-1.793	-0.7185	-0.827	0.0765	-1.22	-5.1875	0.1235	0.6185	-0.9155	-1.0585	-3.598	-3.216	-2.317	-1.389	-1.064	-1.02	0.921	-0.616
"YER037W"	3.6	3.495	3.397	1.996	2.132	3.311	3.628	3.186	1.49	1.944	2.238	2.565	2.53	0.835	1.491	0.042	-0.76	2.511	-0.125	-0.695	-0.253	0.161	2.648	3.656	3.779	2.477	3.011	3.344	0.21	1.451
"YGR127W"	1.8105	2.0945	2.0255	0.702	1.0975	1.6685	2.161	2.077	0.75	1.326	1.017	1.262	0.549	0.17	0.727	-0.1	-0.077	2.175	0.3815	-0.137	-0.174	0.1035	1.948	3.264	1.572	1.416	NaN	2.493	-0.386	0.1385
