	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12742.Nitrogen Depletion 2 h"	"13066.Na/Na+FK 30min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"
"YBL072C"	0.238	1.377	-3.192	-6.241	-1.39	-0.458	-3.188	-3.091	-2.5865	-2.5245	-3.2065	-4.2	0.266	-2.524	-2.2175	-1.4775	-1.565	-1.196	-1.021	0.819	0.785	0.809
"YBR143C"	0.158	0.926	-3.195	-4.642	-0.561	-0.249	-2.012	-2.112	-2.659	-2.698	-2.699	-3.572	-0.175	-1.699	-1.91	-1.8905	-1.8585	-1.737	-0.2665	0.389	0.312	0.318
"YBR191W"	0.485	1.388	-3.167	-5.241	-0.961	-0.337	-2.563	-2.467	-2.5175	-2.3795	-2.6255	-3.136	0.19	-1.3105	-2.3065	-1.482	-1.676	-0.8885	-0.9665	0.7125	0.67	0.811
"YBR288C"	0.025	0.491	-2.229	-3.524	0.193	0.203	-0.751	-1.088	-1.1005	-1.2605	-1.978	-1.688	0.231	-0.958	-0.665	-0.609	-0.8595	-0.285	-0.1555	0.088	0.066	-0.061
"YDL082W"	0.531	1.092	-3.326	-5.816	-1.193	-0.431	-1.18	-2.105	-2.182	-2.186	-3.001	-3.589	0.271	-1.852	-2.121	-0.983	-1.38	-1.088	-0.555	0.9415	0.7505	0.783
"YDL185W"	-0.285	-0.166	-2.522	-4.417	0.36	0.173	-1.308	-2.012	-0.701	-1.557	-2.084	-3.0	-0.239	-0.976	-1.032	-1.111	-1.225	-1.572	-0.287	-0.306	-0.258	-0.402
"YDR064W"	0.244	0.993	-3.761	-5.03	-1.244	-0.718	-2.511	-2.495	-2.943	-2.527	-2.531	-3.199	0.039	-1.996	-2.002	-1.235	-1.554	-0.987	-1.251	0.364	0.6645	0.914
"YDR341C"	0.103	0.703	-3.212	-5.262	-0.356	-0.347	-2.134	-2.218	-2.263	-3.262	-3.294	-3.559	0.046	-1.562	-1.663	-1.444	-1.45	-1.573	-0.185	-0.059	0.019	-0.077
"YDR454C"	0.197	1.002	-2.876	-4.275	-0.808	-0.127	-2.414	-2.283	-1.534	-1.835	-2.466	-2.28	0.059	-1.702	-1.232	-1.295	-1.888	-1.473	-0.141	0.464	0.711	0.436
"YEL042W"	-0.184	-0.631	-3.201	-4.334	-0.301	-0.045	-1.329	-1.924	-1.658	-1.896	-2.665	-3.071	-0.185	-1.2195	-1.754	-1.366	-1.753	-1.736	-0.553	0.737	0.958	0.406
