	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YBL027W"	-0.2765	-0.136	-0.2855	0.1045	0.167	0.41	0.183	-0.054	-2.395	-1.979	-1.98	-1.956	-2.978	-3.487	-0.259	-0.091	-0.596	-1.417	-2.0365	-1.5715	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-1.996	-2.494	-2.654	-2.507	-2.33	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.497	0.0945	0.325	-0.0165	-0.0485	-1.048	-2.107	0.159	-1.198	-1.547	-1.926	-2.091	-1.6965	-2.031	-0.7525	-1.3565	-3.078	-2.107	-0.9	-3.528	-3.012	-3.351	-3.139	-2.319	-2.291	-2.736	-1.499
"YBR034C"	-0.771	-0.968	-0.6365	-0.3635	-0.069	-0.177	0.03	-0.156	-3.193	-2.964	-2.277	-2.426	-3.138	-3.33	-0.2105	-0.0105	-0.75	-2.042	-0.843	-0.7125	-3.091	-2.072	-1.817	-1.906	-2.47	-2.349	-1.758	-3.523	-1.338	-1.874	-2.144	-2.039	-2.077	-2.6345	-1.987	-1.9885	-1.729	-2.833	-2.963	-1.668	-0.21	-0.022	-0.165	-0.097	0.054	-0.524	-1.034	-0.006	-1.541	-1.484	-1.857	-0.855	-2.008	-1.5275	-2.1985	-2.044	-3.638	-3.01	-2.306	-1.707	-1.247	-2.298	-1.596	-0.52	-2.071	-2.544	-2.51
"YBR191W"	-0.0585	-0.2565	-0.31	0.1615	0.327	0.372	0.227	0.061	-2.07	-1.945	-1.586	-2.052	-3.136	-3.824	-0.274	-0.297	-0.917	-0.971	-1.094	-1.558	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-2.114	-3.152	-3.411	-2.563	-2.467	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.4195	-1.2495	0.475	0.254	0.029	-1.736	-2.278	0.0465	-1.294	-1.483	-1.639	-2.088	-1.3105	-3.3605	-1.667	-2.4545	-3.463	-1.94	-1.588	-3.687	-3.657	-2.427	-3.266	-2.298	-2.872	-2.908	-2.477
"YBR247C"	-0.5495	-1.044	-0.3845	-0.37	-0.1425	0.3	0.012	0.018	-4.052	-3.103	-1.515	-2.541	-3.015	-3.19	-0.1805	0.106	-0.6345	-3.127	-1.4775	-1.2645	-3.42	-2.12	-1.692	-1.628	-1.522	-0.898	-2.212	-3.969	-2.429	-3.12	-1.618	-1.623	-1.939	-3.3455	-2.0405	-1.839	-1.689	-2.2255	-2.389	-2.378	-0.135	0.184	-0.003	-0.1125	-0.0105	-1.186	-2.436	0.2115	-1.283	-1.063	-1.423	-1.214	-1.086	-1.7475	-2.3215	-1.806	-2.961	-2.974	-2.802	-2.285	-2.153	-1.576	-2.15	-1.289	-1.747	-2.294	-2.77
"YCL014W"	-0.638	-1.033	0.268	0.664	0.602	-0.022	0.251	-0.498	-0.89	-1.172	-0.411	-0.445	-0.714	-0.848	-0.228	0.504	-0.3845	-0.463	-0.7125	-0.5255	-1.417	-1.027	-0.405	-0.943	-1.009	-1.274	-2.197	NaN	-0.175	-1.333	-1.585	-0.912	-1.317	-1.4065	-0.6535	-1.025	-1.66	-1.391	-2.056	-2.042	0.457	0.072	0.629	-0.132	-0.372	-1.219	0.565	0.429	-0.798	-1.111	-0.983	0.166	-1.208	-0.6915	-0.3035	-0.4245	-0.703	-1.0395	-0.142	-0.4735	-0.6385	-0.9605	-0.8095	-0.254	-0.7975	-0.111	0.0095
"YCR072C"	-0.511	-0.801	-0.256	-0.355	-0.105	-0.114	-0.166	-0.309	-4.048	-3.587	-1.931	-2.626	-3.503	-2.949	-0.225	0.171	-0.527	-2.405	-1.6695	-1.023	-4.777	-2.891	-2.433	-2.412	-2.205	-2.8	-4.4	-4.875	-2.593	-3.092	-2.773	-1.346	0.208	-1.4095	-1.4095	-1.6045	-1.42	-0.9395	-2.6635	-1.797	-0.108	-0.034	-0.162	-0.287	-0.038	0.121	-0.192	0.069	-0.898	-0.247	-1.693	-1.272	-1.254	-1.372	-1.694	-1.136	-4.635	-4.551	-2.665	-2.819	-2.44	-3.703	-2.838	-1.67	-2.009	-2.177	-3.049
"YDL167C"	-0.449	-0.736	-0.286	-0.193	0.243	0.024	0.257	-0.095	-2.982	-3.3	-0.985	-1.628	-2.786	-2.868	-0.036	0.044	-0.957	-2.111	-0.591	-0.718	-4.321	-2.565	-2.731	-2.613	-1.813	-2.3	-3.033	-4.001	-2.936	-3.298	-2.094	-1.281	-1.577	-3.084	-1.901	-1.572	-2.172	-2.176	-2.332	-2.095	0.029	-0.061	0.011	0.133	0.017	-1.745	-1.536	0.166	-1.07	-1.261	-0.892	-1.222	-1.335	-2.067	-1.583	-1.77	-2.283	-2.303	-2.882	-2.389	-1.423	-3.364	-2.649	-1.339	-1.838	-1.104	-2.154
"YDR165W"	-0.052	-0.416	-0.051	-0.106	-0.044	-0.129	0.114	0.06	-3.154	-2.85	-1.603	-2.419	-2.874	-2.762	-0.239	-0.59	-0.581	-1.9	-1.702	-0.982	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-2.69	-3.015	-2.243	-1.636	-1.883	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	0.115	0.317	0.217	0.68	0.27	-2.01	-1.231	0.362	-1.071	-1.185	-1.573	-1.145	-1.0245	-1.555	-1.795	-1.047	-2.787	-3.068	-3.533	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	-2.032	-2.22
"YEL026W"	0.061	-0.185	0.345	0.425	0.29	0.623	0.33	0.085	-2.423	-2.001	-1.521	-1.912	-3.104	-3.214	-0.222	-0.01	-1.012	-1.349	-1.862	-1.387	-3.603	-2.647	-2.87	-2.043	-2.285	-2.905	-3.458	-4.755	-2.741	-3.518	-3.357	-1.904	-2.271	-3.331	-2.232	-2.812	-1.923	-2.288	-3.073	-0.452	0.364	0.235	0.183	0.537	0.251	-1.834	-1.658	0.413	-0.905	-0.904	-1.178	-1.279	-2.6875	-2.731	-2.354	-2.539	-3.194	-2.176	-1.423	-3.877	-2.787	-3.527	-2.617	-2.218	-2.423	-3.512	-3.472
"YEL054C"	0.395	-0.048	0.453	0.564	0.434	0.707	0.502	0.199	-2.122	-2.095	-1.518	-2.314	-1.907	-3.528	-0.325	-0.226	-0.77	-0.856	-2.603	-1.88	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-2.484	-3.039	-3.52	-3.003	-2.232	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.343	0.46	0.582	0.516	0.369	-1.585	-2.035	0.353	-1.6	-1.829	-1.922	-1.691	-2.202	-3.541	-2.279	-2.067	-3.251	-2.101	-1.225	-4.422	-2.487	-3.815	-2.936	-2.194	-2.75	-3.7	-2.724
