	"42.alpha factor release sample022"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"801.Heat Shock 030inutes"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"8233.dtt 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"9838.CLN3 induction 30 minutes"	"12744.heat shock 17 to 37, 20 minutes"	"21635..24 mM H2O2- 0 minutes"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34360.batch 02X25 4"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YAL036C"	-0.172	-1.948	-1.945	-1.476	-0.59	-0.8595	-1.3485	-0.1965	-0.8345	-2.24	-1.7	-3.743	-1.801	-2.682	-2.5035	-0.02	0.1995	-0.0645	-0.2445	-0.007	-0.012	-0.16	-0.54	0.242	-1.067	-1.841	0.279	-0.7735	-3.235	-1.653	-2.469	-3.693	-2.208	-1.147	-4.226	-2.22	-2.216	-1.292	-1.632	-1.387
"YBL082C"	-0.1185	-2.568	-1.865	-1.402	-0.207	-1.623	-1.4875	0.037	-0.3835	2.113	0.744	1.817	1.129	1.917	-0.481	-0.023	-0.2945	0.3615	0.377	0.046	-0.295	-0.505	-0.134	-0.125	0.341	-1.367	-0.123	-0.7215	-1.772	-1.177	-0.726	-1.532	-1.627	-0.61	-1.322	-1.643	-0.913	-0.571	-0.347	-1.29
"YBR084W"	0.04	-3.129	-3.49	-3.539	-1.7	-1.3555	-2.0275	-0.3055	-1.741	-4.143	-3.145	-5.362	-1.888	-2.317	-2.3585	0.0255	-0.1895	-0.015	-0.2625	0.423	0.494	0.095	-1.125	-0.039	0.134	-4.142	-0.942	0.1195	-4.322	-3.02	-3.783	-3.705	-2.757	-2.544	-4.104	-3.283	-2.324	-1.73	-1.48	-2.422
"YBR143C"	0.116	-1.726	-2.238	-2.486	-0.672	-0.6815	-1.2775	0.1915	-1.229	-2.729	-2.378	-4.642	-1.332	-2.033	-3.1475	-0.087	-0.0275	0.029	0.0525	-0.032	-0.186	-0.236	-0.106	-0.374	-0.84	-1.827	-0.172	-0.4195	-1.791	-0.701	-1.252	-2.722	-2.02	-1.579	-2.223	-2.453	-1.217	-1.296	-0.979	-1.093
"YBR155W"	0.055	-2.025	-2.123	-2.148	0.085	-0.383	-1.023	-0.2345	-0.91	-1.649	-1.033	-1.202	-0.361	-0.388	-2.7675	0.2735	0.115	0.063	-0.131	0.292	-0.037	-0.175	0.688	-0.014	-0.75	-1.788	0.436	-0.4245	-2.919	-1.645	-1.165	-2.204	-2.612	-1.742	-2.782	-2.304	-1.724	-0.415	-0.186	0.109
"YBR189W"	0.309	-2.064	-3.868	-4.446	-0.447	-1.039	-1.657	-0.2585	-1.66	-3.784	-3.224	-4.702	-1.982	-3.071	-3.678	-0.015	-0.59	0.262	0.3685	0.187	-0.176	-0.164	-1.159	0.264	-0.968	-3.818	-0.1785	0.268	-2.84	-1.457	-2.193	-4.874	-3.763	-4.477	-4.739	-3.572	-3.188	-1.949	-1.783	-1.652
"YDL191W"	0.118	-1.918	-2.102	-2.434	-1.308	-0.957	-2.056	-0.068	-1.739	-1.985	-2.367	-5.192	-1.704	-2.911	-3.616	0.005	0.104	0.158	-0.202	-0.122	-0.767	-0.298	-0.562	0.032	-0.291	-1.898	-0.566	0.023	-2.167	-1.176	-1.135	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	-1.532	-1.593	-2.034
"YDR025W"	0.175	-2.141	-3.031	-3.248	-0.98	-1.11	-2.011	-0.129	-1.284	-3.904	-3.548	-6.697	-2.477	-3.357	-4.504	0.181	0.446	-0.035	0.038	-0.168	-0.464	-0.557	-0.766	-0.2535	-0.2675	-3.042	-0.3225	0.065	-2.278	-1.04	-1.539	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-1.818	-1.535	-1.814
"YDR087C"	-0.071	-4.143	-3.643	-3.468	-1.366	-1.141	-2.122	-0.009	-1.097	-4.139	-2.976	-4.944	-2.758	-2.528	-1.886	0.061	-0.167	0.311	0.146	0.142	-0.009	-0.497	-0.446	-0.197	-0.215	-4.13	0.13	-0.036	-3.928	-2.942	-2.55	-2.338	-2.16	-1.413	-3.396	-3.436	-2.083	-1.812	-1.691	-1.386
"YDR152W"	0.299	-1.273	-1.318	-1.176	-0.607	-0.219	-0.962	-0.314	-0.68	-1.214	-0.852	-2.843	-0.949	-0.968	-0.961	0.16	0.198	-0.042	-0.17	-0.177	-0.208	-0.339	-0.464	0.136	-0.981	-1.099	0.05	0.176	-1.526	-1.234	-0.96	-1.957	-1.249	-0.395	-1.628	-1.365	-1.06	-0.377	-0.09	-0.647
"YDR165W"	-0.129	-2.85	-2.874	-2.762	-0.962	-0.85	-1.702	-0.159	-1.335	-4.096	-2.538	-5.309	-2.69	-3.015	-3.057	0.27	0.071	-0.044	-0.044	0.05	0.24	0.015	-0.889	0.1	0.358	-2.787	0.0505	-0.1055	-3.068	-1.809	-3.533	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-1.941	-2.779	-2.152
"YDR429C"	-0.317	-1.562	-2.043	-2.526	-0.939	-0.547	-1.415	-0.037	-1.072	-2.84	-2.516	-3.313	-0.925	-1.316	-2.387	-0.12	0.191	-0.031	-0.239	-0.307	-0.532	-0.6	-0.636	-0.37	0.051	-1.585	0.071	0.331	-1.825	-0.924	-1.333	-1.894	-1.576	-1.431	-1.262	-1.11	-1.211	-0.355	0.009	-0.734
