	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1109.alpha factor release sample014"	"2108.cdc15 210 min"	"4872.1M sorbitol - 60 min"	"8193.steady state 15 dec C"	"8234.dtt 240 min"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"42056.U3Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42221.U2 Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42378.CC PU 2A Phosphate-Uracil Chemostat Comparison"
"YBR183W"	4.661	3.119	2.557	3.002	3.003	3.081	3.506	0.835	-0.336	2.418	2.43	1.861	1.727	0.175	4.392	2.7675	2.6755	3.223	3.489	3.8405	2.6835	-0.2865	1.822	0.564	0.1725	0.76	1.234	4.031	3.705	3.348	4.716	3.579	0.188	0.767	1.82	1.138	1.592	0.8	0.875
"YBR230C"	3.909	4.829	4.066	4.149	3.987	1.894	1.911	0.6	-0.12	2.09	2.594	2.343	2.238	0.2	3.9215	3.331	3.341	3.5615	3.945	3.418	2.673	-0.057	0.8625	NaN	0.119	-0.018	1.338	2.284	3.455	4.448	4.138	4.11	1.293	1.661	NaN	1.282	0.531	-0.13	-0.128
"YCR091W"	4.284	3.522	3.241	3.278	2.691	3.114	1.906	0.477	0.222	3.306	3.015	2.875	2.682	-0.2225	3.084	2.685	2.345	2.5735	2.0885	2.0775	1.535	-0.049	0.457	-0.478	0.167	0.031	0.429	2.37	3.628	2.288	3.677	2.956	0.008	0.312	1.479	0.644	1.164	0.057	-0.056
"YDR025W"	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-1.301	-0.41	-3.357	-3.356	-3.471	-3.326	0.191	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	0.085	-0.352	-0.035	-0.268	-2.304	-2.278	-4.772	-3.127	-3.906	-3.552	0.458	0.3	-0.992	-1.619	-1.259	0.407	0.609
"YDR101C"	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-0.8	-0.448	-3.385	-2.743	-1.752	-2.552	0.188	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.113	-0.843	0.208	0.107	0.057	-1.291	-3.244	-2.088	-2.116	-3.048	-2.294	-0.22	-0.541	-0.387	-0.994	-1.059	-0.164	0.082
"YDR272W"	2.977	2.0815	2.1805	1.707	1.849	1.7545	2.0205	0.5835	0.398	1.303	1.3	0.972	0.893	-0.0195	1.8585	1.706	1.6595	1.796	1.5975	1.493	1.019	0.009	0.3105	-0.0196666666666667	0.1755	-0.2835	0.5055	1.6255	2.7975	2.781	2.887	2.5605	0.3575	0.425	0.5365	-0.436	-0.131	0.269	0.435
"YDR447C"	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-1.447	-0.459	-3.574	-3.565	-2.813	-3.129	0.24	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.061	-0.058	-0.336	0.176	-0.536	-2.288	-3.102	-3.67	-2.356	-4.358	-3.418	-0.219	-0.388	1.83	-0.084	0.831	0.108	0.225
"YDR530C"	2.764	2.32	2.278	2.184	1.902	2.813	2.037	0.788	0.12	1.827	1.619	2.045	1.665	0.144	2.124	1.923	1.769	1.777	2.382	2.669	1.771	-0.097	0.388	0.557	0.168	0.703	0.906	0.708	2.587	2.632	2.6	3.192	0.449	0.512	0.678	0.464	0.878	-0.108	-0.408
"YEL012W"	3.329	3.222	3.376	2.713	2.665	3.0	3.657	1.077	1.049	1.923	2.342	2.194	1.934	-0.145	3.408	2.354	2.721	2.891	2.976	2.45	2.286	0.008	0.382	-0.688	0.04	-0.245	0.522	2.997	3.207	3.655	3.596	3.65	-0.044	0.102	0.999	0.391	1.526	-0.111	0.014
"YER020W"	3.441	2.725	1.995	3.104	2.769	2.611	2.465	0.477	0.539	2.532	1.972	1.959	2.361	0.006	1.739	1.529	1.747	1.08	1.319	2.701	1.54	-0.182	-0.045	0.258	-0.126	0.47	0.895	2.346	2.766	2.707	3.041	3.065	0.625	1.274	0.635	-0.075	-0.207	-0.267	-0.307
