	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8210.steady state 33 dec C"	"8282.Gal induced MCM1 vs. Glucose"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21634..24 mM H2O2- 155 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"21665..24 mM H2O2- 020 minutes/redo"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"38145.03II01 batch p1"	"40971.MD_II_77_min"	"40976.MD_II_140_min"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"
"YBL072C"	-1.122	-3.835	-3.367	-2.486	-3.192	-6.241	-1.659	-3.188	-4.1825	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.611	0.35	0.042	0.315	0.785	0.809	0.764	-1.308	1.144	-0.8895	-1.272	-3.331	-2.84	-1.71	-2.598	0.29	-2.429	-1.814	1.396	1.386
"YBL077W"	-1.3815	-3.41	-2.161	-2.021	-3.136	-5.081	-1.351	-2.607	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.0635	-0.38	0.043	0.526	0.198	0.423	0.183	-0.386	0.021	-0.484	0.114	-2.847	-2.93	-1.236	-2.752	-0.816	-1.99	-2.135	-0.871	-0.42
"YBR106W"	-1.0405	-2.949	-2.026	-2.108	-3.354	-5.052	-1.944	-2.595	-2.3915	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.066	-0.274	0.091	0.912	0.503	0.366	0.304	-1.417	1.066	0.025	-0.812	-3.114	-2.846	-1.897	-2.779	-0.532	-1.517	-2.027	0.851	0.873
"YBR121C"	-1.129	-2.66	-1.84	-2.186	-4.037	-5.791	-1.694	-2.366	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	-0.065	0.053	0.084	-0.015	0.21	0.482	-0.433	0.732	-0.192	-1.24	-2.549	-2.264	-1.948	-1.806	0.594	-1.635	-1.433	0.775	1.292
"YBR143C"	-1.1	-2.729	-2.378	-1.932	-3.195	-4.642	-1.29	-2.012	-3.1475	-2.126	-2.659	-2.698	-2.699	-3.572	0.029	0.542	-0.106	0.308	0.312	0.318	0.426	-0.633	0.22	-0.9525	-1.252	-2.722	-2.02	-1.579	-2.453	0.863	-1.869	-1.243	0.112	-0.663
"YDL191W"	-0.963	-1.985	-2.367	-1.853	-2.737	-5.192	-1.309	-2.518	-3.616	-1.999	-2.077	-1.362	-1.942	-2.86	0.158	0.825	-0.053	0.842	0.4695	0.664	0.3075	-0.424	0.4195	-0.8865	-1.135	-3.35	-2.399	-1.73	-2.557	0.721	-1.135	-1.3785	1.3	0.668
"YDR025W"	-1.174	-3.904	-3.548	-2.592	-3.393	-6.697	-1.997	-3.471	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	-0.035	-0.059	-0.508	-0.188	0.741	0.835	0.7465	-1.112	0.7535	-1.355	-1.539	-4.772	-3.127	-2.93	-3.552	-0.429	-1.305	-2.068	0.948	0.547
"YDR037W"	-0.831	-4.313	-3.427	-3.858	-4.551	-5.224	-1.483	-2.756	-1.971	-2.681	-2.313	-2.916	-3.368	-3.772	-0.13	0.771	0.213	1.133	-0.122	-0.151	0.277	-0.237	0.888	-1.18	-0.366	-4.284	-3.366	-2.4	-3.541	0.147	-1.624	-1.744	0.343	0.367
"YDR418W"	-1.358	-3.707	-3.13	-2.192	-3.074	-5.866	-1.601	-2.797	-4.449	-2.792	-2.82	-2.866	-3.091	-4.066	0.253	-0.312	-0.006	-0.173	0.67	0.861	0.756	-2.205	0.853	-1.719	-0.897	-4.005	-2.423	-1.873	-3.057	0.497	-0.929	-2.038	0.693	0.613
"YDR471W"	-1.504	-3.952	-3.834	-2.514	-3.599	-4.747	-1.906	-2.398	-4.253	-2.122	-2.633	-0.472	-2.405	-2.908	0.415	0.285	0.085	0.327	0.7605	0.8615	0.5055	-1.355	0.8115	-1.6755	-2.091	-3.645	-2.464	-1.986	-3.311	-0.631	-0.1745	-0.7185	0.693	1.023
"YER102W"	-0.401	-3.932	-3.965	-2.3	-3.64	-6.434	-1.229	-3.37	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	0.299	0.31	0.266	0.415	0.77	0.604	0.566	-1.33	0.396	-1.801	-1.086	-3.324	-2.758	-2.202	-2.329	0.665	-1.578	-1.074	0.895	0.559
"YGL123W"	-1.415	-3.781	-3.757	-2.802	-4.004	-5.982	-1.642	-3.701	-3.511	-2.414	-2.278	-2.388	-2.65	-3.558	0.027	-0.769	0.038	0.146	0.721	0.775	0.435	-1.545	0.937	-2.027	-1.987	-4.217	-3.27	-2.813	-3.488	0.173	-1.262	-2.058	1.315	0.748
