	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"7541.DES459 (mec1) - log phase (IR time "	"7542.DES459 (mec1) - log phase (MMS time "	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"33414.delKIN82_heat shock _0min_repeat"	"33417.delKIN82_heat shock _60min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YBL027W"	-2.395	-2.014	-1.979	-1.956	-2.978	-3.487	-1.417	-2.0365	-1.4655	-2.851	-2.474	-2.081	-2.671	-5.577	-1.996	0.102	-0.211	-2.494	-2.654	-2.507	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.22	0.422	-0.007	-0.467	-0.83	0.678	-0.126	0.336	-3.078	-0.0365	1.23	-0.233	0.366	0.106	0.065	-3.528	-3.012	0.402	0.488	-3.351	0.618
"YBL039C"	-4.793	-5.089	-4.124	-4.307	-4.486	-3.781	-2.783	-3.047	-1.325	-3.74	-3.092	-3.457	-4.323	-7.004	-3.306	-0.081	-0.275	-2.736	-2.628	-2.386	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.069	-0.146	-0.0805	-0.555	-0.857	0.568	-0.181	-0.272	-4.956	0.134	-0.104	-0.261	-0.474	-0.15	-0.79	-1.635	-2.769	-0.083	-0.137	-3.951	0.056
"YBR088C"	-2.069	-2.259	-2.975	-1.772	-1.936	-2.199	-0.789	-0.889	-1.6675	-4.244	-1.545	-1.519	-4.084	-4.124	-2.002	-0.101	-0.169	-1.282	-1.484	-1.744	-2.613	-1.1155	-1.0105	-1.809	-2.4385	-3.272	-2.4585	0.339	-0.161	0.259	-0.236	0.626	0.585	0.042	-0.155	-2.522	-0.242	0.158	0.218	0.447	0.38	0.121	-0.893	-0.96	0.426	0.077	-2.591	0.556
"YBR090C"	1.25	0.669	0.597	0.782	0.871	0.503	0.663	-0.444	-0.5195	1.052	1.083	1.034	1.455	-0.511	0.843	-0.311	0.191	1.632	1.485	0.56	0.125	0.215	0.4735	0.5475	1.552	1.804	1.071	-0.149	-0.217	-0.23	-0.613	-0.346	-0.335	0.085	0.364	0.326	-0.3965	0.339	-0.1	0.027	0.071	0.056	0.717	0.817	0.105	0.23	0.367	-0.241
"YCR016W"	-2.622	-2.305	-2.118	-2.019	-2.87	-2.734	-2.017	-2.1005	-1.587	-2.836	-1.258	-1.77	-1.226	-2.969	-1.647	0.875	-0.187	-2.199	-1.692	-1.762	-2.648	-1.736	-2.093	-2.5995	-2.6395	-2.9255	-2.8665	-0.4145	-0.405	-0.206	0.719	-0.18	0.044	-0.913	-0.373	-2.836	0.228	-0.599	-0.701	0.311	-0.161	-0.702	-2.712	-2.45	0.063	-0.007	-3.082	0.091
"YDL075W"	-1.882	1.292	-1.83	-1.874	-2.777	-2.739	-0.737	-2.53	-1.375	-2.825	-3.453	-2.828	-2.581	-3.777	-1.585	0.527	-0.141	-2.009	-2.729	-1.791	-3.016	-2.013	-2.472	-2.785	-2.433	-1.878	-3.427	0.239	0.11	-0.084	0.415	0.322	-0.212	-0.148	0.279	-2.202	-0.1475	0.852	0.575	0.627	-0.068	-0.641	-2.895	-3.256	-0.407	0.284	-3.17	0.027
"YDL082W"	-1.994	-1.72	-1.806	-2.339	-3.052	-2.521	-1.271	-2.569	-2.087	-3.223	-2.484	-2.853	-3.326	-5.816	-2.246	0.702	1.073	-2.537	-3.01	-1.18	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.5065	0.4695	0.063	-0.13	-0.188	0.561	-0.279	-0.466	-3.338	-0.321	0.497	0.209	0.331	0.654	0.327	-4.398	-3.698	-0.565	-0.166	-4.518	0.489
"YDL201W"	-2.68	2.807	-2.05	-1.932	-2.515	-1.652	-2.201	-1.009	-0.578	-3.282	-2.32	-1.899	-1.537	-4.94	-1.858	-0.907	-0.494	-2.29	-2.112	-1.765	-2.178	-1.317	-1.176	-1.363	-1.295	-1.218	-1.732	-0.0685	-0.2605	-0.17	0.699	-0.122	0.218	-0.447	-0.401	-2.398	0.097	-0.308	0.722	-0.484	-0.39	-0.708	-2.098	-1.705	-0.08	0.152	-2.492	0.477
"YDR037W"	-1.688	-2.075	-2.165	-1.968	-2.701	-2.679	-0.89	-1.716	-1.316	-4.313	-3.427	-3.607	-4.551	-5.224	-0.977	0.413	-0.833	-3.226	-2.505	-2.756	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-0.058	0.005	-0.13	0.387	0.989	0.418	-0.219	-0.227	-2.354	0.185	1.579	0.186	0.325	-0.095	-0.876	-4.284	-3.366	0.41	0.794	-4.204	0.094
"YDR091C"	-2.613	-2.378	-2.435	-2.061	-2.869	-2.781	-2.561	-1.776	-1.404	-3.288	-2.045	-1.789	-3.384	-4.4	-2.163	-0.123	0.035	-2.925	-2.268	-2.03	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.018	-0.2525	0.11	0.364	0.665	0.159	-0.176	0.23	-2.972	0.205	-0.2	-0.261	-0.025	0.143	-0.22	-3.117	-2.299	0.26	-0.104	-2.953	-0.227
