	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4047.0.8M NaCl +FK506 - 15 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7758.Na 15min"	"7762.Na+FK 15min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"13496.G0 mRNP vs. Poly"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"38152.03II01 batch p8"	"38154.03II01 batch p10"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"
"YAL035W"	-0.653	0.2225	0.156333333333333	-0.933	-1.877	-1.017	-2.9955	-1.6975	-2.5615	-3.6215	-1.71	-1.3835	-1.5975	-3.02066666666667	-2.203	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	0.477	0.0645	-0.0865	-0.1875	-0.244	-0.1985	0.5155	0.314	-1.505	0.156	0.941	-1.702	-0.749	-1.251	-1.485	-0.587	-0.894	-0.467	-0.573	-0.152
"YBL024W"	-2.122	-2.218	-0.059	-1.562	-2.598	-2.9	-3.938	-2.16	-4.671	-4.879	-1.661	-2.493	-2.238	-3.8255	-2.047	-2.6055	-3.4875	-3.5465	-3.993	-0.367	-0.842	-0.665	-1.184	-1.781	-1.146	0.164	0.41	-2.821	-0.878	0.812	-1.559	-1.78	-2.148	-1.714	-1.098	-1.311	-2.505	-2.409	-1.682
"YCR053W"	-0.163	-0.935	-0.0585	-0.807	-0.663	-0.915	-2.562	-1.952	-3.556	-4.283	-1.071	-1.206	-2.391	-2.5805	-1.277	-2.1605	-2.429	-3.1075	-2.714	-0.137	-0.293	-0.318	-0.726	-0.364	-0.268	-0.02	-0.009	-0.425	-0.229	0.571	-1.0725	-0.8835	-2.7365	-2.51	-0.125	-0.117	-0.68	-0.342	-0.577
"YDL192W"	-0.614	-0.604	0.417	-0.44	-0.43	-0.547	-1.319	-0.928	-1.026	-2.919	-0.695	-0.949	-0.906	-1.5	-1.152	-1.38	-1.203	-1.441	-2.326	-0.022	-0.199	0.08	-0.305	-0.915	-0.276	0.003	-0.061	-0.482	0.158	0.82	-0.725	0.142	-1.125	-1.497	0.328	0.037	-1.259	-1.299	-0.829
"YDR091C"	-2.613	-2.435	-0.095	-2.061	-2.869	-2.781	-3.288	-1.68	-3.384	-4.4	1.408	-2.925	-2.268	-2.971	-1.631	-2.044	-2.636	-3.222	-3.423	-0.717	-1.225	-0.707	-1.189	-1.822	-1.731	-0.528	-0.331	-2.972	-1.375	0.561	-2.978	-3.163	-2.953	-2.242	-1.149	-1.31	-2.809	-1.954	-2.542
"YGR151C"	-1.692	-1.4245	0.149	-0.915	-1.322	-1.289	-2.709	-1.803	-3.87	-3.928	-1.059	-1.322	-1.824	-2.68	-2.213	-2.712	-1.696	-2.582	-2.109	-0.289	-0.597	-0.185	-0.659	-1.225	-0.399	-0.128	-0.178	-1.564	-0.18	-0.175	-1.031	0.019	-1.703	-1.532	-0.38	-0.34	-0.722	-1.1225	-0.929
"YGR264C"	-1.599	-2.2015	0.167	-1.728	-2.2555	-2.419	-3.787	-3.156	-5.206	-4.616	-1.795	-3.505	-3.321	-3.897	-2.503	-3.468	-4.623	-4.957	-4.753	-0.376	-1.052	-0.254	-1.49	-0.867	-0.681	-0.327	-0.064	-2.154	-0.664	0.787	-1.523	-1.508	-3.33	-3.082	-1.167	-0.831	-2.475	-2.845	-2.239
"YHR170W"	-5.3995	-4.622	0.26	-4.14	-4.723	-3.947	-4.51	-1.573	-2.573	-4.858	-1.722	-2.759	-2.694	-2.314	-1.433	-1.819	-2.036	-2.758	-2.443	-0.237	-1.218	0.012	-1.234	-1.32	-1.252	-0.282	0.109	-5.252	-1.66	0.168	-3.576	-2.772	-3.601	-2.58	-2.287	-1.833	-3.476	-3.076	-2.087
"YHR193C"	-0.742	-0.8095	0.002	-1.1025	-1.2125	-1.1835	-1.48	-1.548	-3.11	-4.166	-0.596	-1.819	-1.491	-1.731	-1.558	-1.913	-1.778	-2.357	-2.845	0.569	-0.717	-0.121	-0.654	-0.748	-0.301	0.416	0.204	-0.9755	-0.095	0.63	-0.658	-0.287	-0.624	-1.356	0.454	-0.134	-1.503	-1.31	-1.228
"YIL078W"	-0.808	-1.524	0.202	-1.3535	-1.7065	-1.8365	-2.907	-2.219	-5.192	-6.059	-0.376	-2.282	-2.288	-3.786	-1.821	-3.226	-4.41	-4.902	-4.944	0.004	-0.865	-0.257	-1.247	-0.606	-0.341	0.022	0.325	-1.6345	-0.155	1.697	-2.185	-1.891	-1.996	-2.548	-0.444	-0.364	-1.901	-0.97	-2.028
