	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"830.1.5 mM diamide (10 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"21661..24 mM H2O2- 049 minutes/redo"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33779.delYPL230w_stationary_phase_5hours"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"
"YBR170C"	1.369	1.012	0.78	0.599	1.211	1.207	1.016	-0.273	0.437	0.859	0.392	-2.189	0.549	0.5	0.252	0.631	0.193	NaN	NaN	0.3285	0.48	-0.425	1.193	0.917	1.306	1.477	0.334	0.737	1.409	0.689	1.292	1.063	0.699	1.391	0.788	1.474	0.902	1.7285	1.2555	0.599	0.815	1.93	0.445	0.969	0.387	0.225	0.259	0.119	-0.018
"YBR189W"	-2.555	-2.064	-1.593	-0.399	-2.33	-3.868	-4.446	1.201	-1.412	0.143	-3.784	-4.702	-1.982	-1.532	-3.071	-3.483	-2.334	-0.564	-0.089	-3.678	-1.046	0.108	-2.041	-1.624	-2.021	-1.332	-0.838	-1.625	-1.55	-3.818	-0.838	-0.5745	1.043	-0.6945	-0.32	-0.427	-0.2125	-0.880666666666667	-0.484333333333333	-1.6065	0.268	-2.84	0.864	-4.739	0.263	0.074	0.074	-0.074	0.195
"YBR191W"	-2.07	-1.945	-1.586	-0.202	-2.052	-3.136	-3.824	0.879	-0.971	0.358	-3.54	-5.241	-2.114	-1.619	-3.152	-3.411	-2.563	-0.544	-0.019	-4.5465	-0.725	0.19	-1.537	-1.389	-1.908	-1.153	-0.928	-1.611	-1.764	-3.463	-0.735	-0.878	0.313	-0.6005	-0.5245	-0.4365	-0.0085	-0.774666666666667	-0.532666666666667	-1.252	0.8615	-1.94	0.733	-2.427	0.283	0.074	0.254	0.005	0.122
"YDL075W"	-1.882	-1.83	-1.698	-0.159	-1.874	-2.777	-2.739	0.647	-0.737	0.208	-2.825	-3.777	-1.585	-0.841	-2.009	-2.729	-1.791	0.252	-0.251	-3.016	-0.531	0.399	-0.831	-0.899	-1.45	-1.149	-0.846	-1.305	-2.023	-2.202	-0.8065	-0.61	-1.005	-0.46	-0.4675	-1.022	-0.692	-1.1315	-0.822	-1.1945	-0.454	-1.999	-0.068	-3.17	0.798	0.729	0.474	0.541	0.501
"YDL153C"	-4.549	-4.333	-1.678	-1.723	-3.047	-4.369	-3.668	1.016	-2.643	-1.9	-3.698	-2.931	-2.125	-1.052	-2.307	-1.325	-0.584	-0.336	-0.008	-2.633	-1.894	-0.872	-1.178	-1.669	-2.642	-2.132	-1.029	-2.125	-2.373	-4.079	-2.489	-1.596	0.664	-2.546	-1.342	-2.772	-1.097	-2.448	-0.718	-1.269	-0.531	-2.5	-0.824	-5.47	-0.056	-0.498	-0.369	-0.076	-0.232
"YDR025W"	-1.598	-2.141	-1.495	-0.526	-2.0	-3.031	-3.248	0.806	-1.096	0.142	-3.904	-6.697	-2.477	-1.997	-3.357	-3.356	-3.471	0.436	-0.438	-4.504	-1.036	0.174	-0.704	-1.061	-1.767	-0.948	-1.467	-1.45	-1.463	-3.042	-1.118	-0.788	0.0	-0.73	-0.5535	-1.0405	-0.4725	-0.866	-0.412	-1.3815	0.065	-2.278	0.707	-3.906	0.47	0.145	0.459	0.352	0.468
"YDR087C"	-3.126	-4.143	-1.477	-1.747	-2.758	-3.643	-3.468	0.989	-1.886	-1.63	-4.139	-4.944	-2.758	-1.846	-2.528	-2.208	-1.204	-0.338	-0.532	-1.886	-0.865	-1.038	-1.136	-1.075	-1.68	-1.547	-0.851	-1.708	-2.134	-4.13	-1.552	-1.271	0.337	-1.728	-1.623	-2.177	-0.176	-2.326	-1.191	-0.596	-0.036	-3.928	0.364	-3.396	-0.253	-0.446	-0.73	-0.137	-0.216
"YDR096W"	2.715	2.372	0.979	1.229	2.281	2.565	2.549	-1.165	1.175	1.334	3.784	3.176	1.574	2.071	2.127	2.135	1.735	0.311	0.371	1.85	1.406	0.614	0.581	2.609	0.387	1.431	1.114	1.219	1.246	2.518	0.924	-0.594	-0.104	0.626	0.584	1.51	0.42	1.837	0.647	-0.252	0.021	1.2895	0.0655	1.286	0.3725	0.314	0.149	0.4035	0.4035
"YDR165W"	-3.154	-2.85	-1.603	-1.053	-2.419	-2.874	-2.762	0.852	-1.9	-1.089	-4.096	-5.309	-2.69	-1.82	-3.015	-2.243	-1.636	-0.141	-0.328	-3.057	-1.398	-0.69	-1.274	-1.455	-2.129	-1.683	-0.891	-1.967	-1.516	-2.787	-0.754	-0.5645	0.776	-1.0895	-0.4735	-1.165	-0.418	-1.116	0.099	-0.28	-0.1055	-3.068	-0.149	-3.205	-0.03	-0.501	-0.349	-0.187	-0.234
"YDR297W"	-0.654	-1.683	-0.435	-0.791	-1.068	-0.773	-0.714	0.472	-0.998	-0.372	-0.548	-1.972	-1.297	-0.567	-0.875	-0.717	-0.849	-0.437	-0.295	-0.151	-0.639	-0.491	-0.309	-0.813	-1.38	-1.452	-0.695	-1.05	-1.413	-1.014	-2.112	-0.847	-0.613	-2.096	-1.271	-1.109	-0.049	-1.522	-0.249	-1.27	-0.483	-1.04	1.102	-0.141	0.05	0.544	0.349	0.622	0.703
"YDR300C"	-3.037	-2.562	-1.16	-0.98	-1.889	-2.371	-2.279	0.918	-1.927	-0.883	-2.126	-3.71	-1.781	-1.776	-2.152	-1.395	-0.751	-0.372	0.191	-1.907	-0.994	-0.508	-0.583	-0.599	-0.791	-0.709	-0.609	-0.949	-1.248	-2.771	-1.021	-0.469	0.252	-1.471	-0.79	-1.12	-0.509	-1.646	-0.624	-0.481	-0.073	-2.039	0.239	-2.895	-0.054	0.021	-0.216	-0.097	-0.22
"YDR417C"	-1.534	-2.075	-1.309	-0.794	-1.608	-2.715	-3.361	0.691	-1.059	0.192	-3.705	-5.062	-2.509	-1.775	-3.58	-3.209	-2.864	0.221	-0.137	-4.223	-1.205	-0.056	-1.455	-1.423	-2.03	-1.427	-1.301	-2.082	-2.022	-2.642	-0.338	-0.22	0.816	-0.431	-0.543	-0.513	-0.315	-0.243	0.382	-1.584	-0.275	-1.745	0.844	-3.585	0.495	0.356	0.451	0.371	0.671
"YDR491C"	-2.673	-3.498	-1.464	-1.713	-1.706	-2.444	-2.248	0.403	-1.139	-1.923	-1.127	-1.233	-0.459	-0.412	-0.286	0.027	0.173	-0.203	0.233	-0.858	-1.873	-1.575	-1.685	-1.714	-2.023	-2.118	-1.844	-1.922	-2.271	-2.665	-1.548	-1.288	-1.047	-1.566	-1.689	-1.635	-1.561	-1.971	-1.323	-1.468	-0.33	-2.336	0.564	-1.021	-1.047	-0.541	-0.599	-0.062	0.191
"YDR492W"	-2.792	-2.895	-2.322	-1.613	-2.409	-2.677	-2.102	1.242	-1.993	-2.044	-1.91	-2.336	-0.985	-2.299	-1.701	-0.997	-0.326	-0.196	0.408	-0.244	-2.079	-1.727	-1.573	-1.629	-1.983	-2.093	-1.388	-1.733	-2.179	-3.429	-2.499	-1.936	-1.433	-2.287	-2.514	-2.721	-2.138	-2.908	-2.102	-1.719	-1.455	-1.412	-0.747	-0.938	-0.948	-0.662	-0.624	-0.073	0.105
"YDR496C"	-5.251	-3.9025	-2.571	-2.1745	-3.671	-4.953	-4.7405	1.146	-3.085	-2.547	-3.1645	-4.393	-2.7355	-1.6845	-4.5275	-2.8145	-1.899	-0.181	-0.7445	-3.995	-3.063	-1.8765	-2.09	-2.733	-3.5775	-2.461	-2.197	-3.151	-2.808	-5.1875	-2.715	-1.395	0.6185	-2.592	-1.48	-2.8195	-0.7575	-2.728	-0.9485	-2.755	-1.12	-3.216	0.109	-1.917	-0.395	-0.603	-0.793	-0.353	-0.393
"YEL054C"	-2.122	-2.095	-1.518	-0.236	-2.314	-1.907	-3.528	1.075	-0.856	0.245	-3.654	-7.056	-2.484	-1.881	-3.039	-3.52	-3.003	0.409	0.025	-3.347	-0.897	0.297	-1.544	-1.189	-1.975	-1.209	-0.831	-2.046	-1.876	-3.251	-0.9345	-0.411	-0.036	-0.6585	-0.198	-0.75	-0.043	-1.0525	-0.2605	-1.082	-0.2875	-2.101	0.21	-3.815	1.153	0.604	0.331	0.419	0.465
