	"83.cdc15 160 min repeat"	"93.cdc15 180 min"	"94.cdc15 200 min"	"584.17 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"7538.25C -- 60 min"	"8197.steady state 25 dec C"	"11827.Pomona College Bio164: WT/dna2-1"	"12053.GAL-vector expression 0 hr (repeat 01)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YAL038W"	0.276	0.051	0.53	-0.23	-1.646	-2.233	-1.38	-2.4	-6.086	0.038	-1.723	-2.007	-2.874	-3.1525	-1.1525	-1.42	-1.859	-3.2025	-1.27	-1.915	0.953	0.549	-0.322	-0.14	-2.741	-2.734	-1.463	-1.219	-2.874	-3.088	-1.545	-1.221	1.014	0.189	0.791	0.211	0.814	1.21	0.928	0.499	0.919	0.498
"YBR031W"	0.74	0.521	0.738	-0.522	-1.692	-1.795	-2.055	-2.879	-6.063	-0.394	-2.233	-3.04	-2.831	-2.6295	-2.312	-1.803	-1.9345	-2.5745	-0.741	-1.264	1.676	0.224	0.585	-0.328	-2.753	-2.405	-1.868	-2.518	-2.852	-2.047	-2.634	-1.792	0.505	-0.524	0.804	-0.013	-0.002	1.307	1.309	0.806	1.094	0.805
"YBR048W"	0.2	0.344	0.563	-0.6165	-3.385	-2.4795	-2.968	-3.0195	-5.0065	0.4845	-3.0685	-3.137	-3.295	-4.66033333333333	-2.738	-2.849	-3.15166666666667	-3.929	-1.524	-2.145	1.5925	0.53	-0.269666666666667	0.0595	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711	-2.346	0.918	0.493	0.66	1.462	0.961	0.997	1.04	0.99	1.256	0.989
"YDL082W"	0.149	-0.619	-0.276	-0.329	-3.223	-2.484	-2.853	-3.326	-5.816	0.66	-2.537	-3.01	-1.18	-2.915	-2.182	-2.186	-3.001	-3.589	-1.708	-1.657	2.006	0.511	-0.469	0.065	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	-3.155	-2.944	0.406	-0.3	0.287	0.554	0.067	0.56	0.498	0.776	0.751	0.775
"YDR025W"	-0.017	-0.827	-0.589	-0.469	-3.904	-3.548	-3.252	-3.393	-6.697	0.399	-3.357	-3.356	-3.471	-4.504	-2.886	-2.503	-2.895	-3.518	-0.794	-1.887	1.649	0.304	0.5165	-0.0745	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	-2.458	1.066	-1.037	0.388	0.667	0.677	0.989	0.873	1.125	1.423	1.124
"YDR064W"	-0.319	-0.531	-0.7765	-0.404	-3.874	-3.241	-2.585	-3.761	-5.03	0.225	-3.208	-3.138	-2.511	-3.65	-2.943	-2.527	-2.531	-3.199	-2.016	-2.096	1.01	0.526	0.3165	-0.0915	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	-2.842	-2.065	-1.708	-1.217	0.415	-0.084	0.327	0.235	0.606	0.641	1.05	0.64
"YER102W"	-0.077	-0.555	0.7445	-0.221	-3.932	-3.965	-3.177	-3.64	-6.434	0.395	-3.101	-3.625	-3.37	-4.286	-2.593	-2.579	-3.326	-3.859	-1.12	0.327	1.491	0.546	-0.272	0.126	-3.324	-2.758	-2.202	-2.385	-2.329	-2.436	-2.527	-2.787	1.203	0.283	0.85	0.593	1.493	1.465	1.803	1.792	2.192	1.791
"YFR031BC"	-1.012	-0.697	-0.711	-0.471	-4.567	-3.823	-3.84	-4.702	-7.029	-0.147	-3.328	-3.949	-3.594	-4.74	-2.912	-3.164	-3.863	-4.146	-1.317	-1.801	1.634	0.526	0.639	-0.049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.744	-0.962	1.319	0.287	0.541	1.25	1.639	1.541	1.791	1.54
"YGL031C"	0.806	0.681	1.746	-0.245	-3.366	-4.285	-3.732	-3.683	-5.763	0.201	-3.041	-2.881	-3.063	-5.191	-2.899	-2.92	-3.061	-3.473	-0.596	-1.94	1.492	0.354	-0.213	0.062	-3.814	-2.458	-2.321	-2.773	-2.852	-1.578	-1.636	-2.229	0.606	-0.675	1.019	0.433	1.18	1.3	1.41	1.434	1.668	1.433
"YGL076C"	0.013	-1.196	-1.213	-0.644	-3.969	-3.136	-2.73	-3.976	-5.667	0.541	-3.32	-2.996	-2.857	-4.142	-2.648	-2.836	-2.79	-3.782	-1.65	-2.376	1.549	0.425	0.4215	0.249333333333333	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894	-3.165	0.462	1.352	0.758	0.563	1.022	1.232	1.139	1.352	1.414	1.351
