	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL003W"	-3.377	-3.392	2.942
"YBL077W"	-3.136	-5.081	0.26
"YBR028C"	-2.27	-3.596	-0.185
"YBR166C"	-2.2345	-3.0285	2.1015
"YBR205W"	-2.047	-3.842	1.269
"YCL022C"	0.0	-2.833	0.792
"YCR002C"	-3.669	-5.182	2.551
"YCR024C"	-1.175	-1.937	1.339
"YCR032W"	0.2165	-2.6125	0.816
"YCR072C"	-4.4	-4.875	2.228
"YDL095W"	-2.026	-3.518	0.906
"YDL150W"	-1.728	-3.715	0.609
"YDR002W"	-2.756	-4.542	1.06
"YDR081C"	-1.252	-2.376	1.076
"YDR098C"	-1.722	-3.797	1.678
"YDR137W"	-0.935	-2.028	0.158
"YDR237W"	-1.1785	-3.483	0.735
"YDR279W"	-2.006	-2.943	1.272
"YDR346C"	-1.1	-3.219	2.359
"YDR383C"	-0.634	-1.633	0.259
"YER086W"	-3.61	-5.173	1.445
"YER126C"	-2.608	-5.367	-0.194
"YER151C"	-1.181	-1.975	1.387
"YER156C"	-1.153	-3.573	1.12
"YFL039C"	-2.57	-3.733	1.059
"YFL045C"	-2.163	-4.897	0.697
"YFR009W"	-3.004	-4.932	-0.3115
"YFR025C"	-2.373	-3.739	2.228
"YFR028C"	-2.027	-4.271	1.292
"YFR031BC"	-4.702	-7.029	-1.201
"YFR044C"	-3.87	-5.917	0.497
"YGL021W"	-2.714	-5.572	1.83
"YGL030W"	-3.668	-5.484	1.8155
"YGL064C"	-1.919	-3.783	0.509
"YGL076C"	-3.976	-5.667	0.0
"YGL124C"	-1.203	-1.714	2.316
"YGL151W"	-1.887	-3.485	0.909
"YGL172W"	-0.213	-2.132	0.784
"YGL241W"	-2.02	-4.045	1.548
"YGR117C"	-1.454	-2.599	1.2165
"YGR119C"	-1.721	-3.791	0.255
"YGR155W"	-1.39	-4.396	1.035
"YHR013C"	-1.576	-3.226	1.186
"YHR018C"	-1.0	-2.976	-0.303
"YHR020W"	-2.69	-4.045	-2.467
"YHR025W"	-2.666	-5.429	0.826
"YHR042W"	-2.228	-4.647	0.546
"YHR068W"	-4.28	-6.532	2.683
"YHR074W"	-0.526	-3.21	0.88
"YHR079C"	-0.613	-2.434	0.169
"YHR103W"	-0.98	-2.671	2.394
"YHR153C"	-0.684	-1.56	0.078
"YHR170W"	-2.573	-4.858	1.704
"YHR179W"	-3.188	-4.68	0.939
"YIL131C"	-2.028	-4.479	-0.424
"YJL125C"	-2.343	-4.009	0.89
"YJL157C"	-3.548	-7.731	1.745
"YJL196C"	-3.4	-4.585	-0.057
"YJL201W"	-1.612	-3.675	1.245
"YJL209W"	-1.927	-4.562	NaN
"YJR002W"	-0.9755	-4.416	0.9485
"YJR016C"	-2.006	-5.079	1.195
"YJR070C"	-3.511	-7.226	0.073
"YJR080C"	-1.371	-4.219	1.263
"YJR101W"	-1.3215	-2.4895	1.406
"YKL007W"	-1.105	-2.95	1.209
"YKL015W"	-0.326	-2.527	0.284
"YKL024C"	-2.025	-5.4	1.24
"YKL056C"	-3.426	-5.119	NaN
"YKL074C"	-2.628	-4.328	1.521
"YKL080W"	-4.229	-5.94	5.981
"YKL127W"	-3.89	-5.619	-0.161
"YKL153W"	-3.54	-5.051	2.825
"YLL008W"	-2.899	-6.113	1.789
"YLL040C"	-0.729	-1.4915	1.1595
"YLR018C"	-0.907	-3.118	1.291
"YLR029C"	-3.615	-6.877	1.165
"YLR060W"	-4.941	-5.967	-1.577
"YLR230W"	-1.446	-3.637	0.984
"YLR328W"	-1.935	-4.106	2.217
"YLR353W"	-2.869	-4.835	-0.081
"YML021W"	-1.877	-3.917	1.018
"YML064C"	-2.421	-3.73	0.882
"YMR033W"	-3.063	-4.454	-0.113
"YMR049C"	-4.225	-9.471	3.621
"YMR220W"	-1.869	-3.12	-1.4325
"YMR222C"	-1.83	-2.535	-0.1695
"YMR247C"	-1.4055	-2.271	1.19933333333333
"YMR289W"	-1.469	-2.452	1.9735
"YMR296C"	-2.027	-4.409	1.226
"YNL026W"	-1.792	-4.57	0.428
"YNL062C"	-3.07	-6.263	1.615
"YNL071W"	-1.795	-4.774	0.601
"YNL098C"	-0.833	-1.942	0.7325
"YNL193W"	-0.913	-2.891	3.232
"YNL302C"	-2.1925	-4.746	0.397
"YNR043W"	-2.934	-5.1565	2.284
"YOL062C"	-1.974	-4.46	1.288
"YOR164C"	-2.555	-4.0095	3.248
"YOR169C"	-1.656	-3.934	1.815
"YOR239W"	-3.232	-5.0985	1.305
"YOR241W"	-2.668	-6.523	0.624
"YOR250C"	-2.128	-5.506	1.164
"YOR271C"	-2.276	-2.9995	0.558
"YOR272W"	-3.353	-4.712	-1.121
"YOR309C"	-4.234	-6.859	2.963
"YOR321W"	-2.096	-3.7905	1.386
"YPL037C"	-3.9955	-5.417	1.862
"YPL050C"	-2.2165	-4.275	1.859
"YPL079W"	-3.892	-6.4765	1.717
"YPL104W"	-1.9905	-4.469	-0.565
