	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"686.YP ethanol vs reference pool"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8282.Gal induced MCM1 vs. Glucose"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"13062.wt/crz1 Ca 15min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"
"YAL060W"	-0.75	-0.777	0.1445	0.077	0.704	1.199	1.159	1.922	1.6855	2.766	2.2805	2.0085	-0.249	-0.009	0.075	0.521	-1.671	0.045	1.358	0.071	0.63	0.755	0.774	0.31	0.447	0.5875	0.049	4.066	3.57	4.051	3.973	3.24	2.801	0.907
"YBR048W"	0.810333333333333	0.56	-1.201	-3.0195	-5.0065	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-1.462	-1.7375	-1.6255	-1.932	0.263	0.62	-2.013	-0.00666666666666667	0.241666666666667	0.404666666666667	0.630666666666667	0.771333333333333	0.455	-0.32475	-0.118	-4.043	-3.545	-4.089	-3.69	-2.483	-2.711	-2.602
"YBR060C"	0.4005	0.1065	-0.172	-2.577	-2.827	-1.1435	-0.636	-0.8205	-0.6335	-2.062	-2.6195	-0.2895	-0.104	-0.587	-0.267	-0.78	0.202	0.442	-0.515	-0.427	0.069	-0.169	0.372	-0.025	-0.2625	-0.9865	0.22	0.493	-0.624	-0.69	-0.772	-0.396	0.043	0.432
"YBR096W"	0.6245	0.591	-0.4795	-2.825	-3.347	-0.6475	-0.9895	-1.7275	-1.5245	-1.829	-1.7925	-2.066	0.238	-0.1	0.555	-0.057	0.577	0.27	-0.446	0.269	0.043	0.174	-0.101	-0.011	-0.045	-0.3315	0.073	-1.308	-1.297	-0.735	-1.362	-0.811	-1.314	0.056
"YDL048C"	-1.0	-0.222	0.678	1.237	-0.131	2.019	0.882	2.829	3.745	2.702	2.224	1.125	0.129	0.501	0.3	0.261	-2.12	0.658	2.356	NaN	1.241	1.161	0.764	0.508	-0.86	0.605	0.088	2.307	1.999	3.494	2.805	2.141	3.314	1.015
"YDL074C"	0.349	0.3805	0.078	-0.1695	-2.169	-0.9815	-0.5085	-0.64	-0.4895	-0.712	-0.7865	-1.3035	0.434	0.2575	0.3635	0.2085	0.454	-0.4165	-0.851	0.1015	0.0365	-0.1685	0.012	-0.0385	-0.0065	-0.4245	0.1265	-1.616	-1.649	-0.942	-1.329	-0.847	-0.369	-0.585
"YDL191W"	0.369	0.266	-0.561	-2.737	-5.192	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	-1.628	-1.086	-1.614	-1.568	0.842	0.032	-2.212	0.454	0.7755	0.4405	0.4695	0.664	0.0935	0.023	-0.2955	-3.35	-2.399	-3.234	-2.557	-1.83	-2.46	-3.143
"YDR025W"	0.06	0.058	-1.0	-3.393	-6.697	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.95	-1.432	-1.471	-2.376	-0.188	-0.2535	-1.7675	-0.031	0.5505	0.459	0.741	0.835	0.3365	0.065	-0.1195	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	-3.528
"YDR077W"	-0.663	-0.029	-0.397	3.982	1.649	1.506	3.459	3.819	3.539	3.042	3.402	2.395	0.24	0.363	0.328	0.417	0.236	-0.223	3.021	-0.41	-0.436	0.148	0.18	0.336	-0.902	-1.017	0.113	1.578	1.343	2.431	1.65	1.124	2.087	1.647
"YDR165W"	0.831	0.508	-0.581	-3.111	-5.309	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	-0.821	-0.154	-1.071	-1.573	0.235	0.1	-1.0245	-0.313	0.1635	0.157	-0.057	0.208	-0.052	-0.1055	-0.157	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	-2.032
"YDR216W"	0.161	-0.3185	-0.0465	0.1585	-2.167	1.2305	1.3835	1.6105	1.45	1.8925	1.7345	1.674	0.462	0.334	0.65	1.274	0.258	-0.091	0.794	0.0485	0.0195	0.0715	-0.357	0.092	0.0445	-0.786	-0.1365	0.94	0.9465	0.7825	0.3305	0.847	0.8155	1.3045
"YDR382W"	0.467	0.918	-1.258	-2.459	-5.686	-4.02	-2.332	-2.897	-2.877	-2.565	-3.137	-3.471	-1.37	-2.103	-0.925	-1.523	0.505	-0.152	-1.905	0.22	0.313	0.318	0.695	0.789	0.862	-0.396	0.068	-3.02	-2.308	-2.783	-2.473	-2.08	-2.899	-3.834
"YDR417C"	0.363	0.597	-1.09	-4.279	-5.062	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	-1.201	-1.288	-1.974	-1.867	0.572	-0.047	-2.149	0.405	0.714	0.454	0.405	0.683	0.559	-0.275	-0.093	-3.553	-2.61	-3.585	-3.332	-2.261	-2.404	-3.526
