	"107.heat shock 10 min"	"517.2.5mM DTT 090 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"584.17 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"1168.PHO81c vs. wild type, exp.1"	"1301.PHO81c vs. wild type, exp.2"	"2064.Hypo-osmotic shock - 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"11828.Pomona College Bio164: WT/rad27 mRNA"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14763.Ca 60min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15182.Ca 60min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34347.wt_hypo_osmotic_shock_0min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YAR027W"	0.789	-0.24	0.123	-0.118	-1.028	-1.027	0.546	0.506	1.052	1.0	0.713	0.702	0.773	0.788	-0.441	-0.456	0.594	0.807	-0.619	-1.122	-0.935	-1.308	-0.965	-0.977	-1.226	-1.186	-1.735	-1.594	-0.766	-0.839	-0.848	-0.655	-1.496	-1.124	-2.253	-1.754	2.186	2.768	3.379	1.186	2.23	3.11	3.314	1.409	-0.289	0.51	0.525	0.712
"YAR031W"	0.232	-0.297	0.437	0.21	-1.316	-0.126	0.41	0.308	0.67	0.499	0.722	1.262	1.114	0.819	0.057	0.066	0.669	0.635	-2.026	-1.287	-1.281	-0.984	-1.182	-1.731	-1.34	-1.216	-0.991	-1.039	-0.848	-1.153	-0.064	-0.978	-1.351	-1.103	-1.513	-1.386	1.925	2.334	2.057	0.054	1.638	2.361	1.882	0.244	-0.4295	0.294	0.337	0.032
"YBR005W"	1.191	0.691	0.569	0.967	-0.217	-0.549	2.202	1.124	1.293	1.907	1.797	2.188	2.178	1.415	-1.7	-1.308	0.977	1.133	-1.1	-2.159	-2.263	-2.323	-1.475	-1.694	-4.422	-4.13	-3.893	-3.73	-1.959	-2.454	-1.557	-1.343	-3.871	-3.899	-3.716	-3.295	4.067	4.507	4.329	2.506	4.133	4.457	4.176	2.521	-1.364	2.023	1.915	2.01
"YBR016W"	0.925	1.614	1.184	1.196	-0.432	-0.379	0.609	0.46	0.705	0.008	0.638	1.228	1.367	1.554	-0.237	-0.461	0.485	-0.222	-0.94	-3.536	-1.067	-0.829	-0.723	-0.807	-1.052	-1.251	-0.821	-1.027	-0.224	-0.155	-0.584	-0.06	-0.614	-1.244	-0.689	-1.073	1.564	1.955	1.844	0.648	1.636	1.522	1.622	0.759	-0.3795	1.171	1.171	1.23
"YBR287W"	1.394	0.726	1.265	1.033	-0.146	-0.762	1.175	0.273	3.755	1.098	1.247	0.61	0.837	0.707	-0.653	-0.547	0.959	1.165	-1.469	-1.094	-1.34	-1.875	-1.262	-1.354	-1.503	-1.553	-2.069	-2.227	-0.756	-1.234	-0.288	-0.701	-1.754	-1.404	-2.39	-2.462	1.842	2.497	2.48	1.337	1.729	2.588	2.767	1.102	-1.45	1.843	1.765	1.976
"YCR007C"	0.661	0.949	0.768	1.575	-0.748	-0.567	0.895	0.119	3.555	2.05	0.157	0.868	0.831	0.713	-1.183	-1.161	0.933	1.545	-1.222	-5.062	-0.123	-0.043	-0.048	-0.234	-2.033	-2.136	-3.268	-2.255	-0.258	0.079	0.135	-0.004	-2.385	-2.707	-3.624	-3.847	1.658	3.485	4.908	1.029	1.883	3.564	4.49	1.031	-0.152	0.665	0.792	0.901
"YDL010W"	0.928	0.778	1.518	1.646	-1.0	-0.425	-0.246	-0.089	2.194	1.046	-0.051	1.393	1.341	1.198	-0.457	-0.553	0.661	0.865	-0.714	-0.575	-0.582	-0.421	-0.49	-0.582	-1.333	-1.19	-1.09	-1.116	-0.273	-0.298	-0.344	-0.299	-1.09	-1.272	-1.719	-1.371	1.685	2.123	2.12	1.18	1.526	1.885	2.005	0.904	-0.367	0.482	-0.054	0.022
"YDL172C"	0.032	0.587	0.904	1.303	-0.496	-0.074	0.167	0.187	0.318	0.578	0.411	0.39	0.693	0.85	-0.522	-0.073	0.305	0.466	-0.693	-0.22	-0.619	-0.217	-0.541	-0.431	-1.143	-1.01	-1.239	-1.063	-0.455	-0.162	-0.704	-0.377	-1.239	-1.162	-1.028	-1.178	1.414	1.701	1.617	0.869	0.996	1.879	0.989	0.631	-0.332	0.488	0.216	-0.099
"YDL173W"	0.512	0.667	1.058	0.997	-0.586	0.085	0.292	0.324	0.484	0.477	0.207	0.408	0.695	0.63	-0.603	-0.192	0.522	0.405	-1.038	-0.101	-0.43	-0.473	-0.383	-0.374	-1.077	-1.138	-1.324	-1.168	-0.343	-0.309	-0.677	-0.511	-1.318	-1.37	-1.581	-1.47	1.219	1.697	1.597	0.861	1.077	1.676	1.326	0.838	-0.425	0.277	0.213	0.023
"YDL234C"	1.164	-0.211	0.827	-0.107	-0.667	-1.322	1.348	0.585	1.023	1.138	1.055	1.123	0.998	0.917	-0.962	-0.159	1.235	0.798	-1.907	-2.054	-1.812	-2.331	-1.109	-1.027	-2.48	-2.941	-1.987	-1.758	-1.42	-1.042	-1.397	-0.761	-2.284	-2.83	-3.095	-3.549	2.899	3.568	3.143	0.566	3.037	3.392	2.506	0.747	-1.608	0.774	0.711	1.263
"YDR129C"	1.437	0.807	0.433	1.596	-1.073	-0.612	0.374	0.091	1.172	0.707	0.44	0.089	0.388	0.039	-0.183	-0.571	0.826	0.328	-1.354	-2.1015	-0.518	-1.2225	-0.4015	-0.5615	-0.939	-1.085	-1.229	-1.192	-0.6235	-0.2135	-0.106	-0.4445	-1.089	-1.0475	-1.344	-1.1805	1.0465	1.462	1.791	0.6155	1.2675	1.682	2.0285	0.574	-0.3605	0.427	0.551	1.229
"YDR319C"	1.01	0.259	0.45	1.047	-0.512	-0.504	0.333	0.228	0.59	0.133	0.247	0.227	0.541	0.303	-0.273	-0.198	0.699	0.724	-2.989	-2.056	-0.163	-0.146	-0.143	-0.237	-0.777	-0.575	-1.025	-0.823	-0.21	-0.427	-0.306	-0.07	-0.535	-1.128	-1.534	-1.141	1.082	2.384	2.201	1.084	1.128	2.159	2.158	1.171	-0.727	0.709	0.777	0.683
"YER184C"	-0.079	-0.694	-0.104	-0.08	-0.524	-0.333	0.394	0.536	0.883	0.666	0.332	0.402	0.293	-0.17	-0.888	-1.271	0.836	0.453	-0.994	-2.4635	-0.6125	-0.5155	-0.294	-0.296	-2.545	-2.886	-2.4305	-1.8635	-0.7635	-0.4975	-0.313	-0.0355	-2.0775	-2.6735	-2.4765	-1.5025	1.767	2.6355	1.998	0.394	2.4315	2.6455	2.136	0.2055	-0.02	0.081	0.531	0.561
"YER185W"	-1.084	-0.048	0.353	0.432	-0.757	-0.074	0.819	0.947	NaN	1.024	0.107	1.22	1.057	0.872	-1.322	-1.229	1.111	0.936	-1.8025	-1.412	-0.3805	0.0525	0.125	0.086	-3.531	-3.501	-3.4205	-2.241	-1.0275	-1.2435	-0.3295	-0.547	-3.298	-3.7025	-3.949	-2.428	2.495	2.694	3.393	-0.094	2.9195	2.993	3.751	0.38	-1.1455	2.197	1.837	2.242
"YGL006W"	1.312	1.1365	1.0985	1.006	0.028	-0.7425	0.3605	0.0765	1.121	1.611	0.8045	1.3065	1.0355	0.9845	-1.1255	-1.0405	0.5405	0.832	-2.0855	-1.0055	-0.945	-1.289	-0.797	-0.773	-2.014	-2.188	-2.0595	-2.1755	-0.8725	-0.5175	-0.796	-0.5035	-2.1185	-1.6155	-3.1485	-2.535	2.0975	2.627	2.7525	0.9835	2.131	2.1485	3.0075	0.699	-0.758333333333333	0.345	0.472	0.176
"YGL053W"	0.944	0.436	0.57	1.126	-0.859	-0.58	0.817	0.265	0.754	0.575	0.23	1.858	2.291	1.899	-0.642	-0.961	1.174	0.71	-1.863	-0.8	-1.319	-1.541	-1.086	-1.114	-1.834	-1.942	-1.56	-1.377	-0.903	-1.063	-0.875	-0.881	-1.497	-1.707	-2.268	-1.891	3.303	3.743	3.434	1.408	3.551	3.683	3.791	1.315	-0.6175	0.568	0.814	0.825
"YGL165C"	1.423	0.367	0.545	0.982	-0.627	-1.069	0.688	0.614	0.423	0.375	0.041	1.584	2.046	1.496	-0.788	-0.866	0.759	0.995	-0.69	-3.348	-1.62	-1.465	-1.197	-1.068	-0.999	-1.127	-0.917	-0.88	-1.589	-1.783	-1.623	-1.238	-1.312	-1.336	-1.937	-1.575	2.546	2.856	2.131	1.441	2.601	2.689	2.121	1.399	-0.6845	-0.244	0.221	0.079
"YGL166W"	1.304	0.473	1.24	1.015	-0.782	-0.517	0.95	0.596	NaN	0.865	0.171	1.871	1.999	1.762	-0.866	-0.464	0.764	0.754	-1.334	NaN	-1.611	-2.098	-1.022	-1.075	-0.748	-0.992	-0.618	-0.83	-1.598	-1.5	-1.64	-0.951	-1.48	-1.353	-1.609	-1.717	2.73	2.787	2.344	1.504	2.659	2.615	2.199	1.533	-0.7555	0.117	0.154	0.513
"YGR213C"	0.4055	0.673	0.528	0.346	-0.836	-0.518	1.028	0.594	2.247	1.905	0.706	0.23	0.509	0.887	-3.811	-3.442	1.652	1.433	-2.102	-5.524	-0.626	-0.452	-0.968	-0.973	-3.554	-3.927	-4.267	-3.0	-0.985	-0.388	-0.724	-0.633	-3.098	-3.245	-5.596	-4.343	0.711	2.773	4.787	1.832	0.813	2.992	4.901	2.95	-0.1	2.149	2.268	2.645
"YGR268C"	1.9375	0.577	0.126	0.633	-0.951	-1.136	1.09	0.69	0.852	0.682	0.387	1.321	1.237	0.957	-1.158	-1.337	0.958	0.874	-2.506	-1.225	-0.405	-0.528	-0.231	-0.296	-1.252	-1.3	-1.594	-1.374	-0.627	-0.935	-1.075	-0.642	-1.285	-1.386	-1.977	-1.644	1.755	2.562	2.741	1.34	1.695	2.324	2.484	1.528	-0.364	0.956	1.728	1.392
"YHR097C"	3.3555	2.012	2.771	2.686	-0.671	-1.413	0.94	0.737	2.172	1.202	1.345	2.8	3.456	3.215	-1.646	-2.246	1.163	1.238	-0.699	-2.465	-1.882	-1.91	-1.66	-1.609	-2.127	-2.222	-2.155	-2.071	-1.246	-1.157	-0.643	-0.609	-1.157	-1.636	-2.366	-2.507	2.989	3.547	2.992	0.998	3.147	3.39	3.014	0.789	-0.502	1.617	1.681	1.913
"YJL094C"	0.759666666666667	0.8475	0.0905	0.3365	-0.683	-0.382	0.641	0.1015	0.814	0.547	0.826	0.042	0.2365	0.3365	-0.2065	-0.17	0.1235	0.7035	-2.092	NaN	-1.129	-1.417	-0.875	-1.054	-1.295	-1.245	-1.255	-0.808	-0.928	-1.016	-0.381	-0.72	-1.594	-1.626	-0.961	-0.805	1.547	1.72	1.449	-0.002	1.614	2.274	1.394	0.732	-0.255	0.847	0.7185	0.8885
"YJL171C"	1.18466666666667	1.046	0.803	1.6975	-0.321	-0.3175	1.3605	0.6755	2.442	0.603	0.8155	2.373	2.0165	1.09	-0.8835	-1.2105	1.0495	1.0985	-0.1125	-0.338	-1.557	-1.856	-0.517	-0.9205	-2.1	-2.109	-2.0265	-2.1115	-1.189	-1.4325	-0.8955	-0.6615	-1.884	-2.0105	-2.448	-1.685	2.3145	2.602	2.5145	0.8145	2.877	2.5345	3.001	1.054	-1.361	1.368	1.6215	1.7675
"YJL172W"	-0.07	0.574	0.63	0.865	-1.379	-0.931	0.831	0.387	0.248	0.432	0.504	1.689	1.41	1.273	-0.763	-1.022	0.938	1.318	-1.688	-0.459	-0.99	0.681	-0.671	-0.97	-1.955	-2.035	-2.432	-2.107	-1.293	-0.332	-1.369	-1.084	-2.457	-1.88	-2.212	-2.159	0.719	1.484	2.105	0.854	0.729	1.093	1.553	0.663	-0.258	0.922	0.343	1.119
"YKL126W"	0.839	0.9	1.015	1.422	-0.456	-0.256	0.105	0.022	0.478	0.58	0.339	0.72	1.132	1.086	-0.183	-0.384	0.878	0.899	-1.075	-1.01	-1.122	-1.851	-0.956	-0.863	-1.147	-1.073	-0.87	-0.784	-0.749	-0.449	-0.79	-0.84	-1.529	-1.267	-1.316	-1.449	1.063	1.474	1.713	0.725	1.147	1.512	1.702	0.575	-0.193	0.206	-0.062	0.508
"YKL159C"	0.847	0.448	0.563	0.948	-1.0	-0.193	0.135	0.338	1.591	1.28	0.657	0.764	0.372	0.213	-1.0	-1.025	0.872	0.229	-1.547	-0.453	-0.243	-0.176	-0.291	-0.211	-1.885	-2.12	-1.802	-1.784	-0.569	-0.35	-0.141	-0.282	-2.316	-2.064	-2.025	-1.486	1.359	2.529	2.92	0.983	1.315	2.414	2.489	1.294	-0.468	0.895	0.654	0.837
"YKL218C"	NaN	0.476	0.541	1.37	-1.123	-0.695	1.133	0.321	0.639	1.074	1.131	0.204	0.805	0.795	-0.469	-0.49	0.756	0.239	-1.29	-3.018	-0.794	-0.709	-0.605	-0.442	-1.733	-1.962	-2.239	-2.193	-0.363	-0.115	-0.122	-0.362	-1.792	-1.946	-2.679	-2.301	0.654	2.522	3.042	1.017	1.071	2.218	3.046	1.388	-0.136	1.85	1.335	2.06
"YLR054C"	1.102	0.534	0.112	0.483	-1.662	-0.948	0.256	0.095	NaN	0.26	0.218	1.048	1.159	0.899	-1.628	-1.138	-0.28	0.646	-1.483	NaN	-0.349	-0.187	-0.28	-0.356	-2.888	-2.888	-3.803	-3.387	-1.313	-0.6	0.155	-0.55	-2.654	-2.368	-4.885	-3.298	0.708	2.469	3.246	1.102	0.026	2.436	2.931	0.909	-0.586	0.253	-0.046	0.269
