	"52.Elutriation2:Sample2:Time1.5hrs"	"86.cdc15 250 min"	"405.W303a vs GZY45-15c"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1257.mec1_plus_gamma_120_min"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2144.heat shock 37 to 37, 30 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"30319.usv1("	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34351.wt_hypo_osmotic_shock_60min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YAL034C"	-0.593333333333333	-0.25	-1.99	-0.035	3.837	3.106	2.787	2.582	3.939	3.425	2.391	1.799	1.095	0.193	0.3815	0.892	1.059	1.261	0.8455	0.1615	2.369	2.611	-1.657	-0.06	0.009	-0.0675	0.182	0.225	0.04	0.037	2.691	-0.386	-0.2045	-0.4095	0.223	-0.277	0.098	0.282	-0.776	0.028	0.462	0.559	-0.149	1.791	2.219	2.213	1.911	2.233	2.544	2.843	1.91	2.139	2.944	2.209	2.358	2.023	0.276	3.215	1.686	0.956	0.871	1.369	1.421
"YBL048W"	0.2285	NaN	-0.255	-0.019	2.166	2.348	1.65	2.762	1.81	2.869	2.214	2.039	1.089	0.051	1.224	2.101	2.7535	3.8365	3.63	-0.134	2.972	2.528	-0.274	0.484	-0.2445	-0.1575	-0.132	0.028	0.263	0.009	3.344	0.0995	0.208	0.2315	-0.002	0.395	0.2	0.14	-0.014	-0.107	0.8595	1.244	0.164	4.15	3.018	4.89	4.794	4.99	4.039	4.307	4.409	4.483	4.292	4.459	3.989	4.746	-0.451	2.786	2.718	2.12	2.433	1.186	3.046
"YBL049W"	0.028	-1.006	0.088	0.3565	3.632	4.071	4.101	4.812	2.844	4.254	2.309	3.401	3.138	-0.495	2.7155	2.9925	3.8385	4.9405	5.2455	0.0915	2.982	3.192	0.2475	-0.236	-5.0E-4	0.1095	-0.24	0.282	0.104	-0.025	3.034	0.0395	0.5115	-0.0645	0.096	0.13	0.096	0.159	-0.122	-0.243	1.1725	1.3155	-0.122	3.709	3.586	3.677	4.069	4.255	3.318	3.243	4.358	4.543	4.201	4.835	4.581	5.083	-0.198	3.747	3.88	2.311	1.928	2.474	2.146
"YBL075C"	0.08	-0.268	0.411	0.56	0.954	0.685	1.92	2.774	3.214	2.242	1.99	2.691	2.861	0.106	2.137	4.503	5.688	2.994	2.8345	0.2665	1.48	1.869	0.762	NaN	0.0295	-0.0875	0.263	-0.37	0.798	-0.214	3.202	-0.5885	-0.7365	-0.5115	0.428	0.102	0.961	0.599	-0.414	0.477	1.3065	1.471	-0.385	3.691	4.812	5.245	5.01	5.09	5.644	4.531	4.407	5.162	4.062	4.722	3.951	5.537	0.598	3.971	3.972	3.082	3.776	2.533	3.191
"YBR026C"	0.126	NaN	0.586	0.8125	2.537	2.286	2.933	2.684	1.784	1.426	1.707	1.322	1.6	0.19	2.7165	2.379	2.4865	1.713	0.77	0.231	1.649	1.498	0.6985	-0.114	-0.073	-0.1325	-0.017	0.039	0.725	0.13	1.974	-0.2715	1.1035	0.748	-0.069	-0.234	-0.366	-0.288	0.207	0.293	0.6475	0.6785	-0.124	2.63	3.175	3.349	2.986	2.431	3.303	1.372	1.981	1.786	2.689	2.244	1.827	2.507	0.564	2.916	2.83	1.902	2.139	2.24	2.047
"YBR054W"	0.41	0.971	1.262	1.361	2.779	2.988	2.96	1.855	2.302	-2.571	0.922	1.173	0.469	-0.037	1.763	1.873	1.938	-1.8165	-1.415	-0.522	1.947	1.943	0.7055	NaN	0.345	0.6895	0.307	-0.312	-0.088	0.516	2.574	-0.534	-1.458	-1.451	-0.195	-0.617	-0.589	-0.608	0.096	0.456	1.169	2.0615	-0.476	3.026	3.827	4.686	4.65	4.358	4.479	3.535	3.723	4.761	2.34	2.869	3.26	5.482	0.337	5.476	4.412	2.898	3.155	3.385	2.892
"YBR116C"	1.1535	-0.861	-0.81	1.598	5.024	2.559	5.238	4.953	4.752	1.264	3.997	4.532	3.657	-0.313	2.735	3.6175	4.18	3.1755	2.713	0.2225	2.018	2.797	0.699	-0.442	0.05	0.0485	-0.319	0.209	0.166	-0.116	3.955	-0.588	-0.9815	-0.693	-0.509	-0.122	-0.502	-0.457	-0.074	0.21	1.607	1.708	0.121	5.673	4.143	5.096	4.691	6.006	1.894	3.992	3.895	3.864	6.117	5.234	3.102	4.859	-0.431	6.279	4.141	4.609	4.966	4.819	5.276
"YBR117C"	1.329	-0.933	-0.749	0.3305	4.408	0.814	3.812	3.476	1.929	-0.154	3.327	2.76	1.489	NaN	0.718	2.1175	2.124	0.4305	0.791	-0.2925	1.756	2.893	0.874	0.213	-0.2185	-0.016	0.12	0.209	0.085	-0.207	3.721	-0.2575	-0.9395	-0.508	-0.566	-1.067	-0.661	-0.72	-0.004	0.254	1.4855	-1.813	0.215	4.556	5.315	5.018	5.072	4.644	2.556	3.905	3.054	3.967	6.703	5.115	3.019	4.443	0.287	5.68	3.627	3.597	4.026	1.854	2.513
"YBR169C"	0.4665	1.014	0.276	1.6295	4.752	3.04	3.661	3.932	3.899	3.297	2.438	2.204	3.0	0.775	1.999	2.474	3.005	0.9825	1.4215	0.23	2.585	2.411	0.7795	-0.023	0.299	0.1615	0.452	0.381	0.63	-0.022	2.775	-0.571	0.1505	0.505	-0.104	-0.669	0.37	-0.021	-0.503	-0.019	1.99	1.627	-0.881	4.264	6.685	4.439	4.328	3.665	4.224	4.235	3.852	3.896	5.374	4.558	3.295	4.961	0.326	3.635	4.098	2.74	3.37	2.29	2.167
"YCR021C"	-1.648	0.1535	-0.755	1.561	5.925	4.944	5.128	4.676	3.95	2.391	5.591	5.509	4.887	1.226	2.0805	3.801	3.977	3.468	2.274	-1.021	3.906	3.685	-1.44	-0.021	-0.2	-0.6375	0.239	0.432	0.995	1.225	4.523	-0.967	-0.9975	-0.7375	0.844	0.715	0.483	0.54	0.309	-0.071	2.358	2.837	0.226	5.504	6.079	7.189	6.906	6.514	5.626	8.394	8.28	7.519	6.801	7.391	6.274	7.101	-0.462	6.387	5.332	4.069	4.329	4.832	4.457
