	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1251.mec1_plus_gamma_20_min"	"1252.mec1_plus_gamma_30_min"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7549.33C no sorbitol 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12744.heat shock 17 to 37, 20 minutes"	"13496.G0 mRNP vs. Poly"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"32253.DBY8778_heat_shock2_15min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38154.03II01 batch p10"
"YAL068C"	0.747	-0.304	-0.232	-0.615	-0.009	-0.363	-0.077	-0.034	-0.787	-0.583	-0.259	-0.217	-0.513	-0.219	-0.188	-0.266	-0.752	-0.214	0.241	0.227	0.517	0.488	1.538	1.059	0.011	-1.236	0.036	-0.262	-0.117	0.218	-0.28	-0.26	0.942	0.244	1.036	1.353	1.315	1.085	0.852	-0.801	-0.709	NaN	NaN	0.889	-0.636	-0.541	-0.337	-0.358	0.653	0.637	0.644	0.471	0.505	0.235	0.372	0.411	0.014	-0.864	-0.023	-0.268	-1.586	-0.161	-0.027	-0.062	-0.232	-0.048	-0.594	-0.998	-0.355	-0.341	-0.358	0.369	0.905	0.652	-0.343
"YBR301W"	0.554	0.281	0.154	-0.766	0.057	0.149	0.487	0.521	0.108	-0.048	-0.039	-0.196	-0.2805	-0.116	-0.075	-0.021	0.124	0.031	0.841	1.184	1.288	1.038	1.539	1.982	0.546	-0.753	1.037	0.644	0.368	0.793	0.907	0.171	1.027	0.54	1.208	1.273	1.3885	1.3025	0.8745	-0.558	-0.633	0.259	0.06	0.853	-0.533	-0.386	-0.343	-0.505	1.093	1.146	1.083	0.709	0.637	0.745	0.438	0.3775	0.3	-0.743	0.064	-0.651	0.024	-0.15	-0.182	-0.548	-0.262	-0.443	-0.503	-0.804	-0.134	-0.207	0.111	0.741	1.469	0.66	0.446
"YCR104W"	0.534	0.33	0.088	-1.094	-0.145	0.25	0.516	0.536	0.511	0.189	-0.1	-0.095	-0.206	-0.091	-0.173	-0.011	0.088	0.111	0.803	0.818	0.959	0.903	1.523	1.631	0.915	-0.835	1.067	0.275	0.071	0.621	0.696	0.026	0.9335	0.3595	1.0475	1.1135	1.3395	1.1715	0.9725	-0.305	-0.473	-0.01	-0.432	0.798	-0.483	-0.251	1.044	-0.779	1.067	1.093	0.963	0.671	0.741	0.563	0.384	0.5035	0.801	-0.709	-0.248	-0.655	0.058	-0.237	-0.486	-0.955	-0.8	-0.049	-0.422	-0.926	-1.349	-1.129	0.568	1.428	2.159	2.058	0.432
"YDL199C"	2.116	2.7	2.026	1.305	0.959	1.648	2.053	1.82	0.465	0.251	0.989	0.367	1.298	0.674	1.082	1.299	0.974	0.507	3.613	3.263	2.856	2.72	3.28	4.082	3.316	0.882	1.804	2.531	1.984	1.955	1.354	0.853	3.993	2.022	2.729	3.114	3.13	3.12	2.061	-0.346	-0.574	2.07	2.842	1.315	-0.364	-0.888	1.446	-0.291	1.004	1.62	1.333	0.952	1.332	1.971	1.289	1.783	2.653	0.006	0.747	1.088	-2.145	0.695	0.878	1.125	0.466	0.826	0.55	-0.293	1.294	0.177	1.647	1.15	1.567	2.393	-0.27
"YDL204W"	3.317	5.01	5.128	3.772	3.181	3.877	4.936	4.887	2.868	3.83	4.522	1.725	3.088	2.347	3.701	4.204	3.549	2.461	5.851	4.733	4.685	5.32	5.69	5.571	5.749	3.09	3.859	4.975	4.604	4.28	3.903	2.54	4.66	4.854	5.274	5.34	5.75	7.317	5.93	2.016	0.994	4.234	3.477	4.511	1.838	1.84	4.834	2.488	3.455	4.067	4.561	3.761	4.115	4.52	4.418	4.402	5.38	0.358	2.083	3.647	0.122	2.744	2.333	3.582	2.208	3.467	5.29	3.183	4.309	3.5	3.876	3.492	3.424	2.645	3.209
"YDR542W"	0.428	0.306	0.169	-0.228	-0.491	0.032	0.508	0.3	-0.031	-0.263	0.234	-0.16	0.516	-0.02	-0.32	-0.216	0.053	-0.067	0.462	0.668	0.868	0.546	1.929	1.428	1.176	-0.414	0.493	0.105	0.385	0.561	0.351	0.068	0.759	0.388	1.215	1.558	1.3	0.916	0.87	-0.701	-0.658	-0.092	-0.129	0.851	-0.676	-0.633	-0.237	-0.598	0.944	1.017	0.812	0.608	0.644	0.725	0.497	0.628	0.912	-0.446	0.1525	-0.28	-2.4005	0.056	-0.3835	-0.099	0.1845	-0.2	-0.3755	-0.685	-0.8275	-1.499	0.626	1.162	0.816	0.407	0.08
"YFL014W"	6.328	6.892	6.782	5.905	7.281	7.608	7.123	7.628	2.795	4.338	5.182	4.671	4.714	4.033	6.369	6.116	6.623	6.54	5.794	5.399	4.088	6.044	5.422	6.344	4.533	3.257	3.779	4.109	5.246	5.355	4.245	5.87	6.618	5.819	5.357	6.09	5.141	6.362	4.691	1.799	1.666	3.716	3.849	6.886	3.737	3.456	2.485	2.51	5.993	6.04	6.382	5.855	5.705	2.253	4.636	4.584	7.174	0.882	3.072	3.1955	-0.7065	3.865	2.992	3.6535	3.155	2.496	3.4915	3.028	3.226	3.3845	5.664	5.299	6.19	4.991	5.086
"YFL020C"	0.457	0.324	0.096	-0.35	0.426	-0.173	0.326	0.628	-0.22	0.182	0.074	-0.005	-0.078	0.116	0.125	0.083	0.407	0.3	1.022	1.295	1.328	1.355	1.349	1.595	1.176	-0.72	0.584	0.222	0.323	0.877	0.606	0.518	1.275	0.855	1.239	1.256	1.361	1.219	1.153	-0.385	-0.485	0.254	-0.092	1.05	-0.109	-0.337	0.116	0.054	1.128	1.325	1.071	0.775	0.83	0.806	0.806	0.814	0.156	-0.795	0.123	-0.055	-0.965	-0.107	-0.254	-0.1575	0.052	0.043	-0.096	-0.6455	-0.181	-0.544	1.914	1.348	2.488	1.923	1.869
"YGL261C"	0.678	0.552	-0.12	0.015	-0.095	0.158	0.462	0.48	-0.148	-0.211	0.047	-0.178	-0.247	-0.159	-0.274	-0.196	0.034	0.044	-0.018	-0.038	0.259	0.314	0.835	1.243	0.508	-1.018	0.622	-0.259	-0.077	-0.112	0.054	0.133	0.795	0.538	1.189	1.45	1.423	0.767	0.884	-0.803	-0.989	0.178	0.278	0.898	-0.624	-0.691	-0.114	-0.732	0.722	0.848	0.594	0.284	0.396	0.902	0.751	0.417	0.774	-0.923	-0.162	-0.492	-0.473	-0.181	-0.093	-0.235	0.059	-1.076	-0.446	-0.726	-0.221	-0.389	0.737	1.472	1.453	1.064	0.036
"YGR043C"	3.734	5.04	5.049	4.045	3.768	2.61	5.232	4.833	2.106	2.415	3.406	3.422	4.576	0.945	2.615	3.773	3.308	3.909	5.679	4.9	5.707	5.692	6.003	5.571	5.458	4.569	2.993	4.673	4.765	4.955	4.843	3.306	5.014	5.207	5.063	5.593	5.207	6.53	5.288	1.44	0.985	3.962	3.122	4.853	2.977	0.904	3.433	0.762	4.445	5.025	5.539	4.531	4.874	4.615	3.238	3.293	5.961	-0.002	3.806	4.694	1.157	4.617	4.377	4.705	4.833	3.152	4.843	4.579	4.573	4.017	4.675	3.37	3.555	3.447	3.213
