	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"800.Heat Shock 015 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YAL008W"	0.394	0.702	0.889	0.372	0.138	0.545	0.801	-0.851	0.662	0.133	0.1255	2.098	1.361	1.194	-0.013	0.516	1.373	1.012	0.443	0.16	1.191	0.887	0.44	0.45	-0.319	0.469	0.134	0.528	0.668	0.072	0.135	0.239	0.13	0.988	1.1	0.735	1.009	0.609	1.017	0.478	0.686	2.002	0.175	0.087	-0.044	0.219	1.618	1.513	1.405	1.638	2.726	1.734	2.203
"YAR028W"	0.206	0.669	0.502	0.293	0.021	0.409	0.463	-1.092	0.118	0.146	0.3415	2.048	0.546	0.163	0.005	0.84	0.421	0.243	0.899	0.1405	1.775	0.977	-0.034	-0.002	0.133	-0.087	-0.389	-0.267	-0.388	-0.262	-0.194	-0.348	0.964	0.774	0.288	0.62	0.706	0.225	0.983	0.645	0.721	0.435	-0.072	-0.021	0.023	0.212	1.346	1.261	1.482	1.312	1.83	1.109	1.28
"YBL015W"	1.27	2.275	2.554	1.89	1.373	1.991	2.07	-0.711	1.204	-0.1595	0.4265	5.024	5.917	6.238	1.0	3.054	2.42	3.555	4.465	0.118	2.922	3.768	0.5	1.162	0.73	0.406	0.901	1.241	0.991	0.695	1.269	1.056	2.179	1.247	0.735	2.919	4.406	4.118	3.333	4.665	4.922	4.309	-0.109	-0.254	0.064	0.016	2.012	3.019	3.638	2.275	2.679	2.555	3.136
"YBL064C"	2.253	3.38	3.764	3.794	3.768	4.454	4.288	-1.199	1.355	0.8975	2.379	3.751	4.025	3.988	2.277	2.167	2.713	2.825	4.107	1.057	3.796	3.437	0.948	3.009	-0.048	0.561	2.142	2.953	2.933	2.215	2.71	2.758	4.937	4.277	3.627	3.768	3.992	3.838	4.371	4.314	3.589	4.618	0.528	0.094	-0.381	-0.108	3.274	3.072	3.211	3.589	4.302	3.609	3.88
"YBR062C"	0.593	1.354	0.87	1.143	0.774	1.231	1.166	-0.972	0.603	0.3785	0.1455	1.733	1.049	1.463	0.425	1.527	1.066	1.041	0.602	0.383	1.508	0.779	0.147	0.433	-0.534	0.111	-0.047	0.364	0.965	-0.121	0.036	0.389	1.77	0.399	0.749	1.209	1.195	1.277	1.046	0.73	0.576	0.288	-0.691	-0.553	-0.256	-0.35	1.662	1.413	1.705	1.243	1.761	1.579	1.542
"YBR072W"	2.931	3.885	3.887	3.876	2.858	2.693	3.52	-1.167	1.905	0.715	0.684	6.093	5.199	5.621	0.509	4.833	5.101	5.494	4.395	2.24	3.802	3.313	1.236	3.297	-0.022	0.437	3.412	2.118	2.859	1.052	1.273	1.083	4.415	4.278	3.765	4.847	4.309	4.529	4.368	5.026	3.864	6.476	0.927	1.543	0.69	-0.078	4.455	4.285	4.891	4.533	4.646	4.231	5.119
"YBR111C"	0.146	1.214	1.331	0.835	1.507	1.559	1.267	-0.897	0.31	0.459	-0.135	1.923	0.445	0.064	1.101	0.627	0.609	0.424	0.338	-0.119	1.564	1.058	-1.648	0.159	-0.953	-0.12	-0.48	0.045	-0.01	0.387	0.42	0.308	2.15	1.012	1.666	2.074	1.771	1.915	1.562	1.238	1.073	0.227	0.218	0.077	-0.098	-0.029	1.659	1.255	1.181	1.728	2.198	1.75	0.909
"YBR241C"	0.829	1.651	3.084	2.719	2.322	2.947	2.743	-1.324	0.851	0.1845	0.261	3.303	3.763	0.478	1.343	0.314	2.04	1.841	1.666	-1.218	3.148	1.985	0.05	1.597	0.585	0.442	1.635	2.473	2.175	0.974	1.565	1.969	3.139	3.143	2.026	3.507	3.03	2.881	3.953	3.821	2.781	3.891	0.364	-0.111	-0.1	0.051	1.17	3.092	2.736	1.324	1.717	1.291	1.583
"YBR269C"	1.035	1.89	2.295	1.736	1.684	1.869	1.954	-0.758	0.867	0.1255	0.07	2.741	2.945	2.559	0.725	1.66	1.892	1.738	1.4035	0.3225	1.756	1.543	1.179	1.229	0.026	0.89	1.049	1.639	1.818	0.981	1.033	1.329	1.514	1.305	1.858	2.787	2.806	2.464	3.255	2.921	2.478	2.659	0.338	0.397	0.32	-0.06	1.557	1.761	1.808	2.166	2.849	2.368	1.531
"YBR298C"	2.278	2.049	2.229	1.074	1.237	1.153	1.067	-0.776	0.423	1.032	0.6865	4.291	2.182	1.778	1.063	2.43	1.756	1.804	2.5875	-0.224	1.695	2.526	0.039	1.169	-0.11	-0.272	0.486	0.77	0.349	0.383	0.748	0.881	1.613	1.029	0.468	2.325	2.033	1.448	2.718	1.901	1.485	1.533	-0.267	-0.446	-0.015	0.099	2.093	4.051	4.571	1.344	0.794	2.312	2.298
