	"56.Elutriation2:Sample2:Time3.5hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"297.Kb vs. Ctrl"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"814.DBYmsn2-4- 37degree heat - 20 min"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"976.wt_plus_gamma_5_min"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1173.PHO4c vs. wild type"	"2064.Hypo-osmotic shock - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"4784.29C to 33C - 90 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"6824.Sporulation t0"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"8247.steady state 36 dec C: y14n095"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32250.DBY8778_heat_shock2_0min"	"32253.DBY8778_heat_shock2_15min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38149.03II01 batch p5"
"YAL015C"	-0.2605	-0.1955	-0.1345	0.346	0.094	0.0	0.3025	-0.312	1.017	0.588	0.053	-0.771	-0.43	-0.761	-1.456	0.453	-0.329	-0.138	-0.063	0.454	-0.0235	-0.1855	0.394	-0.0855	-0.036	0.056	NaN	-0.419	-0.051	0.651	0.953	-0.07	0.454	0.345	0.0545	-0.102	0.605	1.711	0.278	0.124	0.425	0.658	0.411	0.122	0.312	-0.082
"YAR008W"	-0.46	-0.3295	-0.472	-0.807	-0.6	0.389	-0.1155	1.374	-0.622	-0.039	-0.848	-0.509	-1.363	-1.722	-1.466	-0.857	-0.887	-0.793	-0.57	-1.246	-0.4365	-0.176	-0.3575	-0.567	-0.01	0.158	0.348	-0.791	-0.399	-0.478	-0.38	-0.216	0.157	1.295	0.056	-0.57	-0.699	-0.916	-0.846	-0.785	-0.933	-1.917	-1.381	-0.731	-1.516	-0.69
"YBL027W"	0.819	0.475	-0.028	-2.978	-3.487	-0.596	-1.5715	0.836	-2.851	-2.474	-2.081	-1.613	-1.606	-2.671	-5.577	-1.996	-2.494	-2.654	-2.507	-2.33	-0.2765	0.318	-3.9845	0.232	-0.218	0.193	0.483	0.22	0.044	-1.198	-1.926	0.25	-0.627	0.336	-1.3565	-3.078	0.51	-2.107	1.23	-3.528	-3.012	-3.351	-3.139	-2.319	-2.291	-0.039
"YBL064C"	0.1155	0.229	0.5535	4.454	4.288	1.93	0.941	-1.965	3.751	4.025	3.988	3.559	3.051	2.962	-0.857	2.277	2.713	2.825	2.387	2.13	1.4695	0.55	4.107	1.057	0.171	-0.094	-0.209	-0.363	0.479	1.372	1.122	0.429	2.189	1.022	1.788	4.937	0.899	4.277	0.715	3.768	3.992	4.371	4.314	3.589	4.618	0.994
"YBR053C"	-0.7785	-0.012	0.31	3.221	3.327	0.4995	1.3995	-0.547	2.807	2.083	1.959	1.72	1.07	-0.031	-1.689	1.393	1.172	1.441	1.246	0.619	1.1395	0.4475	3.252	0.3075	0.244	0.118	-0.118	0.26	0.495	0.509	0.976	0.1	1.375	0.435	0.942	4.137	-0.062	2.189	-0.022	2.828	2.588	3.16	3.009	2.267	1.742	0.609
"YBR084W"	0.202	0.17	0.0575	-3.49	-3.539	-1.4615	-1.096	1.581	-4.143	-3.145	-3.201	-2.722	-4.006	-4.365	-5.362	-1.888	-2.317	-2.197	-1.44	-1.534	-1.416	-0.02	-2.3585	-0.1895	0.214	0.254	-0.268	0.082	-0.045	-0.94	-1.163	-0.442	-0.963	0.125	-1.275	-4.142	-0.826	-4.322	0.528	-3.705	-2.757	-4.104	-3.283	-2.324	-2.592	0.866
"YBR189W"	0.833	0.4475	-0.0865	-3.868	-4.446	-1.0835	-1.4635	0.827	-3.784	-3.224	-3.356	-2.463	-2.355	-2.065	-4.702	-1.982	-3.071	-3.483	-2.334	-2.025	-0.638	0.4715	-3.678	-0.59	-0.506	0.145	0.2495	0.136	0.243	-1.38	-1.902	0.296	-2.041	-0.182	-2.165	-3.818	0.486	-2.84	0.486	-4.874	-3.763	-4.739	-3.572	-3.188	-3.569	-0.239
"YDL063C"	-0.59	-0.577	-0.72	-2.864	-2.304	-1.0	-0.696	1.155	0.085	-2.723	-3.169	-2.319	-1.826	-1.564	-3.701	-2.057	-0.719	-0.923	-0.324	-0.193	-0.812	-0.321	-2.168	-0.182	0.001	0.028	-0.501	-0.5165	0.047	-0.211	-1.359	-0.332	-1.059	-0.032	-1.124	-3.467	-0.653	-3.005	-0.787	-2.274	-2.579	-3.127	-2.796	-1.54	-0.883	-0.787
"YDL201W"	0.322	-0.494	0.015	-2.515	-1.652	-0.434	-0.943	0.588	-3.282	-2.32	-1.899	-1.819	-1.952	-1.537	-4.94	-1.858	-2.29	-2.112	-1.765	-1.625	-1.271	0.199	-2.178	0.193	-0.187	-0.059	0.236	-0.0685	0.023	-0.966	-1.212	0.306	-1.413	-0.401	-1.052	-2.398	-0.786	-2.621	-0.308	-2.098	-1.705	-2.492	-1.838	-1.138	-0.792	0.596
"YDR025W"	0.514	0.298	-0.264	-3.031	-3.248	-1.0	-1.745	0.848	-3.904	-3.548	-3.252	-2.573	-2.705	-3.393	-6.697	-2.477	-3.357	-3.356	-3.471	-3.326	-0.628	0.191	-4.504	0.446	-0.141	0.188	0.349	-0.116	0.427	-1.471	-2.376	0.144	-0.704	-0.211	-2.25	-3.042	0.223	-2.278	0.925	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	0.26
