	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"983.wt_plus_gamma_120_min"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"21657..24 mM H2O2- 063 minutes"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"30463.Pomona/Brown pol2-12 red"	"30464.Rich vs. Minimal II"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YAR074C"	0.193	-2.289	1.547	-3.038	-2.968	-2.027	-2.048	-1.315	-0.0815	-1.293	-1.8415	-2.013	0.1915	0.791	-0.161	0.362	0.105	0.17	-1.099	-0.0405	-0.766	-2.185	-1.309	-2.068	-2.165	-2.493	-1.653
"YAR075W"	0.492	-2.296	-2.875	-4.482	-4.212	-2.65	-3.123	-3.18	-0.135	-2.115	-2.55	-2.789	0.305	0.974	-0.355	0.783	-0.025	-0.107	-0.5	-1.257	0.328	0.298	-1.481	-1.92	-2.695	-2.155	-1.82
"YBL027W"	1.77	-2.0	-1.606	-2.671	-5.577	-2.494	-2.654	-2.507	-0.2015	-1.9795	-2.114	-3.148	0.8305	2.086	-0.007	0.31	0.213	0.2665	-1.5895	-1.535	0.356	-0.5595	-3.528	-3.012	-3.351	-3.139	-2.319
"YBR084W"	1.122	-2.908	-4.006	-4.365	-5.362	-2.317	-2.197	-1.44	-0.424	-1.934	-2.75	-2.725	0.0215	0.5955	-0.015	0.04	0.223	0.198	-1.981	-1.082	-0.553	-2.999	-3.705	-2.757	-4.104	-3.283	-2.324
"YBR166C"	-0.434	-1.0985	-1.407	-2.2345	-3.0285	-0.7975	-0.6195	-0.887	-0.2825	-0.965333333333333	-1.83066666666667	-1.03266666666667	-0.299	-0.0856666666666667	-0.174	-0.023	0.176	0.2665	-0.4395	-0.1205	0.255	-0.1755	-1.148	-1.018	-0.664	-0.833	-0.522
"YBR191W"	1.992	-1.912	-2.071	-3.167	-5.241	-3.152	-3.411	-2.563	0.304	-2.3795	-2.6255	-3.136	-0.4195	1.1285	0.1555	0.68	0.299	0.44	-1.3145	-1.16	0.3025	0.589	-3.687	-3.657	-2.427	-3.266	-2.298
"YBR212W"	-0.633	2.283	1.936	3.329	3.128	1.824	1.89	1.746	0.214	4.222	4.5675	3.4615	-0.93	-1.007	-0.1455	-0.116	-0.229	-0.09	0.632	-0.118	0.459	-0.646	2.252	1.337	2.491	1.768	1.525
"YCL045C"	0.967	-1.0965	-0.733	-3.044	-3.911	-1.1955	-1.4795	-1.516	-0.0265	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.411	0.696	0.0683333333333333	-0.162	0.1105	0.074	0.089	-0.145	0.4765	-0.0915	-1.498	-1.65	-1.372	-1.352	-0.797
"YCR031C"	2.279	-2.522	-3.131	-3.359	-5.91	-2.838	-3.14	-2.435	-0.051	-0.3405	-1.596	-2.7125	0.4585	1.964	0.083	0.269	0.4015	0.3205	-0.947	-0.9685	0.184	-1.28	-2.544	-2.418	-3.229	-3.09	-2.546
"YCR053W"	1.305	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-0.284	-2.429	-3.1075	-2.714	0.4985	1.3965	-0.025	-0.175	0.123	-0.013	0.33	-0.21	0.179	0.761	-2.722	-2.601	-2.7365	-2.51	-2.2205
