	"120.w303a vs w303a fkh1 fkh2"	"404.W303a vs GZY29-3b"	"405.W303a vs GZY45-15c"	"409.heat shock 25 to 37, 20 minutes"	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"827.wt vs zap1 - 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13067.Na/Na+FK 45min (1)"	"17676.Na+FK 45min (4)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34368.batch 02X25 7"
"YAL065C"	0.315	-0.3155	-0.155	0.252	-1.1675	-0.102666666666667	-0.143	-0.338666666666667	-0.764	1.1665	1.0175	1.24	1.254	1.137	1.62	2.0365	0.45	0.4285	1.04966666666667	1.23833333333333	1.53333333333333	1.615	2.44866666666667	2.833	2.012	-0.555	0.249	0.71	-0.2635	-0.2625	-0.074	-0.69	-0.3495	-0.0895	-0.253	0.056	0.1255	0.655	0.503	0.828666666666667	0.862666666666667	0.718333333333333	1.317	-0.252	-0.11	-0.138333333333333	0.7645	1.223	0.722	1.213	0.7595	0.96	0.9165
"YBR147W"	-0.13	1.968	0.061	1.465	-0.663	1.0195	1.2525	0.926	0.09	2.527	3.946	3.882	3.475	3.896	4.309	4.268	2.791	2.353	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	0.4715	3.082	2.89	0.022	1.545	0.279	1.234	1.598	1.816	1.049	1.462	1.549	3.883	2.6205	2.871	3.1115	2.8695	3.421	2.181	0.369	1.1975	3.275	4.38	2.803	4.452	3.294	4.622	2.06
"YCL070/73C"	0.1845	-0.777	0.038	-0.3955	-1.2005	0.162	0.126333333333333	0.274333333333333	-0.451	1.1505	0.5365	1.072	0.8895	1.376	1.05	0.7215	0.194	0.412	0.936666666666667	1.004	1.22633333333333	1.66866666666667	3.02666666666667	2.822	1.935	0.344	0.082	0.2	-0.034	0.16	0.1415	0.02	0.3955	0.418	0.125	0.14	0.312	0.5285	0.535	0.743333333333333	0.842666666666667	0.683333333333333	0.632333333333333	0.372	-0.0455	0.7465	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YDL204W"	0.226	2.699	0.491	4.936	-0.77	1.725	2.654	3.088	0.197	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.346	3.903	4.66	4.854	5.274	5.34	5.75	7.317	5.93	-0.042	4.234	3.477	2.045	4.511	1.619	3.455	4.067	4.561	3.189	3.761	4.115	4.52	3.839	4.418	4.402	3.661	4.467	5.38	1.001	3.58	5.526	4.943	4.367	4.642	3.788	4.76	2.645
"YDL243C"	-0.311	-1.2035	-0.4525	-0.0615	-0.6725	-0.081	-0.0235	-0.159	-1.2615	0.9645	0.7905	0.939	0.7055	0.6085	1.0535	1.617	0.718	0.204	0.692	0.7715	1.157	1.759	1.7235	2.0405	0.7085	-0.09	0.047	0.455	-0.3085	-0.096	-0.2115	-0.239	0.002	-0.044	-0.1505	-0.0415	0.043	0.6255	-0.1815	0.5535	0.7825	0.8065	0.988	-0.0525	-0.301	-1.034	0.1155	0.306	0.2635	0.092	-0.1905	0.747	0.467
"YDR262W"	0.4075	0.0945	0.167	0.844	-0.2875	0.8595	0.6435	0.8695	0.3895	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	1.6855	1.6875	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	0.2215	1.191	1.36	0.222	1.4115	0.1365	1.0275	1.353	1.3465	0.543	1.12	1.167	2.2315	1.5505	2.226	2.8725	2.6455	3.067	0.793	-0.2255	0.847	2.14	2.6925	2.8525	2.334	2.1775	2.708	2.2825
"YFL056C"	-0.132	-1.372	-0.626	0.516	-0.16	0.108	0.199	-0.096	-0.77	0.991	1.405	1.31	0.894	1.404	1.218	0.949	1.396	0.968	1.26	1.015	2.035	1.887	2.02	2.298	1.689	-0.32	0.785	1.077	-0.528	-0.156	-0.32	-0.088	0.174	0.266	-0.095	0.289	0.457	0.4035	-0.047	0.609	1.328	1.13	1.538	0.06	-0.231	-0.023	1.252	-0.099	1.282	0.122	1.314	0.613	0.725
"YFL057C"	-0.405	-0.791	-0.697	-0.2175	-1.4145	-0.2155	-0.281	-0.0605	-0.589	0.191	0.2285	0.383	-0.46	0.3455	0.6515	1.6735	0.486	0.233	0.678	0.5365	1.006	1.0995	2.059	1.8335	1.5885	-0.502	-0.445	-0.348	-0.9175	-0.1455	-0.4935	-0.5385	-0.256	-0.1665	-0.408	-0.149	-0.013	0.496333333333333	0.3145	0.574	0.6655	0.6535	0.7855	0.0385	-0.495333333333333	-1.422	0.6185	0.804	0.8745	0.3795	1.068	1.0275	0.421
"YGL184C"	-0.252	-0.678	-1.386	0.508	-1.546	0.927	0.339	0.231	-0.548	1.305	1.095	1.838	2.0	3.012	4.156	3.784	1.786	1.508	1.349	1.688	2.152	1.432	2.004	3.576	2.512	-1.113	1.594	1.012	0.4	0.526	0.245	0.56	0.868	1.263	0.444	0.527	0.8	2.011	0.564	1.262	1.984	2.273	3.465	0.384	-0.176	0.316	0.481	0.459	0.734	1.491	0.465	1.48	0.377
"YGR088W"	0.637	1.439	0.64	5.213	-1.234	2.547	4.484	4.317	1.701	6.03	3.589	5.131	5.593	6.165	5.734	4.754	3.823	4.067	4.878	5.242	6.064	6.265	5.206	6.919	6.036	2.03	3.937	3.389	3.124	5.535	1.319	4.761	5.015	4.802	4.026	4.788	5.016	4.381	4.123	4.536	4.467	3.584	3.827	6.94	1.082	4.358	4.087	3.753	4.258	5.244	3.587	5.949	3.224
