	"56.Elutriation2:Sample2:Time3.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YER157W"	-0.135	-0.058	-0.194	-0.554	-2.251	-3.026	-0.913	0.101	-0.606	-0.395	-0.305	-0.376	-0.444	-1.118	-1.266	0.045	0.17	-0.052	0.018	0.106	0.1655	-1.166	-1.055	-2.908	-2.002	-2.469	-1.714	-0.621	-0.212	-0.159	-0.21	-0.979	-0.765	-0.173	-0.727	-0.672	-0.565	-0.382
"YFR005C"	-0.081	-0.265	-0.237	-1.517	-2.379	-1.828	-1.244	-0.203	-0.889	-1.235	-0.982	-1.456	-1.337	-1.895	-1.511	-0.102	0.46	0.151	-0.195	0.093	-0.163	-0.82	-0.723	-0.893	-0.219	NaN	-0.471	-0.878	-0.066	-0.245	0.072	-0.964	-1.019	-0.58	-0.597	-0.94	-1.139	-0.711
"YGL107C"	0.271	0.123	-0.267	1.143	-2.708	-3.138	-0.847	0.144	0.638	-0.379	-0.57	-0.373	-1.618	-1.576	-1.936	0.085	0.059	0.061	0.289	0.239	0.067	-0.682	-1.471	-1.557	-0.815	-1.465	-0.493	-0.545	0.088	0.047	0.004	-0.342	-1.402	-1.15	-1.239	-1.383	-0.972	-1.196
"YGL115W"	-0.014	-0.015	-0.075	0.706	-1.41	-3.416	-0.868	0.324	0.447	-0.61	-0.37	-0.393	-1.21	-1.389	-1.566	0.24	-0.118	-0.113	0.174	0.331	0.032	-1.28	-0.899	-1.294	-1.566	-1.38	-1.415	0.712	-0.166	0.01	-0.459	0.867	-0.022	-0.237	0.128	0.126	0.06	-0.069
"YGL120C"	0.069	0.002	0.047	-4.557	-4.088	-5.111	-2.813	0.244	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-0.116	-0.568	0.0	0.081	0.141	0.22	-2.598	-1.497	-1.847	-1.374	-1.609	-1.166	-3.416	-0.078	0.001	0.041	-1.985	-2.319	-2.199	-1.106	-0.371	-0.883	-1.284
"YGL231C"	0.103	-0.261	0.179	-0.43	-1.893	-3.788	-1.026	0.326	-0.69	-0.64	-0.361	-0.357	-1.455	-1.7	-1.822	0.052	0.001	-0.082	-0.217	0.116	0.357	1.297	1.139	1.054	0.84	0.676	1.319	-0.254	0.191	0.209	0.427	0.019	-0.855	-0.068	0.565	-0.119	0.552	0.778
"YGR200C"	-0.185	-0.308	0.173	-3.964	-2.863	-3.668	-1.625	0.098	-0.958	-1.1	-1.274	-1.456	-1.861	-2.863	-2.446	0.108	-0.75	-0.037	-0.176	0.252	0.181	-1.49	0.94	-0.912	-0.943	-0.037	NaN	-1.471	-0.223	-0.654	-0.376	-1.166	-1.236	-1.18	-0.517	-0.887	-1.272	-0.746
"YGR229C"	0.458	0.07	0.172	-0.832	-2.847	-4.256	-1.316	0.222	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.106	-0.459	0.076	0.061	0.0	0.031	-1.465	-0.611	-1.148	-1.043	-1.118	-1.013	-0.809	-0.315	-0.252	-0.172	-1.256	-1.232	-1.084	-0.978	-1.097	-1.625	-1.283
"YGR285C"	0.218	0.166	0.253	-3.959	-4.078	-6.1	-1.393	-0.065	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.256	-1.286	0.15	-0.78	0.02	0.541	-1.619	-1.636	-1.057	-1.372	-1.638	-0.796	-2.607	0.381	0.457	1.074	-1.679	-2.156	-1.5	-0.88	-1.667	-1.135	-1.688
"YHR020W"	0.635	-0.097	0.8	-4.019	-2.69	-4.045	-2.045	0.286	-2.195	-1.642	-1.649	-1.837	-1.718	-2.26	-2.19	0.291	-0.081	-0.16	-0.26	-0.017	0.137	-0.776	-1.882	-2.113	-1.258	-1.769	-1.493	-2.822	0.147	0.594	0.234	-1.678	-1.982	-1.193	-1.709	-1.756	-1.542	-1.68
