	"56.Elutriation2:Sample2:Time3.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YKR026C"	0.197	-0.087	0.064	-3.144	-2.863	-3.755	-1.681	0.324	-1.723	-1.296	-1.369	-1.003	-1.858	-2.363	-2.231	0.123	-0.172	0.595	0.053	0.226	0.038	-0.7	-1.274	-1.141	-1.541	-0.77	-1.213	-1.851	-0.254	-0.326	-0.47	-0.708	-1.406	-0.971	-1.173	-1.362	-0.799	-1.335
"YKR059W"	0.513	0.094	0.58	-2.144	-2.817	-4.998	-2.238	0.355	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.175	-0.418	0.062	0.323	0.514	0.059	-2.861	-2.639	-1.993	-2.239	-2.057	-2.358	-2.0	0.198	0.264	0.301	-1.514	-2.329	-1.931	-1.908	-2.161	-2.465	-2.469
"YKR082W"	-0.042	-0.072	-0.059	-0.889	-2.473	-2.648	-1.633	-0.057	-1.922	-1.054	-0.885	-1.249	-1.45	-1.895	-2.598	-0.075	-0.357	-0.053	-0.336	-0.036	-0.152	-0.98	-1.314	-1.189	-1.225	-1.156	-0.776	-1.24	-0.27	-0.112	-0.156	-0.463	-0.869	-0.824	-0.97	-1.377	-0.888	0.027
"YLR060W"	0.612	0.456	0.52	-3.165	-4.941	-5.967	-2.566	0.369	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	-0.352	-0.212	-0.082	0.376	-0.058	-3.103	-3.176	-3.552	-3.204	-4.441	-3.498	-2.666	-0.183	0.037	0.079	-1.591	-2.55	-2.175	-2.049	-1.932	-1.31	-1.459
"YLR175W"	-0.124	-0.501	0.267	-5.607	-3.401	-5.468	-3.152	0.04	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	0.018	-1.504	0.21	0.163	0.305	0.276	-4.948	-3.558	-4.349	-4.036	-4.782	-3.935	-3.16	-0.026	-0.09	-0.685	-2.564	-3.796	-2.767	-1.757	-1.996	-2.024	-1.813
"YLR222C"	-0.011	-0.232	0.158	-4.423	-3.721	-4.745	-1.64	-0.013	-3.785	-1.613	-2.036	-2.29	-3.081	-2.929	-3.119	-0.197	0.063	0.048	0.121	0.187	-0.228	-1.115	-1.864	-1.006	-2.095	-1.809	-1.803	-1.501	-0.218	-0.229	-0.653	-1.322	-1.756	-1.389	-1.342	-1.336	-1.604	-1.002
"YLR243W"	-0.131	-0.214	-0.437	-2.943	-1.955	-3.657	-1.433	0.043	-1.95	-1.292	-1.413	-1.404	-1.542	-2.373	-1.983	-0.043	-0.096	0.041	-0.202	0.013	-0.051	-0.661	-1.501	-1.357	-1.389	-1.151	-0.981	-1.993	-0.253	-0.433	-0.257	0.713	-1.441	-0.606	-0.716	-1.047	-0.903	-0.865
"YLR276C"	0.054	-0.188	0.225	-4.467	-3.174	-5.399	0.689	-0.082	-3.49	-1.977	-1.889	-2.427	-1.866	-3.17	-3.081	-0.097	-0.672	-0.088	-0.208	0.217	-0.131	-2.604	-1.612	-1.921	-1.514	-1.981	-1.718	-1.833	-0.063	-0.187	-0.336	-0.985	-1.986	-1.141	-1.114	-1.653	-0.537	-1.155
"YLR409C"	-0.15	-0.243	0.054	-4.402	-3.204	-4.211	-2.361	0.033	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.054	-0.317	0.013	0.033	0.494	0.292	-1.345	-1.632	-1.689	-0.242	-0.494	-1.601	-1.648	-0.195	-0.357	-0.447	-1.489	-2.36	-1.595	-1.635	-1.304	-3.202	-0.8
"YML008C"	0.013	-0.049	0.897	-2.795	-4.23	-4.829	-1.09	0.139	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.143	-0.485	0.03	0.05	-0.051	-0.039	-1.111	-1.493	-1.798	-2.031	-2.323	-2.91	-2.808	0.189	0.471	0.343	-0.997	-1.599	-1.739	-0.176	-0.775	-1.669	-1.623
"YML105C"	0.122	0.056	0.181	-0.925	-3.491	-5.249	-1.701	-0.225	-0.816	-0.764	-0.945	-0.916	-1.556	-2.731	-1.698	-0.027	-0.194	-0.258	-0.078	-0.064	0.108	-1.423	-2.217	-1.479	-2.275	-1.836	-1.249	-1.307	-0.24	-0.17	-0.185	-0.386	-0.509	-0.453	-1.096	-0.784	-1.716	-1.468
"YMR049C"	0.087	-0.369	-0.162	-5.984	-4.225	-9.471	-2.152	0.078	-4.161	-1.79	-2.318	-2.279	-3.3	-3.396	-4.217	0.079	-0.983	0.032	0.15	0.266	-0.281	-3.425	-2.407	-2.619	-2.63	-2.67	-1.793	-3.559	0.178	-0.234	-0.564	-1.54	-2.216	-1.377	-1.457	-1.733	-3.077	-1.636
"YMR093W"	-0.367	-0.548	-0.034	-1.169	-3.98	-4.21	-2.068	-0.091	-3.288	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	0.007	-0.56	0.05	-0.092	-0.004	-0.173	-3.549	-1.991	-3.167	-2.267	-3.981	-3.268	-2.223	-0.3	-0.356	-0.42	-0.729	-1.969	-1.304	-0.748	-1.09	-1.853	-1.921
"YMR114C"	-0.212	0.08	-0.635	2.727	4.1	4.572	2.319	-0.269	1.821	1.024	2.032	2.343	3.614	3.555	3.502	0.0	-0.076	0.124	-0.085	-0.084	0.125	1.083	1.103	1.125	1.667	1.535	1.945	2.896	-0.618	-0.212	-0.233	1.873	2.402	1.143	NaN	1.251	1.172	0.794
"YMR131C"	0.286	-0.069	0.271	-5.631	-5.052	-6.665	-3.081	-0.227	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	-0.125	-0.677	-0.015	0.12	0.359	-0.018	-3.389	-2.516	-2.424	-2.153	-1.296	-2.254	-2.944	-0.283	-0.319	-0.437	-1.175	-2.124	-1.593	-0.965	-1.03	-2.655	-1.474
"YMR229C"	-0.2325	-0.4675	0.358	-6.1495	-4.4055	-5.288	-2.184	-0.073	-4.826	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	-0.0255	-0.4985	0.0125	-0.182	-0.0125	0.1115	-2.946	-1.469	-2.0955	-1.96	-3.225	-1.903	-2.548	-0.226	-0.477	-0.4985	-1.3905	-1.689	-1.367	-0.947	-0.9045	-1.244	-0.704
"YNL001W"	-0.423	-0.457	0.203	-0.834	-1.318	-3.241	-1.239	0.015	-0.996	-0.964	-1.24	-1.077	-1.116	-1.395	-1.761	0.129	-0.344	-0.103	-0.145	0.218	-0.106	-1.009	-0.915	-1.564	-2.098	-1.153	-1.335	-0.96	-0.465	-0.327	-0.352	-0.414	-0.522	-0.357	-0.876	-0.607	-0.801	-1.12
"YNL022C"	0.049	-0.039	0.139	-2.558	-1.611	-3.745	-0.736	0.008	-1.076	-1.225	-1.297	-1.083	-1.606	-2.3	-2.325	0.099	-0.579	0.121	0.125	0.049	0.024	-2.082	-1.427	-1.947	-1.769	-1.76	-1.439	-0.613	-0.269	-0.506	-0.381	-0.418	-0.67	-0.296	-0.515	-0.59	-0.38	-0.347
"YNL102W"	-0.1065	-0.237	-0.228	-1.8025	-1.9295	-2.5705	-1.96	-0.026	-1.4035	-0.7415	-1.173	-1.1615	-2.116	-1.161	-1.4995	0.114	0.078	0.0385	-0.1215	-0.0145	-0.0275	-1.171	-1.197	-2.241	-2.204	-1.875	-2.031	-0.571	-0.141	-0.599	-0.026	-0.168	-0.532	-0.511	-0.348	-0.454	0.495	0.294
"YNL132W"	-0.15	-0.312	0.23	-5.826	-4.956	-6.392	-2.512	0.12	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.072	-0.411	-0.079	0.067	0.103	-0.001	-1.835	-2.553	-1.711	-2.293	-1.111	-1.116	-2.948	-0.01	-0.272	-0.459	-1.126	-1.684	-1.295	-1.355	-1.649	-0.767	-0.678
"YNL189W"	0.067	-0.16	0.155	-0.717	-2.367	-4.06	-1.19	0.111	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.042	-0.382	-0.273	-0.263	-0.032	-0.039	-1.15	-1.714	-1.79	-1.543	-1.064	-1.409	-0.016	0.093	0.264	0.012	-0.029	-0.113	-0.331	-1.042	-1.348	-0.213	-0.493
"YNL220W"	-0.043	0.11	-0.083	-1.943	-3.758	-6.09	-1.475	0.437	0.2	0.6	-0.618	-1.771	-1.724	-2.555	-3.197	0.081	-1.297	0.111	-0.449	0.097	0.316	-1.66	-2.499	-3.059	-2.391	-2.844	-2.95	0.423	0.419	-0.746	-0.911	-1.282	-1.381	-1.337	-1.619	-2.078	-1.994	-2.542
"YNL287W"	0.131	-0.077	0.096	-0.325	-2.621	-3.454	-1.915	0.066	-0.64	-0.796	-0.779	-1.013	-2.186	-2.841	-3.164	-0.016	0.044	0.041	-0.068	0.252	-0.439	-0.593	-1.528	-1.104	-0.736	-0.755	-1.067	-1.328	0.192	0.291	0.413	-0.37	-0.739	-0.209	-0.508	-0.996	-0.659	-0.906
"YNL292W"	0.159	-0.257	-0.181	-2.115	-3.216	-3.1	-1.526	0.077	-0.305	-0.761	-0.644	-1.06	-0.831	-1.052	-1.006	0.173	-0.222	0.165	-0.057	0.069	-0.029	-1.306	-1.418	-1.532	-1.294	-1.46	-1.179	2.877	-0.064	0.292	0.428	0.851	1.034	1.121	-0.472	-1.063	-1.037	-0.314
"YNL313C"	-0.102	-0.38	0.176	-4.999	-3.628	-5.714	-1.914	0.287	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	0.191	-0.093	0.106	0.371	0.078	-0.053	-1.434	-1.821	-1.141	-1.014	-1.525	-1.746	-1.835	-0.53	-0.507	-0.554	-1.488	-1.743	-0.587	-1.358	-1.488	1.405	-0.109
"YNR043W"	0.26	0.331	0.665	-3.5005	-2.934	-5.1565	-1.8335	0.1	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	-0.155	-0.264	-0.532	0.007	0.258	-0.823	-1.736	-1.494	-1.456	-2.09	-2.016	-1.955	0.565	0.296	0.298	-0.859	-1.247	-0.943	-1.142	-1.425	-1.336	-0.99
"YOL006C"	-0.038	-0.116	0.129	-1.2725	-1.364	-2.867	-0.974	-0.245	-1.792	-0.957	-0.582	-0.756	-1.562	-2.301	-2.095	0.182	-0.055	0.292	0.041	-0.106	0.022	-0.783	-0.611	-0.946	-1.834	-1.716	-0.803	-2.323	-0.223	0.019	-0.157	-0.53	0.145	-0.136	0.342	-0.057	0.346	0.452
"YOL021C"	0.53	0.473	0.217	-0.353	-1.2185	-1.766	-1.076	-0.101	-1.318	-0.803	-1.147	-0.742	-2.168	-2.518	-2.302	-0.248	0.604	-0.102	0.102	0.139	0.01	-0.955	-1.828	-1.5675	-1.104	-1.0005	-0.7935	-1.9765	-0.1675	-0.2465	-0.117	-0.6715	-0.4985	-0.4445	-0.2945	-0.5645	-0.155	-0.697
"YOL062C"	-0.014	0.252	0.186	-0.759	-1.974	-4.46	0.589	0.222	0.77	-0.38	-0.545	-0.087	-1.017	-1.251	-1.957	-0.181	-0.023	-0.087	0.003	0.167	0.065	-1.256	-1.902	-0.966	-1.25	-1.267	-1.483	-0.453	-0.18	-0.112	-0.044	-0.093	-0.354	-0.428	-0.393	-0.995	-0.641	-1.121
"YOL077C"	-0.221	-0.748	-0.194	-5.186	-3.02	-6.552	-1.374	0.172	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.035	-1.67	-0.102	0.019	0.212	-0.032	-2.624	-2.431	-2.784	-2.124	-2.057	-1.955	-2.586	-0.159	-0.347	-0.447	-2.041	-2.759	-1.94	-2.594	-2.177	-2.807	-2.029
"YOL097C"	0.181	-0.279	0.293	-4.26	-0.491	-6.314	-1.513	0.389	-3.246	-2.063	-2.609	-2.685	-3.398	-4.044	-4.151	-0.099	-0.927	-0.49	-0.177	0.15	0.1	-2.601	-2.452	-2.957	-2.921	-2.787	-2.608	-2.945	-0.08	0.033	-0.875	-1.581	-2.287	-1.692	-1.226	-1.83	-1.411	-1.616
"YOR026W"	0.375	0.268	-0.156	-0.0475	-1.56	-3.005	1.106	0.063	-0.819	-0.383	-0.716	-0.525	-1.398	-2.371	-2.132	-0.149	-0.4	0.097	0.154	0.141	0.349	-1.603	-1.932	-1.34	-2.313	-1.51	-0.708	-0.506	-0.326	-0.285	-0.385	-0.298	0.006	-0.489	-1.273	-0.366	-2.17	-0.667
"YOR154W"	0.2	-0.018	0.005	-0.5305	-1.757	-3.1905	0.175	0.004	-0.316	-0.187	0.039	0.176	-0.436	-0.578	0.212	-0.167	0.103	-0.118	0.178	0.006	0.093	-0.237	-0.847	-0.518	-1.026	-0.586	-0.161	-0.901	-0.126	-0.002	-0.01	0.142	1.094	0.163	-0.323	0.289	0.509	-0.169
"YOR209C"	-0.145	-0.286	0.09	-1.879	-2.998	-6.004	-1.516	0.365	-1.744	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	0.173	-0.449	-0.05	-0.14	-0.036	-0.736	-1.767	-1.414	-1.474	-1.844	-1.539	-1.662	-2.034	0.112	-0.044	0.094	-0.951	-1.3	-1.105	-0.89	-2.141	-0.787	-1.146
"YOR224C"	0.366	0.105	0.269	-2.895	-3.348	-4.849	-2.027	0.098	-2.185	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	-0.12	-1.243	0.002	0.266	0.156	0.357	-1.634	-2.192	-1.983	-2.358	-2.146	-1.8	-1.751	-0.115	-0.403	-0.504	-1.324	-1.949	-1.515	-1.458	-2.261	-1.912	-1.534
"YOR243C"	-0.217	-0.124	0.204	-3.8055	-3.3625	-4.3935	-2.414	-0.145	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	0.092	-0.524	-0.005	0.213	0.236	0.086	-2.962	-2.47	-3.47	-3.174	-3.448	-2.665	-1.808	0.073	-0.106	-1.022	-1.059	-1.997	-1.377	-1.837	-0.885	-1.108	-1.186
"YOR254C"	0.029	0.122	0.276	-2.6515	-2.192	-6.426	-1.4845	-0.049	-2.631	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	-0.087	-0.138	0.143	0.04	0.179	-0.192	-2.398	-2.867	-2.86	-2.436	-2.896	-2.216	-2.254	-0.068	0.034	-0.368	-1.367	-1.792	-1.343	-1.601	-1.239	-1.14	-1.819
"YOR260W"	-0.172	0.012	0.195	-2.6835	-2.507	-4.639	3.0405	0.234	-1.898	-1.26	-1.513	-1.624	-2.257	-2.577	-3.081	0.122	0.244	-0.213	-0.023	0.151	0.031	-1.538	-1.792	-2.159	-1.35	-2.125	-1.582	-1.909	-0.016	-0.318	-0.34	-1.102	-1.443	-0.952	-0.765	-0.964	-1.4	-1.341
"YOR326W"	0.485	0.219	0.46	-2.4275	-3.4635	-4.9875	-1.9335	-0.045	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.544	-0.091	0.117	0.07	0.098	0.02	-1.593	-1.984	-2.788	-2.392	-2.817	-2.239	-1.568	-0.678	-0.568	-0.225	-0.961	-0.629	-0.727	-0.82	-0.704	-1.506	-0.917
"YPL037C"	0.515	0.06	0.228	-2.6595	-3.9955	-5.417	-1.96	0.305	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	-0.775	-0.106	-0.248	0.411	0.499	-0.738	-1.511	-1.834	-1.912	-0.941	-1.662	-1.607	-0.083	0.118	0.144	-0.776	-1.412	-1.687	-0.534	-0.685	-0.53	-1.209
"YPL090C"	0.983	0.133	0.404	-3.9615	-4.364	-6.197	-3.2385	0.286	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.043	-1.264	-0.045	0.066	0.414	0.227	-2.794	-2.576	-1.549	-1.897	-1.951	-1.742	-3.265	-0.027	0.173	0.196	-2.426	-2.941	-2.515	-0.914	-1.143	-1.467	-1.369
"YPL126W"	0.225	-0.733	0.271	-4.3895	-4.339	-3.4745	-2.35	-0.129	-3.301	-2.411	-2.497	-2.642	-3.408	-3.201	-4.126	-0.202	-0.036	-0.196	-0.282	0.359	-0.03	-1.774	-1.84	-1.695	-0.927	-2.035	-0.978	-3.644	-0.331	-0.388	-0.326	-1.695	-1.764	-1.105	-1.056	-1.075	-1.127	-1.408
"YPL160W"	0.292	-0.0115	0.327333333333333	-3.26033333333333	-3.08233333333333	-5.284	-1.59566666666667	0.111	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	0.07	0.0515	0.0055	0.015	-0.174	-1.912	-2.124	-1.7655	-2.1145	-2.096	-1.5875	-2.958	-0.1635	-0.097	-0.234	-1.3955	-1.7245	-1.4145	-1.376	-1.059	-1.725	-1.5195
"YPL211W"	-0.313	-0.58	0.1495	-5.5605	-4.4555	-5.029	-3.121	0.1	-4.129	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	0.007	-0.929	-0.02	-0.075	0.369	0.407	-2.547	-1.644	-2.051	-1.923	-1.893	-1.437	-2.347	-0.093	-0.441	-0.643	-1.423	-2.3	-1.892	-2.099	-1.74	-1.704	-1.653
"YPL237W"	0.125	-0.268	0.3845	-2.6285	-2.875	-5.7585	-2.2035	0.198	-2.288	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	0.067	-0.896	0.071	0.211	0.133	0.093	-1.448	-2.465	-2.25	-1.95	-1.975	-0.581	-1.966	-0.187	-0.107	-0.291	-1.129	-1.276	-1.167	-1.051	-1.383	-1.676	-1.178
"YPL244C"	0.221	-0.157	0.061	-0.695	-2.5495	-3.0545	-0.4545	0.374	-0.816	-0.74	-0.954	-0.926	-1.204	-1.807	-0.822	0.001	0.027	-0.327	0.014	0.578	-0.139	-1.332	-1.54	-1.545	-0.893	-1.411	-1.502	-1.07	-0.309	-0.139	-0.173	-0.533	-0.96	-1.018	-1.109	-1.178	-1.176	-1.017
"YPR019W"	0.523	0.584	0.1405	-0.869	-1.7075	-3.1305	-0.177	-0.053	-0.363	0.007	-0.343	-0.128	-1.349	-2.229	-1.945	-0.374	0.31	-0.041	0.566	0.235	-0.448	-0.8655	-0.9675	-1.352	-0.9455	-1.359	-1.045	-0.903	0.098	-0.2985	-0.176	-0.2135	-0.0455	0.002	-0.635	-0.5255	-0.3895	-0.2045
"YPR033C"	0.407	0.321	0.4925	-2.7945	-4.8805	-7.94	-2.6225	0.345	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.095	-0.149	0.015	0.183	-0.175	0.003	-1.4505	-1.478	-1.877	-2.2955	-2.43	-2.3255	-2.033	0.002	-0.0535	-0.0325	-1.1885	-1.6665	-1.289	-1.59	-2.03	-1.6955	-1.855
"YPR041W"	0.557	0.042	0.180666666666667	-1.871	-2.36366666666667	-4.07266666666667	-2.291	0.4175	-1.646	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.17	0.3755	-0.1465	-0.0605	0.175	-0.039	-1.999	-1.997	-1.741	-1.772	-2.038	-1.335	-2.533	-0.125	-0.243	-0.124	-1.472	-2.378	-1.746	-1.591	-1.505	-1.177	-1.716
"YPR074C"	0.544	-0.163	0.3975	-3.2435	-5.337	-5.42	-4.2955	0.672	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	-0.068	-0.665	-0.227	-0.252	0.294	-0.493	-1.879	-3.097	-1.863	-1.688	-3.316	-2.418	-3.729	0.089	0.024	-0.167	-1.879	-2.334	-2.026	-2.835	-3.446	-2.231	-2.642
"YPR110C"	-0.086	-0.308	0.123	-5.7185	-3.662	-6.318	-2.0215	0.151	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.038	-0.709	-0.091	-0.257	0.106	0.048	-2.196	-2.065	-2.146	-2.061	-2.718	-1.381	-1.853	-0.241	-0.244	-0.349	-1.843	-2.294	-1.225	-1.581	-2.205	-1.24	-1.051
"YPR163C"	1.131	0.741	0.1245	-3.6815	-2.9485	-5.4905	-2.0525	0.346	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.189	-1.139	-0.06	-0.396	0.268	-0.247	-2.378	-2.41	-2.071	-2.191	-1.804	-1.744	-3.14	-0.166	-0.146	-0.139	-1.525	-1.861	-1.509	-1.493	-1.627	-1.399	-1.336
