	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5244.DES459 (mec1) - mock irradiation -15 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"33780.delYPL230w_stationary_phase_7hours"
"YBR088C"	0.485	0.3895	-0.0135	-4.244	-1.545	-1.519	-2.177	-4.084	-4.124	-1.282	-1.484	-1.744	-1.1155	-1.0105	-1.809	-2.4385	-3.272	-2.4585	0.94	0.3	0.259	-0.523	0.048	-0.9375	0.079	-0.852	-1.185	-0.75	-1.332	-0.199	-1.412	0.417	0.439	-1.0245	-0.507	-1.724
"YBR106W"	0.6375	0.0085	0.818	-2.949	-2.026	-1.695	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	0.209	0.066	-0.666	-0.292	-0.225	0.166	-1.87	-1.335	-2.007	-1.925	0.634	-1.924	-0.075	-0.085	-2.414	0.248	-2.779
"YBR121C"	0.338	0.327	0.328	-2.66	-1.84	-1.582	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	0.381	-0.1215	-0.314	-0.072	-0.2815	0.03	-1.237	-1.177	-1.385	-1.274	0.001	-2.249	-0.124	-0.147	-1.273	-0.138	-1.806
"YBR143C"	0.2305	0.262	0.114	-2.729	-2.378	-2.339	-2.537	-3.195	-4.642	-2.033	-2.231	-2.012	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.087	0.212	0.029	-0.698	-0.236	-0.6515	0.012	-1.426	-1.074	-1.267	-1.238	0.241	-1.699	0.193	-0.03	-1.098	-0.204	-2.453
"YBR191W"	0.6455	0.5065	0.736	-3.54	-3.222	-3.049	-2.071	-3.167	-5.241	-3.152	-3.411	-2.563	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.029	0.453	0.1555	-0.883	-0.184	-0.1205	0.359	-1.908	-1.153	-1.611	-1.764	0.68	-1.3105	0.299	0.44	-1.649	-0.309	-3.266
"YBR249C"	0.6655	0.3335	0.76	-1.844	-0.483	-0.404	0.351	-3.39	-6.025	-1.662	-1.506	-1.86	-0.2215	-1.147	-1.6935	-2.9975	-3.288	-3.9875	0.362	0.401	0.14	0.018	-0.23	0.156	0.146	-1.761	-1.352	-1.88	-1.925	-0.158	-0.835	0.271	0.407	-1.474	-0.152	-2.528
"YDL133W"	-0.111	-0.026	0.134	0.591	0.516	0.817	0.552	-0.393	-1.846	-0.301	0.425	0.602	0.439	0.379	0.439	-0.202	-0.544	-0.565	0.007	-0.148	-0.106	0.003	-0.071	0.217	0.088	1.063	0.651	0.805	0.698	0.03	0.477	-0.041	0.103	0.893	-0.078	0.28
"YDL136W"	0.3985	-0.0575	0.1675	-2.487	-2.162	-1.881	-1.663	-1.969	-3.398	-2.561	-2.366	-2.176	-1.775	-1.594	-1.555	-1.233	-1.094	-1.756	-0.016	0.426	0.22	-0.55	-0.132	0.068	-0.085	-1.213	-1.01	-1.371	-1.378	0.483	-2.1345	0.3845	0.451	-1.2535	-0.1135	-3.042
"YDL202W"	0.216	0.401	0.339	0.343	0.515	0.451	-0.68	-1.649	-2.446	-0.298	-0.181	-0.562	-0.141	-0.754	-0.529	-1.045	-1.634	0.546	-0.396	-0.003	-0.132	-1.118	-0.296	0.066	-0.059	-0.184	0.008	0.048	-0.163	-0.092	0.041	0.179	0.103	0.056	0.252	-0.24
"YDR023W"	0.443	0.492	0.054	-1.814	-2.122	-1.859	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.047	0.481	-0.019	-0.648	-0.455	0.026	0.024	-1.7	-1.724	-1.754	-1.928	0.317	-2.091	0.03	0.041	-1.65	0.416	-1.66
"YDR037W"	0.529	0.404	0.056	-4.313	-3.427	-3.607	-3.458	-4.551	-5.224	-3.226	-2.505	-2.756	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.157	0.46	-0.13	-0.401	-0.356	-0.146	0.385	-1.545	-1.443	-1.572	-1.904	-0.025	-2.523	0.064	0.055	-1.465	-0.189	-3.541
"YDR341C"	0.512	0.501	-0.085	-3.559	-2.27	-1.485	-1.681	-3.212	-5.262	-2.587	-2.171	-2.134	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.152	0.29	0.1	-0.114	0.053	-0.128	0.023	-2.215	-1.98	-1.833	-1.888	-0.093	-1.562	0.041	0.102	-1.891	-0.43	-1.941
"YDR385W"	0.551	0.702	0.744	-2.252	-1.858	-1.887	-1.985	-3.158	-5.463	-2.682	-2.3	-1.065	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.207	0.284	-0.147	0.778	0.255	-0.119	0.076	-1.417	-1.352	-1.462	-1.335	0.34	-1.86	-0.018	-0.111	-2.207	-0.479	-2.518
"YDR417C"	0.939	0.906	0.639	-3.705	-2.778	-2.992	-3.327	-4.279	-5.062	-3.58	-3.209	-2.864	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.367	0.373	0.078	-1.101	-0.337	-0.069	0.515	-2.03	-1.427	-2.082	-2.022	0.43	-2.149	0.423	0.292	-2.517	-0.094	-3.332
"YDR418W"	1.14	0.841	1.063	-3.707	-3.13	-2.7	-2.976	-3.074	-5.866	-3.315	-3.181	-2.797	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.347	0.545	0.253	-1.345	-0.37	-0.167	0.211	-2.07	-1.378	-2.095	-2.023	0.078	-2.345	0.287	0.634	-1.715	-0.167	-3.057
"YDR471W"	0.445	0.35	0.321	-3.952	-3.834	-3.394	-2.857	-3.599	-4.747	-3.144	-2.929	-2.398	-2.034	-2.122	-2.633	-0.472	-2.405	-2.908	0.178	0.217	0.415	-1.152	-0.182	-0.507	0.09	-2.14	-1.212	-2.072	-1.654	0.114	-1.7695	0.185	0.14	-1.802	-0.062	-3.311
"YER049W"	0.61	0.389	0.254	-2.916	-2.05	-2.231	-1.746	-3.769	-4.541	-2.359	-2.226	-0.962	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	0.093	0.114	0.019	-0.283	0.288	-0.327	-0.447	-1.278	-1.3	-0.884	-1.07	0.3	-1.47	0.051	0.308	-1.058	-0.373	-0.396
"YER086W"	0.174	-0.079	0.441	-3.714	-1.791	-1.128	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	0.265	0.394	0.09	0.369	0.3	-0.321	0.098	-1.424	-0.818	-1.305	-1.438	0.134	-0.886	0.176	0.204	-0.182	-0.622	0.245
"YER117W"	0.99	0.911	0.797	-2.982	-2.613	-2.377	-1.95	-2.832	-5.642	-3.05	-3.141	-2.843	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.261	0.441	0.308	-0.197	-0.197	-0.23	-0.014	-1.82	-1.278	-1.931	-1.863	0.537	-1.876	0.4475	0.465	-1.603	-0.152	-3.345
"YER131W"	1.102	0.926	0.7	-2.813	-3.262	-2.7	-2.47	-3.664	-6.55	-2.621	-2.795	-2.905	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.356	0.469	0.487	-0.849	-0.043	-0.075	0.281	-1.891	-1.083	-2.595	-2.302	0.56	-2.4735	-0.056	0.0515	-2.035	0.172	-4.068
"YER162C"	-0.253	0.024	-0.01	2.529	1.585	2.052	1.633	3.374	3.649	1.514	1.531	1.656	1.124	1.724	1.546	2.103	2.72	2.163	-0.126	-0.173	-0.319	0.617	0.095	0.116	-0.18	0.934	0.78	1.095	1.185	-0.08	1.636	-0.202	-0.1155	0.748	-0.1245	1.466
"YER169W"	0.0	0.062	0.004	1.007	0.522	0.804	1.926	1.507	-0.811	0.059	0.249	0.286	0.594	1.49	1.962	0.947	1.206	0.803	0.039	0.214	-0.279	-0.124	0.378	0.049	-0.124	0.413	0.022	0.298	0.312	-0.207	0.2715	-0.179	-0.0475	-0.192	-0.3975	0.1
"YGL016W"	0.1095	0.1825	0.294	-1.929	-0.664	-0.675	-1.127	-3.034	-4.265	-1.563	-1.245	-1.104	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.0545	0.353	0.106	0.741	0.786	-0.301	0.126	-0.696	-0.849	-0.056	0.01	0.373	-1.374	-0.2	-0.22	-0.832	0.406	-0.881
"YGL135W"	1.047	0.94	0.672	-3.221	-2.573	-2.455	-2.942	-3.418	-5.687	-3.217	-3.23	-3.119	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.502	0.482	-0.045	-0.615	-0.229	0.295	0.176	-2.546	-2.004	-2.237	-2.539	0.671	-2.233	0.551	0.488	-1.702	-0.551	-3.009
"YGL189C"	0.808	0.952	0.526	-2.316	-2.994	-3.074	-2.676	-3.07	-5.824	-2.288	-2.376	-2.552	NaN	NaN	NaN	-1.466	4.087	0.848	0.254	0.404	NaN	-0.594	0.131	-0.067	0.479	-1.608	-0.934	-2.369	-1.995	0.412	-2.089	-0.059	0.058	-1.698	-0.036	-2.385
"YGR063C"	0.354	0.258	0.224	-0.419	0.046	-0.433	-0.104	-0.888	-2.247	-0.454	-0.578	-0.077	-0.376	-0.314	-0.303	0.044	-0.124	1.665	-0.148	0.011	-0.174	0.187	-0.102	-0.184	-0.171	-0.866	-0.535	-0.853	-1.147	0.086	-0.868	0.158	-0.098	-2.027	-0.313	-1.019
"YGR085C"	0.995	0.829	0.685	-3.713	-3.301	-2.511	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.272	0.491	0.278	-1.201	-0.249	0.185	0.311	-2.111	-1.518	-1.917	-2.035	0.538	-2.156	0.237	0.236	-1.94	0.273	-3.003
"YGR118W"	0.417	0.463	0.496	-2.621	-2.692	-2.681	-1.993	-2.204	-5.471	-2.458	-2.209	-2.183	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	0.138	0.261	0.229	-1.303	-0.339	-0.144	0.3825	-1.737	-1.367	-1.832	-1.647	0.656	-2.095	0.2235	0.2275	-1.3075	-0.0855	-2.249
"YGR124W"	-0.21	0.087	0.32	-2.537	-1.595	-1.876	-2.43	-2.597	-4.207	-1.704	-1.377	-1.518	-1.658	-2.324	-2.426	-2.945	-3.169	-3.758	0.447	0.32	-0.188	-0.005	0.12	-0.296	0.357	-1.015	-0.458	-1.216	-0.745	0.286	-2.916	-0.1835	-0.177	-1.4615	0.6535	-2.662
"YGR148C"	0.258	0.343	0.354	-3.45	-3.596	-3.464	-2.615	-3.884	-5.757	-3.141	-3.011	-2.956	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.127	0.476	0.022	-0.759	0.039	-0.158	0.25	-2.108	-1.621	-1.901	-1.746	0.527	-2.7095	0.014	0.0495	-1.5045	0.1015	-2.693
"YGR166W"	-0.227	-0.181	-0.156	-0.453	-0.44	-1.045	-0.175	-0.404	-3.016	-0.496	-1.175	-0.559	-1.047	-0.82	-0.628	-0.587	-0.519	-1.493	-0.005	0.308	-0.256	-0.185	-0.077	-0.086	0.0225	0.771	0.623	0.367	0.466	-0.024	-0.4255	0.274	0.4665	1.395	-0.0305	-1.777
"YGR175C"	0.372	0.071	-0.006	-1.507	-0.148	0.322	-1.083	-3.074	-4.5	-1.675	-0.985	-1.563	0.5	0.085	-0.251	-2.53	-2.628	-3.285	-0.233	0.334	0.31	-0.137	-0.441	-0.103	-0.2115	-0.485	-0.571	-0.726	-0.859	-0.032	0.106	0.0745	0.078	-0.7505	-0.156	-0.395
"YGR236C"	-0.734	-0.883	-0.64	5.885	5.633	4.84	4.335	5.413	6.474	4.716	5.412	5.567	2.144	3.123	3.07	4.433	4.451	5.04	0.0385	-0.205	0.085	-0.157	-0.299	-0.251	-0.4745	0.972	0.874	0.479	0.531	-0.875	4.122	-0.33	-0.42	1.327	-0.127	6.182
"YGR264C"	0.266	0.112	-0.222	-3.787	-2.696	-3.156	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.071	0.275	-0.079	-0.454	-0.043	-0.151	-0.026	-1.941	-1.727	-1.599	-1.584	0.328	-2.468	0.034	-0.035	-1.721	-0.301	-3.082
"YGR265W"	0.479	-0.005	-0.143	-1.633	-2.361	-1.933	-2.576	-2.202	-3.223	-2.473	-1.883	-1.703	-1.933	-2.395	-2.652	-2.824	-2.827	-2.343	0.01	0.184	-0.055	-0.378	0.136	0.199	-0.027	-1.23	-1.163	-0.78	-1.067	0.122	-0.76	-0.002	0.117	0.586	-0.248	-2.311
"YHR019C"	0.619	0.369	0.94	-2.949	-1.631	-1.096	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.046	0.408	0.071	1.052	0.446	0.107	0.0315	-1.387	-1.085	-1.449	-1.608	0.141	-1.834	-0.009	0.239	-1.912	0.019	-1.349
"YHR064C"	0.589	0.245	0.302	-4.543	-2.196	-1.596	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.017	0.432	-0.069	0.066	0.417	-0.025	-0.0065	-1.73	-1.695	-1.335	-1.209	-0.324	-2.056	0.195	0.172	-1.825	-0.099	-2.781
"YHR068W"	0.453	0.104	0.272	-3.316	-2.566	-2.252	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	0.041	0.241	-0.316	-0.158	-0.023	-0.0565	-0.673	-0.498	-1.096	-0.878	-0.048	-2.29	0.084	0.06	-1.629	-0.018	-2.362
"YHR179W"	0.061	-0.059	0.134	-2.165	-1.726	-1.819	-1.311	-3.188	-4.68	-1.089	-0.861	-1.054	-1.674	-1.236	-2.035	-3.086	-5.251	-4.091	0.103	0.637	-0.598	-0.671	-0.483	-0.04	0.12	-0.781	-1.089	-1.003	-1.285	-0.186	-1.77	0.55	0.531	-1.015	0.398	-1.414
"YHR203C"	0.411	0.405	0.946	-3.926	-2.827	-3.148	-2.895	-3.782	-5.944	-3.917	-3.774	-3.412	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.219	0.318	0.264	-1.338	-0.22	-0.2	0.204	-2.455	-1.726	-2.243	-1.865	0.251	-2.302	0.073	0.156	-1.971	-0.165	-3.449
"YHR208W"	0.22	-0.085	0.276	-3.191	-1.767	-1.529	-1.898	-3.12	-4.064	-2.446	-2.137	-1.934	-1.185	-1.232	-1.339	-2.263	-2.683	-2.939	0.016	0.293	-0.359	0.172	0.107	-0.077	0.044	-0.696	-0.237	-0.924	-0.769	-0.266	-1.267	0.044	0.107	-0.14	0.022	-3.088
"YHR216W"	0.93	0.627	0.599	-2.62	-2.056	-2.143	-2.045	-3.15	-4.943	-1.762	-2.914	-3.038	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	-0.225	0.584	0.163	0.449	0.496	-0.214	0.1095	-1.597	-1.137	-1.652	-1.444	0.841	-1.783	0.071	-0.039	-1.833	-0.596	-2.823
"YIL020C"	0.173	-0.024	0.039	-1.861	-1.374	-1.435	-1.241	-2.251	-3.447	-2.174	-1.545	-0.702	-1.062	-1.134	-1.135	-1.853	-1.943	-1.728	0.186	-0.18	-0.158	-0.247	-0.204	-0.117	-0.0545	-0.75	-0.514	-0.972	-0.345	0.058	-1.289	0.245	0.206	-0.493	0.079	-1.278
