	"861.YPD_5_d_30C"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"
"YAL033W"	-0.414	-0.217
"YBL072C"	-6.241	1.636
"YBR031W"	-6.063	1.62
"YBR075W"	-3.53	0.317
"YBR192W"	-2.191	0.368
"YBR206W"	-3.253	0.243
"YBR256C"	-1.641	0.869
"YCR031C"	-5.91	2.271
"YCR049C"	-0.583	-0.166
"YDL015C"	-4.309	1.537
"YDL164C"	-2.932	0.589
"YDL167C"	-4.001	1.045
"YDL191W"	-5.192	1.844
"YDR012W"	-5.83	1.876
"YDR025W"	-6.697	2.45
"YDR100W"	-2.076	-0.033
"YDR176W"	-2.124	0.625
"YDR190C"	-4.144	-0.323
"YDR237W"	-3.483	0.106
"YDR240C"	-5.54	-0.58
"YDR303C"	-7.617	0.205
"YDR418W"	-5.866	1.771
"YDR458C"	-1.559	-0.472
"YEL007W"	-2.3595	-0.095
"YEL026W"	-4.755	0.225
"YER003C"	-3.453	0.29
"YER027C"	-2.819	-0.467
"YER042W"	-2.453	-0.431
"YER052C"	-5.276	0.089
"YER117W"	-5.642	1.735
"YER122C"	-4.276	-0.624
"YER131W"	-6.55	3.292
"YFR031BC"	-7.029	2.984
"YGL001C"	-4.137	1.276
"YGL012W"	-3.869	0.402
"YGL021W"	-5.572	0.969
"YGL105W"	-6.011	1.081
"YGL123W"	-5.982	1.446
"YGL125W"	-3.048	0.807
"YGL151W"	-3.485	-1.553
"YGL189C"	-5.824	2.499
"YGL200C"	-3.963	0.992
"YGL234W"	-5.74	1.418
"YGR037C"	-4.976	0.038
"YGR054W"	-4.535	0.989
"YGR106C"	-4.143	-0.02
"YGR120C"	-4.938	-0.181
"YGR155W"	-4.396	-0.11
"YGR200C"	-3.668	1.316
"YGR285C"	-6.1	1.872
"YHL033C"	-6.65	2.362
"YHR024C"	-3.2155	0.602
"YHR049W"	-4.702	1.065
"YHR068W"	-6.532	0.958
"YHR083W"	-4.083	0.843
"YHR172W"	-1.8325	0.116
"YHR203C"	-5.944	1.79
"YIL043C"	-3.696	0.204
"YJL025W"	-2.99	-0.216
"YJL104W"	-2.716	0.4225
"YJL167W"	-7.538	0.226
"YJL190C"	-6.079	1.92
"YJR001W"	-3.551	0.029
"YJR053W"	-2.589	-0.296
"YJR075W"	-3.095	-0.043
"YJR123W"	-9.147	2.53
"YJR139C"	-4.462	1.077
"YJR143C"	-5.523	1.192
"YKL068W"	-3.325	-0.41
"YKL110C"	-2.904	-0.568
"YKL111C"	NaN	-0.55
"YKL134C"	-4.01	0.245
"YKL180W"	-5.237	1.14
"YKR003W"	-5.089	-0.088
"YKR057W"	-3.461	2.197
"YKR084C"	-3.0	-0.538
"YKR094C"	-4.383	2.775
"YLL014W"	-2.693	0.611
"YLL044W"	-6.48	1.912
"YLR044C"	-6.198	1.44
"YLR075W"	-6.109	1.211
"YLR076C"	-4.142	1.61
"YLR085C"	-2.617	0.252
"YLR134W"	-5.8935	-0.032
"YLR264W"	-5.152	1.963
"YLR277C"	-3.303	0.033
"YLR301W"	-5.415	0.717
"YLR333C"	-5.863	1.173
"YLR339C"	-6.865	1.174
"YLR354C"	-4.965	1.913
"YLR432W"	-5.65	1.614
"YLR441C"	-12.655	2.827
"YMR011W"	-4.162	0.73
"YMR116C"	-6.865	3.18
"YMR184W"	-2.499	-1.248
"YMR202W"	-5.431	0.938
"YMR242C"	-6.226	2.821
"YMR300C"	-4.702	0.051
"YMR310C"	-3.842	-0.691
"YNL067W"	-5.731	1.601
"YNL220W"	-6.09	1.279
"YNL302C"	-4.746	2.143
"YNL326C"	-2.953	0.062
"YOL006C"	-2.867	-0.743
"YOL040C"	-6.413	1.725
"YOL056W"	-0.3845	0.358
"YOL152W"	-6.621	-0.399
"YOR117W"	-4.538	0.142
"YOR205C"	-3.583	-1.398
"YOR254C"	-6.426	0.682
"YOR286W"	-3.0285	0.037
"YOR323C"	-6.434	0.793
"YOR344C"	-3.102	0.029
"YPL028W"	-5.5385	1.6
"YPL081W"	-6.801	1.648
"YPL220W"	-6.1465	2.301
"YPL221W"	-7.0315	0.072
"YPL228W"	-2.8945	0.027
"YPL273W"	-5.69966666666667	0.788
"YPR032W"	-5.84	-0.117666666666667
"YPR036W"	-5.024	-0.164
"YPR088C"	-3.0765	-0.221
"YPR102C"	-6.451	2.91
"YPR132W"	-5.805	2.496
"YPR155C"	-4.822	0.774
"YPR173C"	-3.6935	0.672
"YPR183W"	-3.881	0.986
