	"93.cdc15 180 min"	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"684.YP fructose vs reference pool"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8193.steady state 15 dec C"	"8195.steady state 21 dec C"	"8217.steady state 17 dec C"	"8234.dtt 240 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"16338.DES460 vs. DES460 YPD log phase control"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34357.batch 02X25 1"	"34359.batch 02X25 3"	"40968.MD_II_49_min"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"
"YBL077W"	-0.693	0.6685	0.034	0.289	-1.134	0.519	0.396	-3.41	-2.161	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.171	0.342	0.0635	-0.095	0.038	-1.153	-0.997	-0.019	0.138	-0.685	-0.818	-2.488	-2.2065	-2.3345	-2.1125	-0.127	0.255	0.115	-2.847	-2.93	-2.854	-2.752	-2.048	-1.678	-0.027	-0.137	-0.812	-1.262
"YBL092W"	0.193	1.0255	0.349	0.498	-1.263	0.97	0.727	-3.458	-3.598	-2.394	-2.138	-2.929	-2.896	-5.158	-3.0	-2.812	-2.665	-2.635	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	-0.045	0.469	0.097	0.16	-0.107	-1.975	-1.804	-0.023	1.098	0.551	-1.829	-1.6075	-1.209	-1.139	-1.022	0.093	0.162	0.092	-2.124	-2.013	-2.599	-2.171	-2.311	-3.174	0.636	0.463	-0.864	-0.385
"YBR121C"	2.788	0.801	0.007	-0.005	-1.014	0.701	0.752	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.035	0.324	-0.1215	0.03	0.328	-1.385	-1.274	-0.262	0.204	-0.331	-0.915	-2.5385	-2.551	-2.637	-2.6705	0.17	0.125	0.12	-2.549	-2.264	-2.22	-1.806	-1.543	-2.181	0.249	-0.194	-0.064	-0.362
"YBR191W"	0.368	1.0965	0.485	0.957	-0.917	1.388	0.879	-3.54	-3.222	-2.249	-1.912	-2.071	-3.167	-5.241	-3.152	-3.411	-2.563	-2.467	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.057	0.537	0.1555	0.359	0.405	-1.611	-1.764	-0.095	0.41	0.534	-2.088	-2.3065	-1.482	-1.676	-0.8885	0.09	0.416	-0.1725	-3.687	-3.657	-2.427	-3.266	-2.298	-2.872	0.556	-0.065	-0.683	0.853
"YCL045C"	0.592	0.269333333333333	-0.2115	0.196	-1.00466666666667	0.178	0.1595	-1.369	-0.979	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.1955	-1.4795	-1.516	-1.986	-1.31333333333333	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.0866666666666667	0.0785	0.0683333333333333	0.0425	-0.061	-0.0805	-0.143	0.109	0.1425	-0.421	-0.248	-1.706	-1.77266666666667	-1.794	-1.7	0.2605	0.2045	0.171	-1.498	-1.65	-1.372	-1.352	-0.797	-0.647	0.238	0.077	-0.8725	-0.941
"YCR053W"	-0.9125	0.3425	-0.076	0.186	-1.076	0.371	0.291	-2.562	-1.828	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.09	0.651	-0.025	0.175	0.243	-0.451	-0.562	0.009	0.012	-0.155	-0.771	-1.6735	-1.907	-1.727	-1.764	-0.099	-0.166	0.252	-2.722	-2.601	-2.7365	-2.51	-2.2205	-2.352	0.0865	-0.186	1.5	-0.5165
"YDL024C"	-0.185	-1.2925	-0.37	-0.196	0.7	-1.293	-1.239	2.777	2.409	2.653	3.355	3.186	2.889	1.426	1.7	2.123	2.049	1.243	3.2925	2.446	3.645	3.816	4.4555	5.183	4.3165	-0.6405	-1.18	0.373	-0.737	-0.348	2.762	2.663	0.322	-1.263	-0.303	1.778	2.8385	3.7235	3.0495	3.3285	0.105	0.447	0.545	1.576	1.683	2.168	2.079	0.811	0.836	-0.683	-0.176	1.264	0.552
"YDR023W"	-0.828	0.322	-0.076	-0.076	1.176	0.568	0.525	-1.814	-2.122	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.233	0.428	-0.019	0.024	0.445	-1.754	-1.928	-0.283	0.374	-0.29	-1.507	-1.396	-1.983	-2.106	-1.812	0.188	0.159	0.282	-2.302	-1.458	-1.05	-1.66	-0.861	-1.86	1.007	0.626	-0.511	-0.495
"YDR025W"	-0.827	0.692	0.028	0.058	-1.0	1.014	0.806	-3.904	-3.548	-2.573	-2.592	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-3.326	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.446	0.418	-0.035	0.236	0.144	-1.45	-1.463	-0.268	0.43	0.007	-2.304	-2.193	-1.871	-1.974	-1.461	0.1185	0.223	-0.1195	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	0.592	0.196	-0.669	0.322
"YDR098C"	-0.253	0.538	0.192	0.709	-0.517	0.6	0.255	-1.292	-0.427	-0.455	-1.205	-0.434	-1.722	-3.797	-1.164	-0.535	-0.94	-1.178	-1.336	-1.054	-1.53	-1.498	-1.355	-2.09	-2.226	0.217	0.116	0.063	-0.23	0.306	-0.575	-0.788	-0.054	0.142	0.386	0.038	-1.33	-1.038	-1.452	-1.213	0.203	0.076	0.129	-0.942	-0.967	-1.064	-0.837	-0.49	-0.518	-0.578	-0.188	-0.786	1.144
"YDR158W"	-0.445	0.567	0.129	0.638	-0.482	0.311	0.286	-1.349	-1.008	-0.799	-1.356	-0.19	-3.546	-5.115	-1.263	-1.689	-1.965	-1.881	-1.393	-0.514	-0.996	-1.763	-3.109	-3.802	-4.509	-0.077	0.17	0.129	0.207	-0.089	-0.793	-0.886	-0.017	0.013	0.388	-0.298	-2.13	-1.682	-1.935	-1.614	0.165	-0.7	-0.157	-2.154	-1.805	-1.747	-1.752	-1.359	-1.966	-0.08	-0.237	-0.647	1.431
"YDR262W"	-0.8065	0.08	-0.0135	-0.003	0.9675	-0.067	-0.017	1.7335	1.8585	2.06	2.6665	3.1335	3.3725	2.869	1.014	1.473	1.6855	1.6875	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	0.6535	-0.118	0.1505	-0.0015	-0.0205	1.12	1.167	0.4525	0.1165	0.561	0.9935	2.226	2.8725	2.6455	3.067	0.2175	0.2565	-0.2305	2.14	2.6925	1.7955	2.334	2.1775	2.708	0.085	-0.0355	-0.5445	0.21
"YDR417C"	1.033	1.045	0.211	0.597	-1.09	0.832	0.691	-3.705	-2.778	-2.407	-2.511	-3.327	-4.279	-5.062	-3.58	-3.209	-2.864	-2.95	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.106	0.383	0.078	0.515	-0.289	-2.082	-2.022	-0.343	0.393	0.623	-1.587	-2.343	-2.345	-2.045	-1.865	-0.064	0.341	-0.093	-3.553	-2.61	-3.585	-3.332	-2.261	-2.404	0.762	0.286	-0.13	-1.321
"YEL042W"	0.013	0.745	-0.184	0.512	-0.433	-0.631	0.856	-1.578	-0.84	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.924	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	0.012	0.778	-0.007	-0.001	0.19	-1.148	-0.88	-0.02	0.425	0.0	-0.42	-1.754	-1.366	-1.753	-1.736	-0.2325	-0.0865	0.386	-1.793	-1.936	-1.842	-1.963	-0.946	-1.891	0.559	0.032	-0.9465	-0.479
