	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAR053W"	-2.116	0.179
"YBL026W"	-2.412	1.6805
"YBL029W"	-0.29	1.401
"YBL051C"	-3.077	1.578
"YBR209W"	-1.284	1.49
"YBR246W"	-3.138	2.359
"YBR253W"	-2.693	1.421
"YBR260C"	-3.36	1.117
"YBR302C"	-2.817	0.895
"YCL007C"	-2.831	-0.154
"YCL027W"	-1.2445	1.5915
"YCR052W"	-2.66	1.464
"YCR088W"	-5.435	-0.19
"YDL043C"	-3.636	1.801
"YDL128W"	-2.01	0.365
"YDL155W"	-3.747	1.155
"YDR021W"	-4.621	0.486
"YDR242W"	-0.4555	1.294
"YDR412W"	-3.774	1.185
"YDR468C"	-2.998	0.829
"YDR477W"	-2.689	1.014
"YER012W"	-4.764	2.475
"YER027C"	-2.819	-1.654
"YER028C"	-2.352	0.671
"YER057C"	-4.084	2.288
"YER082C"	-3.108	-1.148
"YER164W"	-3.903	2.2745
"YFL027C"	-2.707	6.3155
"YFL032W"	-3.11	0.588
"YFR002W"	-7.825	0.801
"YFR016C"	-5.076	1.049
"YGL049C"	-4.12	1.858
"YGL065C"	-2.778	0.759
"YGL085W"	-1.997	0.007
"YGL107C"	-3.138	-0.63
"YGL145W"	-2.91	0.554
"YGL243W"	-3.012	2.474
"YGR012W"	-3.209	2.859
"YGR020C"	-3.926	3.66
"YGR058W"	-6.235	2.077
"YGR089W"	-3.613	0.598
"YGR280C"	-1.732	0.98
"YGR284C"	-3.1545	2.9
"YHR076W"	-2.444	1.421
"YHR091C"	-0.726	1.95
"YHR111W"	-1.291	1.423
"YHR192W"	-4.285	0.04
"YHR201C"	-4.155	1.291
"YIL022W"	-2.996	-0.145
"YIL104C"	-2.936	1.767
"YIL127C"	-4.521	2.53
"YIL130W"	-2.3	0.695
"YJL018W"	-1.285	1.637
"YJL189W"	-4.28	1.659
"YJR006W"	-3.835	0.927
"YJR080C"	-4.219	1.263
"YKL047W"	-2.266	1.735
"YKL060C"	-4.684	-0.749
"YKL080W"	-5.94	5.981
"YKL111C"	NaN	1.882
"YKL124W"	-0.524	2.173
"YKL140W"	-2.718	0.666
"YKL167C"	-1.751	0.313
"YKR001C"	-5.109	0.486
"YLL006W"	-2.981	1.73
"YLL037W"	-1.999	1.268
"YLL050C"	-4.316	2.549
"YLR043C"	-4.337	1.525
"YLR052W"	-3.393	1.248
"YLR074C"	-3.562	0.937
"YLR082C"	-0.841	5.05
"YLR101C"	-3.161	-0.733
"YLR115W"	-2.017	1.321
"YLR154C"	-3.232	0.912
"YLR226W"	-2.826	0.18
"YLR233C"	-0.666	2.143
"YLR255C"	-3.973	0.623
"YLR282C"	-5.099	1.919
"YLR379W"	-3.962	2.259
"YLR408C"	-5.33	1.08
"YLR410W"	-2.692	1.649
"YLR433C"	-3.462	1.823
"YLR439W"	-4.311	0.264
"YLR455W"	-2.868	0.484
"YML070W"	-3.43	0.664
"YML079W"	-2.996	1.207
"YMR003W"	-5.75	-0.057
"YMR152W"	-3.191	0.89
"YNL051W"	-3.07	0.164
"YNL102W"	-2.5705	1.938
"YNL137C"	-2.305	0.491
"YNL142W"	-1.393	1.5725
"YNL181W"	-3.847	1.6585
"YNL218W"	-3.318	0.0765
"YNL255C"	-5.229	NaN
"YNL289W"	-1.5305	0.633
"YOL062C"	-4.46	1.288
"YOL064C"	-2.52	0.905
"YOL145C"	-3.49	1.47
"YOR025W"	-4.774	1.804
"YOR110W"	-2.20566666666667	2.165
"YOR126C"	-2.242	0.172
"YOR160W"	-4.2525	1.388
"YOR164C"	-4.0095	3.248
"YOR238W"	-2.2445	0.853
"YOR241W"	-6.523	0.624
"YOR296W"	-2.905	1.72
"YOR355W"	-3.8705	2.14
"YOR356W"	-2.108	1.8545
"YPL066W"	-2.461	0.663
"YPL132W"	-0.89	1.722
"YPR029C"	-4.2395	0.714
"YPR056W"	-2.4885	0.796
"YPR129W"	-6.025	NaN
"YPR130C"	-6.9395	-0.204
"YPR166C"	-4.68	0.22
"YPR178W"	-2.2465	1.008
