	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1254.mec1_plus_gamma_60_min"	"2144.heat shock 37 to 37, 30 minutes"	"2560.29C to 33C - 15 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8234.dtt 240 min"	"9836.cdc15 220 min"	"12744.heat shock 17 to 37, 20 minutes"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15729.Lycoming College - AICAr vs. no purine"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"38151.03II01 batch p7"	"38154.03II01 batch p10"
"YBL039C"	-4.124	-4.307	-3.781	-3.74	-3.004	-4.323	-7.004	-3.306	-2.736	-4.7305	-3.7495	-4.251	-3.5775	0.6955	0.238	-1.647	-0.72	0.234	-1.789	0.02	-4.956	0.262	0.375	-1.592	-3.247	-2.197	-2.223	-3.061	-2.311	-0.591	1.325	-2.769	-3.951	-3.379	-2.546	-0.067	-2.619
"YBR088C"	-2.975	-1.772	-2.199	-4.244	-2.177	-4.084	-4.124	-2.002	-1.282	-2.613	-2.4385	-3.272	-2.4585	-0.3555	0.127	-0.472	0.079	-0.335	-0.603	-1.734	-2.522	0.417	0.439	-0.951	-1.75	-1.537	-1.097	-2.138	-1.753	0.922	-0.62	-0.96	-2.591	-1.724	-0.952	0.534	-0.875
"YBR089W"	-2.052	-1.938	-1.744	-2.938	-0.532	-3.547	-2.47	-1.306	-2.078	-2.9465	-2.8165	-3.093	-1.8535	-0.2045	-0.03	-0.664	-0.039	0.589	-0.159	-1.015	-1.902	0.356	0.327	-1.158	-1.787	-1.694	-1.192	-1.847	-1.217	-0.345	-0.079	-2.327	-1.855	-2.51	-0.909	-0.014	-0.76
"YCR034W"	-1.773	-1.028	-1.925	-2.623	-1.771	-3.204	-4.331	-2.001	-2.664	-2.5505	-3.0135	-3.2845	-3.3025	0.181	-0.32	-0.534	-0.224	-0.179	-0.61	0.2725	-1.551	0.124	0.109	-0.908	-1.73	-1.058	-1.064	-1.829	-1.023	-0.438	-0.021	-2.544	-3.478	-3.226	-1.806	0.161	-1.094
"YDL003W"	-1.407	-0.903	-1.0	-2.494	-1.805	-2.029	-2.692	-1.032	-1.32	-2.781	-1.7805	-2.4395	-2.159	-0.52	0.023	-0.81	0.261	0.312	-0.644	-1.205	-1.146	0.887	1.2	-1.4	-2.069	-1.79	-1.279	-1.993	-1.884	1.405	-0.803	-1.572	-2.422	-2.333	-0.922	-0.497	-0.485
"YDR091C"	-2.435	-2.061	-2.781	-3.288	-1.362	-3.384	-4.4	-2.163	-2.925	-2.971	-2.636	-3.222	-3.423	-0.313	0.457	-0.879	-0.04	0.11	-1.077	0.304	-2.972	-0.013	-0.028	-1.138	-1.916	-1.145	-1.849	-1.788	-0.91	-0.005	-0.335	-2.299	-2.953	-2.242	-1.817	-0.285	-1.31
"YER070W"	-2.62	-2.276	-2.838	-3.377	-1.51	-3.252	-3.737	-2.108	-3.09	-3.198	-2.637	-3.229	-3.359	0.028	0.159	-0.663	0.229	0.133	-0.47	0.788	-2.913	-0.063	-0.189	-1.04	-1.24	-0.88	-1.658	-0.954	-0.419	-0.422	0.045	-1.325	-1.516	-1.3	-0.259	-0.003	-0.812
"YGL008C"	-1.029	-0.734	-1.305	-2.727	-2.092	-4.675	-3.936	-1.036	-2.24	-3.268	-4.203	-4.969	-4.679	0.439	0.503	-0.091	0.121	0.147	0.02	1.707	-1.565	-0.145	0.075	-1.73	-3.284	-3.025	-1.993	-3.539	-2.916	-1.085	0.702	-2.876	-2.554	-2.698	-1.272	0.477	0.086
"YGL099W"	-2.456	-2.097	-3.311	-3.43	-2.335	-2.895	-5.764	-2.268	-2.454	-2.755	-2.516	-3.273	-3.42	-0.094	0.068	-1.078	-0.013	0.168	-1.564	-0.599	-3.381	0.023	0.075	-1.519	-1.749	-1.219	-1.51	-1.726	-1.546	-0.201	0.422	-2.453	-3.506	-2.525	-1.211	-0.12	-1.432
"YGL120C"	-3.231	-3.301	-3.877	-4.557	-2.282	-4.088	-5.111	-3.085	-3.171	-3.459	-2.866	-3.888	-4.137	0.158	0.287	-1.218	-0.218	-0.06	-1.354	-0.401	-3.8	0.22	0.251	-1.699	-2.094	-1.42	-1.611	-2.406	-1.863	0.515	-0.091	-3.416	-3.546	-0.554	-2.329	1.023	-1.316
