	"11828.Pomona College Bio164: WT/rad27 mRNA"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL056W"	-3.3155	2.945
"YAR029W"	-3.032	0.936
"YBL031W"	-3.017	1.611
"YBR138C"	-1.365	0.579
"YBR145W"	-4.248	1.824
"YCR028C"	-4.6015	1.637
"YCR044C"	-2.741	1.505
"YCR066W"	-1.541	0.97
"YCR092C"	-3.096	1.343
"YCR095C"	-3.191	2.767
"YCRX18C"	-2.689	1.005
"YDL235C"	-3.294	1.15
"YDL247W"	-2.817	1.437
"YDR094W"	-3.639	2.034
"YDR139C"	-2.293	1.995
"YDR213W"	-2.459	-0.439
"YDR407C"	-4.621	2.065
"YDR482C"	-1.807	1.017
"YDR495C"	-2.739	1.7
"YDR535C"	-5.728	2.545
"YEL022W"	-2.383	0.44
"YER069W"	-4.133	1.623
"YER148W"	-2.585	1.485
"YER153C"	-2.5545	1.772
"YFL042C"	-2.1345	0.822
"YFL063W"	-1.2685	0.701
"YFR004W"	-1.716	-1.071
"YGL067W"	-1.76	1.602
"YGL093W"	-2.874	2.005
"YGL180W"	-4.823	3.562
"YGL195W"	-2.977	1.8235
"YGL198W"	-3.556	0.931
"YGL226W"	-0.7175	0.4675
"YGL241W"	-5.0	1.548
"YGL249W"	-1.722	0.563
"YGR016W"	-2.67	0.412
"YGR047C"	-3.108	1.662
"YGR131W"	-1.8795	1.685
"YGR139W"	-1.599	1.337
"YGR163W"	-3.74	1.357
"YGR222W"	-3.927	2.31
"YHR026W"	-5.915	3.175
"YHR054C"	-1.292	1.182
"YHR058C"	-2.485	-0.271
"YHR177W"	-2.019	1.747
"YHR187W"	-5.248	2.066
"YIL005W"	-3.396	2.345
"YIL039W"	-4.036	-1.524
"YIL046W"	-2.205	1.806
"YIL086C"	-1.9905	1.36
"YIL102C"	-3.093	1.667
"YIL138C"	-6.443	1.142
"YIR030C"	-4.426	2.328
"YJR100C"	-5.548	4.654
"YKL070W"	-2.785	2.046
"YKL076C"	-4.118	7.018
"YKL140W"	-5.34	0.666
"YKL220C"	-7.196	1.228
"YKR041W"	-3.392	0.481
"YKR085C"	-4.687	1.187
"YLR199C"	-3.163	1.536
"YLR420W"	-2.764	1.244
"YLR435W"	-7.889	1.136
"YML011C"	-2.382	1.636
"YMR112C"	-3.018	1.383
"YMR119W"	-4.632	2.568
"YMR179W"	-2.367	1.1955
"YMR259C"	-3.594	1.6395
"YMR274C"	-2.5385	2.181
"YMR314W"	-2.539	1.2165
"YNL001W"	-3.3545	1.5395
"YNL012W"	-2.278	0.173
"YNL082W"	-1.2985	1.0835
"YNL084C"	-2.4915	1.399
"YNL321W"	-1.532	1.118
"YNL334C"	-3.51	1.885
"YOL017W"	-4.712	0.913
"YOR008C"	-2.61	1.34
"YOR071C"	-2.104	1.513
"YOR102W"	-3.943	1.72
"YOR288C"	-4.406	2.063
"YOR366W"	-3.945	2.243
"YPL255W"	-3.032	1.147
"YPL260W"	-2.465	1.229
"YPR018W"	-3.946	0.969
"YPR027C"	-1.778	0.292
"YPR031W"	-3.497	0.979
"YPR040W"	-4.202	1.511
"YPR069C"	-1.6565	1.148
"YPR091C"	-3.766	0.989
"YPR200C"	-4.304	0.92
