	"53.Elutriation2:Sample2:Time2.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"977.wt_plus_gamma_10_min"	"1009.YPD 2 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1250.mec1_plus_gamma_10_min"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34357.batch 02X25 1"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YAL025C"	0.853	-1.718	-3.328	-2.551	-3.541	-1.491	-0.941	-2.585	-2.861	-1.16	0.603	-2.0985	-1.3265	-0.469	-2.479	-2.533	-1.806	-1.045	-3.811	-2.442	-3.37	-0.5305	-0.347	-0.7795	-0.9815	-1.2705	0.355	-0.3095	0.352	-0.108	-0.48	-2.2	-0.737	-1.706	-2.292	-1.544	-1.578	-1.95	-2.041	-0.606	-1.189	-2.373	-2.1915	NaN	-3.235	-1.505	-3.005	-1.465	-4.546	-0.709	-0.378	-0.405	0.021	-0.146	-0.207	-0.336	0.442	0.385	0.08
"YBL028C"	0.7165	-2.119	-2.979	-4.029	-4.375	-2.151	-1.776	-2.877	-3.969	-3.261	1.233	-2.4775	-1.646	-0.582	-2.271	-2.02	-1.487	-0.969	-4.609	-2.828	-4.867	-1.2265	-0.214	-1.7715	-2.0555	-1.6605	0.818	-1.079	0.302	0.279	-1.375	-1.703	-1.192	-1.779	-2.667	-2.101	-1.339	-2.532	-2.658	-1.534	-1.82	-4.011	-3.4845	-2.074	-1.658	-0.456	-1.038	-0.626	-2.529	-0.353	-0.454	-0.532	-0.059	-0.077	-0.21	-0.296	0.396	0.211	0.42
"YBL039C"	0.925	-4.41	-4.793	-5.089	-4.124	-2.316	-2.672	-4.307	-4.486	-3.781	0.149	-3.047	-1.325	-1.2635	-2.661	-2.891	-1.618	-1.351	-3.74	-4.323	-7.004	-1.4605	0.2045	-3.7495	-4.251	-3.5775	-0.368	-0.6155	0.192	0.527	-1.647	-2.695	-1.76	-1.896	-3.176	-2.334	-1.392	-2.572	-2.654	-1.864	-1.789	-4.956	-3.5065	-4.509	-3.644	-1.329	-4.264	-2.925	-3.951	-0.19	-0.533	-0.76	-0.005	-0.262	-0.364	-0.643	0.476	0.001	0.56
"YBR290W"	-0.111	1.453	1.075	1.202	1.186	0.505	0.386	1.013	1.176	1.098	-0.023	0.4015	0.047	0.0685	0.16	0.094	0.264	-0.301	0.899	1.469	0.883	0.084	0.023	1.8005	2.1335	2.3985	0.657	-0.208	0.045	-0.04	0.069	1.168	0.44	1.343	1.47	0.949	0.815	0.825	0.56	0.793	0.193	1.071	0.7345	0.957	1.388	0.618	0.721	0.448	1.607	0.031	0.217	0.4	0.247	0.383	0.246	-0.2	0.156	0.677	0.183
"YCL053C"	0.892	-2.18	-2.892	-2.257	-2.571	-1.523	-1.157	-2.61	-3.477	-3.061	0.652	-1.365	-1.326	-0.7155	-2.08	-1.822	-1.478	-1.163	-4.013	-2.481	-4.22	-0.683	-0.3645	-1.7235	-2.7635	-2.2165	0.1755	-0.384	0.171	0.049	-1.017	-1.561	-1.104	-1.453	-1.829	-1.193	-1.206	-1.584	-1.503	-1.277	-1.367	-3.2	-2.025	-1.143	-1.625	-1.264	-2.365	-1.346	-1.866	-0.044	-0.369	-0.358	-0.079	-0.049	-0.286	-0.366	0.394	-0.201	0.535
"YCL059C"	0.658	-1.314	-3.484	-4.56	-4.242	-2.249	-2.109	-3.611	-4.218	-3.675	0.46	-2.7855	-2.181	-1.621	-2.587	-2.904	-2.397	-1.424	-4.786	-2.558	-5.277	-0.974	-0.183	-2.0685	-3.0265	-2.4555	-0.009	-0.922	0.439	-0.019	-1.897	-1.379	-1.38	-1.281	-2.524	-2.535	-0.821	-2.387	-3.161	-1.186	-1.537	-4.664	-2.7715	-2.908	-2.614	-1.156	-4.103	-3.191	-4.436	-0.273	-0.246	-0.34	0.003	-0.12	0.041	-0.361	0.534	0.352	0.831
"YCLX02C"	0.829	-3.711	-4.024	-3.848	-3.119	-1.437	-1.744	-2.69	-3.872	-3.655	0.895	-2.1125	-1.222	-0.6875	-2.8	-2.263	-1.804	-1.834	-4.118	-2.283	-2.85	-0.556	-0.4635	-1.8265	-2.441	-2.4035	0.304	-0.624	0.049	-0.013	-1.359	-2.243	-0.786	-1.95	-2.282	-1.57	-1.301	-1.974	-1.943	-1.127	-1.529	-4.225	-2.286	-2.679	-2.039	-1.187	-2.894	-1.963	-3.541	-0.193	-0.556	-0.715	-0.267	-0.267	-0.185	-0.353	0.038	-0.179	0.556
"YCR005C"	-0.467	2.146	2.53	2.298	2.326	-1.17	1.519	2.387	2.258	2.177	-0.247	0.603	-0.05	1.1805	1.749	1.701	1.689	1.432	3.867	3.223	2.376	0.325	0.1225	1.925	2.6975	1.642	0.624	0.675	-0.514	-0.3	2.17	1.893	2.587	2.298	2.314	1.68	1.488	1.709	1.777	1.3	0.974	1.459	1.232	2.951	2.598	1.227	1.481	2.08	1.374	-0.582	0.59	1.428	-0.295	-0.263	0.795	1.293	0.79	0.141	0.116
"YDL148C"	0.71	-3.467	-4.262	-3.299	-3.284	-1.419	-1.179	-2.868	-3.476	-2.829	0.326	-1.64	-1.39	-0.602	-2.829	-3.097	-1.936	-1.813	-3.372	-2.269	-4.257	-0.27	0.08	-2.39	-2.527	-2.281	-0.286	-0.301	0.109	0.042	-1.131	-1.293	-1.295	-1.215	-2.173	0.314	-0.39	-1.032	-1.322	-1.596	-1.681	-3.488	-2.04	-2.998	-1.35	-1.228	-1.648	-2.35	0.058	0.018	0.044	0.293	0.141	0.019	0.324	0.251	0.475	0.032	-0.123
"YDL153C"	0.711	-2.245	-4.549	-4.406	-4.333	-1.678	-1.723	-3.047	-4.369	-3.668	1.157	-2.625	-1.714	-0.708	-2.992	-2.998	-2.31	-1.684	-3.698	-0.684	-2.931	-1.11	-0.236	-0.665	-0.597	-0.757	0.276	-0.939	0.491	0.217	-1.656	-1.894	-1.096	-1.669	-2.642	-2.132	-1.029	-2.125	-2.373	-1.348	-1.829	-4.079	-2.566	-2.5	-2.189	-1.476	-1.85	-1.551	-5.47	-0.346	-0.498	-0.369	0.067	-0.076	-0.232	-0.484	0.184	-0.28	-0.913
