	"120.w303a vs w303a fkh1 fkh2"	"405.W303a vs GZY45-15c"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"4784.29C to 33C - 90 min"	"30773.Pomona/Brown Sir3x red"	"40957.H2O2_II_120_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YBL027W"	-0.159	-0.179	-0.596	1.274	1.424	-2.851	-1.606	-2.671	-5.577	-2.494	-2.654	-2.507	-2.33	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.0485	-0.006	0.332	0.04	0.044	-0.0365	0.4425	-1.4445	-1.0445	-1.176
"YBL072C"	-0.238	0.059	-0.9405	1.377	1.296	-3.835	-3.041	-3.192	-6.241	-3.06	-3.401	-3.188	-3.091	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.2455	0.174	0.148	0.248	0.315	0.135	-0.809	-2.113	-1.434	-1.814
"YBL077W"	-0.31	-0.131	-1.134	0.519	0.396	-3.41	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	-0.288	0.452	0.072	0.397	0.115	-0.208	-1.725	-1.036	-2.135
"YBL092W"	-0.184	-0.079	-1.263	0.97	0.727	-3.458	-2.929	-2.896	-5.158	-3.0	-2.812	-2.665	-2.635	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.183	-0.112	-0.201	-0.127	0.281	0.092	-0.319	-1.252	-0.554	-1.126
"YBR025C"	-0.021	-0.045	-1.198	0.528	0.44	-1.923	-1.651	-1.66	-5.106	-2.15	-1.648	-1.624	-1.697	-0.8525	-0.5885	-0.66	-2.141	-2.9345	-3.783	-0.032	-0.459	0.045	-0.146	0.091	0.182	-0.497	-1.77	-1.32	-1.688
"YBR096W"	0.462	0.058	-0.4795	-0.35	-0.537	0.096	-0.773	-2.825	-3.347	-0.736	-1.193	-1.3	-1.672	-0.9895	-1.7275	-1.5245	-1.829	-1.7925	-2.066	0.0555	-0.062	0.412	0.282	0.63	0.073	-0.119	-1.097	-0.524	-1.594
"YBR106W"	-0.368	0.0	-0.828	0.904	1.138	-2.949	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	0.274	0.124	0.245	0.419	0.118	-0.364	-0.655	-0.576	-2.027
"YBR143C"	-0.249	-0.089	-1.0625	0.926	0.849	-2.729	-2.537	-3.195	-4.642	-2.033	-2.231	-2.012	-2.112	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.087	-0.232	0.158	-0.185	0.076	0.105	-0.866	-1.779	-1.639	-1.243
"YBR154C"	0.144	-0.172	-0.38	0.794	0.711	-2.081	-1.563	-3.531	-4.423	-1.586	-1.317	-1.73	-1.85	-1.6075	-1.5735	-2.257	-2.6225	-3.012	-3.8995	5.0E-4	-0.146	0.215	-0.102	-0.271	0.123	-1.165	-2.334	-0.552	-1.554
"YBR181C"	0.522	0.488	-0.8695	1.308	1.121	-3.762	-2.747	-3.798	-4.564	-3.3	-3.365	-3.159	1.639	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.253	0.375	0.129	0.291	0.127	-0.0605	-0.7905	-2.7005	-2.3955	-2.043
"YBR191W"	0.131	0.027	-0.917	1.388	0.879	-3.54	-2.071	-3.167	-5.241	-3.152	-3.411	-2.563	-2.467	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.029	-0.318	-0.02	-0.051	0.342	-0.1725	0.3865	-1.466	-0.9335	-0.604
"YDL082W"	-0.046	-0.095	-0.785	1.092	0.863	-3.223	-1.723	-3.326	-5.816	-2.537	-3.01	-1.18	-2.105	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.068	-0.263	-0.214	-0.156	0.046	-0.321	-0.2535	-1.3305	-0.968	-1.222
"YDL166C"	0.206	0.04	-0.127	1.04	0.718	-1.55	-0.917	-1.676	-2.628	-1.53	-1.311	-0.844	-1.549	-0.913	-1.409	-0.519	-0.639	-0.946	-1.072	0.092	0.054	-0.042	-0.055	-0.203	-0.292	-0.767	-0.988	-1.016	-0.895
"YDL191W"	-0.011	0.014	-0.561	0.722	0.713	-1.985	-1.975	-2.737	-5.192	-2.911	-2.813	-2.518	-2.408	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	0.005	0.106	0.059	-0.034	-0.106	-0.2955	-0.232	-0.86	-2.3555	-1.3785
"YDR025W"	-0.433	-0.273	-1.0	1.014	0.806	-3.904	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-3.326	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	-0.534	-0.268	-0.597	0.427	-0.1195	0.13	-2.008	-1.356	-2.068
"YDR037W"	-0.516	-0.325	-1.231	0.672	0.502	-4.313	-3.458	-4.551	-5.224	-3.226	-2.505	-2.756	-2.42	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.157	-0.287	-0.202	-0.356	-0.067	0.185	-0.905	-1.801	-1.349	-1.744
"YDR064W"	-0.485	-0.122	-0.644	0.993	1.04	-3.874	-2.597	-3.761	-5.03	-3.208	-3.138	-2.511	-2.495	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.351	-0.324	-0.161	-0.335	0.52	-0.4825	-0.2265	-1.701	-1.779	-1.635
"YDR091C"	-0.279	-0.366	-0.878	0.996	1.038	-3.288	-1.362	-3.384	-4.4	-2.925	-2.268	-2.03	-2.498	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.006	-0.248	0.435	-0.201	0.348	0.205	-0.805	-2.595	-1.098	-1.659
"YDR101C"	-0.512	-0.518	-0.843	1.377	1.43	-4.306	-2.948	-4.145	-4.667	-3.385	-2.743	-1.752	-2.552	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.113	-1.211	0.241	-0.841	0.319	-0.103	-1.395	-2.576	-2.129	-2.094
"YDR189W"	-0.041	-0.306	-0.252	0.259	0.297	-0.905	-0.956	-1.871	-2.842	-0.821	-0.61	-0.824	-1.156	-0.801	-0.693	-0.704	-1.597	-1.904	-2.063	0.152	-0.16	-0.004	-0.244	-0.061	0.1835	-0.484	-1.6005	-1.5185	-1.5875
"YDR385W"	-0.792	-0.281	-1.503	0.949	0.864	-2.252	-1.985	-3.158	-5.463	-2.682	-2.3	-1.065	-2.811	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.207	-0.074	0.135	0.285	0.531	0.366	-1.63	-3.422	-2.794	-2.375
"YDR417C"	-0.256	-0.161	-1.09	0.832	0.691	-3.705	-3.327	-4.279	-5.062	-3.58	-3.209	-2.864	-2.95	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.367	-0.001	0.002	-0.144	0.309	-0.093	-0.283	-1.339	-1.587	-1.133
"YDR454C"	-0.158	-0.183	-0.541	1.002	0.661	-1.398	-1.528	-2.876	-4.275	-2.043	-2.035	-2.414	-2.283	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	0.117	0.223	0.266	0.079	0.575	0.113	-0.23	-1.365	-1.273	-0.729
"YEL033W"	-0.629	-0.228	-0.1	-0.058	0.293	-1.803	-1.116	-1.182	-3.14	-1.096	-0.982	-1.324	-1.817	-0.667	-1.114	-1.185	-0.678	-1.408	-1.97	0.176	-0.518	-0.106	-0.361	0.457	-0.206	-0.696	-1.423	-1.929	-1.5085
"YEL034W"	-0.11	-0.429	-0.53	0.441	0.13	-1.287	-0.555	-0.966	-3.471	-0.819	-1.288	-1.447	-0.829	-0.35	-1.013	-0.916	-0.216	-0.969	-2.125	0.166	-0.456	-0.357	-0.479	0.484	-0.0865	-0.4985	-1.962	-1.384	-1.157
"YEL042W"	-0.433	-0.001	-0.433	-0.631	0.856	-1.578	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.924	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	0.134	-0.321	0.479	-0.029	0.736	0.386	0.4745	-1.2935	-1.1835	-0.93
"YEL054C"	-0.374	-0.131	-0.77	1.203	1.075	-3.654	-2.981	-2.98	-7.056	-3.039	-3.52	-3.003	-2.232	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.369	-0.261	0.254	-0.094	0.402	0.1225	-0.2635	-1.204	-1.216	-1.677
"YER025W"	-0.522	-0.341	-0.987	0.959	0.839	-3.167	-1.55	-2.274	-4.542	-2.203	-1.76	-1.79	-1.489	-1.42	-1.739	-2.023	-1.728	-2.125	-2.385	0.089	-0.389	0.298	-0.312	0.181	0.311	-0.587	-0.993	-0.277	-1.816
"YER0561C"	-0.153	-0.12	-1.069	1.066	1.019	-3.641	-2.571	-2.974	-4.828	-3.09	-2.762	-2.713	-2.71	-2.208	-2.275	-2.538	-2.398	-2.784	-3.617	0.281	0.029	0.495	-0.205	-0.166	NaN	NaN	NaN	NaN	NaN
"YER086W"	-0.201	-0.123	-0.928	0.899	0.82	-3.714	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-2.028	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	0.265	0.006	0.778	0.314	0.488	-0.133	-0.106	1.305	0.912	0.996
"YGL022W"	-0.405	-0.274	-0.919	0.491	0.309	-0.918	-0.622	-3.396	-4.268	-1.163	-0.993	-1.595	-1.742	-0.547	-0.687	-0.699	-1.211	-1.242	-2.176	0.169	0.151	0.041	0.277	0.393	0.27	-0.848	-0.855	-1.099	-1.654
"YGL031C"	-0.158	-0.182	-1.231	1.047	1.003	-3.366	-3.104	-3.683	-5.763	-3.041	-2.881	-3.063	-2.704	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	0.308	0.236	-0.042	0.04	-0.137	0.142	-0.76	-2.49	-1.071	-1.852
"YGL123W"	-0.88	0.078	-1.693	1.264	1.189	-3.781	-3.62	-4.004	-5.982	-4.112	-3.654	-3.701	-3.959	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.497	0.002	0.358	0.094	0.301	0.216	-1.064	-1.944	-2.434	-2.058
"YGL147C"	-0.17	0.014	-1.473	1.186	1.241	-3.892	-3.896	-3.921	-7.507	-3.0	-3.753	-3.466	-3.166	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.343	0.224	0.536	0.295	0.241	0.071	-1.275	-2.553	-2.436	-3.298
"YGL189C"	-0.037	0.013	NaN	1.025	0.841	-2.316	-2.676	-3.07	-5.824	-2.288	-2.376	-2.552	-1.852	NaN	NaN	NaN	-1.466	4.087	0.848	0.254	0.346	0.257	0.006	-0.013	0.128	1.384	-1.54	-1.456	-2.002
"YGL245W"	-0.29	-0.048	-1.136	0.55	0.246	-1.773	-2.145	-4.799	-6.655	-1.774	-1.33	-1.699	-2.088	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.065	-0.036	0.289	-0.179	0.116	0.257	-0.757	-1.354	-0.477	-1.947
"YGR075C"	-0.15	-0.126	-0.485	0.439	0.377	-0.498	-0.886	-1.662	-2.026	-0.349	-0.723	-0.005	-0.809	-0.854	-0.948	-0.945	-1.112	-1.161	-1.533	-0.076	0.272	0.327	0.278	0.2	-0.184	0.134	0.697	0.542	0.594
