	"585.21 deg growth"	"598.29 deg growth"	"814.DBYmsn2-4- 37degree heat - 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1252.mec1_plus_gamma_30_min"	"2554.Hypo-osmotic shock -15 minutes"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7540.pRS-ROX1 GAL media"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"30773.Pomona/Brown Sir3x red"	"32250.DBY8778_heat_shock2_0min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33258.delKIN82_heat shock _5min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBL048W"	-0.386	-0.437	0.1885	-0.384	2.166	2.762	1.81	2.869	2.214	2.3225	2.101	2.7535	3.8365	3.63	2.8605	-0.0635	-0.117	-0.138	-0.175	-0.015	-0.2445	-0.058	-0.062	0.201	0.248	-0.4885	-0.234	-0.1825	-0.1255	-0.04	0.0	1.757	1.93	2.317	1.999	2.107	0.2315	-0.085	-0.499	3.94	4.15	3.018	4.89	4.794	4.99	4.039	-0.154	-0.431	4.307	4.409	4.483	4.292	4.459	3.989	4.746	2.754	2.786	2.718	2.12	2.433	3.046
"YBL049W"	-0.209	-0.028	0.1845	-0.14	3.632	4.812	2.844	4.254	2.309	3.3385	2.9925	3.8385	4.9405	5.2455	4.1525	0.074	-0.136	-0.163	-0.208	-0.038	-5.0E-4	0.159	0.092	0.628	0.172	-0.1165	-0.133	0.1305	0.347	0.0	0.15	2.943	2.941	3.5405	3.074	3.249	-0.0645	0.164	-0.14	2.896	3.709	3.586	3.677	4.069	4.255	3.318	-0.873	-0.309	3.243	4.358	4.543	4.201	4.835	4.581	5.083	2.402	3.747	3.88	2.311	1.928	2.146
"YBR026C"	-0.583	-0.177	1.205	0.069	2.537	2.684	1.784	1.426	1.707	2.1345	2.379	2.4865	1.713	0.77	-0.212	0.4905	-0.001	-0.345	-0.318	-0.068	-0.073	-0.09	0.4775	0.494	0.737	0.688	0.677	0.466	0.528	0.604	0.759	2.16	1.8635	1.652	1.1475	1.242	0.748	0.093	-0.012	2.734	2.63	3.175	3.349	2.986	2.431	3.303	1.364	0.525	1.372	1.981	1.786	2.689	2.244	1.827	2.507	2.762	2.916	2.83	1.902	2.139	2.047
"YBR039W"	-0.136	-0.132	0.287	-0.171	1.875	1.455	1.351	1.37	1.456	2.763	1.9775	1.519	1.26	0.441	0.46	-0.056	-0.621	-0.52	-0.012	0.241	0.0465	-0.305	-0.255	0.203	-0.475	-0.182	-0.1525	-0.2625	-0.1555	-0.303	-0.207	0.6715	0.618	0.08	-0.1415	0.022	0.3125	0.115	-0.633	-1.272	-1.413	-1.543	-1.872	-1.462	-2.123	-0.751	0.885	0.723	2.248	3.252	2.962	1.342	2.68	3.027	1.479	0.633	0.775	0.849	-0.773	-0.892	-1.326
"YBR079C"	0.219	-0.128	-0.595	-0.19	-2.406	-0.936	-1.845	-1.806	-1.664	-2.741	-1.661	-2.5405	-1.965	-2.9905	-2.7575	0.0385	0.586	0.579	0.501	0.467	-0.0865	-0.282	-0.3905	0.141	-0.514	-0.0595	0.055	-0.1735	-0.092	-0.38	-0.808	-1.478	-1.325	-1.8995	-1.632	-1.8935	-0.796	0.138	-0.343	-3.175	-1.984	-3.148	-2.207	-2.231	-2.621	-2.216	0.292	0.931	-1.842	-2.317	-2.158	-2.215	-2.556	-2.08	-1.972	-1.764	-2.206	-1.794	-1.779	-1.658	-3.324
"YBR088C"	-0.015	0.124	-1.2345	-0.25	-4.244	-1.712	-2.177	-4.084	-1.484	-2.613	-1.0105	-1.809	-2.4385	-3.272	-2.4585	-0.7475	-0.406	0.274	0.534	0.3	0.259	-0.283	0.7565	0.508	1.341	1.4005	1.1515	1.4265	1.4945	-0.322	1.292	-0.667	-1.66	-1.323	-1.222	-1.031	0.241	-0.242	-0.421	-2.227	-2.369	-3.352	-3.038	-2.626	-3.11	-3.111	-0.893	0.158	-0.893	-0.96	-1.523	-2.591	-1.724	-0.952	-2.675	-1.097	-1.675	-1.868	-1.154	-1.062	-1.642
"YBR121C"	-0.009	0.007	-1.297	0.131	-2.66	-2.186	-2.714	-4.037	-1.95	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.3085	0.271	0.25	0.324	0.381	-0.1215	-0.535	-0.2545	0.071	-0.4	-0.616	-0.142	-0.197	-0.3095	-0.089	-0.198	-2.1	-2.5385	-2.551	-2.637	-2.6705	-0.92	0.12	-0.275	-1.448	-2.28	-1.923	-1.524	-1.875	-2.122	-2.086	-0.022	0.363	-2.549	-2.264	-1.948	-2.22	-1.806	-1.543	-2.181	-0.947	-2.361	-1.351	-1.562	-1.674	-1.532
"YCR034W"	0.291	0.317	-1.025	-0.07	-2.623	-1.912	-1.771	-3.204	-2.639	-2.5505	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.471	0.445	0.217	0.359	0.4	0.2975	-0.796	0.181	-0.112	-0.072	-0.0705	-0.224	0.0345	0.2095	-0.002	-0.109	-1.937	-2.646	-2.198	-2.761	-2.5975	-1.2345	0.06	0.163	-2.353	-1.33	-2.614	-1.441	-1.408	-1.532	-2.19	-1.107	0.165	-3.552	-2.544	-2.163	-3.478	-3.226	-1.806	-1.743	-1.656	-2.082	-1.989	-2.486	-2.179	-2.607
"YCR096C"	0.488	0.068	0.1695	0.044	1.561	1.2	0.978	1.323	1.05	0.805	0.787	0.9015	0.76	0.248	0.1595	0.042	-0.426	-0.58	-0.313	-0.159	-0.1245	0.359	0.175	-0.534	0.048	0.2785	0.147	0.2195	0.2345	0.086	0.241	0.7895	0.69	1.0455	1.132	0.886	0.6585	0.036	0.351	1.698	1.348	1.648	2.523	1.635	1.908	2.219	0.124	0.531	1.732	1.671	1.86	1.057	1.534	1.844	1.525	1.125	1.837	1.703	1.174	1.536	1.374
"YDR022C"	-0.478	-0.231	0.443	0.055	2.343	2.693	1.663	0.566	0.782	1.019	1.05	1.832	1.061	1.393	0.296	0.109	-0.037	-0.528	-0.222	-0.196	-0.277	0.166	-0.177	0.235	0.139	0.123	-0.014	0.05	0.121	0.076	-0.018	2.007	1.527	1.844	1.405	2.07	0.443	0.013	-0.258	1.676	2.149	2.526	1.672	1.827	2.421	1.697	-0.612	-0.678	1.451	0.889	1.306	1.807	1.957	1.454	1.475	-0.171	0.708	1.144	1.469	2.115	1.841
