	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YAR028W"	2.048	-1.262	-2.618	0.142	-0.6115	-0.894	0.62	0.983
"YAR071W"	-2.292	-4.063	-5.43	-2.6735	-3.725	-3.467	-2.169	-1.683
"YBL026W"	-0.188	-1.476	-2.412	-0.5695	-0.786	-1.258	-0.336	0.032
"YBL040C"	0.265	-1.585	-3.288	-1.5345	-1.6035	-2.3045	-0.21	0.19
"YBR011C"	-1.337	-4.081	-5.344	-2.3835	-3.0585	-3.4585	-1.321	-0.753
"YBR028C"	-0.685	-2.27	-3.596	-1.494	-2.3575	-2.334	-1.31	-0.628
"YBR118W"	-1.301	-2.846	-5.272	-1.7525	-2.167	-3.221	-1.886	-1.975
"YBR121C"	-2.66	-4.037	-5.791	-4.1355	-4.173	-4.5985	-2.549	-2.22
"YBR205W"	-0.193	-2.047	-3.842	-0.8785	-1.5345	-2.119	-0.126	0.386
"YBR206W"	-0.522	-2.307	-3.253	-1.0975	-1.694	-1.6555	-0.293	0.068
"YBR283C"	-0.212	-1.689	-3.351	-1.68	-1.8725	-2.0585	-0.777	-0.573
"YCR002C"	-1.02	-3.669	-5.182	-2.564	-2.9535	-2.7005	-1.122	-0.351
"YCR013C"	-0.211	-3.099	-5.566	-1.827	-2.591	-3.6275	-1.258	-0.278
"YCR094W"	-0.578	-1.568	-2.607	-0.8265	-0.997	-1.3025	-0.368	-0.215
"YDL183C"	3.1705	0.654	0.2745	0.973	0.9905	-0.006	1.29	2.157
"YDL185W"	-0.209	-2.522	-4.417	-1.557	-2.084	-3.0	-0.4305	0.2265
"YDR050C"	-0.897	-1.84	-5.94	-2.206	-2.643	-3.307	-0.853	-0.17
"YDR071C"	0.37	-2.459	-4.374	-1.937	-3.125	-2.557	-0.465	0.385
"YDR158W"	-1.349	-3.546	-5.115	-3.109	-3.802	-4.509	-2.154	-1.747
"YDR189W"	-0.905	-1.871	-2.842	-1.597	-1.904	-2.063	-0.6445	-0.5025
"YDR284C"	2.017	-1.533	-1.912	-0.716	-0.73	-1.084	0.526	1.175
"YDR427W"	0.08	-1.953	-4.214	-1.642	-1.996	-2.388	-0.1325	-0.1965
"YDR454C"	-1.398	-2.876	-4.275	-1.835	-2.466	-2.28	-1.51	-0.933
"YDR512C"	1.552	-0.031	-1.469	0.068	0.141	-0.374	1.433	1.168
"YEL042W"	-1.578	-3.201	-4.334	-1.896	-2.665	-3.071	-1.793	-1.842
"YER107C"	-1.144	-1.533	-2.516	-1.136	-1.224	-1.828	0.9	0.626
"YFR039C"	0.16	-0.736	-2.585	-0.881	-1.254	-1.353	-0.078	-0.078
"YGL027C"	-0.522	-2.354	-4.731	-2.105	-2.719	-3.083	-1.292	-0.518
"YGL060W"	0.325	-1.098	-3.155	-1.433	-1.322	-1.742	0.305	0.712
"YGL083W"	-0.18	-1.192	-1.642	-1.241	-1.325	-1.27	0.31	0.351
"YGL115W"	0.706	-1.41	-3.416	-1.21	-1.389	-1.566	0.392	1.11
"YGL231C"	-0.43	-1.893	-3.788	-1.455	-1.7	-1.822	-0.407	-0.011
"YGL245W"	-1.773	-4.799	-6.655	-3.552	-4.345	-4.779	-0.889	-0.706
"YGR001C"	-1.476	-2.12	-3.271	-1.426	-1.682	-2.24	-1.337	-1.247
"YGR076C"	1.639	-2.063	-1.716	-0.773	-1.158	-0.384	1.465	1.863
"YGR077C"	1.064	-0.495	-1.436	-0.394	-0.382	-1.0	1.032	1.5
"YGR089W"	-0.3	-1.187	-3.613	-1.361	-1.497	-2.359	-0.066	0.395
"YGR135W"	0.635	-1.553	-4.32	-1.689	-1.765	-1.935	-0.65	0.148
"YGR175C"	-1.507	-3.074	-4.5	-2.53	-2.628	-3.285	-1.563	-0.442
"YGR185C"	-3.192	-5.306	-6.361	-4.576	-4.871	-5.006	-3.17	-2.136
"YGR189C"	-0.875	-2.638	-4.894	-2.106	-2.635	-2.874	-1.26	-0.965
"YGR236C"	5.885	5.413	6.474	4.433	4.451	5.04	6.492	6.284
"YGR263C"	1.02	-0.482	-0.494	-0.643	-0.554	-1.164	0.984	0.798
"YHL003C"	0.834	-2.186	-3.084	-1.585	-1.707	-1.741	-0.715	0.006
"YHR047C"	-1.098	-3.032	-4.423	-1.978	-3.102	-3.056	-0.806	0.117
"YHR073W"	0.453	-1.889	-2.844	-0.99	-1.786	-1.676	0.659	0.329
"YHR109W"	1.13	-0.913	-0.25	0.047	-0.05	-0.307	0.391	0.654
"YHR193C"	-1.48	-3.11	-4.166	-1.778	-2.357	-2.845	-1.174	-0.624
"YIL002C"	-0.38	-1.756	-2.557	-1.128	-1.454	-1.742	-0.857	-0.39
"YIL021W"	0.063	-1.965	-3.289	-1.2	-1.693	-1.565	-0.576	-0.543
"YIL078W"	-2.907	-5.192	-6.059	-4.41	-4.902	-4.944	-3.116	-1.996
"YJL002C"	-1.243	-2.469	-4.487	-1.748	-2.556	-2.618	-0.969	-0.813
"YJL014W"	-1.884	-2.624	-3.962	-2.252	-3.068	-2.866	-2.007	-1.344
"YJL138C"	-2.487	-3.125	-5.625	-2.542	-2.785	-3.522	-2.208	-1.902
"YJL139C"	0.47	-0.798	-0.93	-0.433	-0.4	-0.716	0.314	0.168
"YJR014W"	-1.001	-2.399	-3.649	-0.993	-1.578	-1.95	-0.628	-0.685
"YJR076C"	-0.317	-2.55	-4.614	-1.815	-2.814	-3.117	-0.773	-0.346
"YJR118C"	0.153	-1.327	-2.497	-0.882	-1.108	-1.366	-0.231	-0.545
"YJR142W"	0.891	-2.83	-2.392	-1.581	-2.204	-2.058	0.39	0.254
"YJR143C"	-1.748	-4.675	-5.523	-3.335	-3.698	-3.382	-1.722	-1.32
"YKL122C"	-1.219	-2.027	-4.576	-2.178	-2.544	-2.706	-0.888	-0.749
"YKL126W"	0.603	-1.529	-2.583	-0.921	-1.361	-1.517	-0.635	-0.019
"YKL129C"	0.848	-1.289	-2.121	-1.232	-1.396	-1.463	0.671	1.112
"YKL152C"	-0.967	-3.152	-4.943	-1.713	-1.83	-2.83	-0.511	-0.334
"YKL179C"	0.146	-1.527	-3.305	-0.951	-1.676	-1.88	-0.63	0.226
"YKL208W"	1.822	-0.974	-1.364	-0.104	-0.408	-0.322	0.191	0.589
"YKL210W"	0.018	-2.409	-4.432	-1.627	-1.844	-2.279	-0.55	0.315
"YKL212W"	-1.431	-3.014	-4.806	-2.516	-2.929	-3.374	-1.052	-1.036
"YKR001C"	0.028	-2.222	-5.109	-2.374	-2.626	-3.069	-0.719	0.012
"YKR027W"	-0.232	-2.429	-3.822	-1.771	-2.364	-1.524	-1.199	0.186
"YKR028W"	-1.044	-2.477	-4.381	-1.296	-1.963	-2.574	-0.987	-0.53
"YKR059W"	-2.144	-2.817	-4.998	-2.623	-2.96	-3.568	-2.448	-2.025
"YKR088C"	0.045	-0.752	-2.175	-0.652	-1.04	-1.027	0.483	-0.108
"YLR026C"	-0.211	-1.415	-2.357	-0.92	-1.632	-1.673	-0.596	0.037
"YLR060W"	-3.165	-4.941	-5.967	-3.118	-3.713	-4.371	-2.734	-2.64
"YLR067C"	0.07	-1.433	-1.8125	-1.124	-1.384	-0.7845	-2.956	-0.637
"YLR176C"	1.712	-0.245	-1.128	-1.521	0.379	0.172	0.206	1.077
"YLR182W"	0.439	-2.064	-3.638	-0.93	-2.368	-2.165	-1.086	0.047
"YLR208W"	-0.669	-1.968	-4.432	-1.898	-2.183	-2.499	-0.742	-0.748
"YLR314C"	-0.76	-2.218	-5.585	-2.906	-3.447	-3.937	-1.633	-0.79
"YLR354C"	-0.752	-2.178	-4.965	-2.325	-2.432	-3.661	-0.61	-0.471
"YLR363C"	-1.0	-1.953	-2.721	-0.933	-1.754	-1.515	-0.98	-0.53
"YLR392C"	2.229	-1.423	-1.651	-0.16	-0.478	-0.805	0.229	0.91
"YLR418C"	0.072	-1.172	-2.673	-1.243	-1.238	-1.829	-0.136	0.022
"YML074C"	-2.476	-2.837	-5.319	-2.826	-3.214	-3.466	-1.353	-1.384
"YMR092C"	0.574	-1.311	-3.503	-1.246	-1.529	-2.055	0.806	1.25
"YMR149W"	-0.28	-1.442	-3.396	-0.825	-1.112	-1.653	-0.172	-0.163
"YMR208W"	-1.479	-2.542	-3.618	-1.98	-2.454	-2.354	-1.312	-1.098
"YMR235C"	-1.54	-3.534	-5.187	-2.838	-3.21	-3.756	-1.798	-1.982
"YMR282C"	1.453	-1.001	-1.322	-0.4	-1.107	-0.757	0.132	0.316
"YNL085W"	-0.849	-2.342	-5.369	-2.001	-2.706	-3.291	-1.226	-1.203
"YNL118C"	-0.109	-1.807	-5.007	-2.012	-2.449	-2.675	0.557	0.682
"YNL168C"	0.054	-1.69	-3.351	-0.728	-1.174	-1.844	-0.135	0.068
"YNL181W"	0.41	-1.86	-3.847	-1.588	-2.16	-1.612	-1.071	-0.336
"YNL291C"	-1.038	-2.472	-4.479	-1.166	-1.572	-1.833	-0.631	-1.267
"YOL023W"	1.408	0.4985	-0.68	0.021	-0.039	-0.075	-0.068	0.704
"YOL145C"	-0.9365	-1.941	-3.49	-2.115	-2.162	-2.146	-0.423	0.04
"YOR103C"	0.6045	-1.431	-2.033	-0.954	-1.114	-1.311	-1.076	-0.571
"YOR109W"	-0.638	-2.42	-3.566	-1.1	-1.591	-1.813	-0.565	-0.183
"YOR270C"	-0.245	-1.649	-4.932	-1.912	-2.307	-2.635	-0.839	-0.555
"YOR320C"	-0.611	-1.2535	-3.6785	-1.291	-1.454	-1.828	-0.328	-1.062
"YOR321W"	-0.8825	-2.096	-3.7905	-1.374	-1.619	-2.487	-0.769	-0.347
"YPL028W"	-1.971	-3.482	-5.5385	-1.692	-2.17	-2.948	-0.916	-1.478
"YPL060W"	2.6425	-0.203	-0.444	0.665	0.602	0.366	1.16	1.905
"YPL066W"	0.6915	-1.628	-2.461	-0.851	-1.407	-1.229	-0.63	0.158
"YPL094C"	-0.515	-3.0415	-5.3055	-2.024	-2.284	-2.741	-0.686	-0.462
"YPL118W"	1.2395	-2.0295	-3.472	-1.32	-1.696	-1.807	0.922	1.337
"YPL243W"	-1.27	-4.1455	-5.276	-2.602	-3.541	-3.544	-1.274	-1.424
"YPR019W"	-0.869	-1.7075	-3.1305	-1.349	-2.229	-1.945	-0.6265	-0.2345
"YPR029C"	0.2475	-1.735	-4.2395	-1.909	-1.836	-2.242	-0.628	-0.425
"YPR033C"	-2.7945	-4.8805	-7.94	-3.951	-4.382	-4.54	-2.1325	-2.0305
"YPR063C"	-0.599	-1.6485	-2.9805	-0.701	-1.042	-1.306	-0.46	-0.5275
"YPR124W"	2.456	-1.3955	-3.1905	-1.235	-1.329	-1.857	0.311	0.84
"YPR125W"	-1.31	-1.846	-4.04	-1.108	-1.757	-2.566	-1.254	-1.445
"YPR148C"	0.9555	-1.599	-3.536	-0.987	-1.426	-2.035	1.248	1.344
