	"597.25 deg growth"	"598.29 deg growth"	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5358.1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"
"YAL035W"	0.106	-0.2665	-0.415	-2.5615	-3.6215	-1.3835	-1.5975	-3.02066666666667	-2.203	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	-0.260333333333333	-0.187333333333333	-0.379	-0.595	-2.29	-1.901	-1.97866666666667	-1.91766666666667	0.904	0.097	-0.245
"YAL036C"	-0.192	-0.05	-0.894	-2.145	-3.743	-2.682	-2.056	-2.5035	-1.829	-1.9095	-1.486	-1.4315	-1.841	-2.0465	-0.0645	-0.2445	-0.2525	-0.943	-2.0125	-1.217	-1.2595	-1.4825	0.493	0.716	-0.34
"YBL032W"	-0.224	0.01	-0.633	-2.391	-3.206	-1.184	-0.896	-1.043	-0.879	-0.859	-1.1135	-0.4375	-0.7795	-1.0005	0.014	-0.237	-0.0435	-0.449	-1.008	-1.1445	-1.108	-1.0305	-0.112	0.043	0.131
"YBL072C"	0.284	0.238	-1.75	-3.192	-6.241	-3.06	-3.401	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.611	0.2515	-0.0695	-2.142	-3.2475	-2.2175	-1.4775	-1.565	0.507	1.462	0.182
"YBL077W"	-0.094	0.034	-1.083	-3.136	-5.081	-2.763	-2.285	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.0635	-0.0685	-0.2735	-1.147	-2.306	-2.488	-2.2065	-2.3345	-0.627	-0.481	0.02
"YBL092W"	0.019	0.349	-1.562	-2.896	-5.158	-3.0	-2.812	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.097	0.0485	-0.1155	-1.647	-3.0005	-1.6075	-1.209	-1.139	-0.918	1.118	0.987
"YBR048W"	0.1525	0.231	-1.656	-3.0195	-5.0065	-3.0685	-3.137	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.190666666666667	0.224666666666667	-0.142666666666667	-1.792	-3.33333333333333	-2.61066666666667	-1.818	-2.09966666666667	1.077	0.804	0.157
"YBR093C"	0.469	0.223	-1.088	-3.877	-4.597	-2.021	-1.309	-2.084	0.756	1.0395	-1.4665	-2.5345	-3.057	-3.191	-0.532	-0.4145	-0.2595	-0.96	-1.585	-1.5455	-1.2165	-1.438	-1.115	-0.131	0.254
"YBR121C"	0.101	0.007	-1.349	-4.037	-5.791	-2.317	-1.95	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	-0.015	-0.2815	-1.272	-2.1	-2.5385	-2.551	-2.637	0.54	0.752	0.563
"YBR143C"	0.455	0.158	-0.746	-3.195	-4.642	-2.033	-2.231	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.029	0.0525	-0.6515	-0.972	-1.875	-1.91	-1.8905	-1.8585	1.088	-0.487	-0.174
"YBR172C"	-0.183	-0.041	0.134	-1.605	-3.593	-1.026	-0.62	-0.399	-0.23	-0.397	-0.5835	-1.176	-1.6515	-1.648	-0.0285	-0.2235	-0.38	0.172	-1.4665	-0.8625	-1.003	-0.842	0.032	0.1555	-0.238
"YCL037C"	-0.299	-0.259	-0.515	-2.555	-3.932	-2.218	-1.842	-3.1075	-2.3555	-2.8585	-3.054	-2.457	-2.4225	-2.617	-0.06	-0.022	0.2005	-0.578	-2.7605	-1.8825	-2.227	-2.368	-1.006	-0.941	-0.724
"YCR053W"	-0.222	-0.076	-0.593	-3.556	-4.283	-1.206	-2.391	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.025	-0.315	-0.437	-0.557	-1.5425	-1.6735	-1.907	-1.727	-1.4645	-0.6675	-0.5325
"YDR023W"	0.14	-0.076	-1.003	-2.907	-5.745	-1.288	-1.116	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	-0.019	-0.091	0.026	-1.24	-1.635	-1.396	-1.983	-2.106	1.229	0.921	0.368
"YDR091C"	0.035	0.007	-1.139	-3.384	-4.4	-2.925	-2.268	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.11	0.065	-0.572	-1.258	-2.31	-1.977	-1.695	-1.907	0.793	1.403	0.661
"YDR198C"	0.235	-0.076	-0.24	-1.731	-2.617	-0.459	-0.547	-0.343	-0.451	-0.347	-0.474	-0.66	-0.758	-0.986	-0.175	0.095	-0.19	-0.07	0.432	0.307	0.705	0.467	0.112	0.801	0.484
"YDR341C"	-0.069	0.103	-1.319	-3.212	-5.262	-2.587	-2.171	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.1	0.011	-0.128	-1.411	-1.806	-1.663	-1.444	-1.45	-0.198	-0.467	-1.029
"YDR496C"	0.7995	0.2675	-1.098	-3.591	-4.393	-4.5275	-2.8145	-3.995	-2.1765	-2.168	-2.517	-2.6065	-3.579	-3.3065	0.0765	-0.09	-0.717	-1.118	-2.082	-1.078	-1.1385	-0.998	1.697	0.193	0.989
"YDR518W"	-0.047	-0.003	-0.05	-1.576	-3.131	-0.265	-0.681	-0.344	-0.738	-0.984	-1.236	-1.099	-1.469	-2.116	-0.006	-0.245	0.324	-0.295	-1.156	-1.198	-1.103	-1.799	0.6965	0.2975	-0.0115
"YEL026W"	0.185	0.385	-1.267	-3.458	-4.755	-3.518	-3.357	-3.331	-2.232	-2.812	-1.923	-2.288	-3.073	-0.452	0.059	0.095	0.259	-1.309	-2.731	-2.093	-1.888	-2.256	0.763	-0.121	-0.158
"YEL042W"	-0.003	-0.184	-0.816	-3.201	-4.334	-1.707	-1.439	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.007	0.205	-0.299	-1.072	-1.211	-1.754	-1.366	-1.753	-0.38	-0.339	-0.43
"YEL054C"	0.466	0.547	-1.382	-2.98	-7.056	-3.039	-3.52	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.091	0.065	-0.188	-1.753	-3.541	-2.696	-1.977	-2.388	1.138	0.468	-0.119
"YER043C"	0.231	0.191	-0.957	-4.78	-6.476	-2.364	-1.977	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-0.103	-0.29	-0.181	-1.272	-2.241	-2.015	-2.503	-2.487	1.244	0.463	0.297
"YER102W"	0.268	0.447	-1.667	-3.64	-6.434	-3.101	-3.625	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.299	0.289	0.086	-2.051	-3.067	-2.133	-1.446	-1.328	1.061	0.401	-0.509
"YER105C"	-0.37	-0.417	0.023	-1.921	-3.477	-0.005	0.126	-1.086	-0.801	-0.965	-0.805	-1.462	-2.363	-2.555	-0.069	-0.181	-0.285	-0.016	-0.766	-0.847	-0.658	-0.991	-0.468	0.1125	0.1505
"YFL045C"	0.049	0.155	-1.444	-2.163	-4.897	-2.591	-2.185	-2.228	-1.282	-1.424	-2.201	-1.923	-2.307	-2.378	0.031	-0.011	0.016	-1.586	-1.379	-2.37	-2.234	-2.49	0.585	-0.329	-0.087
"YFR009W"	0.233	-0.403	-0.25	-3.004	-4.932	-0.398	-1.105	-1.488	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	-0.126	-0.206	0.165	-0.571	-1.049	-1.896	-2.023	-2.107	0.427	-0.719	-0.007
"YGL012W"	0.219	0.176	-0.412	-3.06	-3.869	-1.78	-2.067	-1.912	-1.151	-2.143	-2.209	-2.691	-2.742	-2.333	0.083	0.186	0.126	-0.751	-1.329	-2.757	-2.619	-2.725	1.158	0.082	0.873
"YGL016W"	-0.105	0.125	-0.986	-3.034	-4.265	-1.563	-1.245	-1.719	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.106	0.259	-0.301	-1.235	-1.153	-1.867	-1.969	-2.353	1.333	-0.221	0.284
"YGL120C"	0.252	-0.005	-1.353	-4.088	-5.111	-3.171	-3.229	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	0.0	0.081	-0.135	-1.401	-2.335	-1.654	-1.288	-1.486	0.719	0.75	0.237
"YGL123W"	0.21	0.321	-1.622	-4.004	-5.982	-4.112	-3.654	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.027	-0.229	-0.564	-2.265	-2.897	-2.648	-1.69	-1.623	0.274	0.181	-0.017
"YGL135W"	0.243	0.24	-1.72	-3.418	-5.687	-3.217	-3.23	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-0.045	0.125	0.295	-2.11	-3.473	-2.732	-2.176	-2.219	0.437	-0.088	-0.817
"YGL147C"	0.114	0.275	-1.799	-3.921	-7.507	-3.0	-3.753	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.326	0.219	0.03	-2.02	-3.553	-2.765	-2.078	-2.239	0.131	0.846	0.7135
"YGL148W"	0.143	0.099	-0.934	-2.826	-3.915	-2.983	-2.53	-2.555	-1.926	-2.049	-2.327	-1.666	-1.996	2.781	0.038	-0.669	-0.169	-1.561	-2.048	-1.966	-2.073	-2.166	-0.619	-0.771	0.171
"YGL171W"	0.063	-0.054	-1.398	-2.903	-4.649	-2.759	-2.384	-3.704	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	0.01	-0.194	0.047	-1.31	-2.193	-1.389	-0.886	-0.698	-0.884	-0.576	-0.184
"YGL177W"	-0.592	-0.728	0.181	5.784	4.519	0.22	2.413	0.787	0.641	2.066	3.231	3.768	3.904	1.955	-0.177	0.016	-0.149	0.285	-0.442	0.543	2.28	3.158	0.321	0.927	1.298
