	"42.alpha factor release sample022"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"12733.Nitrogen Depletion 8 h"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"
"YJR145C"	0.013	-1.7845	-1.245	-2.537	-6.528	0.524	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	-0.781	1.101	2.789	-1.792	-0.291	-0.237	-1.93	-3.331	-2.469
"YKL006W"	0.256	-1.634	-1.129	-2.018	-5.113	0.47	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.573	0.675	1.986	-1.702	-0.501	-0.023	-1.727	-3.013	-2.587
"YKR094C"	0.07	-0.895	-1.088	-1.884	-4.383	0.31	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	-0.549	0.472	1.23	-0.981	-0.204	-0.229	-0.882	-2.111	-2.816
"YLL044W"	-0.059	-1.796	-1.884	-2.783	-6.48	0.207	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.698	0.954	2.272	-2.239	-0.218	-0.235	-1.906	-3.04	-3.372
"YLR029C"	0.117	-1.373	-1.953	-1.826	-6.877	0.376	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	-0.459	0.983	2.331	-1.979	0.084	-0.204	-1.511	-2.763	-2.323
"YLR048W"	0.4	-1.921	-1.634	-2.441	-3.72	0.28	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.275	0.965	2.784	-2.4	-0.712	-0.496	-2.059	-3.922	-2.206
"YLR062C"	0.04	-1.524	-1.496	-2.662	-6.896	0.213	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.548	1.062	2.319	-2.123	-0.637	-0.436	-1.928	-3.446	-2.756
"YLR264W"	0.465	-1.119	-1.549	-1.987	-5.152	0.095	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	-0.533	0.619	1.55	-1.309	-0.406	-0.056	-1.373	-2.072	-2.034
"YLR333C"	0.16	-0.585	-1.343	-2.23	-5.863	0.543	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	-0.191	0.821	1.926	-2.07	-0.445	-0.152	NaN	-2.565	-2.395
"YLR339C"	0.411	-1.401	-1.817	-2.05	-6.865	0.436	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	-1.17	1.552	3.313	-1.906	-0.557	-0.459	-1.958	-3.05	-3.058
"YLR340W"	0.03	-1.549	-1.531	-1.992	-6.819	0.365	-3.499	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	0.109	1.638	3.263	-2.276	-0.614	-0.561	-1.943	-2.965	-2.961
"YMR242C"	0.045	-1.649	-1.261	-2.703	-6.226	0.407	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.486	0.863	2.029	-1.826	-0.524	-0.194	-1.855	-3.185	-3.246
"YMR243C"	0.004	-0.437	-3.737	-0.079	-3.059	1.186	NaN	NaN	NaN	-0.879	NaN	1.807	3.7	-2.393	-1.648	-2.517	-0.765	-1.333	1.514	-0.476	0.912	-1.475
"YNL178W"	-0.284	-1.826	-1.664	-2.761	-6.62	0.244	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	-0.563	1.094	2.094	-2.342	-0.546	-0.549	-2.137	-3.866	-2.201
"YOL040C"	-0.105	-1.877	-1.391	-2.371	-6.413	0.24	-3.938	-1.874	-2.247	-2.245	-2.028	-2.837	-3.657	-0.986	1.083	2.681	-1.723	-0.134	-0.165	-2.149	-3.04	-2.718
"YOL121C"	0.06	-1.384	-1.241	-2.48	-1.754	0.153	-4.227	-2.02	-1.993	-2.307	-2.469	-2.67	-3.83	-0.662	0.633	2.141	-1.911	-0.362	-0.196	-1.705	-2.877	-2.639
"YOR063W"	0.055	-1.315	-1.392	-2.402	-2.404	0.488	-2.57	-1.623	-2.382	-2.55	-2.871	-3.524	-4.297	-0.591	1.233	2.432	-1.699	-0.12	-0.139	-1.649	-2.84	-2.415
"YOR092W"	-0.072	0.311	0.685	0.274	0.952	0.187	1.973	0.125	0.598	1.462	0.151	-0.8	-1.632	-0.122	0.007	0.55	-0.295	-0.159	-0.129	0.082	0.677	-0.544
"YPL081W"	-0.094	-0.734	-0.685	-1.35	-6.801	0.181	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-1.025	0.683	2.276	-0.84	0.075	-0.086	-0.736	-2.373	-1.991
"YPL090C"	0.17	-1.691	-2.068	-2.823	-6.197	0.286	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.513	1.004	2.457	-1.883	-0.467	-0.668	-1.907	-3.271	-3.236
"YPL220W"	0.389	-1.816	-1.691	-2.806	-6.1465	0.505	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	-0.424	0.951	2.259	-2.323	-0.531	-0.604	-2.166	-2.891	-2.433
"YPR102C"	0.096	-1.491	-1.124	-2.43	-6.451	0.211	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	-0.524	0.919	2.333	-1.848	-0.503	-0.291	-1.815	-3.121	-3.177
"YPR132W"	0.113	-1.078	-1.022	-2.014	-5.805	0.245	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	-0.497	0.742	2.058	-1.319	-0.328	-0.261	-1.376	-2.19	-2.067
