	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"517.2.5mM DTT 090 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"811.DES459 (mec1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"7541.DES459 (mec1) - log phase (IR time "	"7542.DES459 (mec1) - log phase (MMS time "	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8230.dtt 060 min"	"8233.dtt 120 min"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"33417.delKIN82_heat shock _60min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YBL028C"	-2.119	-2.979	-4.029	-4.375	-2.877	-3.969	-3.261	-1.199	-2.38	-2.019	-2.4775	-2.271	-2.02	-4.609	-4.867	-2.637	-3.002	-1.5655	-2.036	-0.157	0.11	-0.687	0.088	0.021	-0.755	-1.534	-0.262	-4.011	-2.074	0.018	-0.472	0.124	-0.245	0.323	0.444	-2.529	-1.888	0.233
"YCL059C"	-1.314	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	-1.046	-2.294	-2.133	-2.7855	-2.587	-2.904	-4.786	-5.277	-2.731	-2.27	-1.4885	-1.846	-0.182	0.177	-0.54	0.175	-0.755	-0.934	-1.186	-0.545	-4.664	-2.908	-0.753	-0.741	-0.095	-1.001	-0.012	0.11	-4.436	-2.396	-0.08
"YDL124W"	2.899	3.398	3.443	3.375	2.524	3.037	2.927	2.647	3.226	2.884	3.285	3.68	3.54	4.364	1.202	2.932	2.426	2.427	3.051	-0.2135	0.712	1.657	-0.162	0.476	1.091	1.638	0.539	2.293	3.568	-0.202	1.935	0.859	0.837	0.317	0.848	3.876	2.455	1.159
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-2.419	-2.874	-2.762	-0.376	-1.364	-1.473	-1.702	-2.006	-1.752	-4.096	-5.309	-2.69	-3.015	-1.396	-1.582	-0.126	0.523	0.184	0.277	0.05	-0.486	-0.889	0.086	-2.787	-3.068	0.32	0.277	-0.149	-0.758	-0.175	0.132	-3.205	-2.632	0.194
"YDR324C"	-3.084	-3.512	-3.118	-2.824	-2.336	-3.184	-3.012	-1.45	-1.707	-1.539	-1.851	-1.933	-2.199	-3.361	-4.131	-2.225	-2.212	-2.391	-1.803	-0.332	0.534	0.566	0.149	-0.543	-0.402	-1.17	0.319	-3.609	-2.29	-0.139	-0.8345	-0.7965	-0.7865	-0.3755	-0.345	-3.2975	-2.27	-0.403
"YER070W"	-3.318	-3.221	-2.682	-2.62	-2.276	-2.513	-2.838	-1.199	-1.522	-1.913	2.594	-1.583	-1.545	-3.377	-3.737	-2.108	-3.09	-1.289	-2.288	-0.11	0.667	1.09	0.306	0.609	-0.567	-1.242	0.101	-2.913	-1.038	0.491	0.87	1.383	-0.676	-0.508	0.268	-1.516	-1.3	0.544
"YGL171W"	-3.422	-4.302	3.479	-4.243	-2.091	-3.818	-3.208	-1.604	-2.276	-1.341	-2.42	-3.432	-3.363	-5.822	-4.649	-3.098	-2.759	-1.731	-1.978	-0.204	0.078	-0.201	0.302	-0.503	-1.166	-1.474	-0.538	-3.658	-3.355	-0.773	-0.548	-1.038	-1.605	-0.037	-0.284	-3.848	-2.304	-0.545
"YGR245C"	-2.6095	-5.097	-5.457	-5.1995	-3.9345	-4.2355	-3.9115	-1.918	-2.506	-2.296	-2.429	-3.099	-3.022	-4.207	-3.799	-3.177	-3.273	-2.367	-2.154	-0.23	0.055	-1.274	0.012	-0.847	-1.1	-1.821	-0.601	-4.6765	-4.281	-0.118	-0.273	-0.123	-0.92	0.658	-0.141	-3.415	-2.535	0.495
"YHR065C"	-3.0535	-3.0405	-2.515	-2.4595	-1.6845	-3.2925	-3.089	-0.727	-1.319	-1.198	-1.367	-1.917	-1.847	-4.558	-4.644	-1.823	-1.784	-1.073	-1.503	-0.145	0.402	-0.014	0.077	0.0	-0.556	-1.107	-0.082	-3.37	NaN	0.022	0.588	0.514	0.523	0.068	0.58	-3.429	-1.607	0.354
"YHR066W"	-2.6315	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	-0.899	-1.986	-1.944	-1.966	-2.473	-2.073	-4.885	-5.203	-2.29	-2.974	-1.41	-1.569	-0.036	0.641	-0.456	0.085	-0.606	-0.807	-1.151	-0.372	-4.347	-3.068	-0.313	-0.163	-0.062	-0.263	0.192	0.245	-2.382	-1.908	0.536
