	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1257.mec1_plus_gamma_120_min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6824.Sporulation t0"	"7542.DES459 (mec1) - log phase (MMS time "	"8193.steady state 15 dec C"	"8204.steady state 29 dec C"	"8230.dtt 060 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YAR073W"	-1.092	-1.749	-1.575	-1.621	-1.713	-2.113	-0.419	-1.516	-1.811	-1.998	-1.561	-1.593	-2.506	-3.191	-3.447	-1.875	-1.549	-2.433	0.3395	-2.3595	-0.9985	-2.069	-2.598	-0.04	-0.467	0.425	0.393	0.413	0.343	0.489	0.145	1.016	0.345	0.661	-0.719	-1.88	0.271	-1.499	-1.7655	-3.509	-1.631	-0.756	-1.378	-0.524	-0.152	0.163	0.094	-0.152	-2.457	-3.27	-2.209	0.233	0.286	-3.131	-3.183	-2.273	0.301	-0.183
"YBL024W"	-2.122	-2.184	-2.218	-1.562	-2.598	-2.9	-1.945	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-4.879	-1.549	-2.493	-2.238	-1.447	-3.8255	-2.047	-2.147	-2.6055	-1.2765	-0.5195	-0.204	-0.235	0.014	-1.0	0.091	-0.903	-0.025	-0.041	-0.311	-1.444	-2.18	0.068	-1.3265	-0.9475	-2.821	-1.559	-1.23	-1.78	-0.257	0.47	0.378	0.01	-0.6	-2.946	-1.978	-0.865	0.374	0.043	-2.148	-1.714	-0.922	0.474	-1.051
"YBL039C"	-4.793	-5.089	-4.124	-4.307	-4.486	-3.781	-2.783	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-3.306	-2.736	-2.628	-2.245	-4.7305	-2.8885	-3.4265	-3.9535	-2.0255	-0.1255	-0.362	0.069	-0.146	-2.265	0.234	-0.857	0.052	0.568	-0.77	-1.789	-2.958	0.181	-4.277	-3.728	-4.956	-4.509	-3.644	-4.264	-2.925	-0.261	-0.474	-0.15	-0.79	-1.635	-2.769	-2.12	-0.083	-0.137	-3.951	-3.379	-2.546	0.056	-2.792
"YBR132C"	3.266	2.873	2.872	2.983	3.13	2.733	1.414	3.812	4.245	3.753	3.08	2.979	0.879	0.225	1.485	1.379	2.822	2.258	1.1115	3.2645	2.806	3.039	2.2645	0.414	0.041	0.684	0.42	0.459	0.533	-0.252	NaN	0.6	-0.188	-0.079	1.213	1.41	0.046	0.482	0.41	2.946	3.025	2.77	1.873	1.266	0.219	0.731	0.197	0.387	2.199	1.794	1.896	0.314	0.065	2.438	2.318	2.465	-0.685	-0.037
"YDL031W"	-2.88	-2.123	-2.3335	-2.1535	-2.805	-2.451	-1.2305	-2.5295	-1.061	-1.48	-0.963	-1.4395	-1.4865	-2.9525	-3.3365	-1.2945	-2.234	-1.5645	-0.7395	-2.49	-1.401	-1.0975	-1.1425	-0.845	0.0805	-0.183333333333333	-0.369	-0.356	-0.4975	0.339	0.6195	-0.1535	-0.124	-0.108	0.1085	-0.955	-0.265	-1.525	-0.799	-2.6385	-2.583	-1.757	-1.283	-1.024	-1.141	0.483	0.658	-0.05	-0.845	-1.181	-0.297	0.705	0.312	-2.16	-0.888	-0.525	0.829	-1.276
"YDL082W"	-1.994	-1.72	-1.806	-2.339	-3.052	-2.521	-1.271	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-5.816	-2.246	-2.537	-3.01	-0.96	-2.915	-1.919	-2.383	-2.182	-0.105	0.402	0.409	0.5065	0.4695	-0.173	0.119	-0.188	-0.246	0.561	0.204	-2.035	-1.852	0.065	-1.117	-1.542	-3.338	-2.511	-1.38	-1.828	-0.579	0.209	0.331	0.654	0.327	-4.398	-3.698	-2.463	-0.565	-0.166	-4.518	-3.314	-3.014	0.489	-0.161
"YDL124W"	3.398	3.443	3.375	2.524	3.037	2.927	1.589	4.364	2.959	2.942	3.264	3.092	2.982	3.175	1.202	2.932	2.426	1.925	1.557	2.383	2.454	2.427	3.051	1.505	0.115	-0.2135	-0.602	-0.54	0.62	0.313	1.657	1.11	-0.162	1.091	1.648	2.153	0.39	1.878	2.017	2.293	3.568	3.134	2.977	2.879	1.935	1.559	0.859	0.837	2.751	1.697	1.403	0.317	0.848	3.876	2.455	1.904	1.159	1.321
"YDR025W"	-1.598	-1.899	-2.141	-2.0	-3.031	-3.248	-1.096	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-2.477	-3.357	-3.356	-0.628	-4.504	-2.828	-1.915	-2.886	-0.471	-0.259	0.349	-0.116	-0.306	-0.638	0.144	0.169	-0.268	0.344	0.453	-2.304	-1.7675	-0.0745	-1.529	-2.25	-3.042	-2.278	-1.04	-1.539	-1.126	0.081	0.089	0.707	-0.122	-4.772	-3.127	-2.93	0.326	0.046	-3.906	-3.552	-2.869	0.535	-0.41
"YDR341C"	-0.947	-2.59	-1.567	-1.189	-1.645	-1.494	-0.544	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-1.223	-2.587	-2.171	-0.787	-2.942	-1.135	-1.942	-2.263	-0.435	-0.086	-0.289	0.215	0.174	-1.081	0.142	0.867	-0.33	0.405	-0.157	-0.985	-1.562	-0.249	-0.551	-0.582	-1.465	-2.381	-1.311	-2.175	-1.209	0.222	0.685	0.107	0.358	-1.936	-2.272	-1.199	0.825	0.076	-2.142	-1.941	-1.169	0.126	0.058
"YDR447C"	-1.927	NaN	-2.299	-2.149	-3.242	-3.562	-1.292	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-2.316	-3.574	-3.565	-0.509	-4.249	-2.279	-2.432	-2.817	-0.596	0.172	0.033	-0.139	-0.1	-0.582	-0.032	0.557	-0.536	0.585	0.441	-2.288	-2.1165	0.0715	-1.083	-2.014	-2.593	-3.102	-1.842	-1.343	-1.256	-0.37	0.269	0.86	0.488	-3.67	-2.356	-1.471	0.668	0.597	-4.358	-3.418	-2.211	0.772	0.186
