	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL036C"	-3.743	-1.41
"YAL058W"	-2.3875	0.438
"YBL100C"	-2.14	1.391
"YCR002C"	-5.182	2.551
"YCR048W"	-1.742	0.675
"YCRX17W"	-5.7	0.363
"YDL015C"	-4.309	0.991
"YDL135C"	-4.374	0.156
"YDR098C"	-3.797	1.678
"YDR198C"	-2.617	0.0175
"YDR212W"	-4.59	0.559
"YDR245W"	-3.6715	2.53966666666667
"YDR260C"	-2.34	2.032
"YDR265W"	-1.3755	1.2355
"YDR376W"	-2.283	1.511
"YEL002C"	-4.407	1.4625
"YEL046C"	-4.746	1.364
"YER014W"	-3.161	1.5335
"YER118C"	-3.457	0.397
"YER122C"	-4.276	2.7185
"YER145C"	-5.091	0.8985
"YER164W"	-3.903	2.2745
"YFL022C"	-4.867	1.491
"YFR009W"	-4.932	-0.3115
"YFR025C"	-3.739	2.228
"YGL065C"	-2.778	0.759
"YGL106W"	-4.7	-0.17
"YGL238W"	-4.337	2.167
"YGL241W"	-4.045	1.548
"YGL245W"	-6.655	0.573
"YGR037C"	-4.976	NaN
"YGR119C"	-3.791	0.255
"YGR266W"	-4.267	3.194
"YHR016C"	-2.7625	NaN
"YHR042W"	-4.647	0.546
"YHR043C"	-3.778	0.206
"YHR045W"	-3.8995	1.437
"YHR121W"	-4.718	0.49
"YHR148W"	-3.377	1.739
"YHR192W"	-4.285	0.04
"YIL020C"	-3.447	0.026
"YIL026C"	-2.623	2.053
"YIL051C"	-4.988	-0.693
"YIL142W"	-4.403	1.675
"YIL148W"	-3.41	1.21
"YJL006C"	-3.043	1.158
"YJL014W"	-3.962	-0.081
"YJL073W"	-3.2645	2.327
"YJL081C"	-4.519	1.385
"YJL145W"	-3.628	0.31
"YJL158C"	-4.974	0.5585
"YJL176C"	-3.318	1.052
"YJL209W"	-4.562	NaN
"YJR101W"	-2.4895	1.406
"YKL024C"	-5.4	1.24
"YKL054C"	-2.949	1.046
"YKL080W"	-5.94	5.981
"YKL127W"	-5.619	-0.161
"YKL135C"	-3.285	-0.819
"YKL152C"	-4.943	0.935
"YKL212W"	-4.806	0.61
"YKR001C"	-5.109	0.486
"YKR022C"	-3.59	1.51
"YKR026C"	-3.755	1.624
"YLL018C"	-5.451	2.07
"YLL021W"	-6.548	1.265
"YLR066W"	-4.153	1.458
"YLR098C"	-1.8585	0.2335
"YLR101C"	-3.161	-0.733
"YLR172C"	-4.325	-0.464
"YLR192C"	-4.349	-0.933
"YLR230W"	-3.637	0.984
"YLR240W"	-2.193	1.97
"YLR342W"	-2.686	0.739
"YLR353W"	-4.835	-0.081
"YLR386W"	-3.703	0.932
"YML023C"	-3.4	-0.6
"YML028W"	-5.853	-0.264
"YML052W"	-4.119	0.981
"YML112W"	-2.566	3.957
"YML124C"	-4.107	1.269
"YMR026C"	-5.331	-0.345
"YMR047C"	-3.61	0.3705
"YMR162C"	NaN	0.5375
"YMR212C"	-6.75	1.4335
"YMR231W"	-3.029	1.55
"YMR237W"	-4.233	2.0155
"YNL026W"	-4.57	0.428
"YNL064C"	-3.31	2.5835
"YNL085W"	-5.369	0.741
"YNL118C"	-5.007	2.4655
"YNL121C"	-4.5485	0.751666666666667
"YNL166C"	-6.013	0.4285
"YNL167C"	-3.18	0.231
"YNL210W"	-4.105	1.004
"YNL316C"	-3.472	0.779
"YNR009W"	-3.9935	0.419
"YOL052C"	-4.998	-0.403
"YOL062C"	-4.46	1.288
"YOL145C"	-3.49	1.47
"YOR122C"	-3.762	1.83
"YOR168W"	-4.808	1.712
"YOR198C"	-5.562	0.421
"YOR205C"	-3.583	0.066
"YOR218C"	-3.602	1.927
"YOR239W"	-5.0985	1.305
"YOR251C"	-3.3935	NaN
"YOR253W"	-5.157	-2.311
"YPL028W"	-5.5385	1.478
"YPL037C"	-5.417	1.862
"YPL048W"	-4.579	-0.8
"YPL081W"	-6.801	0.959
"YPL188W"	-2.4775	0.538
"YPR032W"	-5.84	-0.409
"YPR073C"	-3.8865	-0.324
"YPR145W"	-5.02	1.134
"YPR171W"	-3.482	0.48
