	"107.heat shock 10 min"	"108.heat shock 15 min"	"404.W303a vs GZY29-3b"	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"975.1 mM Menadione (105 min) redo"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"6668.wt - 0.1 mM H2O2 - 10 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"21660..24 mM H2O2- 120 minutes"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"
"YBL049W"	0.629	1.303	-0.162	1.2715	-0.1	0.06	0.486	-0.45	0.194	3.632	4.071	3.507	4.101	4.812	2.844	4.254	3.391	2.309	3.401	3.138	-0.021	0.501	3.3385	2.7155	2.9925	3.8385	4.9405	5.2455	4.1525	3.192	-0.089	1.71	3.034	2.943	2.941	3.5405	3.074	3.249	0.613	0.738	0.268
"YBR064W"	0.137	0.004	-0.283	0.1315	-0.786	-0.541	-0.426	-0.486	-0.679	0.293	0.318	0.512	0.609	0.774	1.531	1.376	0.175	0.326	0.931	0.243	-0.328	-0.256	-0.0635	-0.23	0.515	0.6975	0.8775	1.5375	0.81	0.138	-0.216	-0.133	0.363	0.3085	0.6755	0.8705	0.83	0.7505	0.095	-0.023	-0.432
"YBR147W"	2.153	2.689	1.968	0.7155	1.269	0.451	1.537	1.637	1.095	2.527	3.946	3.882	3.475	3.896	4.309	4.268	3.711	2.504	2.791	2.353	NaN	0.4655	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	2.89	-0.212	0.608	3.883	2.6205	2.871	3.1115	2.8695	3.421	-0.358	1.141	1.264
"YDL149W"	0.853	1.601	-0.045	0.431	0.048	0.256	0.282	0.48	0.2	1.908	1.85	1.873	1.827	2.204	2.038	2.522	0.758	1.468	1.141	0.883	0.385	0.395	1.332	1.22	1.795	1.823	2.075	2.275	1.854	1.116	-0.114	0.504	1.866	1.294	1.474	2.03	2.24	2.005	0.723	0.402	-0.5425
"YDL204W"	3.317	5.01	2.699	2.402	2.347	3.701	4.204	3.549	2.461	5.851	4.733	4.685	5.32	5.69	5.571	5.749	3.09	4.28	4.346	3.903	0.317	0.361	4.66	4.854	5.274	5.34	5.75	7.317	5.93	3.477	0.393	1.978	4.52	3.839	4.418	4.402	3.661	4.467	-0.389	0.68	0.807
"YDR262W"	0.516	0.645	0.0945	0.9675	0.064	-0.0585	-0.0425	0.1765	0.0675	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	2.869	1.473	1.6855	1.6875	0.16	-0.217	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	1.36	-0.275	0.9935	2.2315	1.5505	2.226	2.8725	2.6455	3.067	0.216	0.508	0.326
"YDR275W"	0.311	0.615	-0.1105	0.6245	-0.3415	0.2495	0.559	0.551	0.346	1.553	2.2955	2.594	2.161	3.009	3.1575	3.166	0.442	0.947	1.6115	1.519	0.109	0.235	1.749	2.036	2.324	3.0055	1.5585	2.794	2.3525	1.3175	-0.221	0.3945	1.9415	1.1725	1.796	2.3905	2.416	2.4885	-0.2355	-0.0125	-0.224
"YER116C"	0.649	0.438	-1.0	0.381	-0.346	-0.078	-0.293	0.068	0.016	1.235	1.172	1.249	0.994	1.572	1.644	2.613	1.018	1.004	1.09	0.923	-0.505	0.303	0.067	0.474	1.115	1.236	1.784	2.637	1.75	1.103	-0.481	0.259	0.989	0.042	1.312	0.5	0.87	1.734	-0.0115	0.0615	-0.235
"YGL156W"	1.026	3.625	0.252	2.447	-0.3	0.469	1.542	1.79	1.419	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.804	3.335	3.32	3.359	0.151	0.833	2.737	4.166	4.322	3.981	4.487	4.716	3.456	0.946	0.1	2.056	3.83	3.063	3.122	2.52	2.321	2.341	-0.794	0.661	0.328
"YGL177W"	0.271	-0.048	-0.559	0.69	-0.709	-0.415	-0.502	-0.277	-0.249	0.638	1.224	1.453	1.268	3.4	4.553	5.784	4.519	2.413	1.444	1.195	0.026	0.187	0.787	0.641	2.066	3.231	3.768	3.904	1.955	0.804	-0.073	0.791	1.045	-0.442	0.543	2.28	3.158	3.877	-0.916	-0.518	-0.974
