	"103.alpha factor release sample026"	"497.Heat Shock 000 minutes"	"585.21 deg growth"	"597.25 deg growth"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"2144.heat shock 37 to 37, 30 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"	"13060.wt/crz1 Na 45min (2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YBL027W"	0.183	1.4805	0.451	0.393	0.242	1.274	-2.851	-2.474	-2.081	-1.613	-1.606	-2.671	-5.577	-2.494	-2.654	-2.507	-3.9845	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.0485	-0.101	0.618	-0.007	0.074	0.25	0.456	0.658	1.201	0.951	0.31	-1.6965	-0.1705	0.2665	-3.528	-3.012	-3.351	-3.139	-2.319
"YBL087C"	NaN	1.1915	0.309	0.326	0.384	1.463	-3.104	-2.44	-2.157	-1.789	-1.761	-2.104	-2.516	-2.924	-3.187	-2.618	-2.933	-2.2155	-2.156	-1.5975	-2.161	-2.357	0.14	0.006	0.589	0.196	0.138	0.209	0.978	0.828	1.184	1.155	0.162	-1.4515	-0.263333333333333	0.4925	-2.434	-2.559	-3.415	-2.879	-2.169
"YBR048W"	0.165	1.223	-0.077	0.1525	0.231	1.0345	-3.385	-2.4795	-2.968	-2.171	-2.2475	-3.0195	-5.0065	-3.0685	-3.137	-3.295	-4.66033333333333	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.0496666666666667	-0.196	0.426	0.190666666666667	0.278	-0.076	0.6185	0.53	0.9795	0.9555	0.487	-2.013	0.0595	0.0853333333333333	-4.043	-3.545	-4.089	-3.69	-2.483
"YBR106W"	0.448	0.9	0.152	0.216	0.207	0.904	-2.949	-2.026	-1.695	-1.83	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.3915	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	-0.188	0.275	0.066	0.166	-0.197	0.296	0.374	0.758	0.591	0.634	-1.924	-0.356	-0.085	-3.114	-2.846	-2.825	-2.779	-2.225
"YBR280C"	0.191	-1.6735	-0.519	-0.388	-0.428	-1.562	2.703	2.477	1.27	2.679	0.699	1.651	1.169	1.906	2.32	1.894	1.4435	1.3275	1.7525	2.169	2.1525	1.7855	0.082	-0.068	-0.037	-0.041	-0.1	0.258	-0.36	-0.379	-1.341	-1.061	-0.162	2.813	0.125	-0.494	2.287	2.026	2.655	2.466	1.779
"YBR288C"	0.109	0.5175	0.098	0.154	0.025	0.491	-1.014	-0.715	-0.754	-1.173	-1.298	-2.229	-3.524	-0.693	-0.833	-0.751	-1.2745	-0.9095	-1.1005	-1.2605	-1.978	-1.688	0.057	-0.083	0.079	-0.2105	-0.02	-0.173	0.238	0.054	0.12	0.284	-0.057	-0.958	0.355	0.013	-0.969	-1.104	-0.798	-0.937	-0.774
"YCL013W"	0.219	-0.239	-0.241	-0.204	-0.373	0.077	-1.095	-0.429	0.255	-0.215	-0.309	-2.026	-2.027	-0.017	-0.57	-0.803	-0.9105	-0.5325	-0.5735	-1.1295	-1.383	-1.525	-0.213	0.13	-0.253	0.6115	0.009	-0.297	0.091	0.149	-0.222	0.068	0.156	-0.21	-0.077	0.03	-0.983	-0.664	-1.408	-1.121	-0.539
"YDL054C"	-0.025	-0.222	-0.29	-0.415	-0.129	-0.462	1.048	0.745	0.478	0.958	1.256	1.385	-0.528	0.574	0.209	0.844	1.182	0.494	0.131	1.007	0.994	1.099	-0.013	0.403	-0.116	0.05	0.286	0.396	-0.63	-0.067	0.194	0.148	-0.102	0.381	0.476	-0.521	1.449	0.947	1.759	1.607	1.574
"YDR025W"	0.296	0.692	-0.212	-0.137	0.028	1.014	-3.904	-3.548	-3.252	-2.573	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	-0.048	0.383	-0.035	0.236	0.144	0.43	0.304	0.906	0.637	0.298	-1.7675	-0.0745	0.205	-4.772	-3.127	-3.906	-3.552	-2.869
"YDR156W"	-0.026	0.919	-0.148	-0.238	-0.061	0.656	-0.609	-0.705	-0.088	-0.437	-0.1	-0.371	-3.159	-1.305	-1.106	0.311	-0.771	-0.406	-0.68	-0.363	-0.229	-0.42	-0.297	-0.376	-0.188	0.125	-0.381	0.179	0.036	-0.061	0.532	0.413	0.123	-1.107	0.42	-0.043	-1.857	-1.712	-1.494	-1.247	-1.255
