	"52.Elutriation2:Sample2:Time1.5hrs"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"981.wt_plus_gamma_60_min"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"12744.heat shock 17 to 37, 20 minutes"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"14712.Ca 15min (1)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"30319.usv1("	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34368.batch 02X25 7"
"YBL027W"	0.4105	-1.979	-1.956	-2.978	-3.487	-2.0365	-1.4655	-0.77	-2.851	-2.474	-2.081	-5.577	-0.5235	-3.9845	-2.0465	-2.114	0.4635	0.3235	-1.063	0.074	-0.2225	0.309	0.268	-3.078	0.4285	0.357	-0.7695	-0.1555	-2.01166666666667	-2.464	-1.06866666666667	0.273	-0.0365	-2.107	1.23	-3.528	-3.012	-3.351	-3.139	-2.319	-2.291	-1.889
"YBR054W"	0.41	1.066	2.589	3.568	3.131	1.496	0.7175	0.59	2.779	2.988	1.887	-2.698	-0.095	1.9855	1.938	-1.415	0.3285	-0.5595	0.754	0.307	0.3405	0.3875	0.244	3.878	-0.283	-0.398	-0.912	0.456	1.155	1.382	1.159	-0.476	0.125	0.379	0.777	3.535	3.723	2.34	2.869	3.26	5.482	4.412
"YBR168W"	-0.0735	0.508	0.515	0.656	0.608	0.684	0.174	0.475	1.315	0.826	1.201	-2.452	-0.097	1.1225	0.48	-0.3435	0.176	0.17	0.119	-0.115	-0.121	0.312	0.099	0.403	0.302	0.193	1.159	0.037	-0.266	-0.491	-0.948	0.048	0.208	0.877	0.586	1.52	0.771	1.616	0.91	0.503	1.199	0.237
"YDL136W"	-0.0105	-1.453	-1.671	-2.097	-2.258	-1.991	-1.697	-0.575	-2.487	-2.162	-1.881	-3.398	-0.259	-3.134	-1.555	-1.094	0.65	0.417	-1.145	-0.085	-0.305	0.366	0.2	-2.185	0.1555	0.135	-0.4475	-0.2605	-1.936	-2.148	-1.451	0.5875	-0.1145	-2.102	0.482	-3.888	-2.995	-3.628	-3.042	-2.456	-2.594	-2.347
"YDL184C"	0.2215	-1.201	-1.3345	-1.345	-1.346	-1.568	-1.4065	-0.5325	-1.6605	-1.2415	-1.2555	-2.545	-0.358	-2.5425	-1.596	-1.523	0.4895	0.1975	-0.409	0.623	0.166	0.2895	0.239	-1.2765	0.15	0.1855	0.2415	0.279	-2.988	-2.5575	-1.5475	0.239	-0.728	-1.634	-0.214	-1.892	-1.293	-1.577	-1.717	-1.125	-1.49	-1.605
"YDR025W"	0.849	-2.141	-2.0	-3.031	-3.248	-2.011	-1.284	-0.624	-3.904	-3.548	-3.252	-6.697	-0.967	-4.504	-2.886	-2.895	-0.17	-0.306	-0.95	0.236	0.004	-0.652	-0.366	-3.042	0.384	0.2575	-1.118	-0.785	-0.968	-2.3295	-0.9625	0.3345	-0.1195	-2.278	0.925	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	-2.366
"YDR077W"	0.577	2.178	2.778	3.399	3.576	1.366	1.401	1.123	2.061	2.008	2.615	1.649	0.95	1.506	3.539	3.402	0.214	0.014	0.24	0.335	0.061	0.197	-0.002	2.527	-0.993	-0.92	0.224	-0.035	-0.302	-0.814	-0.229	0.018	0.113	2.234	0.969	1.578	1.343	2.431	1.65	1.124	2.087	1.928
"YDR116C"	-0.791	0.844	0.628	0.599	0.382	-0.029	-0.093	0.046	2.056	1.534	0.598	-3.351	0.174	1.239	0.2	-0.942	0.099	-0.007	0.131	0.012	0.131	0.003	-0.1	0.194	0.078	0.1	0.423	0.074	-0.342	-0.692	-0.543	0.179	0.042	1.182	0.415	1.139	0.606	2.177	1.079	0.91	0.684	-1.02
"YDR418W"	0.809	-1.94	-1.617	-2.789	-3.411	-2.651	-1.894	-0.838	-3.707	-3.13	-2.7	-5.866	-0.738	-4.449	-2.82	-3.091	0.303	0.175	-1.471	0.211	-0.048	-0.095	-0.097	-2.74	0.558	0.222	-0.341	0.371	-3.544	-3.179	-2.235	0.828	-0.151	-2.105	1.665	-4.005	-2.423	-3.263	-3.057	-2.027	-3.381	-2.546
"YDR447C"	0.163	-2.299	-2.149	-3.242	-3.562	-2.917	-2.275	-0.83	-4.882	-3.934	-3.531	-5.332	-0.674	-4.249	-2.817	-2.625	0.207	0.545	-1.914	0.458	-0.122	0.207	0.057	-2.593	0.3055	0.0755	-0.727	0.165	-2.2785	-2.2515	-2.4595	0.443	-0.285	-3.102	0.613	-3.67	-2.356	-4.358	-3.418	-2.211	-3.223	-2.69
