	"54.Elutriation2:Sample2:Time2.5hrs"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"8195.steady state 21 dec C"	"8227.dtt 000 min"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"30773.Pomona/Brown Sir3x red"	"33775.DBY8778(wt)_stationary_phase_9hours"
"YAL002W"	-0.065	-0.554666666666667	-0.26	-1.101	2.538	2.658	2.8235	3.794	1.8995	1.7365	1.6005	0.462333333333333	0.688333333333333	0.684	1.046	0.610333333333333	0.0326666666666667	-0.2695	-0.4345	-0.0465	1.073	-0.172	0.006	0.223	0.401
"YAL035W"	0.542	0.061	0.294	0.653	-2.9955	-2.7435	-2.1065	-2.5615	-3.6215	-1.71	-1.3835	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	-0.260333333333333	0.133	0.6055	0.009	-1.714	-0.379	-0.351	0.155	-1.932
"YAR075W"	NaN	0.797	0.544	0.786	-1.345	-2.296	-2.875	-4.482	-4.212	-1.039	-2.65	-2.083	-2.736	-2.115	-2.55	-2.789	-0.355	0.454	0.674	-0.313	-1.346	-0.082	-0.076	-0.21	-1.92
"YBL039C"	0.9035	1.272	1.424	1.128	-3.74	-2.908	-3.004	-4.323	-7.004	-1.782	-2.736	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	-0.0805	0.408	1.237	-0.532	-2.958	-0.595	-0.596	0.134	-2.769
"YBR011C"	-0.2865	0.4465	0.353	0.286	-1.337	-0.977	-1.747	-4.081	-5.344	-0.619	-0.969	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.258	0.181	0.484	0.107	-1.084	0.39	0.37	0.116	-0.923
"YBR025C"	0.322	0.6355	0.528	0.44	-1.923	-1.226	-1.651	-1.66	-5.106	-1.187	-2.15	-0.5885	-0.66	-2.141	-2.9345	-3.783	-0.1385	0.344	0.779	0.078	-1.365	-0.053	0.005	0.182	-1.182
"YBR096W"	-0.155	-0.3265	-0.35	-0.537	0.096	-1.618	-0.773	-2.825	-3.347	-0.489	-0.736	-1.7275	-1.5245	-1.829	-1.7925	-2.066	-0.07	-0.127	0.349	0.166	-0.446	0.314	0.202	0.073	-1.297
"YBR106W"	0.6375	0.9	0.904	1.138	-2.949	-2.108	-1.986	-3.354	-5.052	-1.944	-2.258	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.066	0.296	0.758	0.071	-1.924	0.575	0.406	0.118	-2.846
"YBR121C"	0.338	0.801	0.701	0.752	-2.66	-2.186	-2.714	-4.037	-5.791	-1.694	-2.317	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	0.204	0.425	-0.089	-2.249	-0.058	-0.167	0.12	-2.264
"YBR191W"	0.6455	1.0965	1.388	0.879	-3.54	-1.912	-2.071	-3.167	-5.241	-1.619	-3.152	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.1555	0.41	1.239	-0.07	-1.3105	0.2795	0.2245	-0.1725	-3.657
