	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"30464.Rich vs. Minimal II"
"YAL014C"	0.992	-2.224
"YBL053W"	0.993	-4.081
"YBL074C"	0.595	-2.1
"YBL091C"	0.722	-4.654
"YBR075W"	0.774	-4.199
"YBR125C"	-0.126	-3.903
"YBR141C"	1.135	-4.269
"YBR144C"	1.442	NaN
"YBR266C"	5.011	-8.007
"YCLX03C"	0.962	-1.907
"YCR059C"	0.374	-6.067
"YCR063W"	2.076	-2.055
"YCR065W"	0.952	-4.079
"YCR080W"	2.143	-5.376
"YCRX02C"	0.882	-2.73
"YCRX16C"	0.578	-8.61
"YDL152W"	1.647	-5.107
"YDL177C"	0.4345	-0.8125
"YDL227C"	0.593	-8.479
"YDR075W"	0.117	-3.148
"YDR108W"	1.47	-2.266
"YDR143C"	-0.43	-5.811
"YDR152W"	1.466	-4.282
"YDR283C"	0.998	0.07
"YDR286C"	1.327	-7.959
"YDR307W"	1.316	-2.167
"YDR315C"	0.426	-3.666
"YDR368W"	3.102	-5.694
"YDR373W"	1.721	-4.164
"YDR405W"	2.805	-6.332
"YDR442W"	0.259	-3.388
"YDR472W"	1.617	-2.629
"YDR501W"	0.412	-0.036
"YEL015W"	0.645	-2.4135
"YEL022W"	0.44	-2.637
"YER076C"	1.809	-6.564
"YER168C"	0.9775	-1.831
"YFL025C"	1.2125	-3.079
"YFR004W"	-1.071	-5.164
"YFR006W"	1.5995	-2.3965
"YFR014C"	0.81	-3.532
"YGL044C"	-0.711	-4.359
"YGL060W"	0.917	-3.034
"YGL222C"	1.118	-5.308
"YGL223C"	0.452	-2.515
"YGL231C"	1.803	-3.849
"YGL251C"	2.919	-4.478
"YGR004W"	-0.24	-4.638
"YGR024C"	1.325	-7.547
"YGR036C"	NaN	-5.173
"YGR057C"	2.048	-5.433
"YGR068C"	2.879	-5.106
"YGR070W"	0.007	-5.666
"YGR072W"	-1.022	-6.782
"YGR074W"	-0.295	-3.821
"YGR107W"	1.432	0.234
"YGR233C"	-0.158	-2.092
"YHL006C"	-0.01	-2.182
"YHL019C"	2.477	-4.474
"YHR005C"	1.883	-5.508
"YHR013C"	1.186	-6.422
"YHR056C"	2.699	-8.053
"YHR070W"	1.95	-5.563
"YHR073W"	0.796	-3.198
"YHR207C"	0.708	-2.345
"YIL003W"	-1.247	-1.952
"YIL025C"	0.717	-5.975
"YIL120W"	-1.744	-4.775
"YIL169C"	1.728	-6.04
"YJL029C"	1.045	-2.224
"YJL078C"	1.799	-2.188
"YJL097W"	1.055	-6.606
"YJL127C"	2.481	-2.0705
"YJL154C"	-0.53	-2.239
"YJR014W"	1.587	-4.337
"YJR053W"	1.621	-2.353
"YJR055W"	-0.288	-6.301
"YJR059W"	1.707	-5.047
"YJR061W"	1.58	-5.07
"YJR106W"	3.41	-4.373
"YJR108W"	1.793	-4.024
"YJR122W"	1.619	-4.731
"YJR138W"	0.823	-2.977
"YKL169C"	0.297	-1.833
"YKR002W"	0.112	-3.361
"YKR016W"	2.769	-8.412
"YKR022C"	1.51	-3.762
"YKR040C"	2.567	-2.161
"YKR044W"	2.736	-2.552
"YKR049C"	1.289	-9.508
"YKR062W"	1.457	-5.698
"YKR063C"	-1.191	-5.369
"YKR101W"	0.782	-4.939
"YLL031C"	0.523	-0.189
"YLR121C"	2.557	-4.468
"YLR224W"	0.23	-3.266
"YLR280C"	0.338	-1.0215
"YLR290C"	1.513	-3.241
"YLR316C"	1.056	-2.332
"YLR351C"	1.737	-3.996
"YML101C"	0.45	-6.244
"YMR036C"	1.61	-0.666
"YMR059W"	2.808	-4.47
"YMR077C"	3.294	-5.109
"YMR123W"	NaN	-3.801
"YMR150C"	-0.894	-1.886
"YMR151W"	1.117	-0.435
"YMR171C"	1.443	-0.151
"YMR245W"	0.32	-2.1355
"YMR247C"	1.19933333333333	-1.90733333333333
"YMR297W"	0.3765	-3.912
"YNL108C"	1.027	-3.2525
"YNL109W"	2.2805	-2.4285
"YNL146W"	1.8685	-0.4185
"YNL187W"	1.8645	-1.8195
"YNL264C"	NaN	-4.058
"YNL306W"	8.946	-4.5
"YNL311C"	0.942	-4.511
"YOL085C"	1.73	-2.106
"YOL135C"	0.849	-4.036
"YOR036W"	-1.323	-3.756
"YOR112W"	1.879	-3.647
"YOR295W"	0.406	-4.091
"YOR352W"	1.428	-4.612
"YOR394W"	1.198	-5.784
"YPL005W"	1.667	-8.89
"YPL087W"	1.532	-3.834
"YPL156C"	0.674	-0.533
"YPL190C"	1.631	-3.528
"YPL205C"	-0.23	-3.489
"YPL225W"	1.8	-2.797
"YPR012W"	1.256	0.7745
"YPR013C"	1.822	-2.728
"YPR042C"	0.8125	0.033
"YPR063C"	NaN	-5.294
"YPR099C"	0.207	-3.962
"YPR123C"	1.582	-4.596
