	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"406.heat shock 37 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1168.PHO81c vs. wild type, exp.1"	"1173.PHO4c vs. wild type"	"11827.Pomona College Bio164: WT/dna2-1"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YBL027W"	0.879	0.466	0.819	0.2805	-0.241	0.2445	-1.385	-2.0365	-2.851	-2.474	-2.081	-1.613	-2.671	-5.577	-2.494	-2.654	-2.507	0.487	-1.9795	-2.114	-3.148	-0.101	0.384	-0.218	-0.045	0.2815	1.888	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319
"YBL077W"	0.4645	0.38	0.236	0.1975	0.59	0.1715	-0.904	-1.5985	-3.41	-2.161	-1.694	-1.571	-3.136	-5.081	-2.763	-2.285	-2.607	0.3355	-2.816	-3.3595	-3.1945	0.055	0.389	0.023	-0.359	0.663	1.349	-2.847	-2.93	-1.236	-2.854	-2.752	-2.048
"YBR031W"	0.6455	0.7125	0.6115	0.1305	0.543	0.6665	-1.349	-2.0145	-1.692	-1.795	-2.055	-2.17	-2.879	-6.063	-2.233	-3.04	-2.831	0.1705	-1.803	-1.9345	-2.5745	-0.3	0.65	0.011	0.585	-1.304	1.087	-2.753	-2.405	-1.868	-2.518	-2.852	-2.047
"YBR206W"	-0.1635	-0.035	-0.0595	0.105	-0.788	-5.0E-4	-0.4095	-0.883	-0.522	-0.807	-0.78	-1.215	-2.307	-3.253	-1.332	-0.693	-1.171	-0.236	-1.0975	-1.694	-1.6555	-0.059	NaN	-0.009	0.664	-0.026	1.001	-0.293	0.05	-3.748	0.068	0.333	-0.102
"YCL045C"	0.085	0.268	-0.2855	0.0925	0.1935	-0.103	-0.015	-0.176666666666667	-1.369	-0.979	-0.769	-0.949	-3.044	-3.911	-1.1955	-1.4795	-1.516	-0.1555	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.079	-0.56	0.419	1.063	0.688	-0.309	-1.498	-1.65	-1.228	-1.372	-1.352	-0.797
"YCR031C"	0.836	0.799	0.391	0.385	0.342	0.416	-0.94	-1.467	-2.698	-2.025	-2.569	-2.706	-3.359	-5.91	-2.838	-3.14	-2.435	0.398	-0.3405	-1.596	-2.7125	-0.396	-0.081	-0.588	-0.579	-1.061	1.234	-2.544	-2.418	-2.404	-3.229	-3.09	-2.546
"YCR043C"	0.359	0.319	0.08	0.185	0.419	-0.011	-0.4105	-1.109	-2.068	-1.622	-1.952	-2.29	-3.689	-4.19	-1.244	-2.054	-1.541	0.381	-1.7505	-1.8875	-1.6275	-0.107	0.152	-0.284	0.106	0.132	1.103	-1.187	-1.065	-0.841	-1.275	-1.366	-0.74
"YDL075W"	0.959	0.889	0.586	0.495	0.132	0.47	-1.224	-2.53	-2.825	-3.453	-2.828	-2.896	-2.581	-3.777	-2.009	-2.729	-1.791	0.117	-2.433	-1.878	-3.427	0.227	0.048	-0.742	0.7595	-1.698	1.235	-2.895	-3.256	-2.896	-3.17	-3.026	-2.667
"YDL081C"	0.886	1.111	0.847	0.695	0.384	0.714	-1.52	-2.273	-1.365	-2.041	-1.576	-2.196	-2.445	-4.594	-2.131	-2.381	-1.732	0.089	-2.127	-2.133	-2.377	-0.385	-0.176	-0.92	-0.33	-1.611	1.15	-2.84	-2.104	-1.82	-2.39	-2.49	-2.162
"YDL082W"	0.906	0.846	0.991	0.445	0.214	0.44	-1.576	-2.569	-3.223	-2.484	-2.853	-1.739	-3.326	-5.816	-2.537	-3.01	-1.18	0.403	-2.186	-3.001	-3.589	0.048	1.851	-0.545	-0.469	-1.007	1.679	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014
"YDL191W"	0.282	0.402	0.297	0.245	0.213	-0.201	-0.957	-2.056	-1.985	-2.367	-2.75	-2.497	-2.737	-5.192	-2.911	-2.813	-2.518	0.542	-1.362	-1.942	-2.86	-0.246	-0.698	-1.26	0.2385	-0.8405	0.336	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83
"YDR025W"	0.945	0.819	0.514	0.466	0.183	0.731	-1.11	-2.011	-3.904	-3.548	-3.252	-2.573	-3.393	-6.697	-3.357	-3.356	-3.471	0.188	-2.503	-2.895	-3.518	-0.048	NaN	-0.141	0.5165	-1.722	1.766	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869
"YDR037W"	0.529	0.404	0.056	0.135	0.146	0.115	-0.576	-1.716	-4.313	-3.427	-3.607	-3.146	-4.551	-5.224	-3.226	-2.505	-2.756	0.384	-2.916	-3.368	-3.772	-0.155	1.441	0.041	0.162	-0.506	1.472	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204
"YDR157W"	0.009	-0.171	0.058	NaN	0.247	0.169	-0.649	-0.549	-1.983	-1.212	-1.276	-1.508	-1.145	-4.05	-1.333	-1.046	0.09	0.126	-0.944	-1.044	-1.267	-0.574	-0.183	-0.439	0.222	-0.501	0.59	-1.472	-1.14	-1.372	-2.013	-1.561	-1.196
"YDR504C"	0.27	0.344	0.16	0.529	-0.008	-0.061	0.933	1.201	1.564	1.125	1.55	0.948	2.329	2.09	0.467	0.602	0.978	-0.329	2.356	2.489	2.005	0.096	0.0	0.119	0.826	0.829	-1.063	1.117	0.303	1.402	1.549	0.509	1.361
"YDR507C"	0.826	0.969	0.575	0.151	-0.183	0.727	-0.528	-1.509	-3.229	-1.03	-0.143	-0.691	-2.939	-1.493	-0.805	-1.084	-1.413	-0.306	-1.959	-1.473	-1.836	0.208	-0.043	0.426	0.2	0.577	-0.384	-0.598	-0.281	-0.755	-0.797	-0.4885	-0.133
"YER117W"	0.99	0.911	0.797	0.83	0.143	0.396	-1.23	-2.019	-2.982	-2.613	-2.377	-1.817	-2.832	-5.642	-3.05	-3.141	-2.843	0.632	-2.312	-2.562	-2.976	-0.012	0.092	-0.687	0.714	0.494	1.245	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147
"YER131W"	1.102	0.926	0.7	0.733	-0.215	0.503	-1.307	-2.511	-2.813	-3.262	-2.7	-2.3	-3.664	-6.55	-2.621	-2.795	-2.905	0.564	-2.105	-2.654	-3.304	0.466	-0.064	-1.363	0.4165	-2.094	1.619	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732
"YGL030W"	0.519	-0.093	0.194	0.311	0.235	-0.11	-1.118	-2.277	-3.613	-2.888	-2.582	-1.861	-3.668	-5.484	-2.388	-2.751	-2.6	0.274	-1.668	-2.044	-3.011	-0.106	0.159	-0.485	-0.5685	-0.4595	1.307	-3.939	-2.871	-2.529	-3.575	-2.76	-2.198
"YGL076C"	0.542	0.594	0.289	0.377	0.541	0.445	-1.418	-2.349	-3.969	-3.136	-2.73	-2.564	-3.976	-5.667	-3.32	-2.996	-2.857	0.398	-2.836	-2.79	-3.782	-0.251	0.567	-0.297	0.4215	-1.2995	1.947	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544
"YGL102C"	1.047	0.594	0.851	0.768	-0.113	0.477	-0.892	-2.115	-3.419	-2.825	-2.081	-1.973	-2.658	-5.65	-3.301	-3.227	-3.132	0.672	-1.199	-1.938	-2.13	-0.17	0.369	-0.489	0.273	-1.886	0.527	-3.42	-2.202	-1.7	-3.272	-2.955	-2.203
"YGL103W"	0.937	0.93	0.517	0.767	-0.413	0.255	-0.785	-1.799	-3.452	-3.096	-2.876	-2.468	-1.452	-5.266	-3.266	-2.763	-2.672	0.655	-1.308	-1.735	-2.438	-0.234	-0.1	-0.217	-0.106666666666667	-0.996	0.257	-2.976	-2.146	-1.398	-3.189	-2.934	-2.202
"YGL105W"	0.522	0.463	0.491	0.596	-0.352	0.374	-0.651	-0.742	-2.385	-1.577	-1.617	-1.427	-3.587	-6.011	-1.482	-1.069	-1.68	-0.097	-1.622	-1.876	-2.025	0.036	0.346	-0.168	0.53	0.357	0.25	-2.593	-2.406	-1.823	-1.217	-1.943	-1.688
"YGL123W"	1.132	1.216	1.042	0.361	0.225	0.584	-1.483	-2.649	-3.781	-3.757	-3.726	-3.265	-4.004	-5.982	-4.112	-3.654	-3.701	0.709	-2.388	-2.65	-3.558	-0.336	0.378	0.078	-1.563	-1.449	1.591	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693
"YGL135W"	1.047	0.94	0.672	0.5	0.804	0.553	-1.762	-2.804	-3.221	-2.573	-2.455	-2.548	-3.418	-5.687	-3.217	-3.23	-3.119	0.532	-2.267	-2.874	-3.825	-0.295	0.094	0.021	0.709	-1.894	0.532	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968
"YGL225W"	0.578	0.877	0.495	0.446	0.516	0.096	-1.104	-1.136	-2.616	-2.746	-1.792	-2.343	-0.784	-3.965	-2.503	-2.746	-2.572	-0.229	-1.445	-0.926	-1.408	0.115	0.554	-0.027	-0.411	1.122	1.699	-2.951	-2.246	-1.687	-3.038	-2.974	-1.996
"YGR034W"	0.823	0.598	0.261	0.525	0.288	0.454	-1.34	-2.272	-3.922	-3.172	-3.096	-2.637	-3.052	-6.281	-3.268	-2.935	-2.282	0.634	-1.301	-1.401	-2.48	0.384	-0.252	0.203	-0.022	-1.639	1.806	-2.986	-3.003	-2.725	-4.347	-3.643	-2.741
