	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1170.pho85 delete vs. wild type"	"1250.mec1_plus_gamma_10_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1303.diauxic shift timecourse: 0 hr"	"2144.heat shock 37 to 37, 30 minutes"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21634..24 mM H2O2- 155 minutes"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"33414.delKIN82_heat shock _0min_repeat"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YAL036C"	-1.839	-1.948	-1.945	-1.476	-0.069	-2.24	-1.7	-1.117	-1.024	-1.113	-2.145	-3.743	-0.458	-2.682	-2.056	-1.117	-2.5035	-1.829	-1.9095	-1.486	-1.4315	-1.841	-2.0465	-0.93	-0.577	-0.755	0.187	0.23	-0.205	-0.8105	-0.982	0.242	-1.841	0.55	0.137	-0.308	-4.226	-1.292	-0.837	-0.36	-0.675	-0.679
"YBL039C"	-4.793	-4.124	-4.486	-3.781	-1.436	-3.74	-3.092	-3.457	-2.373	-2.908	-4.323	-7.004	-0.855	-2.736	-2.628	-2.176	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.492	-0.6155	-0.789	0.192	0.238	-2.265	-1.514	-2.231	0.113	-4.956	-0.165	0.304	-0.104	-3.951	-1.908	-0.547	-0.429	-0.474	-0.63
"YBL092W"	-1.265	-1.775	-2.682	-2.829	-0.51	-3.458	-3.598	-2.824	-2.394	-2.138	-2.896	-5.158	-1.112	-3.0	-2.812	-2.635	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.335	-0.5985	-0.05	0.487	0.557	-0.37	-0.404	-1.656	-0.205	-2.927	0.822	1.191	0.001	-2.599	-1.066	-0.617	-0.092	-0.575	-0.75
"YCL037C"	-3.343	-2.957	-3.618	-3.651	-0.817	-4.172	-2.907	-2.398	-3.02	-1.976	-2.555	-3.932	-0.481	-2.218	-1.842	-1.034	-3.1075	-2.3555	-2.8585	-3.054	-2.457	-2.4225	-2.617	NaN	-0.239	-0.426	-0.005	NaN	-0.273	-0.74	-1.24	-0.193	-2.787	-0.36	0.614	-0.732	-1.746	-0.905	-0.017	0.099	0.301	0.055
"YDR025W"	-1.598	-2.141	-3.031	-3.248	-0.694	-3.904	-3.548	-3.252	-2.573	-2.592	-3.393	-6.697	-1.301	-3.357	-3.356	-3.326	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.032	-0.728	0.446	0.198	0.383	-0.638	-0.387	-2.376	-0.2535	-3.042	0.7465	0.651	0.925	-3.906	-1.818	-0.895	-0.596	-0.792	-0.861
"YDR091C"	-2.613	-2.435	-2.869	-2.781	-1.025	-3.288	-2.045	-1.789	-1.68	-1.547	-3.384	-4.4	-0.467	-2.925	-2.268	-2.498	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	-1.079	-1.24	-0.307	0.529	0.457	-0.898	-0.82	-1.822	-0.409	-2.972	-0.294	0.431	-0.2	-2.953	-2.579	0.037	0.238	-0.27	-0.514
"YDR101C"	-3.513	-3.404	-3.74	-3.659	-1.43	-4.306	-3.203	-3.082	-2.55	-2.315	-4.145	-4.667	-0.8	-3.385	-2.743	-2.552	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	-1.174	-1.153	-0.887	0.45	0.237	-1.27	-1.295	-2.224	-0.394	-3.253	-0.483	-0.206	-0.98	-3.048	-1.941	-0.458	-0.69	-0.726	-0.741
"YGL120C"	-3.316	-3.231	-3.954	-3.877	-1.486	-4.557	-3.087	-2.692	-1.947	-2.077	-4.088	-5.111	-0.746	-3.171	-3.229	-2.813	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-1.016	-0.472	-0.622	0.206	0.287	-0.894	-0.983	-1.892	-0.054	-3.8	0.147	-0.801	0.118	-3.546	-1.271	-0.796	-0.745	-0.849	-0.958
"YGR128C"	-2.985	-3.042	-3.197	-2.749	-1.5245	-3.032	-2.601	-2.603	-2.213	-1.732	-2.66	-4.271	-0.902	-2.816	-2.202	-1.376	-3.207	-1.88	-2.107	-2.236	-2.017	-3.037	-2.679	-1.294	-0.442	-0.935	0.349	0.206	-1.073	-0.65	-1.376	-0.142	-2.534	0.075	0.491	0.687	-0.921	-2.09	-0.207	-0.377	-0.559	-0.454
"YGR148C"	-1.979	-2.184	-2.942	-3.2425	-0.7435	-3.45	-3.596	-3.464	-3.033	-2.31	-3.884	-5.757	-1.051	-3.141	-3.011	-2.722	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	-0.687	-0.547	-0.289	0.258	0.218	-0.24	-0.276	-1.631	0.448	-2.591	1.1055	0.764	0.953	-3.103	-1.221	-0.728	-0.248	-0.685	-0.306
