	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL051W"	-2.6925	1.0595
"YBL020W"	-1.846	1.848
"YBL104C"	-2.401	3.225
"YBR080C"	-2.0	2.728
"YBR082C"	-3.456	1.226
"YBR104W"	-2.523	3.825
"YBR128C"	-3.7975	1.27
"YBR161W"	-1.429	2.562
"YBR198C"	-2.628	1.381
"YBR276C"	-2.991	-0.378
"YCR030C"	-3.173	0.465
"YCR070W"	-1.212	2.055
"YCRX17W"	-5.7	0.363
"YDL055C"	-4.252	-0.653
"YDL134C"	-2.466	0.308
"YDL164C"	-2.932	2.65
"YDL188C"	-2.042	0.627
"YDR060W"	-0.918	2.0125
"YDR065W"	-2.714	0.216
"YDR117C"	-2.494	0.445
"YDR150W"	-0.716	1.5835
"YDR184C"	-1.842	2.7395
"YDR243C"	-0.9795	0.886666666666667
"YDR284C"	-1.912	1.377
"YDR303C"	-7.617	1.143
"YDR325W"	-2.245	3.45
"YDR414C"	-2.042	2.927
"YDR437W"	-1.523	1.488
"YDR478W"	-1.701	0.257
"YDR502C"	-5.303	4.051
"YEL047C"	-2.481	2.043
"YER008C"	-1.541	2.2775
"YER049W"	-4.541	2.356
"YER064C"	-4.714	2.589
"YER081W"	-0.177	2.588
"YER124C"	-3.343	0.5555
"YER171W"	-1.984	3.1445
"YFL010C"	-2.982	0.217
"YFL013C"	-3.057	1.0635
"YFR035C"	-1.025	1.7585
"YGL043W"	-1.829	2.74
"YGL073W"	-1.499	2.166
"YGL075C"	-1.363	0.49
"YGL175C"	-2.125	0.263
"YGL239C"	-3.568	0.992
"YGR014W"	-3.299	1.208
"YGR058W"	-6.235	2.077
"YGR083C"	-4.599	0.676
"YGR190C"	-3.623	0.43
"YGR221C"	-2.432	3.747
"YGR266W"	-4.267	3.194
"YGR278W"	-2.536	2.11
"YHR045W"	-3.8995	1.437
"YHR059W"	-4.493	3.955
"YHR155W"	-2.743	-0.775
"YHR173C"	-3.08	5.424
"YIL104C"	-2.936	1.767
"YIL115C"	-2.385	2.315
"YIL141W"	-2.961	0.72
"YIL151C"	-1.82	0.937
"YJL125C"	-4.009	0.89
"YJL175W"	-4.28	2.634
"YJR125C"	-3.817	1.698
"YKL013C"	-3.984	1.49
"YKL080W"	-5.94	5.981
"YKR082W"	-2.648	0.319
"YKR092C"	-2.54	1.272
"YLL054C"	-3.02	1.693
"YLR035C"	-1.168	1.894
"YLR078C"	-2.354	-0.774
"YLR141W"	-1.2945	0.079
"YLR282C"	-5.099	1.919
"YLR288C"	-3.767	2.709
"YLR317W"	-2.241	-0.414
"YLR373C"	-2.4195	1.69
"YLR426W"	-2.671	1.962
"YLR442C"	-1.5515	2.459
"YML037C"	-3.869	-0.015
"YML115C"	-3.577	1.671
"YMR049C"	-9.471	3.621
"YMR080C"	-2.426	4.116
"YMR209C"	-2.274	0.1145
"YMR227C"	-2.17	0.389
"YMR229C"	-5.288	0.822666666666667
"YMR278W"	-1.61	2.6295
"YNL016W"	-3.2085	1.293
"YNL031C"	-4.078	-0.311
"YNL054W"	-1.5485	0.740333333333333
"YNL106C"	-2.4075	1.31966666666667
"YNL126W"	-3.062	4.818
"YNL135C"	-3.543	-0.745
"YNL186W"	-2.658	1.3115
"YNL233W"	-3.551	0.994
"YNL235C"	-3.321	0.976
"YNL328C"	-2.349	1.423
"YOL020W"	-0.6925	3.368
"YOR067C"	-5.101	0.829
"YOR160W"	-4.2525	1.388
"YOR304W"	-2.2815	0.876
"YOR308C"	-3.205	4.531
"YOR361C"	-2.21	-0.843
"YPL093W"	-2.24066666666667	-2.17
"YPL231W"	-3.48	0.5595
"YPL235W"	-3.62066666666667	0.41
"YPL238C"	-4.788	-0.653
"YPR059C"	-2.833	2.696
"YPR116W"	-2.175	1.243
"YPR164W"	-1.652	0.5575
"YPR177C"	-2.837	1.377
