	"512.2.5mM DTT 005 min"	"686.YP ethanol vs reference pool"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"12061.Pomona College Bio164: dna2-1/WT"	"12368.Muhlenberg College Bio550: wt /fus3 mutant"	"12733.Nitrogen Depletion 8 h"	"18434.2mM MD 100min"	"21661..24 mM H2O2- 049 minutes/redo"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34357.batch 02X25 1"	"40948.H2O2_II_28_min"	"40959.H2O2_II_160_min"	"42221.U2 Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42378.CC PU 2A Phosphate-Uracil Chemostat Comparison"
"YBL027W"	0.986	-0.596	-2.0365	-1.4655	-2.851	-2.474	-2.671	-5.577	-1.996	-0.211	-2.494	-2.654	-2.507	-0.0985	-0.2015	-3.9845	-1.9795	-2.114	-3.148	-0.063	-1.6285	-2.031	-0.702	-0.1315	-3.012	-3.351	-3.139	-2.319	-2.291	0.464	-0.8355	0.571	-1.339	0.624	0.497	0.589
"YBL077W"	0.662	-1.134	-1.5985	-1.636	-3.41	-2.161	-3.136	-5.081	-0.875	-0.435	-2.763	-2.285	-2.607	-0.3	-0.5445	-2.792	-2.816	-3.3595	-3.1945	-1.0	-0.979	-2.306	-0.9965	-0.816	-2.93	-2.854	-2.752	-2.048	-1.678	-0.027	0.359	-0.904	-0.475	-1.185	0.149	0.155
"YBL092W"	0.616	-1.263	-2.671	-1.8215	-3.458	-3.598	-2.896	-5.158	-2.688	-0.369	-3.0	-2.812	-2.665	-0.158	-0.1415	-3.5865	-1.726	-2.74	-2.8475	0.052	-0.902	-3.0005	-0.976	-0.308	-2.013	-2.599	-2.171	-2.311	-3.174	0.636	0.187	-0.644	0.089	0.72	0.505	0.481
"YBR031W"	0.409	-1.57	-2.0145	-1.6125	-1.692	-1.795	-2.879	-6.063	-1.875	-0.548	-2.233	-3.04	-2.831	0.2655	0.146	-2.6295	-1.803	-1.9345	-2.5745	-0.006	-0.649	-0.947	-1.428	-0.7	-2.405	-2.518	-2.852	-2.047	-2.634	0.523	0.858	0.887	-1.355	-0.123	-0.081	0.018
"YBR048W"	0.555	-1.201	-2.469	-1.03333333333333	-3.385	-2.4795	-3.0195	-5.0065	-1.978	-0.5615	-3.0685	-3.137	-3.295	0.0853333333333333	-0.0956666666666667	-4.66033333333333	-2.849	-3.15166666666667	-3.929	0.06	-1.40633333333333	-3.33333333333333	-1.55475	-1.28966666666667	-3.545	-4.089	-3.69	-2.483	-2.711	0.539	0.252666666666667	0.579	-0.655	0.909	0.528	0.661
"YBR196C"	0.185	-1.3585	-0.38	-0.191	-1.765	-1.617	-1.643	-4.589	-0.765	-0.414	-1.394	-1.02	-2.179	-0.338	-0.467	-0.9825	-0.638	-1.2495	-2.837	-0.11	-0.608	-0.5435	-0.888	-1.818	-1.312	0.293	-0.736	-0.928	0.681	0.7	-0.191	-0.133	-0.262	-1.208	0.101	-0.101
"YBR212W"	-0.33	0.313	0.765	0.52	2.545	2.038	3.329	3.128	1.157	0.703	1.824	1.89	1.746	-0.039	0.214	2.072	4.222	4.5675	3.4615	-0.65	1.035	0.509	0.871	1.02	1.337	2.491	1.768	1.525	1.707	-0.083	-1.245	-0.547	0.321	-0.166	0.038	-0.163
"YCR055C"	-0.149	-0.9775	-1.724	-0.77	-6.518	-3.193	-3.878	-6.433	-3.38	-0.142	-3.796	-3.655	-2.132	-0.502	-0.678	-2.6155	-2.2405	-3.105	-2.4225	-0.678	-2.44	-2.079	0.763	0.336	NaN	NaN	NaN	NaN	NaN	NaN	0.288	0.299	-1.162	0.064	-0.277	-0.123
"YDR417C"	0.71	-1.09	-2.536	-1.709	-3.705	-2.778	-4.279	-5.062	-2.509	-0.423	-3.58	-3.209	-2.864	-0.127	-0.171	-4.223	-2.861	-3.022	-3.606	0.234	-1.714	0.189	-1.456	-1.584	-2.61	-3.585	-3.332	-2.261	-2.404	0.762	-0.198	0.526	-0.855	-1.56	-0.011	-0.007
"YDR418W"	1.357	-0.817	-2.651	-1.894	-3.707	-3.13	-3.074	-5.866	-2.231	-0.332	-3.315	-3.181	-2.797	-0.004	-0.107	-4.449	-2.866	-3.091	-4.066	0.989	-0.833	-3.879	-1.527	-1.488	-2.423	-3.263	-3.057	-2.027	-3.381	1.042	0.345	0.371	-0.829	0.126	-0.116	-0.227
"YDR447C"	1.02	-0.646	-2.917	-2.275	-4.882	-3.934	-3.659	-5.332	-2.316	-0.025	-3.574	-3.565	-2.813	-0.332	-0.145	-4.249	-2.53	-2.625	-3.552	1.406	-1.445	-2.794	-1.366	-0.9	-2.356	-4.358	-3.418	-2.211	-3.223	0.877	-0.8235	-0.956	-0.084	-1.106	0.108	0.225
