	"42.alpha factor release sample022"	"50.Elutriation2:Sample2:Time0.5hrs"	"810.DES460 (wild type) + heat 20 min"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"2141.Elutriation2:Sample2:Time1.0hrs"	"5243.DES459 (mec1) - mock irradiation - 5 min"	"5244.DES459 (mec1) - mock irradiation -15 min"	"8230.dtt 060 min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YBL027W"	0.41	0.234	-1.385	-2.0	-2.671	-5.577	-2.494	-2.654	-2.507	-0.276	-3.9845	-1.9755	-2.4005	-2.0465	0.325	0.4805	-0.994	-0.498	0.771	-3.528	-3.012	-3.351	-3.139	-2.319	-2.291	0.671	0.58
"YBL077W"	0.126	-0.2985	-0.904	-2.021	-3.136	-5.081	-2.763	-2.285	-2.607	0.028	-2.792	-1.615	-2.0335	-2.345	0.286	-0.168	0.17	-0.08	0.432	-2.847	-2.93	-2.854	-2.752	-2.048	-1.678	0.063	0.17
"YBR013C"	-0.5645	-0.457	-2.4785	-0.394	-0.065	-1.898	0.518	0.538	0.787	0.376	0.6145	0.0075	0.334	-0.197	0.6905	-0.268	0.457	0.929	-0.667	1.338	1.295	0.225	0.335	0.84	0.426	-0.746	-0.453
"YBR084W"	0.04	-0.6745	-1.3555	-2.908	-4.365	-5.362	-2.317	-2.197	-1.44	-0.108	-2.3585	-1.8955	-1.9025	-2.592	0.426	-0.5645	0.08	0.363	-0.643	-3.705	-2.757	-4.104	-3.283	-2.324	-2.592	-0.418	-0.151
"YBR106W"	0.255	0.053	-1.16	-2.108	-3.354	-5.052	-2.258	-2.173	-2.595	-0.506	-2.3915	-1.999	-2.0935	-2.137	-0.1885	-0.3555	-0.215	-0.666	0.653	-3.114	-2.846	-2.825	-2.779	-2.225	-1.35	0.256	0.225
"YBR175W"	-0.314	-0.379	-0.1695	-1.084	-2.52	-3.152	-1.563	-1.451	-1.159	-0.169	-0.714	-0.611	-0.895	-0.4815	-0.239	-0.6045	0.416	0.187	0.226	-1.521	-1.232	-1.967	-1.397	-1.061	-0.88	0.434	0.303
"YCR034W"	0.226	-0.113	-0.973	-1.912	-3.204	-4.331	-2.664	-2.639	-1.895	0.169	-2.5505	-1.2005	-2.3695	-2.676	0.304	-0.006	-0.198	0.208	0.075	-3.552	-2.544	-3.478	-3.226	-1.806	-1.743	0.632	0.549
"YCR053W"	0.091	0.124	-0.315	-1.707	-3.556	-4.283	-1.206	-2.391	-1.41	0.083	-2.5805	-1.277	-1.531	-2.1605	0.056	-0.333	0.229	0.392	0.376	-2.722	-2.601	-2.7365	-2.51	-2.2205	-2.352	-0.056	-0.08
"YCR072C"	-0.114	0.193	-1.106	-2.205	-4.4	-4.875	-3.092	-2.773	-1.346	-0.191	-1.4095	-1.4095	-1.6045	-1.42	-0.162	0.251	0.681	0.266	-0.771	-2.819	-2.44	-3.703	-2.838	-1.67	-2.009	-0.383	-0.068
"YDL051W"	-0.024	0.328	-0.775	-1.668	-2.856	-3.563	-2.198	-1.985	-2.131	-0.064	-2.973	-2.013	-1.892	-1.804	0.428	0.349	-1.033	-0.629	-0.275	-3.018	-1.884	-3.192	-1.733	-1.461	-0.196	0.544	0.482
