	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"8234.dtt 240 min"
"YAL036C"	-2.24	-1.7	-1.117	-1.024	-2.145	-3.743	-0.458	-1.06
"YBL018C"	-1.938	-0.687	-0.303	-0.656	-1.0	-1.742	-0.25	-0.228
"YBL027W"	-2.851	-2.474	-2.081	-1.613	-2.671	-5.577	-1.089	-2.091
"YBL028C"	-4.609	-3.234	-2.754	-2.652	-2.828	-4.867	-0.911	-1.82
"YBL092W"	-3.458	-3.598	-2.824	-2.394	-2.896	-5.158	-1.112	-1.829
"YBR048W"	-3.385	-2.4795	-2.968	-2.171	-3.0195	-5.0065	-1.255	-1.878
"YBR106W"	-2.949	-2.026	-1.695	-1.83	-3.354	-5.052	-0.303	-0.294
"YBR143C"	-2.729	-2.378	-2.339	-2.197	-3.195	-4.642	-0.561	-1.134
"YBR166C"	-1.467	-1.3	-1.0035	-1.251	-2.2345	-3.0285	0.149	0.3325
"YBR181C"	-3.762	-3.149	-2.554	-2.265	-3.798	-4.564	-1.101	-2.184
"YBR191W"	-3.54	-3.222	-3.049	-2.249	-3.167	-5.241	-0.961	-2.088
"YBR266C"	-3.053	-2.042	-2.021	-1.084	-2.463	-4.633	0.274	-1.203
"YDL051W"	-3.639	-2.402	-2.024	-1.821	-2.856	-3.563	-0.913	-1.339
"YDL061C"	-3.45	-2.443	-2.323	-2.345	-3.265	-4.279	-1.186	-1.412
"YDL148C"	-3.372	-1.757	-1.734	-1.158	-2.269	-4.257	0.07	-1.681
"YDL219W"	-1.943	-1.18	-1.038	-1.374	-3.152	-2.848	-0.376	-0.345
"YDL232W"	-1.33533333333333	-1.24266666666667	-0.796666666666667	-1.18766666666667	-1.95466666666667	-3.68533333333333	-0.0183333333333333	-0.503666666666667
"YDL236W"	-1.684	-1.553	-1.159	-1.298	-2.833	-3.958	0.329	0.088
"YDR025W"	-3.904	-3.548	-3.252	-2.573	-3.393	-6.697	-1.301	-2.304
"YDR045C"	-1.775	-1.288	-1.069	-1.187	-1.624	-3.27	-0.28	-1.0
"YDR064W"	-3.874	-3.241	-2.585	-2.577	-3.761	-5.03	-1.244	-1.723
"YDR086C"	-1.062	-1.152	-0.789	-1.317	-2.628	-2.225	0.066	-0.155
"YDR121W"	-1.721	-0.669	-0.793	-0.813	-0.281	-1.056	-0.384	-0.848
"YDR165W"	-4.096	-2.538	-2.179	-2.247	-3.111	-5.309	-0.252	-1.145
"YDR209C"	-1.288	-2.114	-2.096	-2.602	-1.955	-5.369	-0.616	-0.373
"YDR257C"	-1.066	-1.499	-0.847	-1.021	-1.609	-2.219	0.007	-0.485
"YDR325W"	-0.99	-0.671	-0.741	-0.983	-1.331	-2.245	-0.142	-0.111
"YDR361C"	-3.61	-2.016	-1.951	-1.707	-1.945	-3.634	-0.597	-1.541
"YDR412W"	-2.38	-1.406	-1.391	-0.997	-1.49	-3.774	-0.376	-1.275
"YDR418W"	-3.707	-3.13	-2.7	-2.237	-3.074	-5.866	-1.059	-1.721
"YER002W"	-0.6705	-0.349	-0.2235	-1.0035	-0.0855	-0.0605	-0.053	0.55
"YER006W"	-4.011	-2.738	-2.065	-2.285	-2.345	-4.571	-0.932	-1.155
"YER025W"	-3.167	-1.687	-1.57	-1.903	-2.274	-4.542	-0.369	-1.189
"YER036C"	-3.113	-2.056	-1.752	-1.303	-2.411	-4.997	-0.732	-1.037
"YER102W"	-3.932	-3.965	-3.177	-2.924	-3.64	-6.434	-1.581	-2.128
"YER117W"	-2.982	-2.613	-2.377	-1.817	-2.832	-5.642	-1.15	-1.573
"YER127W"	-3.292	-2.064	-1.821	-1.672	-2.611	-4.439	-0.324	-1.037
"YFR031BC"	-4.567	-3.823	-3.84	-2.931	-4.702	-7.029	-1.452	-2.075
"YGL078C"	-4.866	-2.556	-1.916	-1.553	-2.215	-4.455	-0.23	-1.775
"YGL099W"	-3.43	-2.011	-2.123	-1.774	-2.895	-5.764	-0.98	-1.564
"YGL102C"	-3.419	-2.825	-2.081	-1.973	-2.658	-5.65	-1.171	-1.881
"YGL111W"	-3.668	-1.845	-1.719	-1.627	-2.589	-2.826	-0.266	-1.04
"YGL120C"	-4.557	-3.087	-2.692	-1.947	-4.088	-5.111	-0.746	-1.354
"YGL123W"	-3.781	-3.757	-3.726	-3.265	-4.004	-5.982	-1.784	-1.983
"YGL135W"	-3.221	-2.573	-2.455	-2.548	-3.418	-5.687	-1.432	-1.561
"YGL147C"	-3.892	-3.111	-3.32	-3.389	-3.921	-7.507	-1.185	-2.28
"YGL148W"	-3.561	-2.137	-1.719	-1.873	-2.826	-3.915	0.188	-1.1
"YGR027C"	-3.433	-2.572	-1.843	-1.632	-2.797	-5.39	-0.567	-1.673
"YGR034W"	-3.922	-3.172	-3.096	-2.637	-3.052	-6.281	-1.028	-2.337
"YGR078C"	-2.444	-2.329	-1.697	-2.759	-1.328	-2.557	-0.516	-0.908
"YGR085C"	-3.713	-3.301	-2.511	-2.202	-3.406	-6.059	-1.043	-1.876
"YGR123C"	-4.447	-2.7	-2.234	-2.041	-3.794	-4.328	-1.067	-1.589
"YGR128C"	-3.032	-2.601	-2.603	-2.213	-2.66	-4.271	-0.902	-1.173
"YGR148C"	-3.45	-3.596	-3.464	-3.033	-3.884	-5.757	-1.051	-2.548
"YGR158C"	-2.111	-0.958	-0.975	-1.675	-2.12	-2.421	-0.417	-0.857
"YGR173W"	-3.271	-1.888	-1.436	-1.194	-2.218	-3.699	-0.697	-0.871
"YGR200C"	-3.964	-1.851	-1.376	-1.152	-2.863	-3.668	-0.691	-0.897
"YGR214W"	-4.3	-2.826	-2.795	-2.24	-3.03	-5.16	-1.591	-2.052
"YHL033C"	-3.758	-2.864	-2.635	-1.944	-3.984	-6.65	-1.028	-1.747
"YHR010W"	-3.693	-3.281	-3.149	-2.926	-3.508	-4.514	-1.125	-2.034
"YHR025W"	-3.632	-1.376	-1.47	-1.274	-2.666	-5.429	-0.032	-0.709
"YHR052W"	-4.199	-3.017	-2.239	-2.075	-2.598	-4.447	-0.345	-1.408
"YHR064C"	-4.543	-2.196	-1.596	-1.668	-3.329	-5.238	-0.7	-1.038
"YHR065C"	-4.558	-2.142	-2.281	-1.573	-3.857	-4.644	-0.223	-1.509
"YHR066W"	-4.885	-2.062	-1.572	-1.589	-3.164	-5.203	0.003	-1.507
"YHR068W"	-3.316	-2.566	-2.252	-2.251	-4.28	-6.532	0.213	-1.25
"YHR141C"	-2.32	-2.364	-2.143	-1.635	-2.472	-3.64	-0.517	-1.986
"YHR148W"	-3.086	-1.904	-1.665	-1.259	-2.321	-3.377	-0.207	-0.925
"YHR179W"	-2.165	-1.726	-1.819	-1.93	-3.188	-4.68	0.008	-1.26
"YHR201C"	-0.362	-0.829	-1.539	-1.634	-1.811	-4.155	-0.129	-0.324
"YHR203C"	-3.926	-2.827	-3.148	-2.671	-3.782	-5.944	-1.473	-1.982
"YIL018W"	-4.365	-3.03	-2.782	-2.724	-3.492	-5.749	-1.014	-2.148
"YIL020C"	-1.861	-1.374	-1.435	-1.753	-2.251	-3.447	-0.493	-1.048
"YIL052C"	-3.856	-3.261	-2.954	-2.61	-2.895	-6.278	-1.311	-2.17
