	"53.Elutriation2:Sample2:Time2.0hrs"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"120.w303a vs w303a fkh1 fkh2"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"686.YP ethanol vs reference pool"	"797.Heat Shock 000 minutes (series 3)"	"799.Heat Shock 005 minutes"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"977.wt_plus_gamma_10_min"	"978.wt_plus_gamma_20_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1250.mec1_plus_gamma_10_min"	"4783.29C to 33C -30 min"	"5358.1M sorbitol - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YBR088C"	0.4195	-2.069	-2.259	-2.975	-0.645	-0.924	-1.772	-1.936	-2.199	-1.684	-0.499	0.743	-1.025	-0.789	0.797	-1.552	-1.6675	-1.2345	-4.244	-1.545	-1.064	-2.177	-4.084	-4.124	-2.002	-1.832	-1.282	-1.484	-0.5805	-0.8005	-0.411	-2.613	-1.809	-2.4385	-3.272	-2.4585	0.94	-0.648	0.663	-0.9375	0.6295	1.2235	1.4005	1.107	1.3055	-1.319	0.7565	0.156	1.307	-0.322	-1.412	-2.522	-0.96	-2.591	-1.724
"YBR089W"	0.4405	-2.238	-2.218	-2.052	-1.087	-0.71	-1.938	-1.703	-1.744	-1.345	-0.214	0.562	-0.767	-1.081	0.922	-0.727	-1.209	-1.2615	-2.938	-1.454	-0.175	-0.532	-3.547	-2.47	-1.306	-1.87	-2.078	-1.621	-0.603	-0.671	-0.6945	-2.9465	-1.751	-2.8165	-3.093	-1.8535	0.7035	-0.4255	0.272	-0.5175	0.2845	0.797	1.125	1.1345	1.177	-1.507	0.9635	0.092	1.1045	0.928	-0.822	-1.902	-2.327	-1.855	-2.51
"YBR181C"	0.491	-2.142	-1.997	-2.16	-1.949	0.522	-2.256	-3.249	-3.825	-2.59	-0.8695	1.121	0.354	-1.49	0.166	-1.677	-2.6035	-1.5775	-3.762	-3.149	-2.265	-2.747	-3.798	-4.564	-2.527	-1.706	-3.3	-3.365	-0.477	-0.468	0.061	-5.0305	-2.7035	-2.654	-2.96	-3.945	0.253	-0.179	-0.283	-0.0205	-0.159	-0.2945	-0.194	-0.3805	-0.5295	-2.057	0.251	0.666	-0.4555	0.19	-2.337	-3.584	-2.718	-2.98	-3.274
"YDL003W"	0.728	-1.651	2.354	-1.407	-0.599	-0.144	-0.903	-1.364	-1.0	-0.501	-0.21	0.218	-0.828	-0.776	0.453	-1.317	-1.4205	-0.9355	-2.494	-2.13	-1.183	-1.805	-2.029	-2.692	-1.032	-1.835	-1.32	-2.206	0.324	-0.131	-0.536	-2.781	-1.89	-1.7805	-2.4395	-2.159	0.845	-0.312	0.574	0.031	0.373	0.8485	0.8005	0.576	0.4615	-1.288	0.0925	-0.081	0.912	0.438	-2.232	-1.146	-1.572	-2.422	-2.333
"YDL082W"	0.724	-1.994	-1.72	-1.806	-1.479	-0.046	-2.339	-3.052	-2.521	-1.539	-0.785	0.863	0.191	-1.271	-0.013	-1.475	-2.087	-1.564	-3.223	-2.484	-1.739	-1.723	-3.326	-5.816	-2.246	-1.504	-2.537	-3.01	-0.851	-0.631	0.2	-2.915	-2.182	-2.186	-3.001	-3.589	0.068	-0.115	-0.18	-0.173	-0.13	-0.001	-0.498	-0.511	-0.315	-1.965	-0.171	0.252	-0.634	-0.018	-1.852	-3.338	-3.698	-4.518	-3.314
"YDR087C"	0.692	-3.126	-4.331	-4.143	-1.477	0.005	-2.758	-3.643	-3.468	-1.429	-0.867	0.989	-0.387	-1.886	-0.02	-1.501	-1.097	-0.983	-4.139	-2.976	-1.909	-3.312	-3.817	-4.944	-2.758	-1.846	-2.528	-2.208	-1.074	-0.73	-0.32	-1.886	-2.022	-1.73	-3.407	-2.893	0.061	-1.006	-0.085	0.053	-0.498	-0.8	-0.796	-0.933	-0.891	-1.236	-0.026	-0.539	-0.809	-0.209	-1.782	-4.13	-2.16	-3.396	-3.436
"YDR165W"	0.471	-3.154	-3.024	-2.85	-1.603	-0.307	-2.419	-2.874	-2.762	-1.473	-0.581	0.852	0.012	-1.9	0.564	-1.001	-1.335	-0.982	-4.096	-2.538	-2.247	-2.27	-3.111	-5.309	-2.69	-1.82	-3.015	-2.243	-1.215	-0.791	-0.763	-3.057	-1.582	-1.767	-2.409	-2.23	0.27	-0.547	0.078	-0.633	-0.821	-0.53	-0.571	-0.649	-0.702	-0.784	-0.162	-0.214	-0.806	-0.145	-1.0245	-2.787	-2.722	-3.205	-2.632
"YDR450W"	0.905	-1.91	-1.876	-1.979	-2.047	0.094	-1.959	-2.844	-3.077	-2.605	-0.344	0.963	0.244	-1.012	0.108	-1.559	-1.837	-1.439	-3.254	-2.797	-1.895	-1.925	-2.6	NaN	-2.564	-1.924	-3.208	-3.201	-0.853	-0.874	-0.29	-4.313	-2.784	-2.988	-2.959	-3.465	0.302	0.005	0.248	0.097	-0.296	-0.384	-0.081	-0.422	-0.609	-1.894	0.181	0.098	-0.601	0.041	-1.056	-3.008	-3.762	-3.594	-3.453
"YEL054C"	0.995	-2.122	-1.926	-2.095	-1.518	-0.374	-2.314	-1.907	-3.528	-2.188	-0.77	1.075	0.45	-0.856	0.246	-1.382	-2.173	-1.88	-3.654	-2.711	-1.871	-2.981	-2.98	-7.056	-2.484	-1.881	-3.039	-3.52	-1.013	-0.675	0.257	-3.347	-2.579	-2.504	-3.005	-3.554	0.369	-0.393	0.258	-0.188	-0.214	-0.057	-0.395	-0.432	-0.139	-1.753	-0.07	0.538	-0.291	0.076	-2.202	-3.251	-2.487	-3.815	-2.936
"YER0561C"	0.929	-1.586	-1.678	-2.016	-1.404	-0.153	-1.532	-2.355	-2.665	-1.733	-1.069	1.019	0.04	-0.975	-0.143	-1.445	-1.823	-1.263	-3.641	-3.229	-2.805	-2.571	-2.974	-4.828	-2.334	-1.743	-3.09	-2.762	-0.714	-0.913	-0.31	-4.549	-2.538	-2.398	-2.784	-3.617	0.281	-0.725	-0.208	-0.121	-0.075	-0.174	-0.192	-0.464	-0.48	-1.51	-0.07	0.222	-0.542	-0.13	NaN	-2.13	NaN	NaN	NaN
